
[00:00:00.000 --> 00:00:02.540]  各位兄弟姐妹
[00:02:37.380 --> 00:02:40.700]  當有一天我在報紙那裡看到
[00:02:40.700 --> 00:02:44.860]  這個老闆失蹤
[00:02:44.860 --> 00:02:46.580]  我心裡想
[00:02:46.580 --> 00:02:48.700]  我一定要找到偉成
[00:02:48.700 --> 00:02:50.940]  我要告訴他
[00:02:50.940 --> 00:02:55.980]  神祂是知道我們心中的苦情
[00:02:55.980 --> 00:02:57.900]  沒有任何一個人
[00:02:57.900 --> 00:03:00.740]  可以逃離祂
[00:03:00.740 --> 00:03:03.100]  接著我們看回整個的發展
[00:03:03.100 --> 00:03:04.740]  我也給大家知道
[00:03:04.740 --> 00:03:05.980]  你也知道
[00:03:05.980 --> 00:03:09.540]  雖然偉成那一千萬收不到
[00:03:09.540 --> 00:03:12.060]  但實際上神是用其他的方法
[00:03:12.060 --> 00:03:13.820]  不止一千萬
[00:03:13.820 --> 00:03:16.060]  來嫁給他
[00:03:16.060 --> 00:03:18.500]  他欠銀行的那些債
[00:03:18.500 --> 00:03:21.020]  欠其他人的債
[00:03:21.020 --> 00:03:23.420]  只是靠獎金
[00:03:23.420 --> 00:03:25.940]  為何會有獎金這回事呢?
[00:03:25.940 --> 00:03:27.100]  因為他
[00:03:27.100 --> 00:03:29.620]  其實當時不是最低標的
[00:03:29.620 --> 00:03:31.140]  我知道
[00:03:31.140 --> 00:03:33.020]  他是第二低標
[00:03:33.020 --> 00:03:37.940]  不過其中有一項非常辣的條件
[00:03:37.940 --> 00:03:39.580]  那個條件就是說
[00:03:39.580 --> 00:03:43.220]  如果這個工程你遲一天交
[00:03:43.220 --> 00:03:44.300]  就會罰你
[00:03:44.300 --> 00:03:45.580]  我不知道是不是六萬元
[00:03:45.580 --> 00:03:46.780]  一天
[00:03:46.780 --> 00:03:48.500]  四萬八千元
[00:03:48.500 --> 00:03:49.660]  每天四萬八千元
[00:03:49.660 --> 00:03:53.300]  你知道那個時間是1988年
[00:03:53.300 --> 00:03:55.260]  1990年
[00:03:55.260 --> 00:03:57.500]  那個時間是很多錢的
[00:03:57.500 --> 00:03:59.580]  四萬八千元一天
[00:03:59.580 --> 00:04:02.140]  但如果你是早一天
[00:04:02.140 --> 00:04:03.980]  來交地盤出來
[00:04:03.980 --> 00:04:05.260]  你搞定了
[00:04:05.260 --> 00:04:08.740]  就獎你四萬八千元
[00:04:08.740 --> 00:04:10.140]  我沒有想到
[00:04:10.140 --> 00:04:11.820]  那年是最少雨
[00:04:11.820 --> 00:04:13.660]  最多陽光的一年
[00:04:13.660 --> 00:04:15.620]  結果他超額完成
[00:04:15.620 --> 00:04:17.060]  快了很多
[00:04:17.060 --> 00:04:18.340]  超了多少呢?
[00:04:18.340 --> 00:04:21.140]  超過一個多月的時間
[00:04:21.140 --> 00:04:22.460]  就是因為這樣
[00:04:22.460 --> 00:04:24.500]  只是獎金本身
[00:04:24.500 --> 00:04:27.140]  他還了他們的債
[00:04:27.140 --> 00:04:28.820]  偶然呢?
[00:04:28.820 --> 00:04:31.380]  巧合呢?
[00:04:31.380 --> 00:04:34.180]  在他身上我看到有很多偶然
[00:04:34.180 --> 00:04:35.580]  巧合
[00:04:35.580 --> 00:04:38.220]  是沒有辦法解釋的
[00:04:38.220 --> 00:04:39.620]  委承家裏的人
[00:04:39.620 --> 00:04:42.820]  有很多是我親自看著他們的缺失
[00:04:42.820 --> 00:04:45.860]  和我和他們傳播音
[00:04:45.860 --> 00:04:50.700]  阿四、阿六、阿九、阿十一、十三
[00:04:50.700 --> 00:04:52.740]  我都有份
[00:04:52.740 --> 00:04:53.900]  另一方面呢
[00:04:53.900 --> 00:04:56.580]  就是他還有他爸爸、他媽媽
[00:04:56.580 --> 00:04:57.820]  他們的信主
[00:04:57.820 --> 00:04:59.500]  我也都有份
[00:04:59.500 --> 00:05:01.500]  當時
[00:05:01.500 --> 00:05:03.580]  我記得
[00:05:03.580 --> 00:05:05.460]  他爸爸媽媽
[00:05:05.460 --> 00:05:09.340]  在分居九年之後
[00:05:09.340 --> 00:05:11.020]  就是因為委承繼續不斷
[00:05:11.020 --> 00:05:12.300]  來和他們傳播音
[00:05:12.300 --> 00:05:13.940]  將我的錄音帶
[00:05:13.940 --> 00:05:16.380]  次次拿過去給他們聽
[00:05:16.380 --> 00:05:17.940]  所以他爸爸對我說的時候
[00:05:17.940 --> 00:05:18.980]  他說牧師
[00:05:18.980 --> 00:05:23.220]  我已經聽了你九年左右
[00:05:23.220 --> 00:05:25.580]  是聽足九年
[00:05:25.580 --> 00:05:27.180]  然後呢
[00:05:27.180 --> 00:05:28.700]  當有一個星期日
[00:05:28.700 --> 00:05:29.740]  應該是星期六的時候
[00:05:29.740 --> 00:05:32.140]  二十四號晚上十二、二十四
[00:05:32.140 --> 00:05:34.540]  他們來到探完委承之後
[00:05:34.540 --> 00:05:36.540]  就要走的
[00:05:36.540 --> 00:05:37.980]  誰知呢
[00:05:37.980 --> 00:05:39.620]  就塞車
[00:05:39.620 --> 00:05:41.500]  塞得很嚴重
[00:05:41.500 --> 00:05:44.180]  結果去到啟德的時候
[00:05:44.180 --> 00:05:45.300]  其實還未到時間
[00:05:45.300 --> 00:05:46.020]  不過呢
[00:05:46.020 --> 00:05:49.620]  就是因為趕不及辦理那些事
[00:05:49.620 --> 00:05:50.900]  因為這樣
[00:05:50.900 --> 00:05:54.300]  那些人就不讓他入閘
[00:05:54.300 --> 00:05:55.780]  就是不幫他辦理
[00:05:55.780 --> 00:05:57.340]  就說你已經遲了
[00:05:57.340 --> 00:05:59.060]  你不如回頭吧
[00:05:59.060 --> 00:06:00.740]  要等了
[00:06:00.740 --> 00:06:01.980]  就是因為
[00:06:01.980 --> 00:06:03.980]  進不了機場
[00:06:03.980 --> 00:06:07.060]  所以他爸爸媽媽才退回頭
[00:06:07.060 --> 00:06:09.100]  退回頭那一晚
[00:06:09.100 --> 00:06:11.060]  就是一個報道會
[00:06:11.060 --> 00:06:14.460]  就在那個晚報道會我講完
[00:06:14.460 --> 00:06:16.420]  第一個站起來
[00:06:16.420 --> 00:06:18.140]  就是委承的媽媽
[00:06:18.140 --> 00:06:21.540]  接著他爸爸跟他一起出來
[00:06:21.540 --> 00:06:24.020]  我心裡非常感恩
[00:06:24.020 --> 00:06:25.980]  因為這一對老人家
[00:06:25.980 --> 00:06:27.780]  我們為他們祈禱了很久
[00:06:27.780 --> 00:06:29.220]  而就在那個時間
[00:06:29.220 --> 00:06:31.340]  他們就這樣決一戰
[00:06:31.340 --> 00:06:35.660]  到第二天早上崇拜的時候
[00:06:35.660 --> 00:06:36.900]  我們照樣講到
[00:06:36.900 --> 00:06:37.700]  講完之後
[00:06:37.700 --> 00:06:40.220]  我請了他們一家來吃飯
[00:06:40.220 --> 00:06:41.140]  吃完飯
[00:06:41.140 --> 00:06:42.820]  我還在吃飯的時間
[00:06:42.820 --> 00:06:46.740]  跟他媽媽解答他一些問題
[00:06:46.740 --> 00:06:52.660]  這些問題解答了之後
[00:06:52.660 --> 00:06:56.700]  他就開始整個人釋然了
[00:06:56.700 --> 00:06:59.140]  所以吃完飯走的時間
[00:06:59.140 --> 00:07:01.580]  兩個老人家就在前面走
[00:07:01.580 --> 00:07:03.300]  你走你,我走我
[00:07:03.300 --> 00:07:05.140]  大家沒辦法談的
[00:07:05.140 --> 00:07:07.300]  委承看到他們走著走著
[00:07:07.300 --> 00:07:08.140]  就走過去
[00:07:08.140 --> 00:07:11.900]  把他爸爸的手疊在他媽媽的手上
[00:07:11.900 --> 00:07:14.860]  接著兩個老人家就牽著他的手
[00:07:14.860 --> 00:07:16.300]  就沒有放
[00:07:16.300 --> 00:07:19.020]  我就看到委承在那裡哭
[00:07:19.020 --> 00:07:21.260]  很感動
[00:07:21.260 --> 00:07:23.220]  其實有很多次
[00:07:23.220 --> 00:07:24.140]  我讓大家知道
[00:07:24.140 --> 00:07:25.940]  流淚殺腫
[00:07:25.940 --> 00:07:28.140]  必然歡呼收割
[00:07:28.140 --> 00:07:29.980]  很多次
[00:07:29.980 --> 00:07:31.700]  在秋創
[00:07:31.700 --> 00:07:33.780]  委承講回他爸爸媽媽
[00:07:33.780 --> 00:07:35.740]  一講回他家
[00:07:35.740 --> 00:07:37.740]  我就抱著他去廁所
[00:07:37.740 --> 00:07:38.780]  祈禱
[00:07:38.780 --> 00:07:40.660]  哭
[00:07:40.660 --> 00:07:42.780]  但是神真是恩待
[00:07:42.780 --> 00:07:44.820]  二十幾個家人
[00:07:44.820 --> 00:07:45.660]  親戚
[00:07:45.660 --> 00:07:48.860]  一個一個就是這樣決志信耶穌
[00:07:48.860 --> 00:07:51.100]  我上次去到越南的時候
[00:07:51.100 --> 00:07:53.900]  我看到他的姪女走過來跟我說
[00:07:53.900 --> 00:07:55.220]  她在讀神學
[00:07:55.220 --> 00:07:56.380]  宋律師我聽你的道
[00:07:56.380 --> 00:07:57.780]  聽了很久
[00:07:57.780 --> 00:08:01.100]  然後阿祿又來了
[00:08:01.100 --> 00:08:03.820]  我為他們一家非常感恩
[00:08:03.820 --> 00:08:06.380]  看見神是非常恩待
[00:08:06.380 --> 00:08:09.580]  我也講回這個欺騙他的老闆
[00:08:09.580 --> 00:08:14.020]  雖然拖那些錢他不給
[00:08:14.020 --> 00:08:17.700]  但是神一次過全拿回來
[00:08:17.700 --> 00:08:19.500]  怎樣全拿回來呢?
[00:08:19.500 --> 00:08:23.780]  他不單止那一千萬
[00:08:23.780 --> 00:08:27.020]  是全部他的身家
[00:08:27.020 --> 00:08:28.900]  沒有一個線
[00:08:28.900 --> 00:08:30.660]  他可以拿走
[00:08:30.660 --> 00:08:32.820]  一個線都沒有
[00:08:32.820 --> 00:08:35.900]  別人以為他被風水佬欺騙了
[00:08:35.900 --> 00:08:39.020]  但是風水佬一個線都沒有
[00:08:39.020 --> 00:08:40.660]  一樣是沒有了
[00:08:40.660 --> 00:08:42.820]  那些錢去了哪裡呢?
[00:08:42.820 --> 00:08:45.060]  去了上面
[00:08:45.060 --> 00:08:47.220]  因為世上你看回的時候
[00:08:47.220 --> 00:08:50.780]  是沒有一個人可以拿得到那些錢
[00:08:50.780 --> 00:08:52.540]  全部在上面
[00:08:52.540 --> 00:08:53.780]  各位弟兄姊妹
[00:08:53.780 --> 00:08:56.220]  給大家看到的一件事
[00:08:56.220 --> 00:08:58.940]  天父他知道
[00:08:58.940 --> 00:09:02.340]  我今天跟大家講講這個父親的心
[00:09:02.340 --> 00:09:04.100]  他知道什麼呢?
[00:09:04.100 --> 00:09:06.300]  其實他知道我們
[00:09:06.300 --> 00:09:09.540]  有可能是有興奮感的
[00:09:09.540 --> 00:09:11.780]  我們看回《路加福音》的十五章
[00:09:11.780 --> 00:09:13.620]  十一到三十二節
[00:09:13.620 --> 00:09:16.500]  這段聖經裏面講這個小孩
[00:09:16.500 --> 00:09:19.780]  是一個興奮感的小孩
[00:09:19.780 --> 00:09:21.940]  什麼都是奉旨的
[00:09:21.940 --> 00:09:24.220]  在哪裡我們看到他是奉旨呢?
[00:09:24.220 --> 00:09:26.500]  十二節我們一起讀
[00:09:26.500 --> 00:09:28.700]  小兒子對父親說
[00:09:28.700 --> 00:09:33.540]  父親請你把我應得的家業分給我
[00:09:33.540 --> 00:09:35.580]  應得的
[00:09:35.580 --> 00:09:37.300]  有什麼是我們應得的呢?
[00:09:37.300 --> 00:09:40.380]  我們以為一切的事是我們應份
[00:09:40.380 --> 00:09:43.620]  我今天享受我的生活是應份
[00:09:43.620 --> 00:09:47.060]  我今天沒有病沒有痛是應份
[00:09:47.060 --> 00:09:50.780]  我今天能夠有一個安定的社會是應份
[00:09:50.780 --> 00:09:54.700]  我們今天在香港沒有天災人禍是應份
[00:09:54.700 --> 00:09:55.780]  我們整個的世界
[00:09:55.780 --> 00:09:59.540]  這個地球給我們享受是應份
[00:09:59.540 --> 00:10:04.100]  實際上我們見到今日的人越來越多
[00:10:04.100 --> 00:10:07.060]  有一種應份感
[00:10:07.060 --> 00:10:11.020]  雖然我自己本身很同情
[00:10:11.020 --> 00:10:13.820]  有很多人的遭遇
[00:10:13.820 --> 00:10:16.100]  我自己都是一個受害人
[00:10:16.100 --> 00:10:19.340]  但我們以前不懂爭取
[00:10:19.340 --> 00:10:21.060]  舉個例
[00:10:21.060 --> 00:10:24.340]  我家在大埔
[00:10:24.340 --> 00:10:26.820]  深路地鐵廠我附近
[00:10:26.820 --> 00:10:28.860]  我們有一個別墅
[00:10:28.860 --> 00:10:29.780]  我那時在美國
[00:10:29.780 --> 00:10:31.220]  我哥哥在香港
[00:10:31.220 --> 00:10:32.100]  打電話給我
[00:10:32.100 --> 00:10:33.700]  告訴我
[00:10:33.700 --> 00:10:35.140]  弟弟
[00:10:35.140 --> 00:10:39.220]  這間屋要收回
[00:10:39.220 --> 00:10:40.420]  政府說
[00:10:40.420 --> 00:10:42.860]  要不就給你這間屋
[00:10:42.860 --> 00:10:43.860]  換回
[00:10:43.860 --> 00:10:46.140]  要不就賠錢
[00:10:46.140 --> 00:10:47.620]  那怎麼辦?
[00:10:47.620 --> 00:10:48.860]  我說你決定吧
[00:10:48.860 --> 00:10:50.460]  我又不在這裡
[00:10:50.460 --> 00:10:52.820]  結果賠了幾十萬
[00:10:52.820 --> 00:10:54.220]  那就算了
[00:10:54.220 --> 00:10:56.260]  接著有一塊地
[00:10:56.260 --> 00:10:58.980]  在太平地鐵廠兩畝地
[00:10:58.980 --> 00:11:00.700]  我們有一塊地在那裏
[00:11:00.700 --> 00:11:01.860]  接著又告訴我
[00:11:01.860 --> 00:11:03.660]  那裏又要收回
[00:11:03.660 --> 00:11:04.220]  那怎麼辦?
[00:11:04.220 --> 00:11:06.060]  因為他們建一個大埔中心
[00:11:06.060 --> 00:11:07.900]  雲吞吞的
[00:11:07.900 --> 00:11:09.340]  那怎麼辦呢?
[00:11:09.340 --> 00:11:11.660]  我就說你決定吧
[00:11:11.660 --> 00:11:12.620]  賠了幾十萬
[00:11:12.620 --> 00:11:13.860]  那就算了
[00:11:13.860 --> 00:11:16.180]  我們不懂爭取
[00:11:16.180 --> 00:11:18.900]  會不會太便宜?
[00:11:18.900 --> 00:11:19.980]  為什麼這麼少?
[00:11:19.980 --> 00:11:21.460]  為什麼不可以賠多一點?
[00:11:21.460 --> 00:11:22.860]  以前沒有的
[00:11:22.860 --> 00:11:26.700]  全部都是這樣
[00:11:26.700 --> 00:11:27.700]  但是
[00:11:27.700 --> 00:11:29.700]  我看到有一樣東西
[00:11:29.700 --> 00:11:31.340]  這一樣東西是什麼呢?
[00:11:31.340 --> 00:11:34.100]  就是沒有東西是永恆的
[00:11:34.100 --> 00:11:35.100]  在這個地上
[00:11:35.100 --> 00:11:37.660]  每一樣東西都是短暫的
[00:11:37.660 --> 00:11:38.980]  然後人活著
[00:11:38.980 --> 00:11:40.140]  當然
[00:11:40.140 --> 00:11:42.900]  我們都是要公平
[00:11:42.900 --> 00:11:44.500]  在一個不公平的裏面
[00:11:44.500 --> 00:11:45.460]  可以爭取
[00:11:45.460 --> 00:11:46.660]  我們去爭取
[00:11:46.660 --> 00:11:48.460]  這個是應該的
[00:11:48.460 --> 00:11:51.140]  我們看到這個小兒子
[00:11:51.140 --> 00:11:52.620]  我們發覺他爭取
[00:11:52.620 --> 00:11:54.740]  不是一個公平
[00:11:54.740 --> 00:11:57.340]  我就想問問大家
[00:11:57.340 --> 00:11:59.020]  如果你有一個兒子
[00:11:59.020 --> 00:12:00.580]  你如果有一個女兒
[00:12:00.580 --> 00:12:02.980]  在你還生小孩的時候
[00:12:02.980 --> 00:12:04.260]  我所說的生小孩
[00:12:04.260 --> 00:12:05.180]  就是現在
[00:12:05.180 --> 00:12:06.420]  你還生小孩
[00:12:06.420 --> 00:12:07.740]  他竟然走過來
[00:12:07.740 --> 00:12:09.140]  他說
[00:12:09.140 --> 00:12:11.940]  你銀行有多少錢?
[00:12:11.940 --> 00:12:16.660]  你有多少棟物業?
[00:12:16.660 --> 00:12:18.580]  我兩兄弟
[00:12:18.580 --> 00:12:19.660]  你可不可以現在
[00:12:19.660 --> 00:12:21.580]  全部分給我們?
[00:12:21.580 --> 00:12:23.700]  他不是說等你死了之後分
[00:12:23.700 --> 00:12:26.780]  是現在就分
[00:12:26.780 --> 00:12:27.820]  有個樓賣了他
[00:12:27.820 --> 00:12:29.140]  一人一半
[00:12:29.140 --> 00:12:30.340]  你銀行的錢
[00:12:30.340 --> 00:12:31.140]  分了他
[00:12:31.140 --> 00:12:32.340]  一人一半
[00:12:32.340 --> 00:12:33.780]  就是說
[00:12:33.780 --> 00:12:34.660]  哥哥一份
[00:12:34.660 --> 00:12:35.580]  我一份
[00:12:35.580 --> 00:12:37.100]  全都分給他
[00:12:37.100 --> 00:12:37.780]  那就是說
[00:12:37.780 --> 00:12:39.660]  那爸爸呢
[00:12:39.660 --> 00:12:41.500]  全都沒有了
[00:12:41.500 --> 00:12:42.340]  媽媽呢
[00:12:42.340 --> 00:12:43.500]  全都沒有了
[00:12:43.500 --> 00:12:45.060]  那就是全都給他們了
[00:12:45.060 --> 00:12:46.140]  我想問問大家
[00:12:46.140 --> 00:12:46.980]  有多少人
[00:12:46.980 --> 00:12:48.980]  如果你是父母
[00:12:48.980 --> 00:12:50.140]  你頂不住的
[00:12:50.140 --> 00:12:52.060]  你不能夠接納這件事的
[00:12:52.060 --> 00:12:53.780]  舉手
[00:12:53.780 --> 00:12:55.060]  舉高一點
[00:12:55.060 --> 00:12:58.740]  我看看你們有多少人
[00:12:58.740 --> 00:13:01.300]  那有多少個接納得到的?
[00:13:01.300 --> 00:13:03.300]  因為你還生小孩
[00:13:03.300 --> 00:13:04.460]  他要將你的銀行
[00:13:04.460 --> 00:13:05.420]  就全都分給他
[00:13:05.420 --> 00:13:06.660]  就是你沒有的
[00:13:06.660 --> 00:13:08.740]  是他們兄弟姐妹分了
[00:13:08.740 --> 00:13:11.140]  然後你的物業
[00:13:11.140 --> 00:13:12.220]  那就是
[00:13:12.220 --> 00:13:13.780]  爸爸媽媽去哪裡呢?
[00:13:13.780 --> 00:13:15.420]  就沒有地方住
[00:13:15.420 --> 00:13:16.460]  也都沒有錢了
[00:13:16.460 --> 00:13:18.860]  你全都分給他了
[00:13:18.860 --> 00:13:20.180]  有多少人接受得到的?
[00:13:20.180 --> 00:13:21.860]  舉手
[00:13:21.860 --> 00:13:23.860]  一個接受得到
[00:13:23.860 --> 00:13:25.020]  嘩!真是
[00:13:25.020 --> 00:13:26.060]  你有沒有子女的?
[00:13:26.060 --> 00:13:27.140]  (有)
[00:13:27.140 --> 00:13:27.740]  是
[00:13:27.740 --> 00:13:29.860]  他有沒有要求這件事?
[00:13:29.860 --> 00:13:30.860]  (有)
[00:13:30.860 --> 00:13:37.180]  就是現在沒有
[00:13:37.180 --> 00:13:39.820]  (你弟弟可以找他嘛)
[00:13:39.820 --> 00:13:41.140]  嘩!很厲害
[00:13:41.140 --> 00:13:42.980]  給他一點掌聲好嗎?
[00:13:42.980 --> 00:13:46.180]  (掌聲)
[00:13:46.180 --> 00:13:49.740]  很厲害
[00:13:49.740 --> 00:13:52.340]  容易嗎?
[00:13:52.340 --> 00:13:55.180]  唉!說很容易的
[00:13:55.180 --> 00:13:58.380]  是的
[00:13:58.380 --> 00:14:01.700]  我們看回這個小孩
[00:14:01.700 --> 00:14:03.060]  他是做了一個
[00:14:03.060 --> 00:14:06.180]  在今天天下人間
[00:14:06.180 --> 00:14:10.980]  絕大部分的人無法接受的一件事
[00:14:10.980 --> 00:14:12.860]  要分家產
[00:14:12.860 --> 00:14:14.580]  但是這個爸爸
[00:14:14.580 --> 00:14:18.540]  就把家業分給他們
[00:14:18.540 --> 00:14:19.860]  想都不想
[00:14:19.860 --> 00:14:21.060]  就是這樣分
[00:14:21.060 --> 00:14:22.260]  我在想
[00:14:22.260 --> 00:14:23.620]  如果分是怎麼分呢?
[00:14:23.620 --> 00:14:24.740]  英文就說
[00:14:24.740 --> 00:14:28.420]  So he divided his property
[00:14:28.420 --> 00:14:29.540]  between them
[00:14:29.540 --> 00:14:30.940]  這個them是誰呢?
[00:14:30.940 --> 00:14:33.460]  就是哥哥和弟弟
[00:14:33.460 --> 00:14:34.900]  全都分了
[00:14:34.900 --> 00:14:40.700]  將他所有的產業全都分了
[00:14:40.700 --> 00:14:43.900]  他不是說地上的爸爸
[00:14:43.900 --> 00:14:47.780]  這段聖經其實主要是在說天上的爸爸
[00:14:47.780 --> 00:14:50.060]  因為在地上
[00:14:50.060 --> 00:14:53.020]  我相信極少極少
[00:14:53.020 --> 00:14:55.220]  甚至沒有什麼
[00:14:55.220 --> 00:14:56.700]  是這樣的
[00:14:56.700 --> 00:14:59.820]  如果真的發生的時候
[00:14:59.820 --> 00:15:00.860]  你看一看
[00:15:00.860 --> 00:15:02.380]  容易嗎?
[00:15:02.380 --> 00:15:03.860]  分的時候
[00:15:03.860 --> 00:15:05.980]  爸爸,麻煩你搬
[00:15:05.980 --> 00:15:07.780]  就搬出去了
[00:15:07.780 --> 00:15:09.620]  爸爸,你銀行的錢我都要了
[00:15:09.620 --> 00:15:11.940]  你的信用卡你自己都收回了
[00:15:11.940 --> 00:15:13.060]  沒有了
[00:15:13.060 --> 00:15:14.060]  一分錢都沒有了
[00:15:14.060 --> 00:15:17.140]  由頭開始
[00:15:17.140 --> 00:15:18.380]  這個老實說
[00:15:18.380 --> 00:15:21.020]  我想現在一般人不斬他
[00:15:21.020 --> 00:15:22.620]  真是很可笑
[00:15:22.620 --> 00:15:24.260]  但是這個天父
[00:15:24.260 --> 00:15:26.300]  他就是這樣
[00:15:26.300 --> 00:15:27.580]  到底我們今天
[00:15:27.580 --> 00:15:31.660]  會不會是一個有興奮感的人呢?
[00:15:31.660 --> 00:15:32.900]  其實
[00:15:32.900 --> 00:15:34.420]  我們都需要考慮
[00:15:34.420 --> 00:15:38.220]  但是天父就作了最壞的大選
[00:15:38.220 --> 00:15:39.940]  他預了我們
[00:15:39.940 --> 00:15:42.540]  會有興奮感的
[00:15:42.540 --> 00:15:43.620]  第二
[00:15:43.620 --> 00:15:45.220]  我們再看一看
[00:15:45.220 --> 00:15:46.980]  這個小孩
[00:15:46.980 --> 00:15:49.180]  他拿了這些東西
[00:15:49.180 --> 00:15:51.820]  是不是真的叫我們疼愛他呢?
[00:15:51.820 --> 00:15:53.420]  是好呢?
[00:15:53.420 --> 00:15:55.220]  我們看看這個小孩
[00:15:55.220 --> 00:15:57.540]  到底他怎樣做呢?
[00:15:57.540 --> 00:15:59.140]  十三節
[00:15:59.140 --> 00:16:00.660]  到十四節
[00:16:00.660 --> 00:16:02.180]  我們一起讀
[00:16:02.180 --> 00:16:03.860]  「過了不多幾日
[00:16:03.860 --> 00:16:07.540]  小兒子就把他一切所有的都收拾起來
[00:16:07.540 --> 00:16:09.340]  往遠方去了
[00:16:09.340 --> 00:16:11.820]  在那裡任意放蕩
[00:16:11.820 --> 00:16:13.260]  浪費資材
[00:16:13.260 --> 00:16:16.100]  他耗盡了一切所有的
[00:16:16.100 --> 00:16:18.620]  又遇著那地方大遭饑荒
[00:16:18.620 --> 00:16:20.780]  就窮苦起來」
[00:16:20.780 --> 00:16:23.300]  到底我們疼愛我們的子女
[00:16:23.300 --> 00:16:24.460]  他要什麼
[00:16:24.460 --> 00:16:25.740]  我就給什麼
[00:16:25.740 --> 00:16:26.860]  什麼都給
