
[00:00:00.000 --> 00:00:08.440]  各位朋友大家好 我是劉少康牧師陪你談天這個節目的主持人劉牧師
[00:15:32.620 --> 00:15:39.020]  現在現錢幾百萬
[00:15:39.020 --> 00:15:45.420]  擁有過 曾經擁有 玩這個我曾經玩到第幾個level
[00:15:45.420 --> 00:15:51.820]  對對對很高級了 拿很多武器了 我有多少個小三啊
[00:15:52.080 --> 00:15:58.220]  香港有一個什麼浪子啊 好像三百多個女朋友
[00:15:58.220 --> 00:16:04.620]  一天一個 但是他裏面不覺得覺得
[00:16:04.620 --> 00:16:11.020]  很孤單的很孤單 三百多個還覺得孤單
[00:16:11.020 --> 00:16:17.420]  我們相愛的一個老婆已經白頭到老了
[00:16:17.680 --> 00:16:23.820]  所以聖經裏面說啊 你要愛你的妻子啊
[00:16:23.820 --> 00:16:30.220]  要與她一生一世 所以我們通常說一男一女不能男女分開
[00:16:30.220 --> 00:16:36.620]  一男一女 一夫一妻只有一個 然後一生一世
[00:16:36.620 --> 00:16:43.020]  是那個什麼11月11號光棍節
[00:16:43.280 --> 00:16:49.420]  夫妻節 所以香港有很多機構就推動那個夫妻的關係
[00:16:49.420 --> 00:16:55.820]  因爲你光棍就是表明你心裏面很苦悶
[00:16:55.820 --> 00:17:02.220]  我很慘 所以要儘量的購物 現在其實就11月11號
[00:17:02.220 --> 00:17:08.620]  變成購物節了 另外一種成立了 客戶成立
[00:17:08.880 --> 00:17:15.020]  那個網上購物真的很厲害 完全是網上的
[00:17:15.020 --> 00:17:21.420]  人預言了以後那個百貨公司可以關門 沒有人走去
[00:17:21.420 --> 00:17:27.820]  看櫥窗了 完全是網上看的嘛 網上看了選顏色選尺寸
[00:17:27.820 --> 00:17:34.220]  然後他就寄到你家裏來了 出地
[00:17:34.480 --> 00:17:40.620]  不需要邏輯付錢 都是信用卡
[00:17:40.620 --> 00:17:44.720]  所有成立的行爲在精神病的分類
[00:17:44.720 --> 00:17:51.120]  也許就是自我控制能力的失調
[00:17:51.120 --> 00:17:57.520]  自我控制能力的失調 我控制不了自己嗎 甚至變成精神病
[00:17:57.520 --> 00:18:03.920]  成立在這個規律裏面 沒有辦法控制嗎
[00:18:04.180 --> 00:18:10.320]  我真的要從哪錢來買 我現在沒有了嗎 最少停下來
[00:18:10.320 --> 00:18:16.720]  網上一面暗 一面暗 沒止頂了 我也不曉得花了多少錢
[00:18:16.720 --> 00:18:23.120]  反正就拼命按了 你看你在賭場裏面
[00:18:23.120 --> 00:18:29.520]  所有錢輸掉了 邏輯就有人問你借不借錢
[00:18:29.780 --> 00:18:35.920]  它無限的供應 它沒有想過你沒錢怎麼賠
[00:18:35.920 --> 00:18:42.320]  根本不理你 因爲以後都不需要你來賠
[00:18:42.320 --> 00:18:48.720]  周圍的朋友家人要賠啊 邏輯就見你了
[00:18:48.720 --> 00:18:55.120]  他的邏輯滿足了他的衝動嗎 因爲他很少把輸掉的錢
[00:18:55.380 --> 00:19:01.520]  他只是記得我贏過 從來不會記得他輸掉了多少
[00:19:01.520 --> 00:19:07.920]  那太好了 今天是新春的時候
[00:19:07.920 --> 00:19:14.320]  能夠跟屈博士談天 太開心了 所以相信各位也從剛纔的談話
[00:19:14.320 --> 00:19:20.720]  裏面學到很多東西了 所以請各位多介紹朋友收看這個節目
[00:19:20.980 --> 00:19:27.120]  劉少康博士陪你談天 謝謝你屈博士 以後我們再談其他節目
[00:19:27.120 --> 00:19:33.520]  謝謝 新年快樂
