
[00:00:00.000 --> 00:00:06.080]  好 彼得就指出我們的信仰並不是帶給我們事事亨通的
[00:03:40.760 --> 00:03:44.260]  但是這個杯 原來你看看聖經 特別是在詩篇
[00:03:44.260 --> 00:03:49.260]  在舊約裡面 這個杯是指到刑罰 是指到審判
[00:03:49.260 --> 00:03:52.360]  就是神說如果可以的時候 求你將這個審判
[00:03:52.360 --> 00:03:54.160]  叫我不需要去面對
[00:03:54.160 --> 00:03:55.960]  耶穌基督也有掙扎
[00:03:55.960 --> 00:03:59.660]  他也跟門徒說 我現在心裡面很恐懼
[00:03:59.660 --> 00:04:02.260]  你們來為我去禱告吧
[00:04:02.260 --> 00:04:09.660]  因為耶穌知道那個刑罰釘十字架是非常非常的殘酷
[00:04:09.660 --> 00:04:11.860]  身體會受到很大的折磨
[00:04:11.860 --> 00:04:15.660]  不要忘記 那些手和腳是被釘穿的
[00:04:15.660 --> 00:04:19.360]  記住 那時候是釘十字架 不是釘手掌的
[00:04:19.360 --> 00:04:23.760]  因為手掌的肉很薄 就會撕裂的
[00:04:23.760 --> 00:04:26.060]  所以釘在手腕上
[00:04:26.060 --> 00:04:28.360]  釘在手腕上和釘在腳上
[00:04:28.360 --> 00:04:31.060]  血就慢慢慢慢流出來
[00:04:31.060 --> 00:04:33.560]  還有因為剝開兩隻手
[00:04:33.560 --> 00:04:35.860]  那你現在試試剝開兩隻手
[00:04:35.860 --> 00:04:40.160]  你有沒有發覺你的胸骨是壓住的
[00:04:40.160 --> 00:04:42.260]  所以當他們釘十字架的時候
[00:04:42.260 --> 00:04:47.860]  手被釘 而身體向前有俯前
[00:04:47.860 --> 00:04:51.160]  那個肋骨就會壓住肺
[00:04:51.160 --> 00:04:54.060]  所以呼吸是很困難的
[00:04:54.060 --> 00:04:58.960]  雖然他知道自己一定會復活
[00:04:58.960 --> 00:05:02.060]  但是肉體仍然會受苦的
[00:05:02.060 --> 00:05:03.960]  很簡單舉一個例子
[00:05:03.960 --> 00:05:06.960]  我不知道你怕不怕看醫生
[00:05:06.960 --> 00:05:10.060]  平時你感冒看醫生是沒有問題的
[00:05:10.060 --> 00:05:12.560]  我最怕看哪一種醫生呢
[00:05:12.560 --> 00:05:14.360]  是看牙醫
[00:05:14.360 --> 00:05:18.360]  哇 第一 當你要剝牙的時候
[00:05:18.360 --> 00:05:22.160]  打針下去是會令到很痛的
[00:05:22.160 --> 00:05:25.960]  或者你要去洗牙 磨牙的時候
[00:05:25.960 --> 00:05:28.260]  是痛得很厲害的
[00:05:28.260 --> 00:05:29.960]  我很害怕 很害怕的
[00:05:29.960 --> 00:05:31.860]  就是你去看牙醫的時候
[00:05:31.860 --> 00:05:34.060]  所以你會留意到
[00:05:34.060 --> 00:05:36.260]  我們被針刺下去
[00:05:36.260 --> 00:05:39.360]  打麻醉針我們都會覺得很痛的時候
[00:05:39.360 --> 00:05:43.260]  何況那眼釘釘穿我的手腕
[00:05:43.260 --> 00:05:45.560]  是不是更加痛呢
[00:05:45.560 --> 00:05:48.160]  但是當冰釘抓住他的時候
[00:05:48.160 --> 00:05:50.560]  比德曾經 記住
[00:05:50.560 --> 00:05:53.660]  守直門徒比德有匹夫之勇
[00:05:53.660 --> 00:05:55.960]  他說要保護主耶穌
[00:05:55.960 --> 00:05:57.860]  主耶穌是阻止他的
[00:05:57.860 --> 00:06:03.360]  他甚至用一把刀去削大祭司那個僕人的耳朵
[00:06:03.360 --> 00:06:06.160]  但是比德他這樣做的時候
[00:06:06.160 --> 00:06:07.660]  主耶穌說 不是的
[00:06:07.660 --> 00:06:08.860]  其實不是這幫人抓我
[00:06:08.860 --> 00:06:10.560]  是我自己自願的
[00:06:10.560 --> 00:06:12.260]  好 我們看看馬太福音
[00:06:12.260 --> 00:06:15.160]  第26章第53節 好嗎
[00:06:15.160 --> 00:06:17.460]  你想我不能求我父
[00:06:17.460 --> 00:06:21.460]  現在為我差遣十字營多天子來嗎
[00:06:21.460 --> 00:06:24.660]  他說如果真是有需要
[00:06:24.660 --> 00:06:29.360]  天父會差遣很多的天使天君來保護耶穌
[00:06:29.360 --> 00:06:32.660]  所以不是那些羅馬兵丁去抓耶穌
[00:06:32.660 --> 00:06:34.960]  是耶穌自己甘心情願的
[00:06:34.960 --> 00:06:37.560]  為我們走上十字街的道路
[00:06:37.560 --> 00:06:42.260]  好了 我們這些因為他受苦的功效
[00:06:42.260 --> 00:06:43.860]  而屬於他的人
[00:06:43.860 --> 00:06:45.560]  是他的跟隨者
[00:06:45.560 --> 00:06:48.460]  難道我們不應該好好地學習他嗎
[00:06:48.460 --> 00:06:49.660]  這個是很重要的
[00:06:49.660 --> 00:06:51.560]  好了 你留意
[00:06:51.560 --> 00:06:55.860]  比德不是叫我們一定要肉身受苦
[00:06:55.860 --> 00:06:57.960]  記不記得
[00:06:57.960 --> 00:07:01.360]  有些國家 比如菲律賓很流行的
[00:07:01.360 --> 00:07:03.860]  到了受苦節的時候
[00:07:03.860 --> 00:07:06.160]  有些人出來扮耶穌
[00:07:06.160 --> 00:07:09.860]  然後真是用荊棘戴在頭上
[00:07:09.860 --> 00:07:11.360]  揹著十字架
[00:07:11.360 --> 00:07:13.860]  甚至有人來打他
[00:07:13.860 --> 00:07:16.860]  來重演耶穌被釘十字架
[00:07:16.860 --> 00:07:18.260]  而這些人這樣做的時候
[00:07:18.260 --> 00:07:21.060]  也是期望因為我身體受苦
[00:07:21.060 --> 00:07:23.560]  於是神你就會歡喜了
[00:07:23.560 --> 00:07:26.060]  你就赦免我的罪
[00:07:26.060 --> 00:07:28.360]  其實這些受苦
[00:07:28.360 --> 00:07:31.260]  對我們跟罪惡的斷絕
[00:07:31.260 --> 00:07:33.760]  是沒有什麼關係的
[00:07:33.760 --> 00:07:36.160]  那時候他指出的是什麼呢
[00:07:36.160 --> 00:07:39.660]  是「受苦的心」字
[00:07:39.660 --> 00:07:42.160]  不一定要受苦
[00:07:42.160 --> 00:07:45.160]  但是要具備這個受苦的心
[00:07:45.160 --> 00:07:49.160]  肉身的受苦並沒有隨罪的功效
[00:07:49.160 --> 00:07:50.960]  所以千萬不要想著
[00:07:50.960 --> 00:07:53.660]  我如何去複代我的身體
[00:07:53.660 --> 00:07:55.660]  那就可以隨罪了
[00:07:55.660 --> 00:07:58.560]  就好像當日那些假先知
[00:07:58.560 --> 00:07:59.660]  拜巴力
[00:07:59.660 --> 00:08:03.260]  你記不記得在列王記那裡
[00:08:03.260 --> 00:08:06.960]  以利亞跟那些假先知在監獄裡面鬥法
[00:08:06.960 --> 00:08:09.460]  那些巴力阿舍拉先知
[00:08:09.460 --> 00:08:11.460]  不斷地呼求那些假神
[00:08:11.460 --> 00:08:13.660]  巴力降火不行的時候他做什麼
[00:08:13.660 --> 00:08:15.660]  找刀來劃自己
[00:08:15.660 --> 00:08:17.360]  按照他們的規矩
[00:08:17.360 --> 00:08:18.560]  搞到流血
[00:08:18.560 --> 00:08:20.960]  他們認為這樣就可以討神的喜悅
[00:08:20.960 --> 00:08:24.460]  身體是神所賦予給我們的
[00:08:24.460 --> 00:08:28.160]  所以我們絕對不可以去毀壞這個身體
[00:08:28.160 --> 00:08:31.160]  所以肉身的受苦
[00:08:31.160 --> 00:08:31.960]  我再說
[00:08:31.960 --> 00:08:34.260]  是沒有隨罪的功效的
[00:08:34.260 --> 00:08:37.960]  但是因為有這個受苦的心智
[00:08:37.960 --> 00:08:40.460]  如果我們面對誘惑
[00:08:40.460 --> 00:08:42.360]  面對試探
[00:08:42.360 --> 00:08:44.860]  我們是可以拒絕的
[00:08:44.860 --> 00:08:46.260]  為什麼
[00:08:46.260 --> 00:08:48.060]  因為罪惡
[00:08:48.060 --> 00:08:51.360]  是會帶來片刻的寬容
[00:08:51.360 --> 00:08:53.760]  會使我們走在直徑
[00:08:53.760 --> 00:08:55.560]  可以得到好處的
[00:08:55.560 --> 00:08:56.560]  很簡單舉個例子
[00:08:56.560 --> 00:08:57.760]  我沒有吃過
[00:08:57.760 --> 00:08:59.060]  拍小丸子
[00:08:59.060 --> 00:09:00.360]  就是
[00:09:00.360 --> 00:09:01.160]  的時候
[00:09:01.160 --> 00:09:02.560]  說你拍完之後
[00:09:02.560 --> 00:09:03.860]  可能很興奮的
[00:09:03.860 --> 00:09:05.560]  很興奮的
[00:09:05.560 --> 00:09:08.160]  好像很興奮的那樣
[00:09:08.160 --> 00:09:10.060]  有些人喝酒
[00:09:10.060 --> 00:09:11.460]  有些人喝酒的時候
[00:09:11.460 --> 00:09:13.460]  我就不懂得喝酒的
[00:09:13.460 --> 00:09:14.760]  但是我的家人
[00:09:14.760 --> 00:09:17.260]  都叫我試試喝酒的
[00:09:18.260 --> 00:09:19.760]  為什麼呢
[00:09:19.760 --> 00:09:21.660]  我記得很多年前
[00:09:21.660 --> 00:09:23.160]  我去瑞士的時候
[00:09:23.160 --> 00:09:25.360]  進去住那些青年女社
[00:09:25.360 --> 00:09:27.160]  已經很熱了
[00:09:27.160 --> 00:09:28.360]  但是
[00:09:28.360 --> 00:09:29.760]  沒有水喝
[00:09:29.760 --> 00:09:33.560]  喝了一半的啤酒
[00:09:33.560 --> 00:09:35.460]  晚上又吃瑞士火鍋
[00:09:35.460 --> 00:09:36.860]  原來又有酒的
[00:09:36.860 --> 00:09:37.860]  我之後突然之間
[00:09:37.860 --> 00:09:39.660]  我的腦袋
[00:09:39.660 --> 00:09:41.460]  反應很慢
[00:09:41.460 --> 00:09:43.060]  沒什麼想到的
[00:09:43.060 --> 00:09:43.560]  我死了
[00:09:43.560 --> 00:09:45.460]  我的腦袋突然間空了
[00:09:45.460 --> 00:09:46.160]  我的家人就說
[00:09:46.160 --> 00:09:47.560]  不如你多喝點酒
[00:09:47.560 --> 00:09:48.960]  因為我經常在想事情
[00:09:48.960 --> 00:09:50.560]  所以
[00:09:50.560 --> 00:09:51.360]  有時候
[00:09:51.360 --> 00:09:54.060]  肉體上的寬鬆
[00:09:54.060 --> 00:09:55.760]  甚至有些人
[00:09:55.760 --> 00:09:58.160]  他們為了賺快錢
[00:09:58.160 --> 00:10:00.960]  就去放棄自己的貞操
[00:10:00.960 --> 00:10:02.360]  可以
[00:10:02.360 --> 00:10:04.760]  去賺到不少錢的
[00:10:04.760 --> 00:10:06.860]  有很多未成年的少女
[00:10:06.860 --> 00:10:08.860]  是甘心樂意地
[00:10:08.860 --> 00:10:10.760]  去出賣自己的
[00:10:10.760 --> 00:10:13.560]  以前人們說逼糧為娼
[00:10:13.560 --> 00:10:15.060]  現在有些社工
[00:10:15.060 --> 00:10:16.760]  逼娼為糧
[00:10:16.760 --> 00:10:18.960]  但是這些人
[00:10:18.960 --> 00:10:20.760]  有時候就以為
[00:10:20.760 --> 00:10:22.960]  很快賺到錢
[00:10:22.960 --> 00:10:24.260]  但是
[00:10:24.260 --> 00:10:25.660]  當他長大了一點
[00:10:25.660 --> 00:10:27.660]  去想到的時候
[00:10:27.660 --> 00:10:28.660]  他就會知道
[00:10:28.660 --> 00:10:29.860]  很痛苦
[00:10:29.860 --> 00:10:32.560]  甚至有些事情是補償不了的
[00:10:32.560 --> 00:10:34.860]  不要忘記
[00:10:34.860 --> 00:10:37.260]  魔鬼
[00:10:37.260 --> 00:10:40.060]  往往
[00:10:40.060 --> 00:10:42.160]  就會來帶去怎麼樣呢
[00:10:42.160 --> 00:10:43.760]  用這些誘惑
[00:10:43.760 --> 00:10:45.460]  來帶去使得人
[00:10:45.460 --> 00:10:47.260]  比如他用苦難
[00:10:47.260 --> 00:10:50.760]  使人質疑神是否愛他
[00:10:50.760 --> 00:10:54.360]  使人為了享受而放棄原則
[00:10:54.360 --> 00:10:55.560]  正如
[00:10:55.560 --> 00:10:58.360]  魔鬼曾經叫耶穌
[00:10:58.360 --> 00:11:00.460]  從墊頂跳下來
[00:11:00.460 --> 00:11:03.460]  為什麼魔鬼叫耶穌從墊頂跳下來
[00:11:03.460 --> 00:11:05.660]  就是給耶穌走一條捷徑
[00:11:05.660 --> 00:11:08.460]  如果在聖殿裡很多人圍觀著
[00:11:08.460 --> 00:11:10.360]  耶穌從墊頂這麼高
[00:11:10.360 --> 00:11:11.560]  跳下來
[00:11:11.560 --> 00:11:13.160]  但是都沒事的時候
[00:11:13.160 --> 00:11:15.560]  那些人就會跟著拜祭祂
[00:11:15.560 --> 00:11:17.860]  祂就不用走十字界的路了
[00:11:17.860 --> 00:11:19.360]  然後記不記得
[00:11:19.360 --> 00:11:22.560]  魔鬼又帶耶穌上山上面
[00:11:22.560 --> 00:11:26.060]  看到世界和萬國的榮耀
[00:11:26.060 --> 00:11:28.560]  那時候只要你拜一拜我的時候
[00:11:28.560 --> 00:11:32.960]  那你就可以得到這些好處了
[00:11:32.960 --> 00:11:36.660]  你有沒有留意耶穌沒有說你行不行
[00:11:36.660 --> 00:11:38.160]  某個程度耶穌承認
[00:11:38.160 --> 00:11:40.360]  當你拜魔鬼的時候
[00:11:40.360 --> 00:11:42.160]  你是會得到權力
[00:11:42.160 --> 00:11:43.760]  得到錢的
[00:11:43.760 --> 00:11:46.960]  但是主耶穌很清楚拒絕
[00:11:46.960 --> 00:11:49.860]  祂說只可以來敬拜主我們的神
[00:11:49.860 --> 00:11:51.060]  那這一個
[00:11:51.060 --> 00:11:54.060]  在山上面看到世界和萬國的榮耀
[00:11:54.060 --> 00:11:57.860]  我們後人稱那個山為試探山
[00:11:57.860 --> 00:11:59.960]  我曾經問別人
[00:11:59.960 --> 00:12:02.060]  我不知道大家知不知道在香港裡面
[00:12:02.060 --> 00:12:03.760]  都有一個試探山
[00:12:03.760 --> 00:12:05.760]  知不知道在哪裡
[00:12:05.760 --> 00:12:07.060]  有些人說在太平山
[00:12:07.060 --> 00:12:07.960]  不是的
[00:12:07.960 --> 00:12:11.460]  這個試探山是在紅磡火車站對出的
[00:12:11.460 --> 00:12:12.560]  因為高高地
[00:12:12.560 --> 00:12:14.660]  你看下去下面你見到什麼
[00:12:14.660 --> 00:12:16.960]  你見到世界和萬國
[00:12:16.960 --> 00:12:18.260]  不過是被你警醒
[00:12:18.260 --> 00:12:19.460]  就是殯儀館
[00:12:19.460 --> 00:12:22.160]  有個世界殯儀館和萬國殯儀館的
[00:12:22.160 --> 00:12:23.060]  好了
[00:12:23.060 --> 00:12:26.560]  聖經裡面也看得很清楚
[00:12:26.560 --> 00:12:28.960]  主耶穌曾經講殺種的比喻
[00:12:28.960 --> 00:12:31.860]  就講到有些人是為了錢
[00:12:31.860 --> 00:12:34.760]  而放棄了他們的信仰
[00:12:34.760 --> 00:12:39.560]  我們看看馬太福音第13章的第22節
[00:12:39.560 --> 00:12:42.760]  「殺在天的裡的就是人聽了道
[00:12:42.760 --> 00:12:44.560]  後來有世上的思慮
[00:12:44.560 --> 00:12:46.960]  錢財的謎話把道篩住了
[00:12:46.960 --> 00:12:48.560]  不能絕實」
[00:12:48.560 --> 00:12:50.960]  就是說有些人是為了
[00:12:50.960 --> 00:12:53.260]  世上的那些財物
[00:12:53.260 --> 00:12:55.460]  為了這些的享受
[00:12:55.460 --> 00:12:57.160]  於是慢慢慢慢
[00:12:57.160 --> 00:12:59.960]  這個道就不能夠成長了
[00:12:59.960 --> 00:13:01.660]  自己很深的感受
[00:13:01.660 --> 00:13:05.860]  上幾個星期在Posma那裡
[00:13:05.860 --> 00:13:07.960]  我們去吃東西的時候
[00:13:07.960 --> 00:13:10.260]  就去到一個中國的餐館
[00:13:10.260 --> 00:13:12.360]  也是告訴我們
[00:13:12.360 --> 00:13:13.260]  他們介紹
[00:13:13.260 --> 00:13:16.560]  其實那個負責人曾經回到教會
[00:13:16.560 --> 00:13:18.160]  不過現在為了做生意
[00:13:18.160 --> 00:13:19.860]  就沒有回到教會了
[00:13:19.860 --> 00:13:23.260]  我這個星期剛好去了英國另一個城市
[00:13:23.260 --> 00:13:24.560]  也是同樣
[00:13:24.560 --> 00:13:27.560]  就是有人帶我去一個中國餐館裡面
[00:13:27.560 --> 00:13:28.960]  就是吃午餐
[00:13:28.960 --> 00:13:30.460]  然後才去港島
[00:13:30.460 --> 00:13:31.860]  也告訴我
[00:13:31.860 --> 00:13:35.260]  老闆和老闆娘是信耶穌的
[00:13:35.260 --> 00:13:37.260]  不過現在開了店
[00:13:37.260 --> 00:13:41.460]  星期天都仍然是要營業
[00:13:41.460 --> 00:13:43.860]  所以就沒有再回教會了
[00:13:43.860 --> 00:13:44.660]  看到沒有
[00:13:44.660 --> 00:13:46.460]  原來這個世界裡面
[00:13:46.460 --> 00:13:48.160]  有很多很多人
[00:13:48.160 --> 00:13:50.360]  就是為了賺錢
[00:13:50.360 --> 00:13:51.560]  而慢慢慢慢
[00:13:51.560 --> 00:13:54.360]  將這個信仰放在一旁
[00:13:54.360 --> 00:13:56.660]  我再說他們不是沒有收入
[00:13:56.660 --> 00:13:58.260]  他們的收入都不錯的
[00:13:58.260 --> 00:13:59.760]  但是他們覺得這個星期天
[00:13:59.760 --> 00:14:02.160]  是一個賺錢的黃金時間
[00:14:02.160 --> 00:14:05.560]  所以就寧願放棄了這個慶拜
[00:14:05.560 --> 00:14:08.160]  所以今天
[00:14:08.160 --> 00:14:10.960]  我們要有受苦的心智
[00:14:10.960 --> 00:14:14.360]  那就可以抗拒那個誘惑
[00:14:14.360 --> 00:14:15.860]  就舉了另一個例子
[00:14:15.860 --> 00:14:17.160]  就是摩西
[00:14:17.160 --> 00:14:18.160]  我們看看
[00:14:18.160 --> 00:14:19.360]  希伯來書
[00:14:19.360 --> 00:14:22.560]  第11章第25節好不好
[00:14:22.560 --> 00:14:26.260]  阿寧可和臣的百姓同受苦害
[00:14:26.260 --> 00:14:29.860]  也不願暫時享受聚中之樂
[00:14:29.860 --> 00:14:31.160]  這裡特別強調
[00:14:31.160 --> 00:14:34.360]  在犯罪裡面都有樂趣的
[00:14:34.360 --> 00:14:37.260]  摩西原本是埃及的王子
[00:14:37.260 --> 00:14:38.660]  後來他自己
[00:14:38.660 --> 00:14:41.260]  寧願和自己的百姓認同
[00:14:41.260 --> 00:14:43.160]  那時候後來他就放棄了
[00:14:43.160 --> 00:14:44.860]  這個榮耀的身份
[00:14:44.860 --> 00:14:47.160]  他不享受聚中之樂
[00:14:47.160 --> 00:14:49.360]  那他怎麼做呢
[00:14:49.360 --> 00:14:52.360]  就去為神擺上
[00:14:52.360 --> 00:14:53.560]  所以我們不能夠
[00:14:53.560 --> 00:14:55.560]  勝過苦難的原因
[00:14:55.560 --> 00:14:57.660]  不是我們沒有這種力量
[00:14:57.660 --> 00:15:01.860]  而是我們沒有了受苦的心智
[00:15:01.860 --> 00:15:05.560]  甚至我見過有一些傳道人
[00:15:05.560 --> 00:15:07.760]  他做了傳道之後
[00:15:07.760 --> 00:15:10.960]  他就放棄了做傳道的工作
[00:15:10.960 --> 00:15:13.360]  在侍奉的路上退了下來
[00:15:13.360 --> 00:15:15.860]  就是怕了
[00:15:15.860 --> 00:15:17.660]  怕受苦的心智
[00:15:17.660 --> 00:15:20.660]  當年我做銘恩堂堂主任的時候
[00:15:20.660 --> 00:15:22.760]  都有一些的神學生
[00:15:22.760 --> 00:15:27.260]  是不夠膽去銘恩堂侍奉的
[00:15:27.260 --> 00:15:29.060]  因為他們聽到
[00:15:29.060 --> 00:15:30.260]  其實這個謠傳
[00:15:30.260 --> 00:15:33.860]  去到銘恩堂是要做很多事情的
[00:15:33.860 --> 00:15:34.960]  很真實
[00:15:34.960 --> 00:15:35.960]  我自己做堂主任
[00:15:35.960 --> 00:15:37.560]  我都很清楚知道
[00:15:37.560 --> 00:15:38.860]  原來神學生
[00:15:38.860 --> 00:15:41.060]  只可以做兩樣的工作
[00:15:41.060 --> 00:15:42.760]  可能是做團體
[00:15:42.760 --> 00:15:44.160]  一個團體的導師
[00:15:44.160 --> 00:15:45.660]  或者教一班主學
[00:15:45.660 --> 00:15:47.560]  是不會給你做很多事情的
[00:15:47.560 --> 00:15:49.360]  但是傳出來就是說
[00:15:49.360 --> 00:15:52.760]  那個要求
[00:15:52.760 --> 00:15:54.960]  或者那個工作量是很多的
[00:15:54.960 --> 00:15:56.760]  他們寧願不來了
[00:15:56.760 --> 00:15:58.160]  所以你留意到
[00:15:58.160 --> 00:15:59.660]  有時候有些人
[00:15:59.660 --> 00:16:01.560]  就是怕受苦
[00:16:01.560 --> 00:16:03.260]  不想衛生
[00:16:03.260 --> 00:16:05.760]  於是就會有這個軟弱
[00:16:05.760 --> 00:16:07.360]  這一節很清楚說
[00:16:07.360 --> 00:16:10.660]  是以受苦的心智作為兵器
[00:16:10.660 --> 00:16:14.560]  兵器這個字原文就是武裝起來的意思
[00:16:14.560 --> 00:16:17.260]  這個都是保羅常用的字眼
[00:16:17.260 --> 00:16:19.660]  這裡顯示我們面對的一場什麼呢
[00:16:19.660 --> 00:16:21.360]  就是屬靈的爭戰
[00:16:21.360 --> 00:16:25.260]  受苦對我們是有積極的意義
[00:16:25.260 --> 00:16:27.460]  對我們有一定的好處
[00:16:27.460 --> 00:16:30.260]  所以我們不是很無奈地
[00:16:30.260 --> 00:16:31.260]  沒辦法啦
[00:16:31.260 --> 00:16:32.360]  逼到過來
[00:16:32.360 --> 00:16:33.760]  捱就捱囉
[00:16:33.760 --> 00:16:36.260]  就要去忍受囉
[00:16:36.260 --> 00:16:38.960]  那就盼望夜盡天明
[00:16:38.960 --> 00:16:40.560]  那就算了
[00:16:40.560 --> 00:16:43.560]  原來彼得教導我們
[00:16:43.560 --> 00:16:45.760]  我們是以一個積極
[00:16:45.760 --> 00:16:48.560]  樂觀的心去面對的
[00:16:48.560 --> 00:16:49.960]  因為心知道
[00:16:49.960 --> 00:16:52.460]  神不會讓我們經歷一些
[00:16:52.460 --> 00:16:54.560]  完全沒有意義
[00:16:54.560 --> 00:16:59.060]  就是對我們沒有正面作用的苦難
[00:16:59.060 --> 00:17:01.560]  如果不是因為我們犯罪
[00:17:01.560 --> 00:17:05.160]  而我們無端端遇到一些苦難的時候
[00:17:05.160 --> 00:17:09.060]  我很相信背後有神祂自己的安排
[00:17:09.060 --> 00:17:11.860]  有神祂自己的計劃在當中
[00:17:11.860 --> 00:17:16.060]  所以受苦並非有隨罪的功效
[00:17:16.060 --> 00:17:19.060]  但是如果我甘願為主受苦的結果
[00:17:19.060 --> 00:17:23.460]  就是說我即時跟罪來帶去停止交往
[00:17:23.460 --> 00:17:28.560]  罪的引誘力就是產生不了作用
[00:17:28.560 --> 00:17:33.660]  耶穌基督並沒有服在罪惡的引誘
[00:17:33.660 --> 00:17:35.160]  挑戰底下
[00:17:35.160 --> 00:17:37.660]  甚至在凌辱底下屈服
[00:17:37.660 --> 00:17:42.360]  祂更加沒有服在這些邪惡的權勢底下
[00:17:42.360 --> 00:17:44.160]  在十字架上得勝
[00:17:44.160 --> 00:17:48.760]  宣告罪惡向著祂是無能為力的
[00:17:48.760 --> 00:17:51.760]  所以我們應該同樣跟罪來斷絕
[00:17:51.760 --> 00:17:56.460]  我們再看《彼得前書》第四章第一到第二節
[00:17:56.460 --> 00:17:57.860]  裡面的第二節
[00:17:57.860 --> 00:17:59.560]  我們今天讀第二節好不好
[00:17:59.560 --> 00:18:13.960]  今天我們看到有受苦的心智可以抗拒誘惑
[00:18:13.960 --> 00:18:17.160]  但是我們看到有很多人說自己是基督徒
