
[00:00:00.000 --> 00:00:07.400]  我們上個禮拜講到說 保羅為菲律賓教會禱告最重要的一件事情是什麼
[00:06:34.220 --> 00:06:37.540]  好了 不要說你不要 OK
[00:06:37.540 --> 00:06:39.340]  也不要說全世界好了
[00:06:39.340 --> 00:06:41.980]  給你一百萬美金要不要
[00:06:41.980 --> 00:06:44.700]  要
[00:06:44.700 --> 00:06:54.820]  但是如果給你一百萬的人說 把你的命給我
[00:06:54.820 --> 00:07:00.140]  耶穌在那邊點出一個 什麼是最重要的 是不是
[00:07:00.140 --> 00:07:06.020]  耶穌說 人若賺得了全世界 賠上了自己的生命
[00:07:06.020 --> 00:07:13.140]  有什麼益處呢 人還能拿什麼來換生命呢
[00:07:13.140 --> 00:07:20.500]  其實耶穌講到那個生命是什麼
[00:07:20.500 --> 00:07:26.100]  那個生命是一個永恆的生命 是一個Eternal life
[00:07:26.100 --> 00:07:27.900]  所以加六字配
[00:07:27.900 --> 00:07:31.740]  今天我剛才的問話我重新來問了
[00:07:31.740 --> 00:07:34.180]  如果說今天要給你一百萬美金
[00:07:34.180 --> 00:07:38.980]  但是同時要你選擇一百萬美金還是永生
[00:07:38.980 --> 00:07:45.700]  請問你要哪一個 永生
[00:07:45.700 --> 00:07:51.220]  真的嗎
[00:07:51.220 --> 00:07:54.580]  還是你說 我兩個都要
[00:07:54.580 --> 00:07:56.140]  現在劉子梅
[00:07:56.140 --> 00:07:59.820]  你會發現今天很多的人拼命的在那邊追求
[00:07:59.820 --> 00:08:02.940]  拼命在那邊賺錢 拼命在那邊想辦法怎麼樣子
[00:08:02.940 --> 00:08:05.020]  更多更多更多 是不是
[00:08:05.020 --> 00:08:09.420]  他不是要愛心更多 他也不是要能夠分辨是非
[00:08:09.420 --> 00:08:13.300]  他要的是更多的這個世界上的財富
[00:08:13.300 --> 00:08:16.540]  但是耶穌提到 人若賺得全世界
[00:08:16.540 --> 00:08:21.740]  卻吃掉了自己的生命 有什麼益處呢
[00:08:21.740 --> 00:08:24.340]  保羅同樣也講了類似的話
[00:08:24.340 --> 00:08:26.860]  保羅在大法社預建組織後
[00:08:26.860 --> 00:08:30.140]  他就整個人生改變了
[00:08:30.140 --> 00:08:34.500]  所以在菲律賓書第三章第八節
[00:08:34.500 --> 00:08:38.700]  保羅說我因我以認識我主基督耶穌為自保
[00:08:38.700 --> 00:08:42.460]  為為他已經丟棄萬事 看作憤途
[00:08:42.460 --> 00:08:47.620]  為要得著基督
[00:08:47.620 --> 00:08:50.860]  那請問這位保羅說丟棄萬事
[00:08:50.860 --> 00:08:57.300]  萬事跟這個耶穌做比對比 是不是
[00:08:57.300 --> 00:09:02.820]  萬事丟棄了
[00:09:02.820 --> 00:09:06.260]  得著什麼 基督了
[00:09:06.260 --> 00:09:09.980]  對他來講基督是什麼 自保
[00:09:09.980 --> 00:09:13.580]  自保是什麼意思 最寶貴的
[00:09:13.580 --> 00:09:16.980]  沒有任何的人事物可以比他更寶貴 對不對
[00:09:16.980 --> 00:09:24.900]  那請問你信了耶穌 你認為耶穌是自保嗎
[00:09:24.900 --> 00:09:30.020]  那好 下禮拜不要多
[00:09:30.020 --> 00:09:33.940]  從下禮拜開始每次主入崇拜
[00:09:33.940 --> 00:09:39.620]  提早五分鐘來
[00:09:39.620 --> 00:09:42.900]  Come on 真的
[00:09:42.900 --> 00:09:49.140]  如果說今天周杰倫要來這邊主日見證
[00:09:49.140 --> 00:09:52.380]  我知道你們有些人不會稀奇
[00:09:52.380 --> 00:09:55.780]  年輕的一定會很想 想不想來
[00:09:55.780 --> 00:10:05.060]  會不會提早來
[00:10:05.060 --> 00:10:10.540]  前六十年為什麼你要提早來
[00:10:10.540 --> 00:10:15.980]  因為你想要來看誰 周杰倫
[00:10:15.980 --> 00:10:23.940]  前六十年每一個禮拜天你想來看誰 葛木斯
[00:10:23.940 --> 00:10:26.260]  每一個禮拜天我們來這邊敬拜誰
[00:10:26.260 --> 00:10:29.180]  敬拜神 敬拜主 對不對
[00:10:29.180 --> 00:10:30.900]  所以親愛的丟子妹
[00:10:30.900 --> 00:10:33.220]  如果我們說耶穌基督是自保的話
[00:10:33.220 --> 00:10:39.140]  那你應該要早點來 是不是
[00:10:39.140 --> 00:10:42.220]  親愛的丟子妹
[00:10:42.220 --> 00:10:45.620]  所以其實我們裡面的心到底如何
[00:10:45.620 --> 00:10:49.300]  有的時候我們自己都不知道
[00:10:49.300 --> 00:10:52.300]  所以保羅說他得著了耶穌基督為自保
[00:10:52.300 --> 00:10:57.660]  為他丟棄了萬事 如同糞土
[00:10:57.660 --> 00:11:02.620]  我們都知道那個鐵達尼號 鐵達尼克
[00:11:02.620 --> 00:11:07.420]  這個故事可以電影看過了
[00:11:07.420 --> 00:11:15.300]  然後很多人記得最多的就是那個叫做什麼
[00:11:15.300 --> 00:11:20.180]  那個主角叫什麼 傑克是不是
[00:11:20.180 --> 00:11:23.540]  女的叫什麼 Rose
[00:11:23.540 --> 00:11:26.420]  你看大家這麼多年看過了
[00:11:26.420 --> 00:11:29.020]  只記得傑克跟Rose
[00:11:29.020 --> 00:11:34.940]  好 我今天跟你講一個鐵達尼號的另外一個故事
[00:11:34.940 --> 00:11:39.940]  完全跟他們兩個沒關係
[00:11:39.940 --> 00:11:44.060]  當這個鐵達尼號要乘船的時候
[00:11:44.060 --> 00:11:47.420]  有一個很有錢的太太
[00:11:47.420 --> 00:11:52.260]  她已經被安排到一艘救生船上面
[00:11:52.260 --> 00:11:56.420]  然後就有這個水手來宣佈說
[00:11:56.420 --> 00:12:03.100]  他說還有三分鐘救生艇才會救下來 才會放下來
[00:12:03.100 --> 00:12:05.900]  就在這個三分鐘的時間
[00:12:05.900 --> 00:12:11.820]  她就趕快跑回自己的房間去拿東西
[00:12:11.820 --> 00:12:15.580]  那很多人跟她一起的那些同船的人
[00:12:15.580 --> 00:12:17.260]  大家都知道她很有錢
[00:12:17.260 --> 00:12:18.460]  所以大家都在猜
[00:12:18.460 --> 00:12:25.620]  她一定是去拿什麼重要的金子 珠寶什麼
[00:12:25.620 --> 00:12:34.140]  結果看她回來身上口袋裡面塞的滿滿的東西
[00:12:34.140 --> 00:12:39.780]  結果呢 大家不知道到底她塞了些什麼東西
[00:12:39.780 --> 00:12:41.380]  大家都紛紛在那邊猜
[00:12:41.380 --> 00:12:46.580]  這些一定是很貴重很貴重的這些金銀財寶
[00:12:46.580 --> 00:12:52.140]  結果當這個救生艇大家被放下去之後
[00:12:52.140 --> 00:12:56.380]  你知道那個鐵達尼號整個就沉下去了
[00:12:56.380 --> 00:12:58.780]  他們就在救生艇上面
[00:12:58.780 --> 00:13:01.300]  然後就這樣子一直漂流漂流
[00:13:01.300 --> 00:13:02.980]  漂了一段時間之後
[00:13:02.980 --> 00:13:06.900]  所有的人又餓又渴
[00:13:06.900 --> 00:13:12.540]  身上帶著什麼傳家之寶的也沒用
[00:13:12.540 --> 00:13:16.140]  身上有什麼重要的一些文件的也沒用
[00:13:16.140 --> 00:13:19.380]  這時候大家就在那邊又餓又渴
[00:13:19.380 --> 00:13:20.340]  不知道怎麼辦
[00:13:20.340 --> 00:13:22.100]  結果就看這個太太
[00:13:22.100 --> 00:13:29.100]  她就從她的袋子裡面就拿出了橘子
[00:13:29.100 --> 00:13:33.060]  原來她把她袋子裡面塞滿滿的塞了些什麼
[00:13:33.060 --> 00:13:36.580]  塞了這些橘子
[00:13:36.580 --> 00:13:42.340]  請問在那個時候金子重要還是橘子重要
[00:13:42.340 --> 00:13:45.380]  橘子
[00:13:45.380 --> 00:13:51.780]  所以這個有錢的太太有沒有分辨能力
[00:13:51.780 --> 00:13:54.860]  親愛的丟紙妹
[00:13:54.860 --> 00:13:58.580]  在人生當中我們何等需要這種分辨
[00:13:58.580 --> 00:14:00.500]  分辨什麼是有價值的
[00:14:00.500 --> 00:14:02.020]  什麼是沒有價值的
[00:14:02.020 --> 00:14:03.780]  分辨什麼是最好的
[00:14:03.780 --> 00:14:06.060]  分辨什麼是不好的
[00:14:06.060 --> 00:14:08.100]  我們教導孩子不是也是如此嗎
[00:14:08.100 --> 00:14:10.940]  從小我們教導他要教導什麼
[00:14:10.940 --> 00:14:14.620]  告訴他什麼該做什麼不該做是不是
[00:14:14.620 --> 00:14:16.220]  哪一個東西有營養
[00:14:16.220 --> 00:14:19.420]  他奇怪他就不喜歡吃你說的有營養的
[00:14:19.420 --> 00:14:23.180]  他專門喜歡吃垃圾食物
[00:14:23.180 --> 00:14:25.180]  我們教導孩子會不會希望吃
[00:14:25.180 --> 00:14:29.700]  還有告訴你那個potato chip那是最好的
[00:14:29.700 --> 00:14:33.060]  That's the best
[00:14:33.060 --> 00:14:34.300]  你明明你自己喜歡吃
[00:14:34.300 --> 00:14:35.500]  但是你會不會告訴他
[00:14:35.500 --> 00:14:38.540]  這個是最好最有營養的會不會
[00:14:38.540 --> 00:14:40.300]  不會
[00:14:40.300 --> 00:14:42.420]  親愛的丟紙妹
[00:14:42.420 --> 00:14:44.300]  同樣的親愛的丟紙妹
[00:14:44.300 --> 00:14:46.900]  當我們在教導我們的孩子的時候
[00:14:46.900 --> 00:14:50.100]  你認為將來他讀書
[00:14:50.100 --> 00:14:54.940]  應該讀哪個學校是最好
[00:14:54.940 --> 00:14:57.460]  哪個學校最好
[00:14:57.460 --> 00:14:59.500]  哈佛
[00:14:59.500 --> 00:15:00.860]  還有呢
[00:15:00.860 --> 00:15:03.460]  耶魯
[00:15:03.460 --> 00:15:05.780]  台大
[00:15:05.780 --> 00:15:09.140]  怎麼在這裡念台大去了
[00:15:09.140 --> 00:15:12.020]  那中國就北大去了是不是
[00:15:12.020 --> 00:15:13.420]  親愛的丟紙妹
[00:15:13.420 --> 00:15:15.020]  你會發現
[00:15:15.020 --> 00:15:17.940]  我們的社會的價值觀告訴我們
[00:15:17.940 --> 00:15:20.500]  我們要讀的就是這些好學校是不是
[00:15:20.500 --> 00:15:23.580]  長春屯大學
[00:15:23.580 --> 00:15:30.260]  但是就像我上次那個復旦大學的高材生畢業的怎麼樣
[00:15:30.260 --> 00:15:31.940]  知識很高
[00:15:31.940 --> 00:15:35.060]  學問很高
[00:15:35.060 --> 00:15:38.460]  可是情商很低
[00:15:38.460 --> 00:15:42.660]  可是不知道怎麼handle人生當中的問題
[00:15:42.660 --> 00:15:43.820]  碰到人生的難處的時候
[00:15:43.820 --> 00:15:47.260]  他不知道該怎麼辦
[00:15:47.260 --> 00:15:48.020]  親愛的丟紙妹
[00:15:48.020 --> 00:15:52.380]  其實你會發現今天很多的年輕人問題就在這裡
[00:15:52.380 --> 00:15:56.460]  父母親從小給他最好的都是物質的東西有沒有
[00:15:56.460 --> 00:16:00.940]  但是卻沒有教導他人生那些重要的一些
[00:16:00.940 --> 00:16:02.220]  像愛心啊
[00:16:02.220 --> 00:16:03.820]  像這些責任感啊
[00:16:03.820 --> 00:16:05.620]  像這些重要的東西
[00:16:05.620 --> 00:16:09.700]  因為我們自己的價值觀也被這個社會扭曲了
[00:16:09.700 --> 00:16:10.980]  所以保羅禱告說
[00:16:10.980 --> 00:16:14.180]  我願你們有愛心更多
[00:16:14.180 --> 00:16:15.220]  多而更多
[00:16:15.220 --> 00:16:17.860]  目的是希望讓你們能夠分辨是非
[00:16:17.860 --> 00:16:19.100]  知道選擇
[00:16:19.100 --> 00:16:24.220]  那人生當中什麼是最好的
[00:16:24.220 --> 00:16:24.900]  親愛的丟紙妹
[00:16:24.900 --> 00:16:28.100]  人生當中什麼是最好的
[00:16:28.100 --> 00:16:30.180]  什麼是最好的
[00:16:30.180 --> 00:16:32.900]  什麼是最好的
[00:16:32.900 --> 00:16:35.660]  耶穌基督是最好的
[00:16:35.660 --> 00:16:38.020]  保羅說我認識他
[00:16:38.020 --> 00:16:41.940]  因為他知道耶穌基督是自保
[00:16:41.940 --> 00:16:44.580]  所以他把他的一生都可以
[00:16:44.580 --> 00:16:46.500]  前所謂的前途
[00:16:46.500 --> 00:16:48.820]  所謂的這一些人
[00:16:48.820 --> 00:16:52.220]  世界上面所可望的東西
[00:16:52.220 --> 00:16:54.060]  他都可以放下來
[00:16:54.060 --> 00:16:58.260]  因為他棄萬世如同什麼
[00:16:58.260 --> 00:17:02.220]  分土
[00:17:02.220 --> 00:17:05.060]  給你一百萬美金
[00:17:05.060 --> 00:17:08.740]  但是卻使你不能夠信靠這位耶穌基督
[00:17:08.740 --> 00:17:10.700]  你要嗎
[00:17:10.700 --> 00:17:18.860]  給你一棟三千尺五千尺的豪宅
[00:17:18.860 --> 00:17:21.940]  給你一個更好的位置
[00:17:21.940 --> 00:17:24.300]  可以賺更多的錢
[00:17:24.300 --> 00:17:26.420]  但是卻忙不到一個地步
[00:17:26.420 --> 00:17:28.580]  禮拜天你都沒有辦法聚會
[00:17:28.580 --> 00:17:30.980]  你要嗎
[00:17:30.980 --> 00:17:35.140]  可是今天很多人甚至新的組織後
[00:17:35.140 --> 00:17:38.540]  被這個世界的財富名利
[00:17:38.540 --> 00:17:43.340]  就使他離開了神
[00:17:43.340 --> 00:17:45.860]  所以為著你今天能夠坐在這裡感謝神
[00:17:45.860 --> 00:17:47.340]  Amen
[00:17:47.340 --> 00:17:49.620]  因為你選擇了最好的
[00:17:49.620 --> 00:17:51.580]  就是耶穌基督Amen
[00:17:51.580 --> 00:17:53.500]  所以第一件事情
[00:17:53.500 --> 00:17:57.020]  我們需要主幫助我們看見
[00:17:57.020 --> 00:17:59.540]  我們要能夠選擇那最好的
[00:17:59.540 --> 00:18:03.500]  第二個
[00:18:03.500 --> 00:18:05.220]  保證說他禱告
[00:18:05.220 --> 00:18:07.900]  讓菲律賓的人
[00:18:07.900 --> 00:18:10.660]  他們能夠愛心多而更多
[00:18:10.660 --> 00:18:13.020]  以至於他們分別是非
[00:18:13.020 --> 00:18:17.500]  做誠實無過的人
[00:18:17.500 --> 00:18:21.700]  誠實無過
[00:18:21.700 --> 00:18:25.500]  誠實
[00:18:25.500 --> 00:18:28.140]  誠實這個字
[00:18:28.140 --> 00:18:31.100]  這個就是原文是從兩個字
[00:18:31.100 --> 00:18:33.460]  把它合在一起的
[00:18:33.460 --> 00:18:38.460]  一個字的意思就是太陽光
[00:18:38.460 --> 00:18:45.900]  那麼第二個字就是檢查或者判斷
[00:18:45.900 --> 00:18:48.900]  所以這個就好像說
[00:18:48.900 --> 00:18:51.900]  你一個穿過的衣服
[00:18:51.900 --> 00:18:55.540]  在陽光的照射之下
[00:18:55.540 --> 00:18:58.180]  馬上就可以看出來
[00:18:58.180 --> 00:19:00.980]  那些髒的地方在哪裡
[00:19:00.980 --> 00:19:03.340]  但是如果你把一個衣服放在黑暗中
[00:19:03.340 --> 00:19:04.340]  沒有開燈
[00:19:04.340 --> 00:19:08.820]  你看得到那些的髒的地方嗎
[00:19:08.820 --> 00:19:10.860]  你看不到
[00:19:10.860 --> 00:19:12.300]  可是你拿到戶外
[00:19:12.300 --> 00:19:14.900]  太陽光一照之下你就看見
[00:19:14.900 --> 00:19:16.700]  那個地方有污點
[00:19:16.700 --> 00:19:18.580]  那個地方有污點
[00:19:18.580 --> 00:19:21.780]  所以這個就是他原來的意思
[00:19:21.780 --> 00:19:26.980]  就是這樣子
[00:19:26.980 --> 00:19:29.660]  換句話說
[00:19:29.660 --> 00:19:33.780]  保羅在這裡講的是一個經得起
[00:19:33.780 --> 00:19:35.340]  一個誠實
[00:19:35.340 --> 00:19:43.380]  一個經得起考驗的一種的品格
[00:19:43.380 --> 00:19:45.220]  所以我準備今天在這個社會
[00:19:45.220 --> 00:19:51.180]  誠實可以說是稀有動物
[00:19:51.180 --> 00:19:55.340]  美國做了一些研究
[00:19:55.340 --> 00:20:00.140]  有關美國人他們說謊的問題
[00:20:00.140 --> 00:20:01.820]  那麼有一個研究說
[00:20:01.820 --> 00:20:08.180]  美國人每天平均說謊四次
[00:20:08.180 --> 00:20:10.900]  但是也有另外一個研究說
[00:20:10.900 --> 00:20:17.140]  每一個美國人一天平均說謊十一到十二次
[00:20:17.140 --> 00:20:20.140]  那還有一個說大概是一到兩次
[00:20:20.140 --> 00:20:21.140]  最後結論就是說
[00:20:21.140 --> 00:20:23.060]  其實講多少次是沒有什麼意義的
[00:20:23.060 --> 00:20:24.060]  為什麼
[00:20:24.060 --> 00:20:26.580]  因為其實這些的研究
[00:20:26.580 --> 00:20:28.460]  可能根據不同的人群
[00:20:28.460 --> 00:20:32.700]  可能他不同的情況都會有關係的
[00:20:32.700 --> 00:20:35.740]  但是我們來做個平均值的話
[00:20:35.740 --> 00:20:37.460]  至少剛才裡面
[00:20:37.460 --> 00:20:42.700]  最少的是一個人每一天平均說幾次謊
[00:20:42.700 --> 00:20:45.580]  一次兩次我剛講的是不是
[00:20:45.580 --> 00:20:49.340]  那我們把一次兩次跟十一次跟十二次
[00:20:49.340 --> 00:20:50.780]  來做一個平均值的話
[00:20:50.780 --> 00:20:54.540]  四次已經算是比賽保守了
[00:20:54.540 --> 00:20:59.100]  就算一個人每一天平均說謊四次
[00:20:59.100 --> 00:21:01.660]  那請問我們在這裡
[00:21:01.660 --> 00:21:08.020]  有沒有哪一個人你從來沒說過謊
[00:21:08.020 --> 00:21:09.060]  敬畏敬畏
[00:21:09.060 --> 00:21:13.420]  有一位沒有說過謊
[00:21:13.420 --> 00:21:19.420]  等一下大家特別去請問一下秘訣在哪裡
[00:21:19.420 --> 00:21:27.380]  但我不曉得是不是舉了手之後就說謊了
[00:21:27.380 --> 00:21:29.260]  可能嗎
[00:21:29.260 --> 00:21:30.540]  從小到大你到現在
[00:21:30.540 --> 00:21:31.660]  從來沒有說過謊嗎
[00:21:31.660 --> 00:21:33.100]  有沒有
[00:21:33.100 --> 00:21:34.620]  再問一次
[00:21:34.620 --> 00:21:35.940]  不敢去說了
[00:21:35.940 --> 00:21:42.540]  還是
[00:21:42.540 --> 00:21:47.380]  我們林良長還有一個藝人
[00:21:47.380 --> 00:21:54.660]  不過我們都是蒙恩的藝人
[00:21:54.660 --> 00:21:58.020]  好了那麼根據這個調查
[00:21:58.020 --> 00:22:00.780]  他說百分之六十的美國人
[00:22:00.780 --> 00:22:03.020]  不到十分鐘就會說謊
[00:22:03.020 --> 00:22:05.780]  意思就是說不超過十分鐘
[00:22:05.780 --> 00:22:07.700]  他人不只不超過十分鐘
[00:22:07.700 --> 00:22:09.140]  他就要說謊了
[00:22:09.140 --> 00:22:11.340]  那麼另外這個調查裡面說
[00:22:11.340 --> 00:22:16.540]  打電話比當面更容易說謊
[00:22:16.540 --> 00:22:19.340]  反正看不到我表情是不是
[00:22:19.340 --> 00:22:21.500]  這個當面看的時候還會緊張
[00:22:21.500 --> 00:22:23.260]  還會可能臉會紅
[00:22:23.260 --> 00:22:24.500]  第三個
[00:22:24.500 --> 00:22:28.980]  那麼男跟女的比例是半斤八兩
[00:22:28.980 --> 00:22:30.500]  女的並沒有比男的好
[00:22:30.500 --> 00:22:32.300]  男的沒有比女的好
[00:22:32.300 --> 00:22:33.940]  兩個人說謊程度是一樣的
[00:22:33.940 --> 00:22:42.420]  第四那麼小孩子大概兩歲的時候就會說謊
[00:22:42.420 --> 00:22:45.300]  其實那個六歲剛剛看一下錯了
[00:22:45.300 --> 00:22:55.900]  四歲的時候他說謊的時候從容不迫
[00:22:55.900 --> 00:22:58.140]  因為是說他這個說謊
[00:22:58.140 --> 00:23:05.180]  是tell lie conviction的理
[00:23:05.180 --> 00:23:07.620]  哇所以你看看
[00:23:07.620 --> 00:23:11.020]  難怪神經上說我們四人都犯了罪
[00:23:11.020 --> 00:23:13.820]  虧缺了神的榮耀是不是
[00:23:13.820 --> 00:23:15.580]  每一個人都犯罪
[00:23:15.580 --> 00:23:17.180]  每一個人都會撒謊
[00:23:17.180 --> 00:23:19.700]  今天這個世界是一個不誠實的世界
[00:23:19.700 --> 00:23:21.500]  那麼另外一個統計裡面
[00:23:21.500 --> 00:23:22.860]  他告訴我們說
[00:23:22.860 --> 00:23:27.060]  他根據二十三種的profession
[00:23:27.060 --> 00:23:29.380]  二十三種的專業人士
[00:23:29.380 --> 00:23:31.740]  他們的誠信度一般來講
[00:23:31.740 --> 00:23:36.060]  美國人對這些二十三種的專業人士
[00:23:36.060 --> 00:23:39.060]  對他們的觀感是他們誠信不誠信呢
[00:23:39.060 --> 00:23:40.420]  誠實不誠實呢
[00:23:40.420 --> 00:23:41.580]  我們來看看
[00:23:41.580 --> 00:23:43.620]  第一個這是誰
[00:23:43.620 --> 00:23:46.260]  Nurse
[00:23:46.260 --> 00:23:47.500]  我們當中只有Nurse了
[00:23:47.500 --> 00:23:49.420]  你看Tall honor
[00:23:49.420 --> 00:23:54.380]  大家認為美國的護士是最誠實的
[00:23:54.380 --> 00:23:56.220]  但是雖然最誠實
[00:23:56.220 --> 00:23:58.340]  從2019年到2023年
[00:23:58.340 --> 00:24:00.580]  也降了百分之多少
[00:24:00.580 --> 00:24:03.860]  百分之七的比例
[00:24:03.860 --> 00:24:07.740]  下面什麼Engineer, Dentist, Medical Doctor
[00:24:07.740 --> 00:24:14.140]  還有Farmers, Police Officer, College Teacher
[00:24:14.140 --> 00:24:16.420]  這些算是比較高的
[00:24:16.420 --> 00:24:19.300]  我給大家看看比較低的
[00:24:19.300 --> 00:24:20.860]  好比較低的來一個
[00:24:20.860 --> 00:24:23.220]  我特別圈出來
[00:24:26.220 --> 00:24:28.540]  College
[00:24:28.540 --> 00:24:30.380]  College是什麼
[00:24:30.380 --> 00:24:32.460]  神職人員啊
[00:24:32.460 --> 00:24:34.060]  我本來想說
[00:24:34.060 --> 00:24:38.300]  不要弄出來免得丟自己的臉
[00:24:38.300 --> 00:24:40.620]  但是我稍微解釋一下
[00:24:40.620 --> 00:24:45.700]  為什麼神職人員在美國的誠信度會低到
[00:24:45.700 --> 00:24:48.980]  只有百分之四十
[00:24:48.980 --> 00:24:53.540]  那現在是百分之三十三
[00:24:53.540 --> 00:24:54.140]  為什麼
[00:24:54.140 --> 00:24:55.700]  為什麼大家會做觀感
[00:24:55.700 --> 00:24:59.300]  因為太多這些所謂
[00:24:59.300 --> 00:25:01.500]  譬如說天主教是不是
[00:25:01.500 --> 00:25:06.420]  天主教的神父性侵案
