
[00:00:00.000 --> 00:00:04.680]  今天是2020年第一個Jackson拜
[00:02:45.000 --> 00:02:48.080]  我們發覺資源都掉亂了
[00:02:48.080 --> 00:02:49.480]  女孩子又要事業
[00:02:49.480 --> 00:02:51.480]  又要周圍環遊世界
[00:02:51.480 --> 00:02:55.080]  男孩子其實都不介意被老婆養
[00:02:55.080 --> 00:02:57.200]  所以大家的幸福感是很不同的
[00:02:57.200 --> 00:03:00.400]  但是黃色的部分都是大的
[00:03:00.400 --> 00:03:03.600]  他說有美滿和諧的家庭
[00:03:03.600 --> 00:03:05.800]  或者親密關係都是有幸福感的
[00:03:05.800 --> 00:03:08.080]  這個我想一般都是正常的
[00:03:08.080 --> 00:03:09.600]  有些是這樣說的
[00:03:09.600 --> 00:03:12.520]  如果你自我的價值能夠得到實現
[00:03:12.520 --> 00:03:15.360]  而且是被外界認同的
[00:03:15.360 --> 00:03:16.800]  那你就會覺得幸福了
[00:03:16.800 --> 00:03:18.480]  有些年輕人可能就說
[00:03:18.480 --> 00:03:20.920]  不是啊 我擁有足夠的自由空間
[00:03:20.920 --> 00:03:22.160]  我就覺得幸福了
[00:03:22.160 --> 00:03:23.240]  有些就說
[00:03:23.240 --> 00:03:27.240]  如果我能夠擁有實現自己夢想的能力
[00:03:27.240 --> 00:03:28.720]  我就會感覺幸福
[00:03:28.720 --> 00:03:31.120]  所以你看到這些所謂的調查
[00:03:31.120 --> 00:03:35.720]  你發現原來幸福的感覺都是挺不同的
[00:03:35.720 --> 00:03:37.840]  有個出名的心理學家
[00:03:37.840 --> 00:03:38.920]  他叫William Glaser
[00:03:38.920 --> 00:03:40.320]  等下節目你應該很熟悉的
[00:03:40.320 --> 00:03:42.920]  因爲我們經歷成年那個車仔
[00:03:42.920 --> 00:03:44.680]  就是源自他的
[00:03:44.680 --> 00:03:48.600]  他出名的choice theory 就是一個選擇理論
[00:03:48.600 --> 00:03:52.040]  講人生其實我們不其然都是always make choice的
[00:03:52.040 --> 00:03:54.000]  在不同的事件你會找不同的選擇
[00:03:54.000 --> 00:03:56.640]  就會引發出不同的效果
[00:03:56.640 --> 00:04:00.920]  而我們基本上去drive我們去選擇的
[00:04:00.920 --> 00:04:03.560]  那個所謂的生存的需求是什麼呢
[00:04:03.560 --> 00:04:04.680]  有五樣東西的
[00:04:04.680 --> 00:04:06.120]  包括就是生存
[00:04:06.120 --> 00:04:07.480]  愛與歸屬
[00:04:07.480 --> 00:04:08.240]  權力
[00:04:08.240 --> 00:04:08.840]  自由
[00:04:08.840 --> 00:04:09.960]  還有樂趣
[00:04:09.960 --> 00:04:11.600]  這個是很明白的
[00:04:11.600 --> 00:04:14.560]  最基本我想大部分人都認同的
[00:04:14.560 --> 00:04:15.760]  生存是第一步
[00:04:15.760 --> 00:04:18.680]  如果你連生活都搞不定的
[00:04:18.680 --> 00:04:22.360]  你都沒有辦法去想其他的所謂的需要
[00:04:22.360 --> 00:04:25.440]  但當你有了基本生存的需要之後
[00:04:25.440 --> 00:04:30.000]  不同的人就有不同的要求
[00:04:30.000 --> 00:04:31.840]  特別可能浪漫一點的女生
[00:04:31.840 --> 00:04:33.600]  經常都要愛與歸屬的
[00:04:33.600 --> 00:04:35.320]  所以在拍拖的時候
[00:04:35.320 --> 00:04:37.960]  你發現男和女的差異是很大的
[00:04:37.960 --> 00:04:40.440]  父母和子女的差異是很大的
[00:04:40.440 --> 00:04:42.320]  對於權力的要求
[00:04:42.320 --> 00:04:43.840]  對於自由的要求
[00:04:43.840 --> 00:04:45.880]  都是各有彼此不同的
[00:04:45.880 --> 00:04:46.800]  所以你發現
[00:04:46.800 --> 00:04:50.400]  爲什麼你家裏覺得你的子女應該很幸福
[00:04:50.400 --> 00:04:52.920]  但他又覺得自己不是很幸福呢
[00:04:52.920 --> 00:04:57.520]  是因爲大家對這幾樣東西的排序是有些不同的
[00:04:57.520 --> 00:05:00.360]  不過一般在我們父道的實踐裏面
[00:05:00.360 --> 00:05:04.160]  發覺原來除了生存之外
[00:05:04.160 --> 00:05:09.240]  愛與歸屬其實是一個很重要的元素
[00:05:09.240 --> 00:05:10.360]  意思就是說
[00:05:10.360 --> 00:05:13.520]  有時候在父道里面看到是較差的
[00:05:13.520 --> 00:05:15.600]  可能是權力的問題
[00:05:15.600 --> 00:05:17.600]  我說了算還是你說了算
[00:05:17.600 --> 00:05:19.800]  爲什麼你說了算之後我不OK
[00:05:19.800 --> 00:05:21.040]  那我就會吵架
[00:05:21.040 --> 00:05:24.960]  可能是25度開冷氣還是24度開冷氣又吵架
[00:05:24.960 --> 00:05:28.240]  說是好像在爭拗一個權力的問題
[00:05:28.240 --> 00:05:30.000]  但其實背後呢
[00:05:30.000 --> 00:05:32.680]  真正都是在說愛與歸屬的
[00:05:32.680 --> 00:05:36.120]  就是我覺得你愛不愛我
[00:05:36.120 --> 00:05:37.960]  你愛我的就沒所謂
[00:05:37.960 --> 00:05:39.120]  24就24
[00:05:39.120 --> 00:05:40.360]  25就25
[00:05:40.360 --> 00:05:41.720]  他覺得你不愛我
[00:05:41.720 --> 00:05:44.320]  我就會有很多很多要求
[00:05:44.320 --> 00:05:46.080]  親子問題也是一樣
[00:05:46.080 --> 00:05:48.320]  究竟要幾點回來
[00:05:48.320 --> 00:05:51.200]  用多少錢的所謂零用錢
[00:05:51.200 --> 00:05:55.800]  打多少個小時的電腦手機那些
[00:05:55.800 --> 00:05:59.560]  很多的爭吵都好像是要求自由
[00:05:59.560 --> 00:06:02.720]  或者父母覺得我有權管理那些
[00:06:02.720 --> 00:06:05.840]  其實談來談去最後都是在說什麼
[00:06:05.840 --> 00:06:09.480]  就是我覺得爹地媽咪疼不疼我
[00:06:09.480 --> 00:06:14.200]  父母就會覺得子女孝不孝順自己
[00:06:14.200 --> 00:06:17.800]  當那個關係愛與歸屬覺得好的時候
[00:06:17.800 --> 00:06:20.560]  其實其他東西又好像
[00:06:20.560 --> 00:06:23.160]  不是真的那麼執着的裏面
[00:06:23.160 --> 00:06:24.080]  如果是這麼說
[00:06:24.080 --> 00:06:27.000]  姐妹當我們今天去思想什麼叫幸福的時候
[00:06:27.000 --> 00:06:29.840]  可能你都要給自己一些時間在年頭
[00:06:29.840 --> 00:06:30.960]  好好安靜一下
[00:06:30.960 --> 00:06:33.680]  想一下你自己是想怎樣的呢
[00:06:33.680 --> 00:06:35.640]  當你糊里糊塗的時候
[00:06:35.640 --> 00:06:38.560]  你經常以爲我在爭取某些東西
[00:06:38.560 --> 00:06:41.680]  但其實爲什麼拿到之後你又不滿足
[00:06:41.680 --> 00:06:42.680]  你又不開心
[00:06:42.680 --> 00:06:44.000]  你又不快樂呢
[00:06:44.000 --> 00:06:47.600]  其實你是未明白自己的需要是什麼
[00:06:47.600 --> 00:06:51.600]  而2019年全球的幸福排名指數呢
[00:06:51.600 --> 00:06:53.280]  大家怎麼看啊
[00:06:53.280 --> 00:06:55.040]  香港排第幾啊
[00:06:55.040 --> 00:06:57.800]  你覺得你自己的幸福在哪裏
[00:06:57.800 --> 00:07:01.880]  全球知不知道哪個國家第一啊
[00:07:01.880 --> 00:07:03.320]  戰亂哦
[00:07:03.320 --> 00:07:07.040]  如果有2018的你就知道了
[00:07:07.040 --> 00:07:08.600]  芬蘭哦
[00:07:08.600 --> 00:07:09.960]  芬蘭又閃亂哦
[00:07:09.960 --> 00:07:12.120]  我今年其實也在想生日會不會去芬蘭
[00:07:12.120 --> 00:07:14.440]  看看聖誕老人屋的
[00:07:14.440 --> 00:07:17.640]  但我上網看的時候我就覺得
[00:07:17.640 --> 00:07:19.960]  芬蘭這樣叫幸福嗎
[00:07:19.960 --> 00:07:22.200]  他們就覺得是大家給錢信任啊
[00:07:22.200 --> 00:07:23.200]  尊重啊
[00:07:23.200 --> 00:07:23.800]  自由啊
[00:07:23.800 --> 00:07:25.600]  民主的空間很多的
[00:07:25.600 --> 00:07:26.840]  所以呢
[00:07:26.840 --> 00:07:27.880]  他們那個社會呢
[00:07:27.880 --> 00:07:31.440]  大家其實是很自閉的我覺得
[00:07:31.440 --> 00:07:35.440]  他連公園擺的那些木凳呢
[00:07:35.440 --> 00:07:38.440]  他們也不會像現在那樣擺的
[00:07:38.440 --> 00:07:40.120]  不會兩旁看着對方的
[00:07:40.120 --> 00:07:41.560]  他們每一張凳子呢
[00:07:41.560 --> 00:07:43.600]  都有不一樣的方向的
[00:07:43.600 --> 00:07:44.240]  爲什麼呢
[00:07:44.240 --> 00:07:45.320]  方便你不要看着我
[00:07:45.320 --> 00:07:46.600]  我又不要看着你
[00:07:46.600 --> 00:07:47.960]  眼神不用接觸
[00:07:47.960 --> 00:07:50.400]  這樣就保持到大家有足夠的空間
[00:07:50.400 --> 00:07:52.320]  那他們就定爲幸福哦
[00:07:52.320 --> 00:07:53.080]  那我說糟了
[00:07:53.080 --> 00:07:55.320]  我們中國人可能不是這樣叫幸福的
[00:07:55.320 --> 00:07:56.600]  我們喜歡坐圓桌的嘛
[00:07:56.600 --> 00:07:57.360]  是不是啊
[00:07:57.360 --> 00:07:57.960]  爲什麼啊
[00:07:57.960 --> 00:07:59.560]  就是什麼角度都能說話嘛
[00:07:59.560 --> 00:08:00.080]  是不是
[00:08:00.080 --> 00:08:01.920]  這個我們覺得幸福哦
[00:08:01.920 --> 00:08:03.680]  所以幸福感真的很不同的
[00:08:03.680 --> 00:08:05.200]  每個民族都不同的
[00:08:05.200 --> 00:08:07.600]  大家很考慮考慮去臺灣的
[00:08:07.600 --> 00:08:08.120]  是不是
[00:08:08.120 --> 00:08:09.200]  那都OK的哦
[00:08:09.200 --> 00:08:11.840]  原來臺灣是亞洲第一名來的哦
[00:08:11.840 --> 00:08:13.520]  它雖然是全世界排25
[00:08:13.520 --> 00:08:14.160]  OK
[00:08:14.160 --> 00:08:16.160]  那香港可憐了
[00:08:16.160 --> 00:08:17.520]  76啊
[00:08:17.520 --> 00:08:19.640]  遠遠落後臺灣了
[00:08:19.640 --> 00:08:20.720]  OK
[00:08:20.720 --> 00:08:21.680]  那
[00:08:21.680 --> 00:08:24.160]  中國呢
[00:08:24.160 --> 00:08:25.280]  93
[00:08:25.280 --> 00:08:25.960]  OK
[00:08:25.960 --> 00:08:27.880]  那我不知道他什麼標準啦
[00:08:27.880 --> 00:08:28.920]  還是外國人定啊
[00:08:28.920 --> 00:08:29.600]  還是誰定啊
[00:08:29.600 --> 00:08:30.800]  誰評審啦
[00:08:30.800 --> 00:08:31.440]  但是很坦白
[00:08:31.440 --> 00:08:33.520]  我1月2號回到大陸深圳玩哦
[00:08:33.520 --> 00:08:35.920]  我一羣同工都回去了玩
[00:08:35.920 --> 00:08:37.280]  我又好像不太覺得
[00:08:37.280 --> 00:08:40.680]  我覺得在他們那邊的氣氛反而是比較開心的
[00:08:40.680 --> 00:08:43.600]  可以亂說24都沒什麼壓力的哦
[00:08:43.600 --> 00:08:44.800]  所以兄弟姐妹
[00:08:44.800 --> 00:08:45.320]  很有趣的
[00:08:45.320 --> 00:08:45.920]  是不是啊
[00:08:45.920 --> 00:08:47.000]  同一個環境
[00:08:47.000 --> 00:08:48.480]  大家面對同一樣東西
[00:08:48.480 --> 00:08:50.840]  但是大家那個幸福的感覺呢
[00:08:50.840 --> 00:08:52.760]  是可以自然不同的
[00:08:52.760 --> 00:08:53.720]  某種程度來說
[00:08:53.720 --> 00:08:56.200]  幸福和快樂在英文是一樣的
[00:08:56.200 --> 00:08:57.880]  但是我們中文是有點不一樣的
[00:08:57.880 --> 00:08:58.920]  我只要去想
[00:08:58.920 --> 00:09:01.040]  其實快樂是一種情緒的表達來的
[00:09:01.040 --> 00:09:02.440]  比較沐浴一點的
[00:09:02.440 --> 00:09:04.240]  就是可能你喫一餐
[00:09:04.240 --> 00:09:05.920]  就是你覺得很不滿意的飯
[00:09:05.920 --> 00:09:07.080]  你去了玩一件事
[00:09:07.080 --> 00:09:07.880]  你很開心
[00:09:07.880 --> 00:09:09.360]  跟一羣人聊天
[00:09:09.360 --> 00:09:10.440]  聊得很開心
[00:09:10.440 --> 00:09:11.920]  你就覺得是開心的了
[00:09:11.920 --> 00:09:13.120]  就快樂的了
[00:09:13.120 --> 00:09:15.400]  不過這種感覺也都短暫的
[00:09:15.400 --> 00:09:17.320]  因爲過了那一餐之後
[00:09:17.320 --> 00:09:18.720]  你就會憂慮下一餐的了嘛
[00:09:18.720 --> 00:09:20.520]  你就會想下一餐好不好喫的了嘛
[00:09:20.520 --> 00:09:23.160]  這個快樂不是能持續很久的
[00:09:23.160 --> 00:09:24.560]  而幸福的感覺呢
[00:09:24.560 --> 00:09:26.240]  比較內心一點
[00:09:26.240 --> 00:09:27.480]  感覺一點
[00:09:27.480 --> 00:09:28.840]  虛無縹緲一點
[00:09:28.840 --> 00:09:29.760]  爲什麼呢
[00:09:29.760 --> 00:09:33.440]  因爲它其實關於我們的意志上面是大一點的
[00:09:33.440 --> 00:09:36.320]  就是兩小口子
[00:09:36.320 --> 00:09:37.200]  以前的那一代
[00:09:37.200 --> 00:09:38.200]  我不知道現在的
[00:09:38.200 --> 00:09:39.920]  就是隻要相愛的
[00:09:39.920 --> 00:09:41.640]  何必一定要大餐呢
[00:09:41.640 --> 00:09:43.560]  以前我們的拍拖都是
[00:09:43.560 --> 00:09:46.480]  咬着一條粟米在海旁走一走
[00:09:46.480 --> 00:09:48.240]  那就是很浪漫的了
[00:09:48.240 --> 00:09:50.240]  那現在我不知道那些女生拍拖
[00:09:50.240 --> 00:09:52.400]  可不可以只是跟你咬着一條粟米
[00:09:52.400 --> 00:09:54.360]  在海旁走一走呢
[00:09:54.360 --> 00:09:55.480]  她就覺得很浪漫
[00:09:55.480 --> 00:09:57.280]  你很愛她的了這樣
[00:09:57.280 --> 00:09:59.320]  所以是有點不一樣的
[00:09:59.320 --> 00:10:03.720]  幸福不是一個環境有多好或者不好
[00:10:03.720 --> 00:10:06.000]  是你裏面一個很內在的感覺
[00:10:06.000 --> 00:10:07.720]  所以當面對着這個課題的時候
[00:10:07.720 --> 00:10:10.040]  我們知道客觀的環境我們需要考慮
[00:10:10.040 --> 00:10:12.840]  但是一個內心主觀的感覺呢
[00:10:12.840 --> 00:10:15.880]  也都很影響了我們的幸福感的
[00:10:15.880 --> 00:10:18.360]  所以今天我們去分享的時候
[00:10:18.360 --> 00:10:20.880]  我在這個Facebook又找到一張這樣的圖片
[00:10:20.880 --> 00:10:22.840]  我都覺得值得我們去想一下
[00:10:22.840 --> 00:10:24.600]  面對2020年
[00:10:24.600 --> 00:10:26.760]  你想你的生活幸福快樂一點
[00:10:26.760 --> 00:10:29.840]  我覺得這五樣東西都是一個挺好的提醒
[00:10:29.840 --> 00:10:30.760]  第一樣東西
[00:10:30.760 --> 00:10:34.520]  請你心中不要抹去一切的仇恨
[00:10:34.520 --> 00:10:37.840]  有恨的人是沒辦法覺得幸福的
[00:10:37.840 --> 00:10:40.080]  第二呢都提一提我們這幫女人
[00:10:40.080 --> 00:10:41.800]  不要那麼多憂慮了
[00:10:41.800 --> 00:10:43.240]  想那麼多幹嘛呢
[00:10:43.240 --> 00:10:44.960]  早點睡吧
[00:10:44.960 --> 00:10:47.840]  當你太多憂慮的時候你很難幸福的
[00:10:47.840 --> 00:10:48.880]  第三呢
[00:10:48.880 --> 00:10:50.280]  我覺得是彼此提醒了
[00:10:50.280 --> 00:10:52.200]  當我們大家都有心理準備
[00:10:52.200 --> 00:10:54.360]  我們要負上代價的時候
[00:10:54.360 --> 00:10:57.720]  你有沒有能力去活一個簡樸一點的生活呢
[00:10:57.720 --> 00:10:59.520]  再冒險去旅行
[00:10:59.520 --> 00:11:00.840]  去長洲行不行呢
[00:11:00.840 --> 00:11:02.600]  大家會不會開心一點呢
[00:11:02.600 --> 00:11:04.080]  不可以在酒店去宿舍了
[00:11:04.080 --> 00:11:06.240]  你真的要去浸會員那些
[00:11:06.240 --> 00:11:07.880]  大家OK嗎
[00:11:07.880 --> 00:11:09.160]  如果你有這個能力的
[00:11:09.160 --> 00:11:10.720]  沒什麼所謂
[00:11:10.720 --> 00:11:13.480]  去哪裏都一樣是那麼開心的
[00:11:13.480 --> 00:11:14.800]  第四就是說
[00:11:14.800 --> 00:11:17.520]  減少對自己和對人的期望
[00:11:17.520 --> 00:11:18.760]  這個是真的
[00:11:18.760 --> 00:11:20.400]  當你期望越高的時候
[00:11:20.400 --> 00:11:22.040]  你的失望其實都會越大
[00:11:22.040 --> 00:11:23.680]  你會越糊塗
[00:11:23.680 --> 00:11:26.320]  反而我想highlight的是第五
[00:11:26.320 --> 00:11:28.920]  當我們說我們的幸福人生
[00:11:28.920 --> 00:11:30.640]  是關係到我們的上帝
[00:11:30.640 --> 00:11:33.880]  所以我們的題目才叫做「活出愛」
[00:11:33.880 --> 00:11:36.200]  如果我們能夠在上帝的愛裏面
[00:11:36.200 --> 00:11:37.640]  並且被祂的愛充滿
[00:11:37.640 --> 00:11:39.920]  也能夠活現出來的時候
[00:11:39.920 --> 00:11:44.040]  我們覺得那種狀態纔是真正永恆的幸福
[00:11:44.040 --> 00:11:46.920]  所以你和上帝的關係
[00:11:46.920 --> 00:11:49.280]  2020年有什麼計劃呢
[00:11:49.280 --> 00:11:51.240]  你打算花多少時間
[00:11:51.240 --> 00:11:54.520]  真的能夠投資在你和神的關係裏面呢
[00:11:54.520 --> 00:11:58.400]  這個都很奠定你的幸福的感覺
[00:11:58.400 --> 00:12:01.280]  今天我選擇了兩個女人的故事
[00:12:01.280 --> 00:12:02.800]  來分享究竟
[00:12:02.800 --> 00:12:05.920]  上帝是不是真的帶給我們人生的幸福呢
[00:12:05.920 --> 00:12:07.280]  當我們在苦難當中
[00:12:07.280 --> 00:12:08.880]  在困難當中的時候
[00:12:08.880 --> 00:12:13.640]  我們怎樣能夠承載上帝給我們的福氣
[00:12:13.640 --> 00:12:16.320]  這個故事絕對不是一個幸福的故事
[00:12:16.320 --> 00:12:21.960]  因爲《魯德紀記述》是兩個寡婦的故事
[00:12:21.960 --> 00:12:24.200]  女人在當時的年代
[00:12:24.200 --> 00:12:25.760]  其實是無權無勢
[00:12:25.760 --> 00:12:29.280]  也沒有任何的權力和能力
[00:12:29.280 --> 00:12:31.320]  既然沒有權力和能力的時候
[00:12:31.320 --> 00:12:32.880]  她也沒有什麼自由
[00:12:32.880 --> 00:12:33.840]  所以你想想
[00:12:33.840 --> 00:12:35.640]  她的幸福感其實也很低
[00:12:35.640 --> 00:12:37.480]  何況這兩個是寡婦
[00:12:37.480 --> 00:12:39.600]  在她們的生命當中遇到的是苦難
[00:12:39.600 --> 00:12:41.280]  多於幸福
[00:12:41.280 --> 00:12:44.080]  究竟怎樣能夠在她們的生命當中
[00:12:44.080 --> 00:12:46.600]  我們也學到一些功夫可以看下去
[00:12:46.600 --> 00:12:47.880]  《魯德紀記》很短的
[00:12:47.880 --> 00:12:48.880]  只有四章
[00:12:48.880 --> 00:12:52.320]  回去一看就可以看完整個故事
[00:12:52.320 --> 00:12:53.840]  不過小時候看這個故事
[00:12:53.840 --> 00:12:55.000]  很多東西是不明白的
[00:12:55.000 --> 00:12:56.200]  不過也不是很敢問
[00:12:56.200 --> 00:12:58.160]  因爲不知道怎麼問
[00:12:58.160 --> 00:12:59.720]  這個故事講的背景
[00:12:59.720 --> 00:13:02.160]  是一個不好的政治環境
[00:13:02.160 --> 00:13:04.080]  當時是士司的時代
[00:13:04.080 --> 00:13:06.000]  士司的時代就是
[00:13:06.000 --> 00:13:07.480]  很老的時代
[00:13:07.480 --> 00:13:08.720]  整天都是打仗
[00:13:08.720 --> 00:13:09.960]  整天都被人欺負
[00:13:09.960 --> 00:13:11.720]  到他們真的很慘的時候
[00:13:11.720 --> 00:13:12.560]  求救的時候
[00:13:12.560 --> 00:13:14.720]  神就牽起士司救他們一陣
[00:13:14.720 --> 00:13:15.920]  國中太平幾年
[00:13:15.920 --> 00:13:17.240]  然後又來一次
[00:13:17.240 --> 00:13:18.960]  所以是一個政治非常動盪
[00:13:18.960 --> 00:13:20.440]  和不開心的時間
[00:13:20.440 --> 00:13:22.120]  最慘的一個階段
[00:13:22.120 --> 00:13:24.640]  國中遇到饑荒
[00:13:24.640 --> 00:13:26.480]  連喫都是成問題
[00:13:26.480 --> 00:13:29.120]  於是有一個猶太人決定移民
[00:13:29.120 --> 00:13:30.680]  所以不知道是不是香港人
[00:13:30.680 --> 00:13:31.960]  同一樣想法
[00:13:31.960 --> 00:13:34.440]  他就將他的太太和兩個兒子
[00:13:34.440 --> 00:13:36.560]  離開了猶太的巴黎
[00:13:36.560 --> 00:13:37.600]  走去他的故鄉
[00:13:37.600 --> 00:13:39.520]  去到摩洛地區居住
[00:13:39.520 --> 00:13:40.800]  他的名字叫以尼米勒
[00:13:40.800 --> 00:13:43.160]  而他的太太就是我們今天的主角
[00:13:43.160 --> 00:13:44.360]  娜娜米
[00:13:44.360 --> 00:13:47.920]  娜娜米和丈夫和兩個兒子
[00:13:47.920 --> 00:13:51.240]  就去到一個外邦人的地方居住
[00:13:51.240 --> 00:13:52.480]  她沒有什麼選擇權
[00:13:52.480 --> 00:13:54.760]  老公說去哪裏就跟着去哪裏
[00:13:54.760 --> 00:13:57.680]  究竟這個移民是對還是不對呢
[00:13:57.680 --> 00:13:59.440]  很多大英姐妹經常都問
[00:13:59.440 --> 00:14:00.440]  我是不是應該去那裏
[00:14:00.440 --> 00:14:01.560]  我是不是應該去那裏呢
[00:14:01.560 --> 00:14:03.200]  我是不是應該移民呢
[00:14:03.200 --> 00:14:06.000]  97年我們這羣大英姐妹
[00:14:06.000 --> 00:14:08.600]  很多人就很興求聖經籤的
[00:14:08.600 --> 00:14:10.000]  知道什麼是聖經籤嗎
[00:14:10.000 --> 00:14:11.160]  擠一個好土
[00:14:11.160 --> 00:14:12.120]  然後一揭聖經
[00:14:12.120 --> 00:14:13.840]  揭到什麼就看什麼
[00:14:13.840 --> 00:14:15.120]  當時很好笑的
[00:14:15.120 --> 00:14:16.560]  人們一揭就揭到老德記
[00:14:16.560 --> 00:14:19.400]  你覺得他們移不移民呢
[00:14:19.400 --> 00:14:22.040]  那你就沒有看清楚整個故事說什麼
[00:14:22.040 --> 00:14:23.480]  當然不移民了
[00:14:23.480 --> 00:14:24.320]  爲什麼
[00:14:24.320 --> 00:14:27.280]  這個人移民之後發生了什麼事
[00:14:27.280 --> 00:14:29.280]  老公死了
[00:14:29.280 --> 00:14:33.720]  跟着兩個兒子都死了
[00:14:33.720 --> 00:14:35.280]  所以人們一揭到老德記
[00:14:35.280 --> 00:14:36.680]  千萬不要移民
[00:14:36.680 --> 00:14:38.720]  上帝都叫我不要移民
[00:14:38.720 --> 00:14:40.520]  哪羣移民呢
[00:14:40.520 --> 00:14:42.240]  一揭到創世紀
[00:14:42.240 --> 00:14:43.640]  亞伯拉罕
[00:14:43.640 --> 00:14:45.280]  離開吳爾那羣人
[00:14:45.280 --> 00:14:47.400]  上帝的旨意都是叫我離開香港
[00:14:47.400 --> 00:14:49.160]  我要移民
[00:14:49.160 --> 00:14:50.840]  大英姐妹和大家說
[00:14:50.840 --> 00:14:55.040]  絕對不要用這個方法
[00:14:55.040 --> 00:14:56.080]  這一箱
[00:14:56.080 --> 00:14:57.560]  我不是沒有求籤的
[00:14:57.560 --> 00:14:58.160]  我真的說
[00:14:58.160 --> 00:15:00.280]  她是一個無權無勢的女人
[00:15:00.280 --> 00:15:02.480]  她只是跟着丈夫
[00:15:02.480 --> 00:15:03.320]  很可憐的
[00:15:03.320 --> 00:15:06.160]  這個女人的命運
[00:15:06.160 --> 00:15:08.080]  就面對着絕望
[00:15:08.080 --> 00:15:08.840]  爲什麼
[00:15:08.840 --> 00:15:11.880]  因爲她丈夫死了已經很慘了
[00:15:11.880 --> 00:15:13.120]  最慘是什麼
[00:15:13.120 --> 00:15:15.360]  她連兩個兒子都死了
