
[00:00:00.000 --> 00:00:05.200]  今天我們繼續去重塑教會的系列裡面
[00:04:18.240 --> 00:04:21.840]  但是我們可以估到當時的外邦基督徒
[00:04:21.840 --> 00:04:26.240]  似乎和猶太的基督徒可能有點不妥
[00:04:26.240 --> 00:04:32.240]  甚至這個其中一個原因當然是猶太人一直逼迫基督徒
[00:04:32.240 --> 00:04:33.600]  一直反對他
[00:04:33.600 --> 00:04:40.240]  甚至那些外邦的基督徒對那些猶太裔的
[00:04:40.240 --> 00:04:43.920]  就是講希伯來話的基督徒似乎有點鄙視
[00:04:43.920 --> 00:04:47.520]  所以羅馬書在之前寫了幾章聖經
[00:04:47.520 --> 00:04:51.840]  保羅是讓他們正確的了解
[00:04:51.840 --> 00:04:58.240]  猶太的子孫在教會時代裏面救贖計劃的一個特別的地位
[00:04:58.240 --> 00:05:02.640]  首先的問題是他們是否真的蒙揀選
[00:05:02.640 --> 00:05:07.200]  保羅來看 神不可能完全拒絕所有的猶太人
[00:05:07.200 --> 00:05:08.240]  cut off(取消)了他們
[00:05:08.240 --> 00:05:10.800]  因為神已經和他們的始祖立約
[00:05:10.800 --> 00:05:15.040]  所以他提醒那些外邦的基督徒就揀選而言
[00:05:15.040 --> 00:05:19.600]  他們的基督徒跟他們的基督徒
