
[00:00:00.000 --> 00:00:03.000]  好,我們低頭,再次低頭禱告好嗎?
[00:02:08.000 --> 00:02:12.000]  他說如果沒有耶穌復活
[00:02:12.000 --> 00:02:16.000]  整個基督徒的信仰就垮倒了
[00:02:16.000 --> 00:02:21.000]  整個基督徒的信仰就垮倒了
[00:02:21.000 --> 00:02:41.000]  有人說這裏找到佛祖的海骨
[00:02:41.000 --> 00:02:47.000]  所以那個地方的人千千萬萬的人都上去拜了
[00:02:47.000 --> 00:02:55.000]  有人說我們找到佛祖的牙齒
[00:02:55.000 --> 00:03:01.000]  佛牙都去供奉就去拜了
[00:03:01.000 --> 00:03:06.000]  有個宣教士看到那些人那麼迷信的時候
[00:03:06.000 --> 00:03:09.000]  他就有一個醒覺
[00:03:09.000 --> 00:03:11.000]  他說如果有一天有人說
[00:03:11.000 --> 00:03:17.000]  我們找到耶穌基督的海骨了
[00:03:17.000 --> 00:03:21.000]  或者耶穌基督的牙齒了
[00:03:21.000 --> 00:03:25.000]  我們整個基督徒的信仰就全部垮倒
[00:03:25.000 --> 00:03:27.000]  爲什麼?
[00:03:27.000 --> 00:03:31.000]  因爲我們相信也有歷史的證據
[00:03:31.000 --> 00:03:36.000]  耶穌基督不是死了的教主
[00:03:36.000 --> 00:03:43.000]  耶穌基督是從死裏面復活的救主
[00:03:43.000 --> 00:03:46.000]  截然不同
[00:03:46.000 --> 00:03:50.000]  如果耶穌基督只是一個教主
[00:03:50.000 --> 00:03:53.000]  他說我是道路、真理、生命
[00:03:53.000 --> 00:03:57.000]  若不支持我沒有人能夠渡到復哪裏去
[00:03:57.000 --> 00:03:59.000]  如果耶穌在世上的時候
[00:03:59.000 --> 00:04:02.000]  他允許我們說復活在我
[00:04:02.000 --> 00:04:03.000]  生命在我
[00:04:03.000 --> 00:04:06.000]  信我的人雖然死了必定復活
[00:04:06.000 --> 00:04:09.000]  凡活着信我的人非永遠不死
[00:04:09.000 --> 00:04:12.000]  但是他自己死了
[00:04:12.000 --> 00:04:16.000]  他所講的就是謊話
[00:04:16.000 --> 00:04:18.000]  就欺騙我們
[00:04:18.000 --> 00:04:20.000]  就不真實
[00:04:20.000 --> 00:04:23.000]  你跟我所信的就突然
[00:04:23.000 --> 00:04:27.000]  我們只是心理作用
[00:04:27.000 --> 00:04:29.000]  明白嗎?
[00:04:29.000 --> 00:04:31.000]  所以有些知識分子
[00:04:31.000 --> 00:04:33.000]  包括我們中國人的知識分子
[00:04:33.000 --> 00:04:38.000]  他們覺得信仰這個東西是不可靠的
[00:04:38.000 --> 00:04:40.000]  因爲是主觀的
[00:04:40.000 --> 00:04:42.000]  信仰嘛
[00:04:42.000 --> 00:04:43.000]  你信就有嘛
[00:04:43.000 --> 00:04:46.000]  你不信就沒有了嘛
[00:04:46.000 --> 00:04:48.000]  這個東西如果這樣講
[00:04:48.000 --> 00:04:52.000]  就是你的信仰是完全是主觀的
[00:04:52.000 --> 00:04:53.000]  對嗎?
[00:04:53.000 --> 00:04:56.000]  是,有很多信仰都是這樣
[00:04:56.000 --> 00:04:58.000]  基督教不是
[00:04:58.000 --> 00:05:02.000]  我們整個的信仰如果沒有根據的
[00:05:02.000 --> 00:05:04.000]  沒有事實的
[00:05:04.000 --> 00:05:10.000]  而且事實跟他們所宣稱的
[00:05:10.000 --> 00:05:11.000]  不對稱的
[00:05:11.000 --> 00:05:14.000]  不對線的
[00:05:14.000 --> 00:05:17.000]  我們比一些只是信一些
[00:05:17.000 --> 00:05:21.000]  節理宗教的人更不如
[00:05:21.000 --> 00:05:24.000]  因爲我們信一個謊話
[00:05:24.000 --> 00:05:28.000]  We believe a lie
[00:05:28.000 --> 00:05:31.000]  所以有人說
[00:05:31.000 --> 00:05:34.000]  耶穌這個人那麼好
[00:05:34.000 --> 00:05:36.000]  教導人饒恕
[00:05:36.000 --> 00:05:38.000]  治者以身作則的
[00:05:38.000 --> 00:05:42.000]  爲人承擔人的罪咎
[00:05:42.000 --> 00:05:44.000]  跟那個強權的人不怕他們
[00:05:44.000 --> 00:05:47.000]  跟他們抵擋
[00:05:47.000 --> 00:05:51.000]  他不怕人的強權
[00:05:51.000 --> 00:05:54.000]  但是他同時也謙謙卑卑的
[00:05:54.000 --> 00:05:56.000]  跟人大便
[00:05:56.000 --> 00:05:58.000]  跟人談話
[00:05:58.000 --> 00:06:00.000]  跟人辯論
[00:06:00.000 --> 00:06:01.000]  勸勉人
[00:06:01.000 --> 00:06:04.000]  醫治病人
[00:06:04.000 --> 00:06:06.000]  趕鬼
[00:06:06.000 --> 00:06:08.000]  講很好的信息
[00:06:08.000 --> 00:06:10.000]  你說這個人好不好
[00:06:10.000 --> 00:06:12.000]  這個人好不好
[00:06:12.000 --> 00:06:14.000]  從歷史裏面
[00:06:14.000 --> 00:06:16.000]  無論是基督徒非基督徒
[00:06:16.000 --> 00:06:20.000]  他們都很尊重耶穌
[00:06:20.000 --> 00:06:22.000]  如果那麼好就算了
[00:06:22.000 --> 00:06:24.000]  就不要在耶穌的故事
[00:06:24.000 --> 00:06:28.000]  加一個什麼耶穌復活
[00:06:28.000 --> 00:06:29.000]  對不對
[00:06:29.000 --> 00:06:32.000]  特別無神論的我們中國人
[00:06:32.000 --> 00:06:35.000]  我們就不信這套
[00:06:35.000 --> 00:06:38.000]  你給我看到的時候我都信
[00:06:38.000 --> 00:06:40.000]  你有歷史的證據我信
[00:06:40.000 --> 00:06:42.000]  你沒有的時候我不能夠相信
[00:06:42.000 --> 00:06:44.000]  所以他們覺得
[00:06:44.000 --> 00:06:46.000]  你們信耶穌
[00:06:46.000 --> 00:06:47.000]  信佛教
[00:06:47.000 --> 00:06:48.000]  信什麼人都好
[00:06:48.000 --> 00:06:51.000]  其實你可以信這些信仰的問題
[00:06:51.000 --> 00:06:52.000]  但是與我無關
[00:06:52.000 --> 00:06:57.000]  因爲這個不科學化
[00:06:57.000 --> 00:06:59.000]  現在我們回到
[00:06:59.000 --> 00:07:03.000]  整個基督徒信仰最重要的
[00:07:03.000 --> 00:07:05.000]  一個的重點
[00:07:05.000 --> 00:07:06.000]  一個的事實
[00:07:06.000 --> 00:07:07.000]  基督徒說
[00:07:07.000 --> 00:07:09.000]  耶穌基督的復活
[00:07:09.000 --> 00:07:11.000]  是事實
[00:07:11.000 --> 00:07:13.000]  歷史的事實
[00:07:13.000 --> 00:07:15.000]  可以經得起
[00:07:15.000 --> 00:07:18.000]  一般談論歷史的事件
[00:07:18.000 --> 00:07:21.000]  的一樣的條件
[00:07:21.000 --> 00:07:23.000]  程度都可以用來
[00:07:23.000 --> 00:07:25.000]  對證耶穌基督有沒有復活
[00:07:25.000 --> 00:07:29.000]  譬如說
[00:07:29.000 --> 00:07:33.000]  辛亥革命
[00:07:33.000 --> 00:07:36.000]  1911年有沒有這件事
[00:07:36.000 --> 00:07:39.000]  你怎麼知道有這件事
[00:07:39.000 --> 00:07:40.000]  你見過嗎
[00:07:40.000 --> 00:07:42.000]  請問你幾歲
[00:07:42.000 --> 00:07:46.000]  你哪年出生
[00:07:46.000 --> 00:07:48.000]  你都不是1911年
[00:07:48.000 --> 00:07:50.000]  哪個時代出生
[00:07:50.000 --> 00:07:56.000]  爲什麼你說有
[00:07:56.000 --> 00:07:58.000]  歷史的記載
[00:07:58.000 --> 00:08:02.000]  哪本歷史書
[00:08:02.000 --> 00:08:06.000]  你看過哪本歷史書
[00:08:06.000 --> 00:08:07.000]  近代史很好
[00:08:07.000 --> 00:08:09.000]  我相信你我都會看過一點
[00:08:09.000 --> 00:08:12.000]  對嗎
[00:08:12.000 --> 00:08:14.000]  你怎麼知道哪個作者是誰
[00:08:14.000 --> 00:08:16.000]  你怎麼知道他
[00:08:16.000 --> 00:08:20.000]  他所寫的是對的
[00:08:20.000 --> 00:08:22.000]  你說他是什麼
[00:08:22.000 --> 00:08:28.000]  北京大學的歷史系的教授
[00:08:28.000 --> 00:08:33.000]  大學裏面有沒有人騙人的
[00:08:33.000 --> 00:08:38.000]  有沒有從不同的觀點去看歷史的
[00:08:38.000 --> 00:08:44.000]  曾經有沒有人捏造一些證據出來的
[00:08:44.000 --> 00:08:47.000]  我怎麼能夠相信他
[00:08:47.000 --> 00:08:49.000]  你說不
[00:08:49.000 --> 00:08:50.000]  有
[00:08:50.000 --> 00:08:55.000]  這是墓籍的證人
[00:08:55.000 --> 00:08:58.000]  他們有寫他是哪個年代的
[00:08:58.000 --> 00:08:59.000]  然後記載來
[00:08:59.000 --> 00:09:01.000]  後來有人驗證
[00:09:01.000 --> 00:09:03.000]  一代一代這樣對不對
[00:09:03.000 --> 00:09:07.000]  他需要在時間跟空間裏面發生的
[00:09:07.000 --> 00:09:09.000]  他會有原因
[00:09:09.000 --> 00:09:10.000]  有結果
[00:09:10.000 --> 00:09:12.000]  有因果關係
[00:09:12.000 --> 00:09:15.000]  歷史家要講到有因
[00:09:15.000 --> 00:09:16.000]  有果
[00:09:16.000 --> 00:09:17.000]  有歷史
[00:09:17.000 --> 00:09:19.000]  有時空發生的事
[00:09:19.000 --> 00:09:20.000]  對不對
[00:09:20.000 --> 00:09:23.000]  所以你可以用同樣一個的證據
[00:09:23.000 --> 00:09:27.000]  去驗證耶穌是否
[00:09:27.000 --> 00:09:31.000]  有這件事在歷史裏面出現
[00:09:31.000 --> 00:09:33.000]  你可以這樣做
[00:09:33.000 --> 00:09:36.000]  因爲在耶穌之前
[00:09:36.000 --> 00:09:41.000]  耶穌是大概公元三到五年出生的
[00:09:41.000 --> 00:09:43.000]  之前有沒有歷史的
[00:09:43.000 --> 00:09:44.000]  有
[00:09:44.000 --> 00:09:45.000]  當然有了嘛
[00:09:45.000 --> 00:09:47.000]  中國歷史
[00:09:47.000 --> 00:09:48.000]  埃及歷史
[00:09:48.000 --> 00:09:49.000]  什麼歷史都有
[00:09:49.000 --> 00:09:50.000]  是嗎
[00:09:50.000 --> 00:09:52.000]  都有比耶穌早
[00:09:52.000 --> 00:09:54.000]  不過耶穌來
[00:09:54.000 --> 00:09:58.000]  是神上帝道成了肉身來到世間
[00:09:58.000 --> 00:10:02.000]  爲了要讓人認識他
[00:10:02.000 --> 00:10:04.000]  他爲什麼來到世間
[00:10:04.000 --> 00:10:07.000]  來到世間不得了
[00:10:07.000 --> 00:10:11.000]  但是我怎麼知道他是神來到世間
[00:10:11.000 --> 00:10:12.000]  他說
[00:10:12.000 --> 00:10:14.000]  我與父緣爲一
[00:10:14.000 --> 00:10:15.000]  耶穌講的
[00:10:15.000 --> 00:10:17.000]  約翰福音第十章
[00:10:17.000 --> 00:10:18.000]  哇不得了
[00:10:18.000 --> 00:10:21.000]  那個猶太人就要拿石頭打他了
[00:10:21.000 --> 00:10:24.000]  誰敢講他與父緣爲一
[00:10:24.000 --> 00:10:25.000]  那個意思就是說我就是神了
[00:10:25.000 --> 00:10:26.000]  你明白嗎
[00:10:26.000 --> 00:10:28.000]  誰敢說這句話
[00:10:28.000 --> 00:10:30.000]  說猶太人要打他
[00:10:30.000 --> 00:10:31.000]  要避害他
[00:10:31.000 --> 00:10:33.000]  因爲他說前往的話
[00:10:33.000 --> 00:10:34.000]  是不對的
[00:10:34.000 --> 00:10:36.000]  不能夠這樣講的
[00:10:36.000 --> 00:10:39.000]  但是耶穌很謙卑的
[00:10:39.000 --> 00:10:43.000]  無論是他做的神之啓示
[00:10:43.000 --> 00:10:44.000]  那些人如果不是
[00:10:44.000 --> 00:10:45.000]  他們看到神之啓示
[00:10:45.000 --> 00:10:48.000]  如果不是神
[00:10:48.000 --> 00:10:52.000]  沒有人能夠做這件事
[00:10:52.000 --> 00:10:53.000]  無論是五餅二魚
[00:10:53.000 --> 00:10:56.000]  這是變成餅
[00:10:56.000 --> 00:10:58.000]  給他們能夠喫
[00:10:58.000 --> 00:10:59.000]  無論是醫病
[00:10:59.000 --> 00:11:01.000]  無論是趕鬼
[00:11:01.000 --> 00:11:03.000]  他是彰顯神的大能
[00:11:03.000 --> 00:11:07.000]  不得了
[00:11:07.000 --> 00:11:11.000]  所以這個告訴我們一件什麼事
[00:11:11.000 --> 00:11:13.000]  我們要了解一樣事
[00:11:13.000 --> 00:11:15.000]  就是說
[00:11:15.000 --> 00:11:18.000]  我們不單只是信不信
[00:11:18.000 --> 00:11:22.000]  我們要看有沒有這件事
[00:11:22.000 --> 00:11:25.000]  所以基督教的信仰
[00:11:25.000 --> 00:11:30.000]  建立在整個的客觀歷史爲事實
[00:11:30.000 --> 00:11:34.000]  耶穌基督的復活
[00:11:34.000 --> 00:11:36.000]  是一件歷史的事實
[00:11:36.000 --> 00:11:38.000]  因爲聖經裏面說
[00:11:38.000 --> 00:11:42.000]  剛纔十五章十四到十九節
[00:11:42.000 --> 00:11:44.000]  我們看一看
[00:11:44.000 --> 00:11:46.000]  如果基督沒有復活
[00:11:46.000 --> 00:11:49.000]  我們所傳的便是恍然
[00:11:49.000 --> 00:11:52.000]  你們所信的也是恍然
[00:11:52.000 --> 00:11:54.000]  我們若靠基督
[00:11:54.000 --> 00:11:57.000]  只在今生有指望
[00:11:57.000 --> 00:12:01.000]  就算比衆人都怎麼樣
[00:12:01.000 --> 00:12:02.000]  更可憐了
[00:12:02.000 --> 00:12:07.000]  第十四節跟十九節
[00:12:07.000 --> 00:12:10.000]  耶穌基督從死裏面復活
[00:12:10.000 --> 00:12:12.000]  以大能顯明他是神的兒子
[00:12:12.000 --> 00:12:16.000]  要就一切相信的
[00:12:16.000 --> 00:12:19.000]  那麼你問爲什麼耶穌
[00:12:19.000 --> 00:12:21.000]  要從死裏面復活呢
[00:12:21.000 --> 00:12:22.000]  第一
[00:12:22.000 --> 00:12:25.000]  因爲他要勝過死亡
[00:12:25.000 --> 00:12:28.000]  死亡就是罪的結果
[00:12:28.000 --> 00:12:30.000]  如果他只是死
[00:12:30.000 --> 00:12:33.000]  但是沒有活
[00:12:33.000 --> 00:12:37.000]  他就不能夠給人一個新的生命
[00:12:37.000 --> 00:12:42.000]  就不能夠真正地解決死亡的問題
[00:12:42.000 --> 00:12:44.000]  因爲他自己也死了
[00:12:44.000 --> 00:12:46.000]  但是整個的信仰不是
[00:12:46.000 --> 00:12:48.000]  基督徒的信仰
[00:12:48.000 --> 00:12:52.000]  不是講一個的安慰
[00:12:52.000 --> 00:12:55.000]  不是一個勸人行善
[00:12:55.000 --> 00:12:58.000]  基督徒的信仰是告訴我們
[00:12:58.000 --> 00:13:00.000]  要給我們生命
[00:13:00.000 --> 00:13:05.000]  要給我們出死入生
[00:13:05.000 --> 00:13:10.000]  很不一樣
[00:13:10.000 --> 00:13:12.000]  我們不是談節理
[00:13:12.000 --> 00:13:15.000]  我們是談一個不得了的東西
[00:13:15.000 --> 00:13:16.000]  就是說
[00:13:16.000 --> 00:13:20.000]  你在生的年日你跟我
[00:13:20.000 --> 00:13:22.000]  開兩個燈泡
[00:13:22.000 --> 00:13:27.000]  平常你一進來
[00:13:27.000 --> 00:13:29.000]  如果你一進來的時候
[00:13:29.000 --> 00:13:30.000]  你一開那個燈
[00:13:30.000 --> 00:13:32.000]  兩個燈泡都亮了
[00:13:32.000 --> 00:13:34.000]  但是有一天你進來的時候
[00:13:34.000 --> 00:13:35.000]  一開那個燈
[00:13:35.000 --> 00:13:37.000]  只有一個亮一個不亮
[00:13:37.000 --> 00:13:39.000]  好了我問你
[00:13:39.000 --> 00:13:41.000]  是否沒有電
[00:13:41.000 --> 00:13:42.000]  是不是沒有電
[00:13:42.000 --> 00:13:43.000]  不是沒有電
[00:13:43.000 --> 00:13:45.000]  只是一個燈泡怎麼樣
[00:13:45.000 --> 00:13:46.000]  它壞掉了
[00:13:46.000 --> 00:13:48.000]  那個燈是斷了是不是
[00:13:48.000 --> 00:13:49.000]  不是沒有電
[00:13:49.000 --> 00:13:51.000]  進不去
[00:13:51.000 --> 00:13:52.000]  那麼我就問你了
[00:13:52.000 --> 00:13:53.000]  那個燈泡的作用
[00:13:53.000 --> 00:13:56.000]  要來做什麼
[00:13:56.000 --> 00:13:58.000]  發光照明
[00:13:58.000 --> 00:14:00.000]  如果那個燈泡沒有發光
[00:14:00.000 --> 00:14:01.000]  沒有照明
[00:14:01.000 --> 00:14:03.000]  你說不要浪費它了
[00:14:03.000 --> 00:14:05.000]  我很喜歡油畫的
[00:14:05.000 --> 00:14:06.000]  所以我將那個燈泡
[00:14:06.000 --> 00:14:08.000]  有一些花在上面
[00:14:08.000 --> 00:14:09.000]  很漂亮的花
[00:14:09.000 --> 00:14:11.000]  然後放在桌子上
[00:14:11.000 --> 00:14:13.000]  都很漂亮
[00:14:13.000 --> 00:14:14.000]  不要浪費它
[00:14:14.000 --> 00:14:15.000]  你可以這樣做
[00:14:15.000 --> 00:14:16.000]  你可以分析一下
[00:14:16.000 --> 00:14:18.000]  但是請問這個燈泡
[00:14:18.000 --> 00:14:20.000]  還能不能夠產生
[00:14:20.000 --> 00:14:23.000]  做燈泡的功能
[00:14:23.000 --> 00:14:25.000]  完全逝去
[00:14:25.000 --> 00:14:27.000]  因爲簡單就是發光
[00:14:27.000 --> 00:14:29.000]  如果用結學的詞來講
[00:14:29.000 --> 00:14:32.000]  那個燈泡是存在
[00:14:32.000 --> 00:14:34.000]  但是不是活着
[00:14:34.000 --> 00:14:36.000]  如果從人的角度
[00:14:36.000 --> 00:14:38.000]  所以什麼意思
[00:14:38.000 --> 00:14:39.000]  我們在生的年月
[00:14:39.000 --> 00:14:41.000]  信有耶穌之後
[00:14:41.000 --> 00:14:44.000]  重生是什麼意思
[00:14:44.000 --> 00:14:46.000]  重生是什麼意思
[00:14:46.000 --> 00:14:48.000]  就好像那個燈泡
[00:14:48.000 --> 00:14:51.000]  再次能夠發亮了
[00:14:51.000 --> 00:14:52.000]  明白嗎
[00:14:52.000 --> 00:14:55.000]  再能夠跟那個電源通了
[00:14:55.000 --> 00:14:59.000]  再能夠產生那個燈泡的功能了
[00:14:59.000 --> 00:15:00.000]  所以聖經裏面說
[00:15:00.000 --> 00:15:02.000]  若有人在基督裏面
[00:15:02.000 --> 00:15:04.000]  他就是什麼
[00:15:04.000 --> 00:15:06.000]  新造的人
[00:15:06.000 --> 00:15:09.000]  不是說若有人在基督裏
[00:15:09.000 --> 00:15:11.000]  他就能夠做新的事
[00:15:11.000 --> 00:15:12.000]  不是
[00:15:12.000 --> 00:15:14.000]  他說若有人在基督裏
[00:15:14.000 --> 00:15:16.000]  他就是新造的人
[00:15:16.000 --> 00:15:18.000]  這個華語我會的
[00:15:18.000 --> 00:15:20.000]  創造的造
[00:15:20.000 --> 00:15:22.000]  不是創作
[00:15:22.000 --> 00:15:24.000]  廣東話一樣的
[00:15:24.000 --> 00:15:26.000]  創造
[00:15:26.000 --> 00:15:29.000]  原文是什麼意思
[00:15:29.000 --> 00:15:31.000]  靈後五章十七節
[00:15:31.000 --> 00:15:33.000]  哪個意思是說
[00:15:33.000 --> 00:15:35.000]  如果有人在基督裏面
[00:15:35.000 --> 00:15:39.000]  他是一個新的創造
[00:15:39.000 --> 00:15:43.000]  He is a new creation
[00:15:43.000 --> 00:15:45.000]  不得了
[00:15:45.000 --> 00:15:46.000]  你我的生命
[00:15:46.000 --> 00:15:49.000]  如果不是因爲信了耶穌
[00:15:49.000 --> 00:15:52.000]  到今天你還是迷迷糊糊的
[00:15:52.000 --> 00:15:54.000]  你會還是很失落的
[00:15:54.000 --> 00:15:57.000]  你還是一個被粉飾的一個燈泡
[00:15:57.000 --> 00:15:59.000]  但是不能夠發生功能的
[00:15:59.000 --> 00:16:00.000]  就是說
[00:16:00.000 --> 00:16:02.000]  凡是相信耶穌的人
[00:16:02.000 --> 00:16:03.000]  就重生
[00:16:03.000 --> 00:16:04.000]  就有新的生命
[00:16:04.000 --> 00:16:07.000]  因爲耶穌基督是復活的主
[00:16:07.000 --> 00:16:09.000]  他能夠給你那個
[00:16:09.000 --> 00:16:11.000]  已經失去了功能的燈泡
[00:16:11.000 --> 00:16:14.000]  再次亮起來
[00:16:14.000 --> 00:16:15.000]  親愛的弟兄姐妹
[00:16:15.000 --> 00:16:17.000]  你有耶穌嗎
[00:16:17.000 --> 00:16:19.000]  你已經有耶穌嗎
[00:16:19.000 --> 00:16:21.000]  如果沒有的時候
[00:16:21.000 --> 00:16:26.000]  今天就是上帝邀請你的時候
[00:16:26.000 --> 00:16:28.000]  讓你能夠生命
[00:16:28.000 --> 00:16:30.000]  也再次點亮起來
[00:16:30.000 --> 00:16:32.000]  好嗎
[00:16:32.000 --> 00:16:35.000]  關於死跟活
[00:16:35.000 --> 00:16:37.000]  什麼永生
[00:16:37.000 --> 00:16:40.000]  永生是什麼時候開始
[00:16:40.000 --> 00:16:43.000]  我們初心成長的時候
[00:16:43.000 --> 00:16:44.000]  五個缺句
[00:16:44.000 --> 00:16:46.000]  我們就要教那些悟道的朋友
[00:16:46.000 --> 00:16:48.000]  這個東西很重要
[00:16:48.000 --> 00:16:52.000]  永生不是好像那個賣棺材的
[00:16:52.000 --> 00:16:54.000]  那個永生殿
[00:16:54.000 --> 00:16:56.000]  永別殿
[00:16:56.000 --> 00:16:58.000]  不是這個意思
[00:16:58.000 --> 00:17:03.000]  不是說死了之後纔開始
[00:17:03.000 --> 00:17:07.000]  是什麼時候開始了
[00:17:07.000 --> 00:17:12.000]  信主的時候就開始
[00:17:12.000 --> 00:17:13.000]  爲什麼
[00:17:13.000 --> 00:17:16.000]  因爲我們信主的那一刻
[00:17:16.000 --> 00:17:20.000]  我們就跟上帝在界上關係了
[00:17:20.000 --> 00:17:23.000]  我們跟他通了
[00:17:23.000 --> 00:17:30.000]  而且我們與永生的上帝通了
[00:17:30.000 --> 00:17:33.000]  而且這個關係永遠不改變
[00:17:33.000 --> 00:17:35.000]  這就是永生
[00:17:35.000 --> 00:17:37.000]  永生是個關係
[00:17:37.000 --> 00:17:39.000]  永生不是你擁有一些東西
[00:17:39.000 --> 00:17:41.000]  這個我信了耶穌了
[00:17:41.000 --> 00:17:42.000]  我擁有這個東西很高興
[00:17:42.000 --> 00:17:44.000]  我放在我的口袋裏面
[00:17:44.000 --> 00:17:46.000]  我有這個錢
[00:17:46.000 --> 00:17:48.000]  很寶貴很寶貴
[00:17:48.000 --> 00:17:50.000]  但是我的東西
[00:17:50.000 --> 00:17:52.000]  你不能夠拿去
[00:17:52.000 --> 00:17:57.000]  基督徒所謂重生不是拿到東西
[00:17:57.000 --> 00:17:59.000]  完全不是
[00:17:59.000 --> 00:18:06.000]  基督徒重生是生命與生命的主宰
[00:18:06.000 --> 00:18:09.000]  再次通了
[00:18:09.000 --> 00:18:11.000]  復原了
[00:18:11.000 --> 00:18:13.000]  恢復了
[00:18:13.000 --> 00:18:16.000]  所以我們非常開心的
[00:18:16.000 --> 00:18:18.000]  我信主那麼多年
[00:18:18.000 --> 00:18:20.000]  從中學信耶穌
[00:18:20.000 --> 00:18:23.000]  到今天越來越開心
[00:18:23.000 --> 00:18:25.000]  真的我不是說笑的
[00:18:25.000 --> 00:18:27.000]  不是沒有困難
[00:18:27.000 --> 00:18:32.000]  我這個禮拜都遇到很大的困難
[00:18:32.000 --> 00:18:34.000]  最大的困難
[00:18:34.000 --> 00:18:35.000]  你最大的困難是什麼
[00:18:35.000 --> 00:18:36.000]  就給人誤會
[00:18:36.000 --> 00:18:38.000]  給人攻擊
[00:18:38.000 --> 00:18:39.000]  給人誣告
[00:18:39.000 --> 00:18:40.000]  都會有的
[00:18:40.000 --> 00:18:43.000]  我都會有的
[00:18:43.000 --> 00:18:45.000]  但是神的恩典夠用
[00:18:45.000 --> 00:18:47.000]  還是那麼開心
[00:18:47.000 --> 00:18:50.000]  因爲主的恩典夠我們用
[00:18:50.000 --> 00:18:53.000]  因爲有耶穌保住我們
[00:18:53.000 --> 00:18:56.000]  保住我們
[00:18:56.000 --> 00:18:59.000]  有耶穌在我們裏面不怕的
[00:18:59.000 --> 00:19:03.000]  而且
[00:19:03.000 --> 00:19:07.000]  有一天當你我離開世界
[00:19:07.000 --> 00:19:10.000]  通常不思想信仰的人
[00:19:10.000 --> 00:19:13.000]  多半是年輕人
[00:19:13.000 --> 00:19:16.000]  或者是很有知識的人
[00:19:16.000 --> 00:19:18.000]  因爲他覺得第一
[00:19:18.000 --> 00:19:20.000]  我還沒有死
[00:19:20.000 --> 00:19:21.000]  你不要跟我講死的問題
[00:19:21.000 --> 00:19:25.000]  太遠了那個東西
[00:19:25.000 --> 00:19:27.000]  第二
[00:19:27.000 --> 00:19:31.000]  我所有東西可以用我的頭腦去解決
[00:19:31.000 --> 00:19:36.000]  是嗎
[00:19:36.000 --> 00:19:38.000]  那麼我回到這裏講到
[00:19:38.000 --> 00:19:39.000]  我只是講一點
[00:19:39.000 --> 00:19:42.000]  關於耶穌的活活的歷史的事實
[00:19:42.000 --> 00:19:44.000]  有幾方面
[00:19:44.000 --> 00:19:45.000]  我們可以
[00:19:45.000 --> 00:19:47.000]  這是要講的
[00:19:47.000 --> 00:19:50.000]  第一方面是事實本身的證據
[00:19:50.000 --> 00:19:52.000]  第二是歷史的考證
[00:19:52.000 --> 00:19:54.000]  第三是聖經的預言
[00:19:54.000 --> 00:19:57.000]  第四是耶穌復活的歷史的
[00:19:57.000 --> 00:20:04.000]  印痕
[00:20:04.000 --> 00:20:06.000]  那麼還有學者跟專家的證詞
[00:20:06.000 --> 00:20:08.000]  他們都很多不信的
[00:20:08.000 --> 00:20:09.000]  但是後來都相信
[00:20:09.000 --> 00:20:12.000]  然後復活之事到今天
