
[00:00:00.000 --> 00:00:02.000]  各位好嗎?
[00:04:30.000 --> 00:04:34.000]  So verse 1 says, thanks Clarence.
[00:04:34.000 --> 00:04:46.000]  (主席)
[00:04:46.000 --> 00:04:54.000]  So God wants us to see what will happen in the context of what has happened and what is happening now.
[00:04:54.000 --> 00:05:04.000]  (主席)
[00:05:04.000 --> 00:05:24.000]  And so we are encouraged in verse 3 with these words.
[00:05:24.000 --> 00:05:46.000]  (主席)
[00:05:46.000 --> 00:06:00.000]  I won't get you to translate that your senior pastor is very fat because of pizza. But I like my favorite is not supreme. Supreme pizza is called supreme because it has everything on it.
[00:06:00.000 --> 00:06:15.000]  (主席)
[00:06:15.000 --> 00:06:29.000]  But its not supreme. When I was at college my wife and I lived in Marrickville and there was an Italian pizza shop there that was fantastic.
[00:06:29.000 --> 00:06:37.000]  (主席)
[00:06:37.000 --> 00:06:57.000]  And they made not just pizza they made this thing called calzone. I am just introducing a third language here. Maybe you can say it calzone. Can you say it calzone.
[00:06:57.000 --> 00:07:14.000]  It's better than pizza. It is supreme. It's like a pizza folded in half filled with cheese and lots of flavors.
[00:07:14.000 --> 00:07:26.000]  If you don't like pizza you must try calzone. In my opinion it is supreme. It is the best.
[00:07:26.000 --> 00:07:31.000]  (主席)
[00:07:31.000 --> 00:07:36.000]  What I want us to think about today is what is supreme in your life.
[00:07:36.000 --> 00:07:42.000]  (主席)
[00:07:42.000 --> 00:07:57.000]  What is over everything. What is the best. What is supreme. Because it is easy to read revelation thinking what is going to happen next. The world is ending. Fire and brimstone. But it is actually much more than that.
[00:07:57.000 --> 00:08:10.000]  (主席)
[00:08:10.000 --> 00:08:14.000]  Revelation is a matter for our hearts.
[00:08:14.000 --> 00:08:18.000]  (主席)
[00:08:18.000 --> 00:08:23.000]  We are told to take to heart what we hear.
[00:08:23.000 --> 00:08:28.000]  (主席)
[00:08:28.000 --> 00:08:35.000]  And this is the thing I really like us to take to heart. Who is supreme over your life.
[00:08:35.000 --> 00:08:43.000]  (主席)
[00:08:43.000 --> 00:08:52.000]  Last time we finished reading Daniel which the second half is an apocalyptic book like revelation about the end times.
[00:08:52.000 --> 00:09:00.000]  (主席)
[00:09:00.000 --> 00:09:16.000]  And we read in Daniel about kingdom after kingdom rising and falling and rising and falling. Israel, Babylon, Media, Persia, Greece, Rome. Every supreme kingdom is not supreme.
[00:09:16.000 --> 00:09:29.000]  (主席)
[00:09:29.000 --> 00:09:41.000]  And now as we read revelation the people of God are facing a very similar situation to Daniel and this is the time of Roman emperors like Domitian.
[00:09:41.000 --> 00:09:55.000]  (主席)
[00:09:55.000 --> 00:10:03.000]  The mission was awful. He crucified the bishop of Jerusalem and he boiled Christians in oil.
[00:10:03.000 --> 00:10:13.000]  (主席)
[00:10:13.000 --> 00:10:23.000]  Just like the time of Daniel this was a terrible time for God's people. People were told, were made, ordered to worship the emperor.
[00:10:23.000 --> 00:10:35.000]  (主席)
[00:10:35.000 --> 00:10:44.000]  And you might remember Daniel 6 when everyone had to bow down to the statue made by Darius and Daniel ended up in the lion's den.
[00:10:44.000 --> 00:11:00.000]  (主席)
[00:11:00.000 --> 00:11:18.000]  And so like Daniel and like the first century Christians we also need to think who do I bow down to?
[00:11:18.000 --> 00:11:22.000]  (主席)
[00:11:22.000 --> 00:11:37.000]  Because what the rest of these opening verses of revelation tell us is that there is only one who is supreme and the whole book of revelation keeps pointing us back to him.
[00:11:37.000 --> 00:11:51.000]  (主席)
[00:11:51.000 --> 00:12:01.000]  Past, present and future Jesus is the supreme king over all as we see in verses 4 and 8.
[00:12:01.000 --> 00:12:12.000]  (主席)
[00:12:12.000 --> 00:12:35.000]  (主席)
[00:12:35.000 --> 00:12:44.000]  (主席)
[00:12:44.000 --> 00:12:50.000]  (主席)
[00:12:50.000 --> 00:13:09.000]  (主席)
[00:13:09.000 --> 00:13:28.000]  (主席)
[00:13:28.000 --> 00:13:43.000]  (主席)
[00:13:43.000 --> 00:13:51.000]  (主席)
[00:13:51.000 --> 00:14:11.000]  (主席)
[00:14:11.000 --> 00:14:22.000]  (主席)
[00:14:22.000 --> 00:14:34.000]  (主席)
[00:14:34.000 --> 00:14:47.000]  (主席)
[00:14:47.000 --> 00:15:01.000]  (主席)
[00:15:01.000 --> 00:15:07.000]  (主席)
[00:15:07.000 --> 00:15:19.000]  (主席)
[00:15:19.000 --> 00:15:34.000]  (主席)
[00:15:34.000 --> 00:15:40.000]  (主席)
[00:15:40.000 --> 00:15:52.000]  (主席)
[00:15:52.000 --> 00:16:01.000]  (主席)
[00:16:01.000 --> 00:16:11.000]  (主席)
[00:16:11.000 --> 00:16:21.000]  (主席)
[00:16:21.000 --> 00:16:31.000]  (主席)
[00:16:31.000 --> 00:16:41.000]  (主席)
[00:16:41.000 --> 00:16:51.000]  (主席)
[00:16:51.000 --> 00:17:01.000]  (主席)
[00:17:01.000 --> 00:17:11.000]  (主席)
[00:17:11.000 --> 00:17:21.000]  (主席)
[00:17:21.000 --> 00:17:31.000]  (主席)
[00:17:31.000 --> 00:17:41.000]  (主席)
[00:17:41.000 --> 00:17:51.000]  (主席)
[00:17:51.000 --> 00:18:01.000]  (主席)
[00:18:01.000 --> 00:18:11.000]  (主席)
[00:18:11.000 --> 00:18:21.000]  (主席)
[00:18:21.000 --> 00:18:31.000]  (主席)
[00:18:31.000 --> 00:18:51.000]  (主席)
[00:18:51.000 --> 00:19:01.000]  (主席)
[00:19:01.000 --> 00:19:11.000]  (主席)
[00:19:11.000 --> 00:19:21.000]  (主席)
[00:19:21.000 --> 00:19:31.000]  (主席)
[00:19:31.000 --> 00:19:41.000]  (主席)
[00:19:41.000 --> 00:19:51.000]  (主席)
[00:19:51.000 --> 00:20:01.000]  (主席)
[00:20:01.000 --> 00:20:11.000]  (主席)
[00:20:11.000 --> 00:20:21.000]  (主席)
[00:20:21.000 --> 00:20:41.000]  (主席)
[00:20:41.000 --> 00:20:51.000]  (主席)
[00:20:51.000 --> 00:21:11.000]  (主席)
[00:21:11.000 --> 00:21:21.000]  (主席)
[00:21:21.000 --> 00:21:31.000]  (主席)
[00:21:31.000 --> 00:21:41.000]  (主席)
[00:21:41.000 --> 00:21:51.000]  (主席)
[00:21:51.000 --> 00:22:01.000]  (主席)
[00:22:01.000 --> 00:22:11.000]  (主席)
[00:22:11.000 --> 00:22:21.000]  (主席)
[00:22:21.000 --> 00:22:31.000]  (主席)
[00:22:31.000 --> 00:22:41.000]  (主席)
[00:22:41.000 --> 00:22:51.000]  (主席)
[00:22:51.000 --> 00:23:01.000]  (主席)
[00:23:01.000 --> 00:23:11.000]  (主席)
[00:23:11.000 --> 00:23:21.000]  (主席)
[00:23:21.000 --> 00:23:31.000]  (主席)
[00:23:31.000 --> 00:23:41.000]  (主席)
[00:23:41.000 --> 00:23:51.000]  (主席)
[00:23:51.000 --> 00:24:01.000]  (主席)
[00:24:01.000 --> 00:24:11.000]  (主席)
[00:24:11.000 --> 00:24:21.000]  (主席)
[00:24:21.000 --> 00:24:31.000]  (主席)
[00:24:31.000 --> 00:24:41.000]  (主席)
[00:24:41.000 --> 00:24:51.000]  (主席)
[00:24:51.000 --> 00:25:01.000]  (主席)
[00:25:01.000 --> 00:25:11.000]  (主席)
[00:25:11.000 --> 00:25:21.000]  (主席)
[00:25:21.000 --> 00:25:31.000]  (主席)
[00:25:31.000 --> 00:25:41.000]  (主席)
[00:25:41.000 --> 00:25:51.000]  (主席)
[00:25:51.000 --> 00:26:01.000]  (主席)
[00:26:01.000 --> 00:26:21.000]  (主席)
[00:26:21.000 --> 00:26:31.000]  (主席)
[00:26:31.000 --> 00:26:41.000]  (主席)
[00:26:41.000 --> 00:26:51.000]  (主席)
[00:26:51.000 --> 00:27:01.000]  (主席)
[00:27:01.000 --> 00:27:11.000]  (主席)
[00:27:11.000 --> 00:27:21.000]  (主席)
[00:27:21.000 --> 00:27:31.000]  (主席)
[00:27:31.000 --> 00:27:51.000]  (主席)
[00:27:51.000 --> 00:28:01.000]  (主席)
[00:28:01.000 --> 00:28:11.000]  (主席)
[00:28:11.000 --> 00:28:21.000]  (主席)
[00:28:21.000 --> 00:28:31.000]  (主席)
[00:28:31.000 --> 00:28:41.000]  (主席)
[00:28:41.000 --> 00:29:01.000]  (主席)
[00:29:01.000 --> 00:29:11.000]  (主席)
[00:29:11.000 --> 00:29:31.000]  (主席)
[00:29:31.000 --> 00:29:41.000]  (主席)
[00:29:41.000 --> 00:29:51.000]  (主席)
[00:29:51.000 --> 00:30:01.000]  (主席)
[00:30:01.000 --> 00:30:11.000]  (主席)
[00:30:11.000 --> 00:30:21.000]  (主席)
[00:30:21.000 --> 00:30:31.000]  (主席)
[00:30:31.000 --> 00:30:41.000]  (主席)
[00:30:41.000 --> 00:31:03.000]  (主席)
[00:31:03.000 --> 00:31:13.000]  (主席)
[00:31:13.000 --> 00:31:23.000]  (主席)
[00:31:23.000 --> 00:31:33.000]  (主席)
[00:31:33.000 --> 00:31:55.000]  (主席)
[00:31:55.000 --> 00:32:05.000]  (主席)
[00:32:05.000 --> 00:32:15.000]  (主席)
[00:32:15.000 --> 00:32:25.000]  (主席)
