
[00:00:00.000 --> 00:00:04.000]  「逃性」 即是逃跑的逃
[00:04:16.000 --> 00:04:25.000]  他說Mabel偷了我的蛋糕 她吃了 我放在冰箱裡 明明只有她打開冰箱
[00:04:25.000 --> 00:04:34.000]  他說我沒有 我沒有 你明白嗎 我又看不到 你說甚麼都可以 他說他真的沒有
[00:04:34.000 --> 00:04:41.000]  我就不相信Mabel 當然是智慧 是吧
[00:04:42.000 --> 00:04:48.000]  她說炸雞衣看不到 就吃了我的東西 他說是嗎 我都不知自己吃了甚麼
[00:04:48.000 --> 00:04:56.000]  雪芬給我的 她給我吃的 怎樣呢 我又憤憤不平
[00:04:56.000 --> 00:05:06.000]  我覺得不公道 你有沒有見過在家庭裡 兄弟姐妹 同事朋友
[00:05:07.000 --> 00:05:14.000]  有一些覺得不公道的事 但是爭論不到 沒有結果 因為沒有人知道事實是怎樣
[00:05:14.000 --> 00:05:19.000]  你又想做和事佬 最後可以怎樣收場
[00:05:19.000 --> 00:05:26.000]  我講你聖經的智慧在哪裡 我們看輔助經文第二段
[00:05:27.000 --> 00:05:39.000]  《春海及記》二十二章十一到十二節 十一到十一 記錯了 我有誤犯的罪
[00:05:39.000 --> 00:05:41.000]  我們一起讀 預備起
[00:05:57.000 --> 00:06:05.000]  「自己沒有伸手拿著石頭洗 願主英明教誓言 所講人不必高尚」
[00:06:05.000 --> 00:06:16.000]  聖經就是這樣教導 經文的背景是 如果我找了Wilson幫我看著一隻牛
[00:06:17.000 --> 00:06:27.000]  走到背後那隻牛就死了 或者那隻牛不見了 被人拖走了
[00:06:27.000 --> 00:06:35.000]  然後Wilson說我沒有拿到 我就是一個盲的牛豬
[00:06:35.000 --> 00:06:42.000]  我不信 你一股牛味 你當然是吃了我的牛
[00:06:42.000 --> 00:06:46.000]  我吃牛肉不等於我吃了你的牛
[00:06:47.000 --> 00:06:50.000]  最後沒有第三者見到 沒有人知道
[00:06:50.000 --> 00:06:59.000]  最後聖經說在祭司前兩個人就可以向上帝
[00:06:59.000 --> 00:07:08.000]  不簡單 立了誓言 我劉永泉沒有偷過劉如英的蛋糕
[00:07:08.000 --> 00:07:16.000]  我沒有 劉如英就要按我向上帝立的誓言
[00:07:17.000 --> 00:07:24.000]  就不再追究 即是有句西班牙文Ada很熟悉 叫Adios
[00:07:24.000 --> 00:07:31.000]  Adios就是交給主 西班牙人說拜拜就是Adios
[00:07:31.000 --> 00:07:37.000]  拉丁文就是交給主 去到這些了結不了的紛爭
[00:07:37.000 --> 00:07:43.000]  人的智慧沒有辦法 疑點歸於被告
[00:07:44.000 --> 00:07:48.000]  我爸爸最近不是很開心 因為梁國雄不能入罪
[00:07:48.000 --> 00:07:51.000]  哎呀 說了上網
[00:07:51.000 --> 00:08:01.000]  目疑點歸於被告 很多事情拍不到 明明他是插水的球員
[00:08:01.000 --> 00:08:08.000]  拍不到 球證又判了十二碼 嘩 這個世界哪有公平的呢
[00:08:09.000 --> 00:08:16.000]  馬拉多納還要說上帝之手 那些1986年英國對阿根廷
[00:08:16.000 --> 00:08:19.000]  我還看到東西的時候 是不是
[00:08:19.000 --> 00:08:24.000]  五尺幾寸對著六尺幾高的彼得斯路頓
[00:08:24.000 --> 00:08:29.000]  他竟然啪這樣 我說打排球
[00:08:29.000 --> 00:08:34.000]  但是沒有人覺得他用手 因為一個球王
[00:08:35.000 --> 00:08:39.000]  一個平日拿A級的學生 你不會想他出貓的
[00:08:39.000 --> 00:08:42.000]  你有沒有看過考第一的出貓
[00:08:42.000 --> 00:08:48.000]  你平時做考官都不會看著考第一的Mabel那些人
[00:08:48.000 --> 00:08:54.000]  你就看著那些平日成績不好 上學又遲到 黑眼瞓那些
[00:08:54.000 --> 00:08:57.000]  那些才覺得他有動機出貓
[00:08:57.000 --> 00:09:03.000]  但是可惜馬拉多納那個直超級球員竟然出貓
[00:09:04.000 --> 00:09:09.000]  所以這個世界你知道嗎 公平公義談何容易
[00:09:09.000 --> 00:09:11.000]  但是我引用這個例子是想說
[00:09:11.000 --> 00:09:16.000]  聖經有很多神給以色列人的律法 戒條
[00:09:16.000 --> 00:09:20.000]  你看深一層是很有智慧
[00:09:20.000 --> 00:09:24.000]  我們讀輔佐經文裡面第一段
[00:09:25.000 --> 00:09:34.000]  新命記四章六至八節 新命記四章六至八 預備起
[00:09:56.000 --> 00:09:58.000]  大日大禍有謝 讓公義這個大禮完章
[00:09:58.000 --> 00:10:02.000]  將我今天再以滿意前往關懷你們
[00:10:02.000 --> 00:10:10.000]  摩西教導以色列人 帶領第二代以色列人進入迦南地之前
[00:10:10.000 --> 00:10:13.000]  在新命記這裡說 有哪一個神
[00:10:13.000 --> 00:10:17.000]  比我們這麼有智慧 這麼公義的條例
[00:10:17.000 --> 00:10:21.000]  有哪一個神可以像我們這樣親近他
[00:10:22.000 --> 00:10:26.000]  有神的回眸在我們當中 表達神與我們同在
[00:10:26.000 --> 00:10:30.000]  我們可以與神相會 去到回眸前面
[00:10:30.000 --> 00:10:36.000]  有哪一個神 有哪一個國家看到神給我們的律例典章
[00:10:36.000 --> 00:10:39.000]  你記得他們是沒有皇帝的
[00:10:39.000 --> 00:10:42.000]  他們有長老 有領袖 有祭司
[00:10:42.000 --> 00:10:47.000]  但是神就給他們這些條例
[00:10:48.000 --> 00:10:52.000]  在倡埃及記 神除了說十誡之外
[00:10:52.000 --> 00:10:56.000]  也說了一週二十三章 有一百節聖經
[00:10:56.000 --> 00:11:03.000]  是說他們的 以色列人一起生活的重要條例
[00:11:03.000 --> 00:11:08.000]  在新命記也有再重複 也有再展述
[00:11:08.000 --> 00:11:13.000]  神給以色列人一共有六百一十三條的誡明
[00:11:13.000 --> 00:11:15.000]  我們就用十誡為例
[00:11:16.000 --> 00:11:20.000]  十誡只有兩條正面的誡明
[00:11:20.000 --> 00:11:24.000]  就是要守安息日和孝敬父母
[00:11:24.000 --> 00:11:30.000]  守安息日就是表達我們要每一個星期
[00:11:30.000 --> 00:11:36.000]  分一天出來親近主 放下勞碌的工作
[00:11:36.000 --> 00:11:40.000]  安息日就是神與以色列人納藥的記號
[00:11:41.000 --> 00:11:46.000]  零零碎碎撥出來 享受神的恩典
[00:11:46.000 --> 00:11:50.000]  享受神與人之間的愛的關係 親近主
[00:11:50.000 --> 00:11:55.000]  還有要honor 要孝敬我們的父母
[00:11:55.000 --> 00:11:57.000]  這些叫正面的誡明
[00:11:57.000 --> 00:12:01.000]  另外那八條都是不要不要不要 不可不可不可
[00:12:01.000 --> 00:12:05.000]  這些叫負面的誡明 為什麼要負面的誡明呢
[00:12:05.000 --> 00:12:08.000]  因為凡是負面的誡明 就好像醫生說
[00:12:09.000 --> 00:12:15.000]  我扭傷了腰 看完骨科醫生 看完鐵打醫生
[00:12:15.000 --> 00:12:18.000]  醫生就說不要做這個動作
[00:12:18.000 --> 00:12:21.000]  不要蹲下 不要拿重物
[00:12:21.000 --> 00:12:24.000]  還有什麼 不要打關斗
[00:12:24.000 --> 00:12:27.000]  不好的就是很清晰有條界線的
[00:12:27.000 --> 00:12:31.000]  不可超越雙白線 不可衝紅燈
[00:12:31.000 --> 00:12:34.000]  所以不可有別的神
[00:12:35.000 --> 00:12:39.000]  很清楚的只有一個 除他以外只有一位神
[00:12:39.000 --> 00:12:41.000]  不可有別的神
[00:12:41.000 --> 00:12:45.000]  不要用任何偶像 裝飾任何物件
[00:12:45.000 --> 00:12:49.000]  任何地上可見的物件代表神
[00:12:49.000 --> 00:12:51.000]  這個就叫偶像
[00:12:51.000 --> 00:12:54.000]  不要用任何東西去代表神 不可
[00:12:54.000 --> 00:12:57.000]  第三 不要妄稱神的名
[00:12:57.000 --> 00:13:01.000]  因為神的名字代表慈愛 公義和信實
[00:13:02.000 --> 00:13:06.000]  不要當神是無道
[00:13:06.000 --> 00:13:11.000]  要時刻尊崇神自己的本質
[00:13:11.000 --> 00:13:14.000]  對神要很看重
[00:13:14.000 --> 00:13:18.000]  不可 對上帝有三個不可
[00:13:18.000 --> 00:13:21.000]  對人有五個不可
[00:13:21.000 --> 00:13:23.000]  第一個 不可殺人 不可監禁
[00:13:23.000 --> 00:13:26.000]  不可偷渡 不可作假見證
[00:13:26.000 --> 00:13:28.000]  不要貪心
[00:13:28.000 --> 00:13:30.000]  五個不可
[00:13:31.000 --> 00:13:34.000]  我們來看看第一個對人的不可
[00:13:34.000 --> 00:13:36.000]  不可殺人
[00:13:36.000 --> 00:13:39.000]  當神帶領以色列人進入迦南地
[00:13:39.000 --> 00:13:42.000]  神知道人的軟弱
[00:13:42.000 --> 00:13:46.000]  在神給予人與人之間一個不可
[00:13:46.000 --> 00:13:49.000]  第一條誡命就是不可殺人
[00:13:49.000 --> 00:13:51.000]  很清楚的
[00:13:51.000 --> 00:13:55.000]  殺人的後果就是死亡
[00:13:56.000 --> 00:14:03.000]  在文數記35章16至19節
[00:14:03.000 --> 00:14:08.000]  16至19節 故意殺人就有這些後果
[00:14:08.000 --> 00:14:10.000]  我們一起讀 預備起
[00:14:26.000 --> 00:14:47.000]  第一個用可以致命的鐵器
[00:14:47.000 --> 00:14:50.000]  第二個可以致命的石頭
[00:14:50.000 --> 00:14:52.000]  第三個木器
[00:14:53.000 --> 00:14:56.000]  所以你有沒有見過打棒球和打Hockey
[00:14:56.000 --> 00:14:58.000]  很大隻的
[00:14:58.000 --> 00:15:01.000]  Hockey在那裡滑來滑去
[00:15:01.000 --> 00:15:03.000]  打那些冰上曲棍球
[00:15:03.000 --> 00:15:05.000]  很大隻的
[00:15:05.000 --> 00:15:07.000]  撞來撞去
[00:15:07.000 --> 00:15:09.000]  但是他們有衝突
[00:15:09.000 --> 00:15:11.000]  一打架
[00:15:11.000 --> 00:15:13.000]  第一個動作
[00:15:13.000 --> 00:15:16.000]  就是把棍子扔下
[00:15:16.000 --> 00:15:18.000]  全部都是
[00:15:18.000 --> 00:15:20.000]  加拿大 俄羅斯那些大隻佬
[00:15:21.000 --> 00:15:24.000]  一有衝突就把棍子扔下
[00:15:24.000 --> 00:15:26.000]  衝過去
[00:15:26.000 --> 00:15:29.000]  滑過去就撞他
[00:15:29.000 --> 00:15:31.000]  每個都是這樣的
[00:15:31.000 --> 00:15:33.000]  這麼有趣
[00:15:33.000 --> 00:15:36.000]  因為凡是持械一拿武器
[00:15:36.000 --> 00:15:38.000]  終身停賽
[00:15:38.000 --> 00:15:40.000]  兼可能被刑事檢控
[00:15:40.000 --> 00:15:43.000]  你知不知道多少段空手道或跆拳道
[00:15:43.000 --> 00:15:45.000]  如果用赤手空拳打人
[00:15:45.000 --> 00:15:49.000]  是以攻擊性武器傷害他人身體
[00:15:50.000 --> 00:15:51.000]  Alex
[00:15:51.000 --> 00:15:54.000]  Alex是退休的警員
[00:15:54.000 --> 00:15:56.000]  三段還是四段
[00:15:56.000 --> 00:15:58.000]  黑帶
[00:15:58.000 --> 00:16:03.000]  多少段
[00:16:03.000 --> 00:16:05.000]  證明他退休了
[00:16:05.000 --> 00:16:07.000]  我聽說四段
[00:16:07.000 --> 00:16:09.000]  黑帶
[00:16:09.000 --> 00:16:11.000]  所以我以前決心練到三段
[00:16:11.000 --> 00:16:13.000]  有什麼事
[00:16:13.000 --> 00:16:15.000]  我有一次代表沙田第一城
[00:16:15.000 --> 00:16:17.000]  我們那座大廈
[00:16:18.000 --> 00:16:20.000]  有幾個踢足球很厲害的
[00:16:20.000 --> 00:16:22.000]  以前踢過甲組 乙組
[00:16:22.000 --> 00:16:25.000]  有九巴踢過甲組打龍門
[00:16:25.000 --> 00:16:27.000]  有尹志強
[00:16:27.000 --> 00:16:29.000]  不過他不出場
[00:16:29.000 --> 00:16:31.000]  他只是玩玩
[00:16:31.000 --> 00:16:35.000]  我們那座有一個
[00:16:35.000 --> 00:16:38.000]  營量級100磅左右的跆拳道冠軍
[00:16:38.000 --> 00:16:40.000]  香港的教練
[00:16:40.000 --> 00:16:43.000]  有一個亞洲錦標賽跆拳道
[00:16:43.000 --> 00:16:45.000]  重量級冠軍
[00:16:46.000 --> 00:16:48.000]  亞軍 民生書院
[00:16:48.000 --> 00:16:50.000]  名字叫莊福直
[00:16:50.000 --> 00:16:54.000]  我踢足球也很壯
[00:16:54.000 --> 00:16:56.000]  我跟他腳碰腳
[00:16:56.000 --> 00:16:58.000]  嘩 這麼硬
[00:16:58.000 --> 00:17:00.000]  我看他
[00:17:00.000 --> 00:17:02.000]  六尺多
[00:17:02.000 --> 00:17:05.000]  我跟他撞一隻 他中四
[00:17:05.000 --> 00:17:08.000]  我看報紙
[00:17:08.000 --> 00:17:12.000]  他拿亞洲跆拳道錦標賽亞軍
[00:17:12.000 --> 00:17:14.000]  他哥哥說
[00:17:15.000 --> 00:17:16.000]  那些軍俠兵練習
[00:17:16.000 --> 00:17:18.000]  被他打到掉頭走
[00:17:18.000 --> 00:17:20.000]  但有一次我們踢足球
[00:17:20.000 --> 00:17:22.000]  有一個對面的球員
[00:17:22.000 --> 00:17:24.000]  很多髒話
[00:17:24.000 --> 00:17:26.000]  又打麻坡
[00:17:26.000 --> 00:17:28.000]  我們那個年輕
[00:17:28.000 --> 00:17:31.000]  只有100磅左右的跆拳道教練
[00:17:31.000 --> 00:17:34.000]  我試過叫他踢腿給我看
[00:17:34.000 --> 00:17:36.000]  他一靠後 腳就在我前面
[00:17:36.000 --> 00:17:38.000]  轉來轉去
[00:17:38.000 --> 00:17:40.000]  好像李小龍那些
[00:17:40.000 --> 00:17:42.000]  接著我當然說
[00:17:42.000 --> 00:17:44.000]  你是6號半
[00:17:45.000 --> 00:17:46.000]  看不清楚
[00:17:46.000 --> 00:17:48.000]  他的鞋底就在我前面
[00:17:48.000 --> 00:17:50.000]  你明白嗎
[00:17:50.000 --> 00:17:52.000]  他的腳法
[00:17:52.000 --> 00:17:54.000]  一靠後 腳就在我前面
[00:17:54.000 --> 00:17:56.000]  我們要找東西擋住
[00:17:56.000 --> 00:17:58.000]  他很能打
[00:17:58.000 --> 00:18:00.000]  那次激起他
[00:18:00.000 --> 00:18:02.000]  我們怕他動手
[00:18:02.000 --> 00:18:04.000]  我們踢了半場
[00:18:04.000 --> 00:18:06.000]  換了那個球員出去
[00:18:06.000 --> 00:18:08.000]  即是那個跆拳道教練
[00:18:08.000 --> 00:18:10.000]  接著那個人還在撩他
[00:18:10.000 --> 00:18:12.000]  我們按著那個教練
[00:18:12.000 --> 00:18:14.000]  你不要動手
[00:18:15.000 --> 00:18:16.000]  我們正在贏的對方
[00:18:16.000 --> 00:18:18.000]  球場不要被他挑釁
[00:18:18.000 --> 00:18:20.000]  他很生氣
[00:18:20.000 --> 00:18:22.000]  我說這些動作很危險
[00:18:22.000 --> 00:18:24.000]  但聖經要說什麼
[00:18:24.000 --> 00:18:26.000]  故意殺人的
[00:18:26.000 --> 00:18:28.000]  無論你是鐵器
[00:18:28.000 --> 00:18:30.000]  石頭 利器
[00:18:30.000 --> 00:18:32.000]  都是死罪
[00:18:32.000 --> 00:18:34.000]  很清楚
[00:18:34.000 --> 00:18:36.000]  接著20和21節
[00:18:36.000 --> 00:18:38.000]  我們讀20和21節文數記
[00:18:38.000 --> 00:18:40.000]  預備起
[00:18:41.000 --> 00:18:58.000]  20和21節文數
[00:18:58.000 --> 00:19:00.000]  這裡就說
[00:19:00.000 --> 00:19:02.000]  不是用磁械
[00:19:02.000 --> 00:19:05.000]  不是任何致死的利器
[00:19:05.000 --> 00:19:07.000]  但是你找東西撞他
[00:19:07.000 --> 00:19:09.000]  或者推他撞其他東西
[00:19:10.000 --> 00:19:11.000]  都是一個陷阱
[00:19:11.000 --> 00:19:13.000]  即是推他下路軌
[00:19:13.000 --> 00:19:15.000]  推他下樓梯
[00:19:15.000 --> 00:19:17.000]  即是這些危險的
[00:19:17.000 --> 00:19:19.000]  山坡的地方
[00:19:19.000 --> 00:19:21.000]  故意殺人的
[00:19:21.000 --> 00:19:23.000]  都是死罪
[00:19:23.000 --> 00:19:27.000]  後面22和23節
[00:19:27.000 --> 00:19:29.000]  這兩個就不是故意的
[00:19:29.000 --> 00:19:31.000]  我們讀22和23節
[00:19:31.000 --> 00:19:33.000]  預備起
[00:19:34.000 --> 00:19:56.000]  20和23節文數
[00:19:56.000 --> 00:19:59.000]  這裡就說誤殺的
[00:19:59.000 --> 00:20:01.000]  不小心碰了人
[00:20:01.000 --> 00:20:03.000]  下樓
[00:20:04.000 --> 00:20:05.000]  或者
[00:20:05.000 --> 00:20:07.000]  扔東西
[00:20:07.000 --> 00:20:09.000]  推完球
[00:20:09.000 --> 00:20:11.000]  扔中了人
[00:20:11.000 --> 00:20:13.000]  打傷了頭
[00:20:13.000 --> 00:20:15.000]  這就叫誤殺
[00:20:15.000 --> 00:20:17.000]  這個呢
[00:20:17.000 --> 00:20:19.000]  在殺人這件事上
[00:20:19.000 --> 00:20:22.000]  在有人命關天的情況下
[00:20:22.000 --> 00:20:24.000]  因為聖經說得很清楚
[00:20:24.000 --> 00:20:27.000]  人是按著神的形象去做
[00:20:27.000 --> 00:20:29.000]  所以人的生命是很寶貴
[00:20:29.000 --> 00:20:31.000]  聖經的人觀
[00:20:31.000 --> 00:20:33.000]  對人的生命很體重
[00:20:34.000 --> 00:20:37.000]  西方國家受基督教思想影響
[00:20:37.000 --> 00:20:39.000]  很重視人的
[00:20:39.000 --> 00:20:42.000]  我記得我第一次去美國
[00:20:42.000 --> 00:20:44.000]  和Y.Y.搭巴士
[00:20:44.000 --> 00:20:48.000]  那時候香港還沒有可以坐輪椅的巴士
[00:20:48.000 --> 00:20:50.000]  我就坐巴士
[00:20:50.000 --> 00:20:52.000]  和Y.Y.在那裡遊覽
[00:20:52.000 --> 00:20:55.000]  有個巴士停在一旁
[00:20:55.000 --> 00:20:57.000]  然後有輪椅上車
[00:20:57.000 --> 00:21:00.000]  由輪椅到站
[00:21:00.000 --> 00:21:02.000]  到上車
[00:21:03.000 --> 00:21:06.000]  我看到坐輪椅的女士一直罵司機
[00:21:06.000 --> 00:21:08.000]  這個人權真的很厲害
[00:21:08.000 --> 00:21:11.000]  我看到很好
[00:21:11.000 --> 00:21:13.000]  有些失明人
[00:21:13.000 --> 00:21:15.000]  政府有補貼給他們
[00:21:15.000 --> 00:21:18.000]  拖著盜盲犬可以拖進地鐵
[00:21:18.000 --> 00:21:20.000]  多好啊
[00:21:20.000 --> 00:21:22.000]  我也很嚮往西方的生活
[00:21:22.000 --> 00:21:25.000]  人觀
[00:21:25.000 --> 00:21:26.000]  當然我們不是說
[00:21:26.000 --> 00:21:28.000]  西方的東西一定好
[00:21:28.000 --> 00:21:30.000]  但是一個重視人
[00:21:30.000 --> 00:21:32.000]  重視人的生命
[00:21:33.000 --> 00:21:34.000]  那些社會很重要
[00:21:34.000 --> 00:21:36.000]  人命賤過地底泥
[00:21:36.000 --> 00:21:39.000]  那些社會是悲哀的
[00:21:39.000 --> 00:21:41.000]  這裡說到神對人
[00:21:41.000 --> 00:21:43.000]  一個人死了
[00:21:43.000 --> 00:21:45.000]  那是一件大事
[00:21:45.000 --> 00:21:48.000]  我們讀完第31節
[00:21:48.000 --> 00:21:50.000]  說回那些故意殺人的
[00:21:50.000 --> 00:21:52.000]  怎樣定他的罪
[00:21:52.000 --> 00:21:54.000]  文素記35章31節
[00:21:54.000 --> 00:21:56.000]  30節應該是
[00:21:56.000 --> 00:21:58.000]  預備起
[00:22:03.000 --> 00:22:04.000]  好
[00:22:04.000 --> 00:22:10.000]  夠了
[00:22:10.000 --> 00:22:11.000]  30節
[00:22:11.000 --> 00:22:13.000]  這裡說
[00:22:13.000 --> 00:22:15.000]  故意殺人的
[00:22:15.000 --> 00:22:17.000]  不能憑一個證人
[00:22:17.000 --> 00:22:20.000]  所以你聽我聖經有句說話
[00:22:20.000 --> 00:22:23.000]  要憑兩三個見證人
[00:22:23.000 --> 00:22:25.000]  憑兩三個見證人
[00:22:25.000 --> 00:22:27.000]  至少兩個
[00:22:27.000 --> 00:22:29.000]  或者三個
[00:22:29.000 --> 00:22:31.000]  他們見證
[00:22:32.000 --> 00:22:34.000]  這個人真的蓄意殺人
[00:22:34.000 --> 00:22:36.000]  不是誤殺的
[00:22:36.000 --> 00:22:39.000]  見證人就可以帶頭
[00:22:39.000 --> 00:22:41.000]  和那個報血仇
[00:22:41.000 --> 00:22:43.000]  就是那個家屬
[00:22:43.000 --> 00:22:45.000]  你讀路德記
[00:22:45.000 --> 00:22:48.000]  有些親屬可以為他贖回
[00:22:48.000 --> 00:22:50.000]  在親屬關係裡面
[00:22:50.000 --> 00:22:52.000]  最有最近親那個
[00:22:52.000 --> 00:22:54.000]  就可以去贖回
[00:22:54.000 --> 00:22:56.000]  這裡一樣
[00:22:56.000 --> 00:22:58.000]  報血仇就有贖罪
[00:22:58.000 --> 00:23:00.000]  那個意思
[00:23:01.000 --> 00:23:02.000]  就是他來追討
[00:23:02.000 --> 00:23:04.000]  來贖回
[00:23:04.000 --> 00:23:06.000]  去報這個血仇
[00:23:06.000 --> 00:23:08.000]  贖回這個血
[00:23:08.000 --> 00:23:10.000]  就是他可以有權
[00:23:10.000 --> 00:23:12.000]  去行刑
[00:23:12.000 --> 00:23:15.000]  這個故意殺人罪
[00:23:15.000 --> 00:23:18.000]  聖經說第六屆十屆
[00:23:18.000 --> 00:23:20.000]  不可殺人
[00:23:20.000 --> 00:23:21.000]  很清晰的
[00:23:21.000 --> 00:23:22.000]  但今天我們想看
[00:23:22.000 --> 00:23:23.000]  就是神怎樣給人
[00:23:23.000 --> 00:23:25.000]  在公義的同時
[00:23:25.000 --> 00:23:27.000]  又有神的憐憫
[00:23:27.000 --> 00:23:29.000]  神的恩典
[00:23:30.000 --> 00:23:31.000]  我們讀過約書亞記
[00:23:31.000 --> 00:23:33.000]  第二十章一到六節
[00:23:33.000 --> 00:23:35.000]  頭三節
[00:23:35.000 --> 00:23:37.000]  摩西說得很清楚
[00:23:37.000 --> 00:23:39.000]  不是摩西
[00:23:39.000 --> 00:23:40.000]  是聖經說得很清楚
[00:23:40.000 --> 00:23:42.000]  他說神吩咐
[00:23:42.000 --> 00:23:44.000]  他說約書亞
[00:23:44.000 --> 00:23:46.000]  你好像我吩咐摩西
[00:23:46.000 --> 00:23:48.000]  叫以色列人
[00:23:48.000 --> 00:23:50.000]  之前在約旦河東
[00:23:50.000 --> 00:23:52.000]  那時候說過的話
[00:23:52.000 --> 00:23:54.000]  你要為以色列人設立
[00:23:54.000 --> 00:23:56.000]  六個屠城
[00:23:56.000 --> 00:23:58.000]  這些屠城在第三節
[00:23:58.000 --> 00:23:59.000]  那裡說得很清楚
[00:24:00.000 --> 00:24:01.000]  我們再讀第三節一次
[00:24:01.000 --> 00:24:02.000]  預備起
[00:24:02.000 --> 00:24:13.000]  誤殺人者
[00:24:13.000 --> 00:24:15.000]  可以逃到那裡
[00:24:15.000 --> 00:24:18.000]  在約書亞記
[00:24:18.000 --> 00:24:19.000]  我放了一到六節
[00:24:19.000 --> 00:24:21.000]  其實二十章
[00:24:21.000 --> 00:24:23.000]  有九節
[00:24:23.000 --> 00:24:24.000]  第七 第八 第九
[00:24:24.000 --> 00:24:26.000]  就說那六座屠城
[00:24:26.000 --> 00:24:28.000]  在那裡
[00:24:28.000 --> 00:24:29.000]  在約旦河
[00:24:30.000 --> 00:24:31.000]  東面
[00:24:31.000 --> 00:24:32.000]  有裡面
[00:24:32.000 --> 00:24:35.000]  迦德和馬來西半支派
[00:24:35.000 --> 00:24:37.000]  那邊就有
[00:24:37.000 --> 00:24:38.000]  俾色
[00:24:38.000 --> 00:24:40.000]  有這個叫拉末
[00:24:40.000 --> 00:24:42.000]  和戈蘭
[00:24:42.000 --> 00:24:44.000]  有三個屠城
[00:24:44.000 --> 00:24:46.000]  在約旦河
[00:24:46.000 --> 00:24:48.000]  這邊
[00:24:48.000 --> 00:24:49.000]  就是東邊
[00:24:49.000 --> 00:24:50.000]  就在
[00:24:50.000 --> 00:24:52.000]  拿忽他利地
[00:24:52.000 --> 00:24:53.000]  那裡就有一個
[00:24:53.000 --> 00:24:55.000]  叫什麼
[00:24:55.000 --> 00:24:58.000]  基底斯
[00:24:59.000 --> 00:25:00.000]  差點忘記了
[00:25:00.000 --> 00:25:01.000]  叫基底斯
[00:25:01.000 --> 00:25:03.000]  以法連那裡有一個士劍
[00:25:03.000 --> 00:25:04.000]  和猶大地
