
[00:00:00.000 --> 00:00:08.900]  弟兄姊妹啊也晚來也應該先說一下哈呃新年快樂啊這晚來的祝福
[00:07:35.300 --> 00:07:43.540]  保羅跟沒有信主的人直接講耶穌釘十字架 拯救罪人的好消息 還有也在教會里面教導弟兄姊妹
[00:07:43.540 --> 00:07:50.740]  更深入明白啊 耶穌的教訓呢 這個好消息 還有就約的話語等等 這些的確是保羅會做的
[00:07:50.740 --> 00:07:51.460]  嗯
[00:07:51.460 --> 00:07:56.860]  真的 但也是這段經文直接最想表達的
[00:07:56.860 --> 00:08:04.340]  但不可忽略的是 保羅也在他的書信裏面不斷提醒 接受主耶穌爲救主的人 還有
[00:08:04.820 --> 00:08:05.860]  活出主的道
[00:08:05.860 --> 00:08:13.780]  就是要以耶穌捨己的愛來愛周圍的人 在世上以神的美善來抗抗衡罪惡
[00:08:13.780 --> 00:08:18.020]  傳道不單是以口傳道 也包括行道
[00:08:18.020 --> 00:08:19.820]  那麼保羅一生
[00:08:19.820 --> 00:08:29.940]  簡單來說是以怎樣的方式來言道行道呢 他在提摩太後書四章歸納爲三種方式啊
[00:08:30.340 --> 00:08:35.860]  我把原文啊 大概的意思翻譯入啊 下面這樣你可以看ppt
[00:08:35.860 --> 00:08:43.340]  翻譯爲三個方式 第一個 我以爲那美好的鬥爭激烈爭鬥了哈
[00:08:43.340 --> 00:08:51.940]  我已成功跑完賽城 第三 我以守護着所信的合合本的美好的仗的仗
[00:08:51.940 --> 00:08:57.660]  原文最基本的意思呢 是搏鬥爭到struggle 原文動詞打
[00:08:58.260 --> 00:09:06.540]  和明池仗其實同一個字 跟就是打的動作都是進一次搏鬥啊 可以指在戰場 也可以在運動場
[00:09:06.540 --> 00:09:09.700]  特別可以指那個搏擊啊 搏擊的比賽
[00:09:09.700 --> 00:09:17.540]  當至於那個跑的路的路哈賽制指那個賽跑的跑道啊 那個賽道
[00:09:17.540 --> 00:09:24.420]  跑進原文就是成功完成一個東西的意思 那個動作那麼所信的道呢
[00:09:25.220 --> 00:09:30.740]  其實原文是沒有道的 只是說守守住那個信 那個信是名詞
[00:09:30.740 --> 00:09:33.780]  呃 我們看提摩太後書的上下文
[00:09:33.780 --> 00:09:40.900]  應該不單是指保羅指他守着信仰 沒有叛教 不單是這樣 也特別指他捍衛純真的
[00:09:40.900 --> 00:09:47.020]  純正的信仰內容 因爲當時呢 其實教會流行很多的異端的啊 思想
[00:09:47.740 --> 00:09:56.660]  那保羅他到他生命快到終結的時候 他已打過了 打過其實就是盡力鬥過了 可以說是鬥過了
[00:09:56.660 --> 00:09:59.660]  跑進呢 就是成功跑避全程
[00:09:59.660 --> 00:10:06.860]  還有守住了 守住純正信仰來總結自己的傳道方式 也是他信主之後的人生方向
[00:10:06.860 --> 00:10:15.100]  弟兄姊妹 保羅其實不單鼓勵愛徒提摩太也鼓勵所有渴望主再來的人 就像你和我
[00:10:15.500 --> 00:10:23.820]  像他一樣去盡力傳道 因此這三個方式就值得我們深入去看一看 好像我們看
[00:10:23.820 --> 00:10:26.340]  鬥過了 也是打過了
[00:10:26.340 --> 00:10:33.020]  呃 剛纔都說了 可能是借用運動比賽 尤其是搏擊的一個圖像哈
[00:10:33.020 --> 00:10:38.660]  表達那種拼命 那種爆炸力 另外我們說是反
[00:10:40.460 --> 00:10:46.060]  要爭鬥啊 當然就有反對力量 對吧 纔有你需要爭鬥的那個需要
[00:10:46.060 --> 00:10:53.300]  那當時反對保羅傳道的有哪些人呢 包括猶太教的信徒 外邦拜偶像的人
[00:10:53.300 --> 00:10:57.700]  羅馬政權還有教會就是教會里面一些信徒也反對他
[00:10:57.700 --> 00:11:03.820]  那先說教會里面啊 先說猶太信徒吧 猶太信徒反對他是因爲他們覺得耶穌
[00:11:04.460 --> 00:11:11.100]  絕不是他們等待的王彌賽亞 所以反對保羅所傳的羅馬政權反對
[00:11:11.100 --> 00:11:20.180]  保羅是因爲他教導信徒只拜獨一真神耶穌不拜其他神靈和尤其是不能拜羅馬皇帝啊
[00:11:20.180 --> 00:11:21.300]  所以呢
[00:11:21.300 --> 00:11:25.380]  不保羅寫題目太后書的時候很可能就是被
[00:11:25.380 --> 00:11:32.340]  羅馬政權囚禁在羅馬 後來被羅馬皇帝尼路哈這個藉口把他處決
[00:11:33.180 --> 00:11:34.620]  至於教會的內部呢
[00:11:34.620 --> 00:11:42.300]  當然他們也不服保羅的領導地位 他們攻擊他宣講的內容啊 攻擊他傳福音的動機哈
[00:11:42.300 --> 00:11:51.700]  攻擊他傳福音的方法等等 至於那些拜偶像人爲什麼反對保羅 保羅就很很容易理解了哈 因爲他們
[00:11:51.700 --> 00:11:57.500]  覺得基督徒不拜偶像嘛 影響他們很多生活 甚至影響他們的生意
[00:11:57.500 --> 00:12:02.660]  那面對這些阻礙阻礙保羅傳道的一些主力或者是人物
[00:12:03.220 --> 00:12:11.620]  保羅曾經很憤怒啊 甚至在題目太挺憤怒 不知道是不是很啊 起碼是憤怒 在題目太后出四章十四節說
[00:12:11.620 --> 00:12:17.500]  主必照他所行的報應他 看來他也有點小脾氣的了
[00:12:17.500 --> 00:12:23.420]  不過 無論如何 保羅仍然堅持爲傳道而繼續掙扎
[00:12:23.420 --> 00:12:28.460]  反對勢力沒有使他屈服 也沒有使他變得對人充滿苦度
[00:12:29.580 --> 00:12:36.900]  保羅仍然向各類型人傳回音 包括敵對他的人 牢房裏看守他的小御族
[00:12:36.900 --> 00:12:44.060]  雅典雅典城裏面嘲笑他的有識之士 還有激烈抵擋福音的猶太領袖
[00:12:44.060 --> 00:12:50.380]  審訊他的羅馬官員 還有分封王亞基帕都是他傳道的對象
[00:12:50.380 --> 00:12:59.300]  他曾以囚犯的身份被解送到羅馬上樹 也正好就是用這個機會親身到羅馬傳道
[00:12:59.820 --> 00:13:06.140]  就如剛纔我們說的 他不單以口傳基督 也活出基督的愛 他爲犯錯的奴隸
[00:13:06.140 --> 00:13:15.740]  呀 亞歷西姆呢 求情 求情 重新有 呃 也呢 重新接納在宣教旅程中一走了之的馬可
[00:13:15.740 --> 00:13:18.660]  也安慰了負責看守他的玉曆
[00:13:18.660 --> 00:13:21.100]  雖然猶太教的同胞
[00:13:21.100 --> 00:13:22.660]  他們堅決
[00:13:23.220 --> 00:13:31.180]  抵擋基督啊 也敵對保羅 但保羅還是爲他們不得救呢 心急如焚了 甚至說啊 爲同胞信主啊
[00:13:31.180 --> 00:13:34.060]  我真的寧願與基督分離 我也願意
[00:13:34.060 --> 00:13:42.260]  那保羅透過他的遺言 他不單鼓勵提摩太爺 其實也在鼓勵着我們呢
[00:13:42.260 --> 00:13:51.660]  從永神永恆的視覺來看今天的生活 我們他鼓勵我們像他一樣效法他參與福音的搏鬥
[00:13:52.740 --> 00:13:56.020]  弟兄姊妹 你現在面對怎樣的反對福音的力量呢
[00:13:56.020 --> 00:14:06.620]  回老家的時候 爸媽會不會反對你信主啊 怕你現在耶穌就找不到基督徒啊 找不到對象啊 我是聽一些弟兄姊妹這樣跟我說
[00:14:06.620 --> 00:14:11.460]  呃 也可能呢 你爸媽不喜歡你把福音傳給老家的親友
[00:14:11.460 --> 00:14:20.580]  你以什麼嘆態度來面對他們呢 其實你什麼態度本身就是傳福音的一部分 如果始終態度是
[00:14:21.060 --> 00:14:26.820]  不強辯 不攻擊他們 靜待時機做見證 其實也是變相傳的福音
[00:14:26.820 --> 00:14:35.620]  還有有一個好機會就是當他們來香港探望你啊 或者幫你帶孩子啊 種種原因 哎 到了你的地盤
[00:14:35.620 --> 00:14:43.660]  到了香港了 可能也是傳揚的好時機 帶他回回啊 疫情過去之後帶他回教會的活動啊
[00:14:44.340 --> 00:14:53.100]  啊 認識我們呢哈 請他出來喫飯啊等等 都是傳福音的好機會 還有你的同事可能因你的信仰爲難你
[00:14:53.100 --> 00:15:02.220]  啊 如果你向他們分享主的愛 我不知道他們有沒有嘲笑你 請你忍耐着等待 你的爲人如何日久見人心
[00:15:02.220 --> 00:15:13.420]  如果你待人處世能活出天國的價值觀 不應別人敵對自己 變得苦毒 不要變得苦毒是最重要 其實這樣也是變相的傳的福音
[00:15:14.220 --> 00:15:23.620]  神其實只是邀請我們盡力的參與這種搏擊 就像保羅一樣哈 鬥過了 其實不是鬥過 是盡力鬥過了
[00:15:23.620 --> 00:15:31.780]  至於他信不信 接受不接受是對方的抉擇啊 神不需要要我們負責的 這是鬥過了
[00:15:31.780 --> 00:15:37.620]  神也要保羅啊 也要請我們跑進 就是堅持到最後
[00:15:38.260 --> 00:15:44.740]  跑進堅持到最後 剛纔講的是爆炸力 現在講的是耐力 持久力
[00:15:44.740 --> 00:15:52.140]  最容易使馬拉松的馬拉松的運動員中途退出的理由是什麼呢
[00:15:52.140 --> 00:15:56.740]  可能就是耗盡了吧 沒有體力再繼續跑下去
[00:15:56.740 --> 00:16:03.060]  哇 一般生活的艱難啊 真的能慢慢耗盡傳道者的心力
[00:16:03.620 --> 00:16:12.580]  保羅的工作壓力不比我們少的 他爲宗教會掛心的事 他說天天壓在他身上 爲生計他也要
[00:16:12.580 --> 00:16:19.260]  支那個帳篷 對嗎 他要跑到各處步道 古代他去出外步道
[00:16:19.260 --> 00:16:26.940]  比起我們今天出差啊 出行啊 風險多很多 會遇到盜賊 風浪 沉船
[00:16:27.700 --> 00:16:34.780]  呃 壞船等等很多 還有他勢力 保羅勢力也不是很好 很多的生活的艱難
[00:16:34.780 --> 00:16:41.780]  呃 甚至在我們今天看的題目太后書四章 他的遺言他也談到 哇 冬天快來了
[00:16:41.780 --> 00:16:48.740]  請他的徒兒快把一件外衣拿來帶給他 看到他生活的艱難哈 很寒冷
[00:16:48.740 --> 00:16:52.220]  這是都是很真實 他曾
[00:16:53.140 --> 00:17:00.220]  很感慨的說有誰軟弱 我不軟弱呢 不過最後他還是撐下去
[00:17:00.220 --> 00:17:06.900]  他很真實的一邊軟弱 一邊繼續傳主的道 直到生命的盡頭
[00:17:06.900 --> 00:17:10.540]  今天弟兄姊妹 我們的壓力也真不少
[00:17:10.540 --> 00:17:19.820]  呃 剛開始的時候 我的列舉了很多啊 帶孩子很累人 回到大灣區找工作很費勁啊 還有home office非常孤單
[00:17:20.580 --> 00:17:24.220]  可是我 我想說的是環境變了
[00:17:24.220 --> 00:17:25.260]  嗯
[00:17:25.260 --> 00:17:30.340]  真的可以暫時暫停休息一下
[00:17:30.340 --> 00:17:38.740]  休息一下 但是休息 但是不要終止步道 不要終止跟人分享 你可以休息 但是不要停
[00:17:38.740 --> 00:17:41.220]  有威就有機
[00:17:41.220 --> 00:17:44.820]  適應新改變之後 咱們可以一起努力
[00:17:45.620 --> 00:17:50.820]  在你新的環境當中有創意的順應改變去繼續分享信仰
[00:17:50.820 --> 00:17:55.340]  例如home office的好處 我自己發現就是跟我
[00:17:55.340 --> 00:17:57.060]  呃 小區人
[00:17:57.060 --> 00:18:06.020]  接觸的機會多了很多 尤其是跟我的那個管大廈的管理員 廣東話叫愛學一個廣東話叫漢剛漢剛
[00:18:06.020 --> 00:18:08.100]  跟他接觸的機會好像多了
[00:18:09.140 --> 00:18:15.780]  那那一天啊 就把那個我們不是有姊妹把把些口罩套送給我們嗎 啊
[00:18:15.780 --> 00:18:21.060]  叫我們送給別人 我就送給那個大廈的管理員 早的也送一個晚的送一個
[00:18:21.060 --> 00:18:30.540]  呃 他們很高興 你就可以藉機會分享 哎 這誰送給我的 我送給你是教會 他們問你教會是什麼 你可以跟他分享一下
[00:18:31.340 --> 00:18:40.300]  哎 你帶孩子將來疫情過去總會帶孩子到外面散步吧 就新手爸媽 那很容易就會認識一些其他的
[00:18:40.300 --> 00:18:49.780]  媽媽對嗎 其他媽媽啊 可以跟他談談育兒經 然後談了談了 慢慢也跟他分享信仰啊 帶孩子一般我們都有很多的
[00:18:49.780 --> 00:18:52.860]  可能有苦水 不一定很多哈 也可以聽聽
[00:18:53.780 --> 00:19:02.220]  到大灣區工作 哎 恭喜你 代表你有很多的機會認識新的朋友 可以開拓你的傳福音的對象圈子啊
[00:19:02.220 --> 00:19:04.620]  跟很多其他的朋友分享
[00:19:04.620 --> 00:19:13.660]  在還有我想說 在你的印象當中 宣教室的生活怎麼樣的 可能你會想到腦海的圖像 哇 天天
[00:19:13.660 --> 00:19:20.420]  個人步道探訪 開步道會 不停跟人查經啊 可能在一些創起地區
[00:19:20.820 --> 00:19:28.100]  就未必開步道會 但你想他可能很祕密的在查經啊 步道啊 大聚會啊 也天天面對避害啊
[00:19:28.100 --> 00:19:37.100]  哎 這些真的有可能發生的 可是不止一位的宣教師跟我說的 常常困擾他們的是什麼呢
[00:19:37.100 --> 00:19:46.260]  做家務 帶孩子 做家務 帶孩子 做家務 帶孩子 因爲落後的地方很多東西 很多設備都沒有啊 所以可能
[00:19:47.620 --> 00:19:51.980]  真的 他們要花很多時間去做這些生活的瑣事
[00:19:51.980 --> 00:20:00.220]  他們需要忍耐 可是後來他們發現 哎 這些其實也是傳福音的好機遇 有宣教師的跟我說他的
[00:20:00.220 --> 00:20:06.780]  小女孩啊啊 好像一歲多吧 現在也不止了 這很軟萌可愛 那就好了
[00:20:06.780 --> 00:20:15.020]  啊 到社區只要抱着孩子 哎 別人就會跟他們哎 這樣打招呼啊 那他可以用他比較比
[00:20:16.460 --> 00:20:23.060]  比較憋腳的那個當地話的 起碼也可以跟他們聊 然後就是哎 原來小孩成了他們
[00:20:23.060 --> 00:20:28.980]  傳福音的一個好橋樑哈 這也是我們料不到宣教師也是天天要做
[00:20:28.980 --> 00:20:36.940]  可能很多小時的家務啊 甚至比他傳福音的時間更多 這是現實 但另一方面這並不抵擋阻礙
[00:20:36.940 --> 00:20:40.020]  並不會讓我們停止福音工作
[00:20:40.460 --> 00:20:48.620]  又認識一位姊妹 她患末期癌症好幾年 去花很多時間去醫院治療 每天也要好好照顧自己的身體
[00:20:48.620 --> 00:20:52.860]  有些時候有疼痛 也要常常睡覺 很不容易 可是
[00:20:52.860 --> 00:20:58.260]  當他精神可以的時候 他在住院的時候啊 就跟旁邊的人聊天
[00:20:58.260 --> 00:21:07.220]  在複診的時候也跟旁邊的人並並有聊天 分享食材 分享他的食療的心得 然後慢慢又講福音
[00:21:08.100 --> 00:21:11.260]  他回到天天家之後 他姐姐跟我說
[00:21:11.260 --> 00:21:18.180]  他姐姐說他的看他的手機啊 他那個妹妹的手機收到很多很多的whatsapp
[00:21:18.180 --> 00:21:24.140]  甚至有人打電話給他 都是表達對他妹妹的感謝 也在鼓勵他
[00:21:24.140 --> 00:21:32.700]  因爲他妹妹傳福音也關心別人 甚至爲病友成了一個就是組織了一個羣組啊
[00:21:33.540 --> 00:21:41.100]  甚至在他的安息禮拜 一個他媽媽的老朋友 一個老奶奶也是被他的生命感動 也信了主
[00:21:41.100 --> 00:21:48.220]  弟兄姊妹在忙碌充滿壓力的現實生活中 只要我們的神國度的視野
[00:21:48.220 --> 00:21:55.700]  不消失 神會幫助我們順應環境改變 找到空間繼續分享信仰
[00:21:55.700 --> 00:22:03.020]  這就是繼續堅持跑跑下去跑直到跑進的一天
[00:22:03.900 --> 00:22:09.300]  好 第三個傳福音保羅傳到的方法是守住了就是
[00:22:09.300 --> 00:22:14.260]  守住那個信仰 這也成長信仰 這也非常重要 對嗎
[00:22:14.260 --> 00:22:17.060]  我們這麼拼命 這麼堅持啊
[00:22:17.060 --> 00:22:24.500]  到一天發現哎 傳的到不正確 就傳的內容不對 那是白傳了 對嗎 所以保羅很堅持這一點
[00:22:24.500 --> 00:22:29.980]  保羅當時其實面對很多的異端或者是極端 什麼是異端呢 就是基督教
[00:22:30.420 --> 00:22:36.940]  他說自己基督教他其實信仰內容與神啓示的核心真理的有明顯的牴觸的哈
[00:22:36.940 --> 00:22:40.700]  例如否認耶穌復活啊等等哈 我就不詳細說了
[00:22:40.700 --> 00:22:49.020]  極端就說他沒有異端這麼這麼這麼異樣這麼反對核心信仰 但是呢 也是教義上走偏了哈
[00:22:49.020 --> 00:22:57.700]  所以呢 就叫極端 在提莫泰前後書看到了保羅的徒兒 徒兒提莫泰面對的主要有關對
[00:22:58.540 --> 00:23:03.100]  族譜的一些錯誤的研究 還有金玉主義啊 慾望的欲還有
[00:23:03.100 --> 00:23:12.260]  還有些人呢 就是對否定否定啊 末日時候信徒還有入身入身復活 就是復活的事已過
[00:23:12.260 --> 00:23:13.140]  也有這些
[00:23:13.140 --> 00:23:14.380]  一端極端
[00:23:14.380 --> 00:23:22.460]  呃 保羅當時流行的方氣是怎麼樣 就是教師到處巡迴演講 而且
[00:23:23.140 --> 00:23:29.060]  講人會很厲害的 所以當時呢 教會就出現這些散播
[00:23:29.060 --> 00:23:36.380]  剛纔講的歪理的貪財的貪錢的教師 他們所講的迎合信徒的人性
[00:23:36.380 --> 00:23:44.540]  啊 呃 聖經說他們耳朵發癢啊 耳朵發癢啊 就喜歡聽這些契合他們人性的東西
[00:23:44.540 --> 00:23:50.900]  那這些歪理他們聽進去了 就影響他們對信仰的認知啊
[00:23:51.380 --> 00:23:59.660]  還有呢 也影響他們的品行的 會影響品行 也會出現教會的紛爭 引起辯論等等 那保羅呢 是
[00:23:59.660 --> 00:24:02.940]  他非常嚴厲的駁斥這些歪理
[00:24:02.940 --> 00:24:07.180]  他說假教師的話就像毒創一樣侵害教會
[00:24:07.180 --> 00:24:17.300]  他勸勉提摩太對付假的東西 最好的方法就是傳真的 所以他鼓勵提摩太要努力傳揚和宣講純正的信仰
[00:24:18.100 --> 00:24:23.500]  呃 看保羅的生平 我們知道其實他一直一直很努力在做這個事
[00:24:23.500 --> 00:24:29.060]  他寫下13方的保羅的書信 很重要的原因就是要說明真理
[00:24:29.060 --> 00:24:38.780]  保羅這樣持守純正信仰 那還有一個先決條件 他說自己首先要熱愛認識真理 對不對
[00:24:38.780 --> 00:24:43.700]  那從提摩太後書四章13節 我們真的看到
[00:24:44.340 --> 00:24:48.940]  他就是知道自己時日不多的時候 他還是提醒提摩太
[00:24:48.940 --> 00:24:56.660]  哎 來來來來的時候要把我的書籍還有皮卷帶給我 由此可見他對研究神話語
[00:24:56.660 --> 00:25:01.460]  充滿了日診 哪怕生命快要盡頭 也是要研讀神的話語
[00:25:01.460 --> 00:25:07.660]  嗯 今天今天我們和別人分享真理 也是要首先認識真理
[00:25:07.660 --> 00:25:11.020]  真的鼓勵弟兄姊妹 我要賣賣廣告啊
[00:25:11.460 --> 00:25:19.700]  你知道我要說什麼了 每天請你真的聽我們爲你準備的樂想聖言 而且請你呢
[00:25:19.700 --> 00:25:24.860]  先看經文 又知道這地方怎麼是不看經文 只聽那個信息的
[00:25:24.860 --> 00:25:29.340]  真的鼓勵你先看經文 然後再聽同工爲你準備的信息
[00:25:29.340 --> 00:25:36.460]  然後很重要是把真理付諸行動啊 談到讀經呢 我也想爲大家介紹
[00:25:37.020 --> 00:25:41.980]  讀經的五個小點子啊 希望能起一些拋磚引玉的作用
[00:25:41.980 --> 00:25:50.300]  第一個點子是聖靈伴讀 然後是擺好心態 然後勤力兼備 大小大小通喫 還有
[00:25:50.300 --> 00:25:52.140]  夥伴同讀
[00:25:52.140 --> 00:25:58.820]  聖靈伴讀 我不說你們都明白了 一定要請聖靈來讓我們明白聖經
[00:25:59.180 --> 00:26:08.100]  擺好心態 就是說其實我們打開聖經的時候是要存着謙卑等候神吩咐 啓發教訓那種心態
[00:26:08.100 --> 00:26:12.740]  不是說打開聖經就有一種要利用聖經 怎麼利用聖經啊
[00:26:12.740 --> 00:26:21.500]  我看到這一句哎 對對對 這一句可以來罵他 這一對就是誰誰誰那個姊妹對我不好哎 就是聖經所說的
[00:26:22.380 --> 00:26:31.980]  還有讀聖經增加自己的面子啊 網面自己的臉上貼金 哎呀 我要懂這一句 你又不懂 還有就是用聖經你已經想好了
[00:26:31.980 --> 00:26:39.340]  要做哪件事情 他就找聖經來支持來爲你撐腰 大家明白我的意思啊 這是心態沒擺好
[00:26:39.340 --> 00:26:44.300]  第三 請你兼備 就是說我們要嘗試帶入聖經作者
[00:26:44.820 --> 00:26:52.580]  裏面呢 他所寫的情感世界 例如讀詩篇啊 雅歌啊等等哈 我們需要這種視野 這種
[00:26:52.580 --> 00:26:57.900]  向度 另外方面讀聖經也動腦筋啊 動腦筋去深入去分析
[00:26:57.900 --> 00:27:03.060]  大小通喫大小通喫能猜是什麼東西嗎 都明白啊 大就是
[00:27:03.060 --> 00:27:11.140]  宏觀的看看大森林啊 看大森林 看看整卷聖經啊 整卷提摩太後書
[00:27:11.820 --> 00:27:16.620]  一次過把它看完 新約舊約看完掌握那個大圖畫
[00:27:16.620 --> 00:27:25.540]  笑當你明白這小數目 也每節每節經文很詳細的有機會去分析 把時間合理分分配
