
[00:00:00.000 --> 00:00:08.980]  (主席) 今日的講道是八月份的年輕人什麼愛的續篇
[00:06:08.600 --> 00:06:12.140]  哎呀 很多功課還沒做完
[00:06:12.140 --> 00:06:15.580]  哦 回教會做功課
[00:06:15.580 --> 00:06:18.780]  做功課吧
[00:06:18.780 --> 00:06:25.160]  對他們來說 回教會不是很真實
[00:06:25.160 --> 00:06:28.060]  可有可無
[00:06:28.060 --> 00:06:30.980]  假如有年輕人
[00:06:30.980 --> 00:06:32.840]  好像今天我們有一位年輕人在我們當中
[00:06:32.840 --> 00:06:34.040]  見到很開心
[00:06:34.040 --> 00:06:36.320]  哇 他們又回來教會 又唱歌
[00:06:36.320 --> 00:06:38.740]  在當中是他求真
[00:06:38.740 --> 00:06:41.580]  他們想弄清楚 搞清楚自己的身份的時候
[00:06:41.580 --> 00:06:44.300]  我們知道他們其實都有很多問題
[00:06:44.300 --> 00:06:45.880]  他們有很多信仰的問題
[00:06:45.880 --> 00:06:47.960]  他們仍然問神是誰
[00:06:47.960 --> 00:06:50.140]  為什麼我們要信基督教的神
[00:06:50.140 --> 00:06:52.100]  為什麼我們要相信聖經
[00:06:52.100 --> 00:06:53.660]  聖經是真的嗎?
[00:06:53.660 --> 00:06:57.200]  真是耶穌基督能夠道成肉身
[00:06:57.200 --> 00:06:58.720]  是神 又是人
[00:06:58.720 --> 00:07:01.180]  又能夠從死裡復活
[00:07:01.180 --> 00:07:03.620]  真的嗎?
[00:07:03.620 --> 00:07:05.500]  我們可不可以接待
[00:07:05.500 --> 00:07:08.900]  我們怎樣看
[00:07:08.900 --> 00:07:11.460]  聖的倫理?
[00:07:11.460 --> 00:07:13.520]  這些問題
[00:07:13.520 --> 00:07:16.040]  很多時候
[00:07:16.040 --> 00:07:19.820]  我們都不想問 因為我們未必懂得回答
[00:07:19.820 --> 00:07:22.560]  或者我們不想他們回答 我們制止他們
[00:07:22.560 --> 00:07:24.800]  其實不要制止他們
[00:07:24.800 --> 00:07:27.240]  因為他們和耶穌基督一樣
[00:07:27.240 --> 00:07:28.640]  是尋真
[00:07:28.640 --> 00:07:30.480]  他們回到教會的話
[00:07:30.480 --> 00:07:33.560]  耶穌基督既然在聖殿發問問題學習
[00:07:33.560 --> 00:07:39.700]  我們容讓年輕人在我們當中去發問
[00:07:39.700 --> 00:07:43.180]  聖殿就是教會
[00:07:43.180 --> 00:07:46.100]  假如耶穌基督在聖殿當中發問
[00:07:46.100 --> 00:07:50.480]  在聖殿當中跟年長成熟的拉比
[00:07:50.480 --> 00:07:55.480]  學習信仰的故事和信仰的語言
[00:07:55.480 --> 00:07:57.380]  我們應該在教會
[00:07:57.380 --> 00:08:02.040]  在我們城寨當中容讓年輕人發問
[00:08:02.040 --> 00:08:05.040]  學習聖經 學習信仰的故事
[00:08:05.040 --> 00:08:06.840]  學習信仰的語言
[00:08:06.840 --> 00:08:08.560]  所以他們來到當中的時候
[00:08:08.560 --> 00:08:10.480]  帶來他們很多的問題
[00:08:10.480 --> 00:08:12.000]  他們生命的憂慮
[00:08:12.000 --> 00:08:14.640]  無論是家庭的 社會的
[00:08:14.640 --> 00:08:17.600]  工作的 多方面的問題的時候
[00:08:17.600 --> 00:08:20.320]  或者他們跟我們發問這些問題的時候
[00:08:20.320 --> 00:08:23.640]  問得不夠禮貌的時候
[00:08:23.640 --> 00:08:26.120]  我們在當中忍耐
[00:08:26.120 --> 00:08:30.840]  沒有愛心等待去回應他們
[00:08:30.840 --> 00:08:32.800]  我們愛他們
[00:08:32.800 --> 00:08:35.120]  我們跟他們分享
[00:08:35.120 --> 00:08:38.760]  告訴他們我們懂的東西
[00:08:38.760 --> 00:08:43.080]  告訴他們我們不懂的東西
[00:08:43.080 --> 00:08:44.400]  我們在當中跟他們說
[00:08:44.400 --> 00:08:46.720]  我們怎樣去看聖經
[00:08:46.720 --> 00:08:48.400]  我們說說我們的信仰的經歷
[00:08:48.400 --> 00:08:50.360]  信仰的故事
[00:08:50.360 --> 00:08:51.800]  不過這些信仰的故事
[00:08:51.800 --> 00:08:56.360]  信仰的經歷必須要是真的
[00:08:56.360 --> 00:08:57.800]  真的
[00:08:57.800 --> 00:08:59.880]  他們才有興趣
[00:08:59.880 --> 00:09:02.800]  因為我們要跟他們年輕人
[00:09:02.800 --> 00:09:06.080]  尋求真實的撒拿
[00:09:06.080 --> 00:09:13.680]  這些真實的撒拿是能夠震撼我們的生命
[00:09:13.680 --> 00:09:15.160]  在今年的八月份
[00:09:15.160 --> 00:09:17.680]  我所說的青年編組
[00:09:17.680 --> 00:09:19.160]  Youth Groupings
[00:09:19.160 --> 00:09:20.920]  不是Youth Groups
[00:09:20.920 --> 00:09:22.040]  Youth Groupings編組
[00:09:22.040 --> 00:09:23.160]  意思就是說
[00:09:23.160 --> 00:09:25.080]  在這個青年的聚會當中
[00:09:25.080 --> 00:09:26.160]  這個組別當中
[00:09:26.160 --> 00:09:29.000]  有很多年長的人在當中參與
[00:09:29.000 --> 00:09:30.720]  在當中有導師
[00:09:30.720 --> 00:09:33.080]  成人的導師是很重要的
[00:09:33.080 --> 00:09:37.840]  成人導師的榜樣是更重要的
[00:09:37.840 --> 00:09:40.880]  所以這些老師不單只向年輕人說
[00:09:40.880 --> 00:09:43.840]  你需要成為耶穌基督的跟隨者
[00:09:43.840 --> 00:09:44.720]  不是單單說
[00:09:44.720 --> 00:09:47.360]  你自己要做出來是一個榜樣
[00:09:47.360 --> 00:09:48.680]  你說要祈禱
[00:09:48.680 --> 00:09:50.120]  那你也要祈禱
[00:09:50.120 --> 00:09:52.720]  你說要寬恕別人
[00:09:52.720 --> 00:09:54.920]  那你也要寬恕別人
[00:09:54.920 --> 00:09:57.720]  你要有示範
[00:09:57.720 --> 00:10:03.320]  你要尋真
[00:10:03.320 --> 00:10:05.320]  今年九月十八日
[00:10:05.320 --> 00:10:08.000]  在香港浸信會神學院的西澳學校
[00:10:08.000 --> 00:10:13.200]  舉行了第一屆的青年神學教育營
[00:10:13.200 --> 00:10:14.240]  主題就是
[00:10:14.240 --> 00:10:17.560]  漢德建的盼望就不是盼望
[00:10:17.560 --> 00:10:20.040]  有百多位的年輕人來到
[00:10:20.040 --> 00:10:21.080]  神學院當中
[00:10:21.080 --> 00:10:24.080]  他們去發問他們的思想信仰
[00:10:24.080 --> 00:10:25.680]  他們問了一些問題
[00:10:25.680 --> 00:10:26.960]  問了三十多條
[00:10:26.960 --> 00:10:29.560]  我給你們看兩條
[00:10:29.560 --> 00:10:31.000]  第二十條
[00:10:31.000 --> 00:10:32.360]  神說關心世界
[00:10:32.360 --> 00:10:36.800]  但我們在很多事上都見不到神出手
[00:10:36.800 --> 00:10:39.400]  祈禱神又沒有聽到
[00:10:39.400 --> 00:10:41.720]  人還可以怎樣去祈禱
[00:10:41.720 --> 00:10:44.720]  和怎樣去看到神的作為
[00:10:44.720 --> 00:10:45.680]  第三條
[00:10:45.680 --> 00:10:49.200]  教會應該專注做些甚麼
[00:10:49.200 --> 00:10:52.680]  或者不可以做些甚麼
[00:10:52.680 --> 00:10:57.320]  去面對現今的社會
[00:10:57.320 --> 00:10:59.080]  在這個營當中
[00:10:59.080 --> 00:11:01.800]  在下午有一班年輕人
[00:11:01.800 --> 00:11:04.200]  和我們老師會交談
[00:11:04.200 --> 00:11:05.560]  坐在台上交談
[00:11:05.560 --> 00:11:06.640]  是沒有準備的
[00:11:06.640 --> 00:11:08.160]  是到時候邀請的
[00:11:08.160 --> 00:11:09.800]  原來年輕人很厲害
[00:11:09.800 --> 00:11:11.160]  他們不害羞
[00:11:11.160 --> 00:11:12.520]  你和他們一起談
[00:11:12.520 --> 00:11:13.560]  他們肯和你談
[00:11:13.560 --> 00:11:15.120]  是和我們的教授對話
[00:11:15.120 --> 00:11:16.440]  其實在對話以前
[00:11:16.440 --> 00:11:17.880]  其實有分過組的
[00:11:17.880 --> 00:11:19.960]  將他們這百多人分了組
[00:11:19.960 --> 00:11:22.720]  每一個組別是有一兩個教授
[00:11:22.720 --> 00:11:24.120]  他們談天
[00:11:24.120 --> 00:11:26.920]  教授和老師是不准說話的
[00:11:26.920 --> 00:11:28.920]  他們只是留意
[00:11:28.920 --> 00:11:30.360]  聽他們說
[00:11:30.360 --> 00:11:31.560]  不過很有趣
[00:11:31.560 --> 00:11:32.840]  這些年輕人在談天
[00:11:32.840 --> 00:11:34.640]  談了很多在教會裏面
[00:11:34.640 --> 00:11:36.800]  他們沒有談的問題
[00:11:36.800 --> 00:11:40.440]  他們一起去反思信仰
[00:11:40.440 --> 00:11:47.400]  他們一起去尋真
[00:11:47.400 --> 00:11:50.040]  Andrew Root 魯特教授
[00:11:50.040 --> 00:11:53.760]  是當代著名的青少年神學家
[00:11:53.760 --> 00:11:59.800]  我希望很多從事青少年神學的教育工作者
[00:11:59.800 --> 00:12:03.960]  能夠留意他
[00:12:03.960 --> 00:12:05.400]  我第一次的聚會
[00:12:05.400 --> 00:12:07.920]  我和三間神學院的院長
[00:12:07.920 --> 00:12:09.400]  做了一個交流
[00:12:09.400 --> 00:12:12.320]  我希望很多人研究一下他
[00:12:12.320 --> 00:12:14.720]  不過他不是唯一一個繼續思想
[00:12:14.720 --> 00:12:19.400]  究竟青少年的工作是怎樣的工作
[00:12:19.400 --> 00:12:23.080]  他分享了一個感人的故事
[00:12:23.080 --> 00:12:27.840]  他說他參加一次青年人的聚會
[00:12:27.840 --> 00:12:29.400]  聚會是很特別的
[00:12:29.400 --> 00:12:32.600]  聚會是一起看聖經
[00:12:32.600 --> 00:12:36.040]  看馬太福音的十九章
[00:12:36.040 --> 00:12:39.280]  年輕人、年輕財主的故事
[00:12:39.280 --> 00:12:43.560]  有三位弟兄姊妹做回應
[00:12:43.560 --> 00:12:45.720]  用他們自己生命的故事
[00:12:45.720 --> 00:12:47.120]  去回應這段經文
[00:12:47.120 --> 00:12:48.720]  這三位人物有甚麼呢?
[00:12:48.720 --> 00:12:53.400]  有一位是五十多歲的弟兄
[00:12:53.400 --> 00:12:55.880]  另一位是三十多歲的姊妹
[00:12:55.880 --> 00:12:59.560]  再另一位是二十多歲的弟兄
[00:12:59.560 --> 00:13:01.520]  他們回應之後
[00:13:01.520 --> 00:13:05.040]  這個追傳到他做回應
[00:13:05.040 --> 00:13:05.920]  做綜合
[00:13:05.920 --> 00:13:08.160]  綜合完之後就祈禱了
[00:13:08.160 --> 00:13:09.480]  祈禱怎樣祈法呢?
[00:13:09.480 --> 00:13:11.080]  將所有人分組
[00:13:11.080 --> 00:13:13.040]  不過分組每一組的祈禱
[00:13:13.040 --> 00:13:14.600]  都是需要有年輕人
[00:13:14.600 --> 00:13:16.680]  也要有成年人
[00:13:16.680 --> 00:13:21.760]  祈禱完之後就結束了
[00:13:21.760 --> 00:13:23.560]  聚會結束的時候
[00:13:23.560 --> 00:13:26.320]  魯特教授跟追傳到聊天
[00:13:26.320 --> 00:13:30.480]  問為甚麼這樣聚會的方式呢?
[00:13:30.480 --> 00:13:35.320]  於是追傳到就講他的故事
[00:13:35.320 --> 00:13:37.400]  他說
[00:13:37.400 --> 00:13:39.480]  我來這間教會侍奉
[00:13:39.480 --> 00:13:44.440]  其實在兩年前左右我差點被解僱
[00:13:44.440 --> 00:13:46.640]  因為我想其實做教會的工作
[00:13:46.640 --> 00:13:48.560]  年輕人的工作很容易
[00:13:48.560 --> 00:13:50.040]  搞些營會
[00:13:50.040 --> 00:13:53.720]  使弟兄姊妹年輕人快樂就可以了
[00:13:53.720 --> 00:13:55.880]  不過做了九月之後我失敗了
[00:13:55.880 --> 00:13:59.480]  人事委員會跟我說話
[00:13:59.480 --> 00:14:02.160]  說我做事沒有果效
[00:14:02.160 --> 00:14:07.920]  於是就送我去讀很多課程
[00:14:07.920 --> 00:14:10.000]  參加很多聚會
[00:14:10.000 --> 00:14:11.920]  青年人工作的聚會
[00:14:11.920 --> 00:14:12.960]  我參加了
[00:14:12.960 --> 00:14:14.440]  不過參加了之後
[00:14:14.440 --> 00:14:15.720]  我發覺是大件事
[00:14:15.720 --> 00:14:18.240]  因為去完這些座談會
[00:14:18.240 --> 00:14:21.040]  我回來後原來我要做更多的事
[00:14:21.040 --> 00:14:24.600]  年輕人要做更多的事
[00:14:24.600 --> 00:14:27.760]  他說大家都筋疲力竭
[00:14:27.760 --> 00:14:30.200]  不過很奇妙
[00:14:30.200 --> 00:14:31.240]  我們一個年輕人
[00:14:31.240 --> 00:14:34.200]  一個妹妹出現了
[00:14:34.200 --> 00:14:35.600]  她生病了
[00:14:35.600 --> 00:14:38.160]  進醫院了
[00:14:38.160 --> 00:14:40.560]  去雷南
[00:14:40.560 --> 00:14:43.480]  她生病了進醫院之後
[00:14:43.480 --> 00:14:46.760]  我就發電郵給所有年輕人
[00:14:46.760 --> 00:14:49.080]  年輕人第一天來一班
[00:14:49.080 --> 00:14:50.680]  第二天來很多
[00:14:50.680 --> 00:14:56.120]  來這裡為這位年輕的姐妹禱告
[00:14:56.120 --> 00:14:57.040]  在這裡聊天
[00:14:57.040 --> 00:15:00.520]  來的人不單止是年輕人
[00:15:00.520 --> 00:15:03.520]  也有媽媽來了
[00:15:03.520 --> 00:15:07.080]  第二天有一位先生出現
[00:15:07.080 --> 00:15:09.720]  他叫伯納德.伯納德
[00:15:09.720 --> 00:15:14.040]  伯納德是教會的公友
[00:15:14.040 --> 00:15:16.560]  他來這裡
[00:15:16.560 --> 00:15:17.880]  他不說話
[00:15:17.880 --> 00:15:19.240]  他看著年輕人
[00:15:19.240 --> 00:15:20.680]  看著媽媽
[00:15:20.680 --> 00:15:27.120]  如何陪伯納德的媽媽在這裡祈禱
[00:15:27.120 --> 00:15:32.840]  有一位教會的小弟兄
[00:15:32.840 --> 00:15:34.760]  正在讀大學四年級
[00:15:34.760 --> 00:15:37.360]  他幫伯納德
[00:15:37.360 --> 00:15:39.600]  每星期五至八小時
[00:15:39.600 --> 00:15:42.440]  幫忙整理房間
[00:15:42.440 --> 00:15:44.960]  預備聚會的地方所用
[00:15:44.960 --> 00:15:47.440]  他跟伯納德很熟
[00:15:47.440 --> 00:15:50.360]  「為什麼你會在這裡?」
[00:15:50.360 --> 00:15:54.720]  於是伯納德說他的故事
[00:15:54.720 --> 00:15:56.840]  他說二十年前
[00:15:56.840 --> 00:15:59.440]  我的女兒離世
[00:15:59.440 --> 00:16:01.840]  我不在她的身邊
[00:16:01.840 --> 00:16:04.600]  我喝醉酒
[00:16:04.600 --> 00:16:08.680]  原來她因為吸毒和酗酒
[00:16:08.680 --> 00:16:12.240]  跟太太的關係很疏離
[00:16:12.240 --> 00:16:15.720]  當寶貝女兒患了重病
[00:16:15.720 --> 00:16:17.520]  她要去見她女兒
[00:16:17.520 --> 00:16:18.920]  她很想見她女兒
[00:16:18.920 --> 00:16:20.200]  不過臨去之前
[00:16:20.200 --> 00:16:23.960]  她想自己興奮一下
[00:16:23.960 --> 00:16:25.720]  所以吃了一些毒品
[00:16:25.720 --> 00:16:27.720]  怎知一吃起不了身
[00:16:27.720 --> 00:16:30.440]  睡了兩天
[00:16:30.440 --> 00:16:31.960]  起身的時候
[00:16:31.960 --> 00:16:35.160]  寶貝女兒已經離世
[00:16:35.160 --> 00:16:38.440]  她看不見寶貝女兒最後的一面
[00:16:38.440 --> 00:16:40.560]  於是她很不開心
[00:16:40.560 --> 00:16:42.080]  有兩年的時間
[00:16:42.080 --> 00:16:44.440]  她無家可歸
[00:16:44.440 --> 00:16:46.680]  她住在爛屋裏面
[00:16:46.680 --> 00:16:48.280]  有一天早上
[00:16:48.280 --> 00:16:51.520]  在爛屋裏面醒來的時候
[00:16:51.520 --> 00:16:54.520]  有一個男人拍她的肩膀
[00:16:54.520 --> 00:16:57.640]  他以為是警察
[00:16:57.640 --> 00:17:02.840]  但是拍他肩膀的先生說他的名字
[00:17:02.840 --> 00:17:08.520]  「伯納德,你寶貝的女兒跟我一起了
[00:17:08.520 --> 00:17:11.080]  願你平安」
[00:17:11.080 --> 00:17:12.120]  在那個時候
[00:17:12.120 --> 00:17:13.880]  他掩著臉,他很困擾
[00:17:13.880 --> 00:17:16.800]  但是抬頭再看的時候
[00:17:16.800 --> 00:17:19.120]  發覺那個男人不見了
[00:17:19.120 --> 00:17:21.640]  他不知道是否自己在做夢
[00:17:21.640 --> 00:17:23.120]  但是由那個時候開始
[00:17:23.120 --> 00:17:24.920]  他立定心意
[00:17:24.920 --> 00:17:26.960]  他要振作
[00:17:26.960 --> 00:17:30.720]  他就跌跌撞撞地去到一間教會當中
[00:17:30.720 --> 00:17:36.240]  教會的弟兄姊妹邀請他參加禮拜二的查經聚會
[00:17:36.240 --> 00:17:37.880]  他回到那間教會
[00:17:37.880 --> 00:17:40.640]  在那間教會回了一年的時間
[00:17:40.640 --> 00:17:42.400]  牧師就給他一份工作
[00:17:42.400 --> 00:17:45.840]  他就在教會做工友
[00:17:45.840 --> 00:17:53.320]  在Lorena這位女孩子病的時候
[00:17:53.320 --> 00:17:55.080]  有事的時候
[00:17:55.080 --> 00:17:58.520]  她知道她去了醫院
[00:17:58.520 --> 00:18:00.400]  這位伯納德先生
[00:18:00.400 --> 00:18:05.160]  他說「我聽到那個在爛的屋裏面
[00:18:05.160 --> 00:18:06.600]  所發出的聲音
[00:18:06.600 --> 00:18:08.960]  就是那把男子的聲音
[00:18:08.960 --> 00:18:11.840]  跟我說「去」
[00:18:11.840 --> 00:18:15.520]  所以我就來到這裏」
[00:18:15.520 --> 00:18:17.800]  當他講完這個故事的時候
[00:18:17.800 --> 00:18:19.800]  一些成人、一些媽媽
[00:18:19.800 --> 00:18:23.280]  就開始講他們以前年輕人沒聽過的故事
[00:18:23.280 --> 00:18:26.360]  其中有一位女士姐妹
[00:18:26.360 --> 00:18:27.840]  也是回教會的
[00:18:27.840 --> 00:18:29.760]  叫Kathy 叫凱西
[00:18:29.760 --> 00:18:31.400]  凱西就說
[00:18:31.400 --> 00:18:35.120]  這位女兒還沒出生之前的兩年
[00:18:35.120 --> 00:18:37.400]  我曾經進過醫院要生孩子
[00:18:37.400 --> 00:18:38.480]  但我流產
[00:18:38.480 --> 00:18:41.200]  我知道那時候我沒可能再生孩子
[00:18:41.200 --> 00:18:43.440]  所以我在那裏哭
[00:18:43.440 --> 00:18:45.040]  我哭的時候
[00:18:45.040 --> 00:18:50.720]  有一個年長的女士拍我的肩膀
[00:18:50.720 --> 00:18:55.160]  她跟我說「你哭吧
[00:18:55.160 --> 00:18:56.800]  你哀悼吧
[00:18:56.800 --> 00:18:58.920]  不過明天
[00:18:58.920 --> 00:19:00.960]  之後、將來
[00:19:00.960 --> 00:19:03.720]  你就會快樂
[00:19:03.720 --> 00:19:08.160]  你的悲傷會變成喜樂」
[00:19:08.160 --> 00:19:11.280]  這句金句是
[00:19:11.280 --> 00:19:13.160]  她的奶奶
[00:19:13.160 --> 00:19:16.040]  就是Kathy 凱西的奶奶
[00:19:16.040 --> 00:19:21.480]  生不到媽媽的時候所讀的聖經
[00:19:21.480 --> 00:19:24.760]  當奶奶生到媽媽的時候
[00:19:24.760 --> 00:19:27.440]  都是讀這一節的金句
[00:19:27.440 --> 00:19:29.800]  所以凱西她很驚訝
[00:19:29.800 --> 00:19:33.240]  她問這位年長的姐妹
[00:19:33.240 --> 00:19:38.120]  「為什麼你知道我奶奶喜歡的那句金句?」
[00:19:38.120 --> 00:19:39.960]  這位女士就說
[00:19:39.960 --> 00:19:41.800]  「我不知道
[00:19:41.800 --> 00:19:44.600]  我相信是聖靈引導我
[00:19:44.600 --> 00:19:48.280]  是耶穌基督叫我來到這裏
[00:19:48.280 --> 00:19:49.800]  我本來來醫院
[00:19:49.800 --> 00:19:54.000]  我來醫院是處理我血栓的問題
[00:19:54.000 --> 00:19:55.640]  不過如果是這樣的話
[00:19:55.640 --> 00:20:00.240]  就是耶穌基督要叫我和你一起」
[00:20:00.240 --> 00:20:02.520]  後來很奇妙
[00:20:02.520 --> 00:20:04.880]  凱西去懷孕了
[00:20:04.880 --> 00:20:06.640]  懷孕之後
[00:20:06.640 --> 00:20:08.400]  在懷孕期間每個星期
[00:20:08.400 --> 00:20:12.720]  這位老姐妹就和凱西一起去禱告
[00:20:12.720 --> 00:20:13.920]  直至孩子出世
[00:20:13.920 --> 00:20:16.480]  所以凱西她很開心
[00:20:16.480 --> 00:20:17.560]  她說
[00:20:17.560 --> 00:20:26.760]  「神差院的使者在等候室裏賜福給我」
[00:20:26.760 --> 00:20:29.880]  所以最傳道就說
[00:20:29.880 --> 00:20:37.400]  「是的,所以我的青年人的事工改變了」
[00:20:37.400 --> 00:20:43.840]  「我認為青年人的工作是等候室的工作」
[00:20:43.840 --> 00:20:48.200]  「是一個分享生命故事的工作」
[00:20:48.200 --> 00:20:49.560]  「從那個時候開始」
[00:20:49.560 --> 00:20:53.600]  「我就邀請很多人一起來等候室講故事」
[00:20:53.600 --> 00:20:55.760]  「請年輕人去講故事」
[00:20:55.760 --> 00:20:57.680]  「請年長的人講故事」
[00:20:57.680 --> 00:21:00.640]  「那個大故事就是耶穌基督的故事」
[00:21:00.640 --> 00:21:01.920]  「一起講故事」
[00:21:01.920 --> 00:21:05.360]  「所以我不是單單是年輕人的傳道」
[00:21:05.360 --> 00:21:10.480]  「我都是成長的人的傳道人」
[00:21:10.480 --> 00:21:12.240]  「我們一起去講聖經的故事」
[00:21:12.240 --> 00:21:13.280]  「講生命的故事」
[00:21:13.280 --> 00:21:15.200]  「一起去尋求神」
[00:21:15.200 --> 00:21:18.640]  「一起尋求真實的撒拿」
[00:21:18.640 --> 00:21:22.640]  「尋找我們的身份」
[00:21:22.640 --> 00:21:24.240]  所以Jay說
[00:21:24.240 --> 00:21:32.440]  「真的,青少年的工作應該是堅定辨別聖經的意思」
[00:21:32.440 --> 00:21:36.040]  「尋找真實的撒拿」
