
[00:00:00.000 --> 00:00:02.000]  在新的一年開始
[00:02:31.000 --> 00:02:33.500]  但龍 中國人覺得是很好
[00:02:33.500 --> 00:02:38.000]  但代表了有活潑 有朝氣勃勃
[00:02:38.000 --> 00:02:39.500]  所以中國人很喜歡的
[00:02:39.500 --> 00:02:44.000]  特別很多人喜歡在農年的時候生寶寶
[00:02:44.000 --> 00:02:47.000]  但其實這就不是很有智慧了
[00:02:47.000 --> 00:02:50.500]  因為每個人都要爭著在農年生寶寶的話
[00:02:50.500 --> 00:02:54.000]  農年就多生寶寶
[00:02:54.000 --> 00:02:58.000]  所以競爭性就會強了
[00:02:58.000 --> 00:03:03.500]  早幾年冥恩堂就開了一間叫冥恩小學
[00:03:03.500 --> 00:03:05.500]  其實是因為農年效應
[00:03:05.500 --> 00:03:08.500]  農年多了很多生寶寶出生
[00:03:08.500 --> 00:03:12.500]  所以那一年就不夠學位
[00:03:12.500 --> 00:03:15.500]  所以後來才會將一間殺了的學校
[00:03:15.500 --> 00:03:19.000]  拿出來裝修好了 然後給人投標
[00:03:19.000 --> 00:03:20.500]  都很感恩的
[00:03:20.500 --> 00:03:24.500]  但對於生寶寶的競爭性就大了很多
[00:03:24.500 --> 00:03:27.500]  他們認為這個龍就是吉祥
[00:03:27.500 --> 00:03:30.500]  所以很多是正面的描繪
[00:03:30.500 --> 00:03:34.500]  有龍飛鳳舞 有龍征虎猛
[00:03:34.500 --> 00:03:38.500]  生龍活虎 龍馬精神
[00:03:38.500 --> 00:03:42.000]  而中國的皇帝其實是拿龍來做代表
[00:03:42.000 --> 00:03:44.000]  這是皇帝的情意結
[00:03:44.000 --> 00:03:49.500]  很希望自己的兒女成財就叫做望子成龍
[00:03:49.500 --> 00:03:53.500]  中國人就說自己是龍的傳人
[00:03:53.500 --> 00:03:57.000]  不要搞錯 如果你再去查的時候
[00:03:57.000 --> 00:04:00.000]  特別是馮曦琼先生有一個很清楚的文章寫了
[00:04:00.000 --> 00:04:04.000]  龍的傳人是侯德健 就是台灣的
[00:04:04.000 --> 00:04:06.500]  他是去寫的 因為那一年
[00:04:06.500 --> 00:04:10.500]  中華人民共和國就加入了聯合國
[00:04:10.500 --> 00:04:16.000]  聯合國就摒除了一直以來的中華民國 就是台灣
[00:04:16.000 --> 00:04:21.000]  所以那時候他們在台灣的人是非常意志低沉
[00:04:21.000 --> 00:04:26.000]  侯德健就寫龍的傳人作為鼓勵
[00:04:26.000 --> 00:04:28.000]  但這首歌又被國內拿了
[00:04:28.000 --> 00:04:30.000]  特別張明敏唱得很紅
[00:04:30.000 --> 00:04:35.500]  很多時候我們以為這個是中國人去寫的
[00:04:35.500 --> 00:04:37.500]  原來其實是台灣所寫的
[00:04:37.500 --> 00:04:39.500]  叫做龍的傳人
[00:04:39.500 --> 00:04:43.000]  但是其實這個是犯禁忌的
[00:04:43.000 --> 00:04:45.000]  因為真正的龍就代表了皇帝
[00:04:45.000 --> 00:04:47.000]  好了 有些明星也改名了
[00:04:47.000 --> 00:04:55.500]  叫什麼 威震西方 非洲 南亞 就是李小龍
[00:04:55.500 --> 00:04:59.500]  但李小龍原本的名字就不是叫小龍 是不是
[00:04:59.500 --> 00:05:01.500]  有些人就改自己
[00:05:01.500 --> 00:05:03.500]  很想好像李小龍那樣
[00:05:03.500 --> 00:05:05.500]  就叫成龍 結果現在成蟲
[00:05:05.500 --> 00:05:07.500]  是有拍戲的 但是現在都沒有人看了
[00:05:07.500 --> 00:05:10.500]  所以香港就沒有上映這些電影了
[00:05:10.500 --> 00:05:13.500]  但是其實這是中國傳統文化
[00:05:13.500 --> 00:05:16.500]  其實龍是很神秘的
[00:05:16.500 --> 00:05:19.500]  是混合體的產品 即是什麼呢
[00:05:19.500 --> 00:05:21.500]  即是雜種
[00:05:21.500 --> 00:05:26.500]  說明解釋說 龍就是鱗蟲之長
[00:05:26.500 --> 00:05:29.500]  能幽能明 能細能巨
[00:05:29.500 --> 00:05:32.500]  能長能短 春分而升天
[00:05:32.500 --> 00:05:34.500]  然後秋分而潛淵
[00:05:34.500 --> 00:05:37.500]  龍可以大可以細 所以有縮龍成寸
[00:05:37.500 --> 00:05:39.500]  剛才我已經說了
[00:05:39.500 --> 00:05:41.500]  龍是什麼呢 就是雜種來的
[00:05:41.500 --> 00:05:46.500]  在南宋羅縣引述汗王扶乳就說
[00:05:46.500 --> 00:05:50.500]  常俗怎麼畫龍的時候
[00:05:50.500 --> 00:05:52.500]  就是馬手蛇身
[00:05:52.500 --> 00:05:54.500]  頭像馬一樣
[00:05:54.500 --> 00:05:56.500]  身像蛇一樣
[00:05:56.500 --> 00:05:58.500]  有三庭九次
[00:05:58.500 --> 00:06:00.500]  什麼叫三庭 就是分三個階段的
[00:06:00.500 --> 00:06:05.500]  第一 就是頭到肩膀
[00:06:05.500 --> 00:06:08.500]  第二就是肩膀到腰
[00:06:08.500 --> 00:06:10.500]  然後腰到尾
[00:06:10.500 --> 00:06:13.500]  然後有九樣東西像
[00:06:13.500 --> 00:06:15.500]  角就像鹿
[00:06:15.500 --> 00:06:17.500]  頭就像駱駝
[00:06:17.500 --> 00:06:19.500]  眼睛像鬼
[00:06:19.500 --> 00:06:23.500]  其實可能在古籍上傳下來就錯了
[00:06:23.500 --> 00:06:25.500]  應該不是像鬼
[00:06:25.500 --> 00:06:28.500]  應該是兔字 兔字和鬼字差不多
[00:06:28.500 --> 00:06:30.500]  所以可能寫錯了
[00:06:30.500 --> 00:06:32.500]  龍的眼睛是紅色的
[00:06:32.500 --> 00:06:34.500]  像兔子 汗就像蛇
[00:06:34.500 --> 00:06:36.500]  腹就像神
[00:06:36.500 --> 00:06:38.500]  肚子就像這樣
[00:06:38.500 --> 00:06:42.500]  鷹的爪就像鷹
[00:06:42.500 --> 00:06:44.500]  輪就像魚
[00:06:44.500 --> 00:06:46.500]  掌就像老虎
[00:06:46.500 --> 00:06:48.500]  耳朵就像牛
[00:06:48.500 --> 00:06:50.500]  所以無論如何
[00:06:50.500 --> 00:06:52.500]  中國人所說的龍
[00:06:52.500 --> 00:06:54.500]  認為是吉祥
[00:06:54.500 --> 00:06:56.500]  認為跟西方很不同
[00:06:56.500 --> 00:07:00.500]  但是其實我又不會去否定他們這些想法
[00:07:00.500 --> 00:07:02.500]  正如可能你結婚了
[00:07:02.500 --> 00:07:04.500]  想起那個時候斟茶
[00:07:04.500 --> 00:07:06.500]  那個茶壺
[00:07:06.500 --> 00:07:08.500]  或者那個杯子都是有龍有鳳的
[00:07:08.500 --> 00:07:10.500]  你不會說我不會去
[00:07:10.500 --> 00:07:12.500]  你去喝的時候那間酒樓
[00:07:12.500 --> 00:07:14.500]  有龍有鳳挑黑在那裡
[00:07:14.500 --> 00:07:17.500]  你會不會說我又不出席這個婚宴呢
[00:07:17.500 --> 00:07:19.500]  因為為什麼呢
[00:07:19.500 --> 00:07:21.500]  在今年農年裡面
[00:07:21.500 --> 00:07:23.500]  都有一些問題產生的
[00:07:23.500 --> 00:07:25.500]  就是什麼呢
[00:07:25.500 --> 00:07:27.500]  就是有些傳道人
[00:07:27.500 --> 00:07:29.500]  或者有些基督徒就說
[00:07:29.500 --> 00:07:31.500]  不應該講龍的
[00:07:31.500 --> 00:07:33.500]  特別教會如果搞活動的時候
[00:07:33.500 --> 00:07:35.500]  不應該畫龍上去的
[00:07:35.500 --> 00:07:37.500]  好了
[00:07:37.500 --> 00:07:39.500]  中國文化的龍和西方文化的龍
[00:07:39.500 --> 00:07:41.500]  其實是有明顯的差異的
[00:07:41.500 --> 00:07:43.500]  首先在外形上
[00:07:43.500 --> 00:07:45.500]  是有這個分別的
[00:07:45.500 --> 00:07:49.500]  啟示錄裡面的大紅龍
[00:07:49.500 --> 00:07:51.500]  是有七頭十角的
[00:07:51.500 --> 00:07:55.500]  能夠飛因為有翼
[00:07:55.500 --> 00:07:57.500]  嘴巴就會吐烈焰
[00:07:57.500 --> 00:08:01.500]  而中國人所描繪的龍
[00:08:01.500 --> 00:08:03.500]  有沒有留意都是沒有翼的
[00:08:03.500 --> 00:08:05.500]  但是他能夠騰雲駕霧
[00:08:05.500 --> 00:08:07.500]  興風降雨
[00:08:07.500 --> 00:08:09.500]  最重要就是兩者的意義
[00:08:09.500 --> 00:08:11.500]  很相似
[00:08:11.500 --> 00:08:13.500]  截然不同
[00:08:13.500 --> 00:08:15.500]  他們認為西方的龍就是邪惡
[00:08:15.500 --> 00:08:17.500]  暴雷災禍詛咒
[00:08:17.500 --> 00:08:19.500]  和負面的意思
[00:08:19.500 --> 00:08:21.500]  中國或者東南亞一帶
[00:08:21.500 --> 00:08:23.500]  龍就象徵著神聖
[00:08:23.500 --> 00:08:25.500]  高貴吉祥
[00:08:25.500 --> 00:08:27.500]  和師父的正面意義
[00:08:27.500 --> 00:08:29.500]  但是其實
[00:08:29.500 --> 00:08:31.500]  如果我們真的去研究這些古籍的時候
[00:08:31.500 --> 00:08:33.500]  你就會發覺到
[00:08:33.500 --> 00:08:35.500]  原來我們這些思想
[00:08:35.500 --> 00:08:37.500]  都是錯誤的
[00:08:37.500 --> 00:08:39.500]  原來龍是令人妄疑
[00:08:39.500 --> 00:08:41.500]  生畏的動物
[00:08:41.500 --> 00:08:43.500]  龍是會經常打架的
[00:08:43.500 --> 00:08:45.500]  打架的時候
[00:08:45.500 --> 00:08:47.500]  就帶來了暴雨
[00:08:47.500 --> 00:08:49.500]  在《易經》裡面
[00:08:49.500 --> 00:08:51.500]  大家知道《易經》也是很古老的文章
[00:08:51.500 --> 00:08:53.500]  就說到龍戰在野
[00:08:53.500 --> 00:08:55.500]  其血懸黃
[00:08:55.500 --> 00:08:57.500]  就是說龍是互相爭鬥
[00:08:57.500 --> 00:08:59.500]  就好像
[00:08:59.500 --> 00:09:01.500]  我們看那套叫什麼
[00:09:01.500 --> 00:09:03.500]  恐龍的
[00:09:03.500 --> 00:09:05.500]  侏羅紀公園
[00:09:05.500 --> 00:09:07.500]  那些恐龍都會自己打架
[00:09:07.500 --> 00:09:09.500]  原來《易經》就有講
[00:09:09.500 --> 00:09:11.500]  這件事
[00:09:11.500 --> 00:09:13.500]  在《左傳》裡面
[00:09:13.500 --> 00:09:15.500]  也都有記載
[00:09:15.500 --> 00:09:17.500]  說到有些龍是互相爭鬥
[00:09:17.500 --> 00:09:19.500]  莊子
[00:09:19.500 --> 00:09:21.500]  莊子學術裡面就提到
[00:09:21.500 --> 00:09:23.500]  一個朱平萬就說
[00:09:23.500 --> 00:09:25.500]  學屠龍於知利益
[00:09:25.500 --> 00:09:27.500]  就是說要斬虎屠龍
[00:09:27.500 --> 00:09:29.500]  這些龍是邪惡的
[00:09:29.500 --> 00:09:31.500]  所以要把他們殺了
[00:09:31.500 --> 00:09:33.500]  這個就是屠龍
[00:09:33.500 --> 00:09:35.500]  所以金龍書裡面
[00:09:35.500 --> 00:09:37.500]  都有屠龍刀
[00:09:37.500 --> 00:09:39.500]  所以呢
[00:09:39.500 --> 00:09:41.500]  我們看到
[00:09:41.500 --> 00:09:43.500]  中國人好像古希臘的英雄一樣
[00:09:43.500 --> 00:09:45.500]  是會將龍視為怪獸
[00:09:45.500 --> 00:09:47.500]  需要殺掉的
[00:09:47.500 --> 00:09:49.500]  在先秦的文獻裡面看到
[00:09:49.500 --> 00:09:51.500]  中國的龍
[00:09:51.500 --> 00:09:53.500]  非但不友善
[00:09:53.500 --> 00:09:55.500]  也不是吉祥之物
[00:09:55.500 --> 00:09:57.500]  龍種根本就
[00:09:57.500 --> 00:09:59.500]  不是皇帝
[00:09:59.500 --> 00:10:01.500]  反而是禍國殃民
[00:10:01.500 --> 00:10:03.500]  一些的人
[00:10:03.500 --> 00:10:05.500]  根據《國語》這本書
[00:10:05.500 --> 00:10:07.500]  就會講到
[00:10:07.500 --> 00:10:09.500]  導致西周亡國
[00:10:09.500 --> 00:10:11.500]  那個叫煲錢
[00:10:11.500 --> 00:10:13.500]  就是坦幾煲錢是齊名的
[00:10:13.500 --> 00:10:15.500]  他父親就是
[00:10:15.500 --> 00:10:17.500]  龍種
[00:10:17.500 --> 00:10:19.500]  是龍與人類結立而產生的
[00:10:19.500 --> 00:10:21.500]  所以是第一代的龍的傳人
[00:10:21.500 --> 00:10:23.500]  所以龍種
[00:10:23.500 --> 00:10:25.500]  就不是什麼呢
[00:10:25.500 --> 00:10:27.500]  不是開國的皇帝
[00:10:27.500 --> 00:10:29.500]  而是亡國的禍根
[00:10:29.500 --> 00:10:31.500]  所以呢
[00:10:31.500 --> 00:10:33.500]  如果特意用龍
[00:10:33.500 --> 00:10:35.500]  其實也是沒有意思的
[00:10:35.500 --> 00:10:37.500]  好了 我們看了中國的龍
[00:10:37.500 --> 00:10:39.500]  我們現在看看聖經裡面的龍
[00:10:39.500 --> 00:10:41.500]  如果你留意了
[00:10:41.500 --> 00:10:43.500]  龍中文聖經裡面
[00:10:43.500 --> 00:10:45.500]  只是在啟示錄裡面出現過
[00:10:45.500 --> 00:10:47.500]  出現了十三次
[00:10:47.500 --> 00:10:49.500]  第十二章就出現了八次
[00:10:49.500 --> 00:10:51.500]  龍在啟示錄裡面
[00:10:51.500 --> 00:10:53.500]  就代表了
[00:10:53.500 --> 00:10:55.500]  魔鬼
[00:10:55.500 --> 00:10:57.500]  那我們看看啟示錄
[00:10:57.500 --> 00:10:59.500]  第十二章的第九節
[00:10:59.500 --> 00:11:01.500]  謝謝二汪
[00:11:01.500 --> 00:11:03.500]  大龍就是那股蛇
[00:11:03.500 --> 00:11:05.500]  名叫魔鬼
[00:11:05.500 --> 00:11:07.500]  又叫撒旦
[00:11:07.500 --> 00:11:09.500]  天下的他被摔在地上
[00:11:09.500 --> 00:11:11.500]  差的使者也一同
[00:11:11.500 --> 00:11:13.500]  被摔下去
[00:11:13.500 --> 00:11:15.500]  這個就是和合本
[00:11:15.500 --> 00:11:17.500]  譯的譯本
[00:11:17.500 --> 00:11:19.500]  如果你留意到現在聖經新譯本裡面
[00:11:19.500 --> 00:11:21.500]  再不譯大龍
[00:11:21.500 --> 00:11:23.500]  只會是大蛇
[00:11:23.500 --> 00:11:25.500]  是蛇 所以聖經裡面
[00:11:25.500 --> 00:11:27.500]  這個龍
[00:11:27.500 --> 00:11:29.500]  與中國的龍其實是有
[00:11:29.500 --> 00:11:31.500]  那個分別的
[00:11:31.500 --> 00:11:33.500]  大龍就是那股蛇
[00:11:33.500 --> 00:11:35.500]  又叫做魔鬼 又叫做撒旦
[00:11:35.500 --> 00:11:37.500]  那時候我們就看到
[00:11:37.500 --> 00:11:39.500]  原來這個
[00:11:39.500 --> 00:11:41.500]  代表了魔鬼 聖經裡面
[00:11:41.500 --> 00:11:43.500]  不論是新約舊約
[00:11:43.500 --> 00:11:45.500]  都有論及魔鬼
[00:11:45.500 --> 00:11:47.500]  魔鬼
[00:11:47.500 --> 00:11:49.500]  盡量來帶去讓人
[00:11:49.500 --> 00:11:51.500]  不覺得他存在的
[00:11:51.500 --> 00:11:53.500]  沒有的 傻的
[00:11:53.500 --> 00:11:55.500]  跟我說這個世界有魔鬼嗎
[00:11:55.500 --> 00:11:57.500]  就好像說
[00:11:57.500 --> 00:11:59.500]  沒有紅線沒有紅線
[00:11:59.500 --> 00:12:01.500]  但是不是真的沒有呢
[00:12:01.500 --> 00:12:03.500]  原來魔鬼
[00:12:03.500 --> 00:12:05.500]  在聖經裡面不斷有提及
[00:12:05.500 --> 00:12:07.500]  舊約 較為少
[00:12:07.500 --> 00:12:09.500]  有七卷書提及他的名字
[00:12:09.500 --> 00:12:11.500]  就是創世紀
[00:12:11.500 --> 00:12:13.500]  歷代至上 約百記
[00:12:13.500 --> 00:12:15.500]  約百記特別多提了12次
[00:12:15.500 --> 00:12:17.500]  有詩篇 以塞亞書 以西結書
[00:12:17.500 --> 00:12:19.500]  還有撒加利亞書
[00:12:19.500 --> 00:12:21.500]  而新約的比例會高一點
[00:12:21.500 --> 00:12:23.500]  雖然有27卷書
[00:12:23.500 --> 00:12:25.500]  但有19卷都有提到他
[00:12:25.500 --> 00:12:27.500]  主耶穌自己都多次提及
[00:12:27.500 --> 00:12:29.500]  魔鬼
[00:12:29.500 --> 00:12:31.500]  所以我們絕對不要否定他的存在
[00:12:31.500 --> 00:12:33.500]  魔鬼真的存在
[00:12:33.500 --> 00:12:35.500]  究竟魔鬼的起源
[00:12:35.500 --> 00:12:37.500]  和墮落是甚麼時候呢
[00:12:37.500 --> 00:12:39.500]  聖經給我們啟示
[00:12:39.500 --> 00:12:41.500]  看到他在世界被創造之先
[00:12:41.500 --> 00:12:43.500]  他已經
[00:12:43.500 --> 00:12:45.500]  來帶去存在了
[00:12:45.500 --> 00:12:47.500]  所以我們不需要
[00:12:47.500 --> 00:12:49.500]  知道很詳細的範疇
[00:12:49.500 --> 00:12:51.500]  正如我說過
[00:12:51.500 --> 00:12:53.500]  可能大家都知道我們一定有曾祖父
[00:12:53.500 --> 00:12:55.500]  但我想在我們當中有多少人
[00:12:55.500 --> 00:12:57.500]  會見過曾祖父 是不是
[00:12:57.500 --> 00:12:59.500]  我連我爺爺都沒有見過
[00:12:59.500 --> 00:13:01.500]  我們會知道
[00:13:01.500 --> 00:13:03.500]  但對他的認識是很模糊的
[00:13:03.500 --> 00:13:05.500]  很多解經家認為
[00:13:05.500 --> 00:13:07.500]  以西結書28章1到19節
[00:13:07.500 --> 00:13:09.500]  和以塞亞書14章
[00:13:09.500 --> 00:13:11.500]  12到23節
[00:13:11.500 --> 00:13:13.500]  這兩段經文是暗指魔鬼的起源
[00:13:13.500 --> 00:13:15.500]  和墮落他經過
[00:13:15.500 --> 00:13:17.500]  魔鬼
[00:13:17.500 --> 00:13:19.500]  他未成為魔之先
[00:13:19.500 --> 00:13:21.500]  他就是光明天使
[00:13:21.500 --> 00:13:23.500]  他有名字叫路西弗
[00:13:23.500 --> 00:13:25.500]  意思就是明亮之星
[00:13:25.500 --> 00:13:27.500]  祖神之子
[00:13:27.500 --> 00:13:29.500]  這就是以塞亞書第14章
[00:13:29.500 --> 00:13:31.500]  第12節裡面說的
[00:13:31.500 --> 00:13:33.500]  正因為他心驕氣傲
[00:13:33.500 --> 00:13:35.500]  甚至很想自己的地位超越神
[00:13:35.500 --> 00:13:37.500]  高舉自己 於是成為魔鬼
[00:13:37.500 --> 00:13:39.500]  好 我們來看看
[00:13:39.500 --> 00:13:43.500]  以塞亞書14章13到第15節
[00:13:43.500 --> 00:13:45.500]  你心裡曾說
[00:13:45.500 --> 00:13:47.500]  我要升到天上
[00:13:47.500 --> 00:13:49.500]  我要高舉我的寶座
[00:13:49.500 --> 00:13:51.500]  在神眾星以上
[00:13:51.500 --> 00:13:53.500]  我要坐在聚會的山上
[00:13:53.500 --> 00:13:55.500]  在北方的極柱
[00:13:55.500 --> 00:13:57.500]  我要升到高雲之上
[00:13:57.500 --> 00:13:59.500]  我要與至上者同等
[00:13:59.500 --> 00:14:01.500]  然而你必墮落
[00:14:01.500 --> 00:14:03.500]  陰間到坑中極深之處
[00:14:03.500 --> 00:14:05.500]  留意到
[00:14:05.500 --> 00:14:07.500]  短短兩節經文裡面有五節
[00:14:07.500 --> 00:14:09.500]  我要 我要 我要
[00:14:09.500 --> 00:14:11.500]  這是好自我中心
[00:14:11.500 --> 00:14:13.500]  那時候魔鬼其實
[00:14:13.500 --> 00:14:15.500]  原本就是光明天使
[00:14:15.500 --> 00:14:17.500]  但是當他的地位越來越高的時候
[00:14:17.500 --> 00:14:19.500]  他就很想自己好像神一樣
[00:14:19.500 --> 00:14:21.500]  人都是這樣
[00:14:21.500 --> 00:14:23.500]  被魔鬼引誘嘛
[00:14:23.500 --> 00:14:25.500]  那時候
[00:14:25.500 --> 00:14:27.500]  人都是以自我中心
[00:14:27.500 --> 00:14:29.500]  巴別塔就要高舉等於神嘛
[00:14:29.500 --> 00:14:31.500]  結果自以為是
[00:14:31.500 --> 00:14:33.500]  就不再去依靠神
[00:14:33.500 --> 00:14:35.500]  而成為魔了
[00:14:35.500 --> 00:14:37.500]  只會使他失敗
[00:14:37.500 --> 00:14:39.500]  所以這個提醒我們
[00:14:39.500 --> 00:14:41.500]  人的本質本來是好的
[00:14:41.500 --> 00:14:43.500]  是良善有理想的
[00:14:43.500 --> 00:14:45.500]  但是如果我們被罪不斷蠶食的時候
[00:14:45.500 --> 00:14:47.500]  就會變成為魔了
[00:14:47.500 --> 00:14:49.500]  在這裡賣賣小小廣告
[00:14:49.500 --> 00:14:51.500]  原本我和大家
[00:14:51.500 --> 00:14:53.500]  在下個禮拜開始就查大衛
[00:14:53.500 --> 00:14:55.500]  但是我想
[00:14:55.500 --> 00:14:57.500]  如果只是查大衛呢 不夠的
[00:14:57.500 --> 00:14:59.500]  大衛為什麼會成為王啊
[00:14:59.500 --> 00:15:01.500]  因為他接素羅的棒嘛
[00:15:01.500 --> 00:15:03.500]  那素羅為什麼會失敗呢
[00:15:03.500 --> 00:15:05.500]  那我就會用四次的時間
[00:15:05.500 --> 00:15:07.500]  和大家先查素羅
[00:15:07.500 --> 00:15:09.500]  然後才查大衛
[00:15:09.500 --> 00:15:11.500]  你看素羅
[00:15:11.500 --> 00:15:13.500]  當他剛剛被選
[00:15:13.500 --> 00:15:15.500]  成為王的時候
[00:15:15.500 --> 00:15:17.500]  他是非常謙卑
[00:15:17.500 --> 00:15:19.500]  非常好的
[00:15:19.500 --> 00:15:21.500]  有了權勢之後
[00:15:21.500 --> 00:15:23.500]  他就不斷的犯錯
[00:15:23.500 --> 00:15:25.500]  所以我們要很小心
[00:15:25.500 --> 00:15:27.500]  我們不好的
[00:15:27.500 --> 00:15:29.500]  在有權勢
[00:15:29.500 --> 00:15:31.500]  有經驗 有地位之後
[00:15:31.500 --> 00:15:33.500]  就輕忽了
[00:15:33.500 --> 00:15:35.500]  以致我們失去了神給我們的祝福
[00:15:35.500 --> 00:15:37.500]  好了
[00:15:37.500 --> 00:15:39.500]  我們就會看
[00:15:39.500 --> 00:15:41.500]  魔鬼有三方面的工作
[00:15:41.500 --> 00:15:43.500]  而我們也都會來看
[00:15:43.500 --> 00:15:45.500]  有三方面我們怎樣可以
[00:15:45.500 --> 00:15:47.500]  勝過魔鬼
[00:15:47.500 --> 00:15:49.500]  好了
[00:15:49.500 --> 00:15:51.500]  撒旦的工作是什麼呢
[00:15:51.500 --> 00:15:53.500]  第一方面
[00:15:53.500 --> 00:15:55.500]  就要迷惑世人
[00:15:55.500 --> 00:15:57.500]  啟示錄第十二章的第九節
[00:15:57.500 --> 00:15:59.500]  大龍就是那股蛇
[00:15:59.500 --> 00:16:01.500]  名叫魔鬼
[00:16:01.500 --> 00:16:03.500]  又叫撒旦
[00:16:03.500 --> 00:16:05.500]  是迷惑普天下的
[00:16:05.500 --> 00:16:07.500]  他被摔在地上
[00:16:07.500 --> 00:16:09.500]  他的使者也一同被摔下去
[00:16:09.500 --> 00:16:11.500]  這裡很清楚講
[00:16:11.500 --> 00:16:13.500]  魔鬼就是不斷的
[00:16:13.500 --> 00:16:15.500]  來迷惑普天下的人
[00:16:15.500 --> 00:16:17.500]  那麼你來這個世界
[00:16:17.500 --> 00:16:19.500]  豈不是在魔鬼的迷惑裡面
[00:16:19.500 --> 00:16:21.500]  很多人
[00:16:21.500 --> 00:16:23.500]  就是去怎樣呢
[00:16:23.500 --> 00:16:25.500]  譬如
[00:16:25.500 --> 00:16:27.500]  很重視錢
[00:16:27.500 --> 00:16:29.500]  忽略了親情
[00:16:29.500 --> 00:16:31.500]  甚至我不知道
[00:16:31.500 --> 00:16:33.500]  有多少人中獎了
[00:16:33.500 --> 00:16:35.500]  我只知道香港新年
[00:16:35.500 --> 00:16:37.500]  綠合彩多寶獎過億
[00:16:37.500 --> 00:16:39.500]  一注獨得
[00:16:39.500 --> 00:16:41.500]  威靈頓街的投注站
[00:16:41.500 --> 00:16:43.500]  特別多人排隊
[00:16:43.500 --> 00:16:45.500]  叫黃我
[00:16:45.500 --> 00:16:47.500]  不單單金錢
[00:16:47.500 --> 00:16:49.500]  在信仰上面
[00:16:49.500 --> 00:16:51.500]  很多迷惑
[00:16:51.500 --> 00:16:53.500]  你留意到新年都是
