
[00:00:00.000 --> 00:00:02.220]  那麼如果你有聖經的話 請你打開到
[00:03:16.100 --> 00:03:17.740]  沒有信主的時候那個樣子
[00:03:17.740 --> 00:03:21.460]  然後他就在18節他就告訴我們 那時候
[00:03:21.460 --> 00:03:24.180]  我們是存虛妄的心 換句話講
[00:03:24.180 --> 00:03:26.940]  就是說我們沒有什麼目標的 我們在這個
[00:03:26.940 --> 00:03:29.860]  世界上我們過了一生之後 這就過去了
[00:03:29.860 --> 00:03:31.340]  我們
[00:03:31.340 --> 00:03:34.260]  對將來沒有什麼把握 也沒有什麼盼望
[00:03:34.260 --> 00:03:37.780]  只是我們在這個世界上勞碌辛苦 做
[00:03:37.780 --> 00:03:40.380]  這一切事情 那麼存虛妄的心
[00:03:40.380 --> 00:03:44.580]  那麼當我們領悟到的時候 當我們領悟
[00:03:44.580 --> 00:03:47.860]  到我們真的是在這個世界上 所有的勞苦
[00:03:47.860 --> 00:03:50.060]  愁煩的時候 我們就怎麼樣
[00:03:50.060 --> 00:03:52.180]  轉眼
[00:03:52.180 --> 00:03:53.980]  成空
[00:03:53.980 --> 00:03:55.580]  如飛
[00:03:55.580 --> 00:03:56.820]  而去
[00:03:56.820 --> 00:04:01.620]  他在這裡 接下去他就告訴我們 原因是
[00:04:01.620 --> 00:04:04.660]  什麼呢 原因是因為我們心裡面剛硬 我們
[00:04:04.660 --> 00:04:05.500]  抵擋神
[00:04:05.500 --> 00:04:08.620]  我們過去很多時候 人家跟我們傳福音的時候
[00:04:08.620 --> 00:04:11.820]  我們是一樣的情形 我們就是抵擋他
[00:04:11.820 --> 00:04:13.100]  我們就是說這是
[00:04:13.100 --> 00:04:14.460]  神話
[00:04:14.820 --> 00:04:18.380]  這是迷信 對不對 但是聖經上告訴我們
[00:04:18.380 --> 00:04:21.140]  因為我們不能明白神的事情
[00:04:21.140 --> 00:04:23.100]  所以我們沒有辦法瞭解
[00:04:23.100 --> 00:04:26.780]  基督徒跟我們傳福音的時候所講的事情
[00:04:26.780 --> 00:04:29.740]  那他聖經上告訴我們說 我們是昏昧的
[00:04:29.740 --> 00:04:34.180]  其實呢 當我們聽到福音的時候 當我們
[00:04:34.180 --> 00:04:37.420]  看到神的話的時候 很多時候對神的事情
[00:04:37.420 --> 00:04:38.100]  的瞭解
[00:04:38.100 --> 00:04:41.140]  真的是不在乎你有多高的文化水平
[00:04:41.140 --> 00:04:44.260]  你有2個PhD 3個PhD
[00:04:44.780 --> 00:04:47.780]  那麼你或者是你知道所有的事情 1萬件
[00:04:47.780 --> 00:04:50.100]  事情 現在我們很容易知道很多事情
[00:04:50.100 --> 00:04:52.940]  對不對 我們從電腦上面看見 我們看到
[00:04:52.940 --> 00:04:54.380]  許許多多的information
[00:04:54.380 --> 00:04:58.020]  那麼我們就看 看了之後就接受了
[00:04:58.020 --> 00:04:59.780]  所以聽眾姐妹 你想想看
[00:04:59.780 --> 00:05:03.340]  在你腦筋裡面 你有沒有知道有1萬件
[00:05:03.340 --> 00:05:03.940]  事情
[00:05:03.940 --> 00:05:06.100]  有的請你舉手
[00:05:06.100 --> 00:05:09.780]  你知道我們 即使我們知道1萬件事情
[00:05:09.780 --> 00:05:12.420]  我們沒有辦法同時的把它retrieve出來
[00:05:12.900 --> 00:05:15.380]  對不對 我們很多事情 我們根本就不記得了
[00:05:15.380 --> 00:05:16.900]  看過了之後就忘記了
[00:05:16.900 --> 00:05:20.260]  所以不在乎你自己的文化水平有多少
[00:05:20.260 --> 00:05:23.900]  不在乎你有多少學位 也不在乎你有多少
[00:05:23.900 --> 00:05:24.740]  的知識
[00:05:24.740 --> 00:05:26.860]  但是聖經上告訴我們
[00:05:26.860 --> 00:05:30.220]  當我們還沒有信主的時候 當我們在虛妄中
[00:05:30.220 --> 00:05:33.420]  的時候 我們對神的事情是不明白的
[00:05:33.420 --> 00:05:35.660]  結果帶出來什麼樣的生活呢
[00:05:35.660 --> 00:05:38.220]  就是我們照著我們自己的事欲 我們放縱
[00:05:38.220 --> 00:05:40.180]  自己的事欲 這就是在第18節
[00:05:40.180 --> 00:05:42.300]  他說19節
[00:05:42.900 --> 00:05:45.900]  他說就放縱事欲 貪心種種的污穢
[00:05:45.900 --> 00:05:47.180]  我們心裡面真的是
[00:05:47.180 --> 00:05:50.380]  貪 我們很多時候 我們人多半都不太承認
[00:05:50.380 --> 00:05:51.260]  我們是貪的
[00:05:51.260 --> 00:05:54.020]  實際上我們所表現出來的很多事情
[00:05:54.020 --> 00:05:54.940]  我們是貪的
[00:05:54.940 --> 00:05:57.980]  甚至我們在講話 也許常常我們會說貪
[00:05:57.980 --> 00:05:59.260]  就是貪一個東西
[00:05:59.260 --> 00:06:02.660]  但是很多時候我們講話的時候會表現出來
[00:06:02.660 --> 00:06:05.300]  我們其實心裡面是很自我為中心
[00:06:05.300 --> 00:06:08.260]  我們是很貪的 那麼聖經上告訴我們說
[00:06:08.260 --> 00:06:10.620]  我們想要做我們自己的事情
[00:06:10.660 --> 00:06:13.860]  為什麼 因為我們完全和神是沒有關係的
[00:06:13.860 --> 00:06:16.140]  我們完全和神是隔離的
[00:06:16.140 --> 00:06:18.260]  我們與神的生命隔離了
[00:06:18.260 --> 00:06:21.340]  證明 怎麼證明呢 就是因為我們有一個
[00:06:21.340 --> 00:06:22.780]  虛妄的心情是
[00:06:22.780 --> 00:06:27.340]  我們和從神來的生命隔絕了 所以帶出來的
[00:06:27.340 --> 00:06:28.460]  什麼 就是敗壞
[00:06:28.460 --> 00:06:31.020]  這是我們的過去
[00:06:31.020 --> 00:06:32.900]  那麼從20節開始呢
[00:06:32.900 --> 00:06:37.060]  他在這裡就告訴我們 他說但是現在不一樣了
[00:06:37.060 --> 00:06:39.860]  他說你們學了基督 就是信了祂
[00:06:40.060 --> 00:06:43.180]  而且接受祂了 不但是只是 不只是
[00:06:43.180 --> 00:06:45.660]  我們接受祂不只是我們明白的
[00:06:45.660 --> 00:06:48.540]  就是說道成了肉身 或者是釘死在十字架上
[00:06:48.540 --> 00:06:51.580]  或者是從死裡復活 或者是到最後我們講的
[00:06:51.580 --> 00:06:53.180]  基督再來 這是我們常常
[00:06:53.180 --> 00:06:57.220]  在傳福音的時候 我們就在講這些 沒有什麼錯
[00:06:57.220 --> 00:07:00.180]  但是我們更需要講的是什麼 需要講的
[00:07:00.180 --> 00:07:03.580]  就是我們接受祂之後 我們要跟隨祂
[00:07:03.580 --> 00:07:06.940]  我們要尊祂為大 在我們的生命當中 在我們的
[00:07:06.940 --> 00:07:09.020]  生活當中 我們要尊祂為主
[00:07:09.380 --> 00:07:13.140]  我們要努力進入神的國 我上次在這裡跟大家講
[00:07:13.140 --> 00:07:17.060]  這個彼得後書第一章 第三節 一直到第十一節
[00:07:17.060 --> 00:07:19.580]  在那裡他真的是告訴我們 信了主之後
[00:07:19.580 --> 00:07:21.740]  我們要努力的進入神的國
[00:07:21.740 --> 00:07:26.220]  我們要過一種聖潔的生活
[00:07:26.220 --> 00:07:30.420]  那麼接下去 所以在20節的時候
[00:07:30.420 --> 00:07:33.900]  他就告訴我們 他說你們學了基督
[00:07:33.900 --> 00:07:37.740]  卻不是這樣 接下去他說 如果你們聽過
[00:07:37.740 --> 00:07:41.060]  祂的道 領了祂的教 學了祂的真理
[00:07:41.060 --> 00:07:42.180]  在這個地方
[00:07:42.180 --> 00:07:44.500]  我們因為翻譯上的難處
[00:07:44.500 --> 00:07:46.580]  所以很多時候讓我們會誤解
[00:07:46.580 --> 00:07:48.780]  所以如果說你去對照其他的版本
[00:07:48.780 --> 00:07:50.540]  如果你說我不懂英文
[00:07:50.540 --> 00:07:53.420]  但是現在有很多的中文的新譯本
[00:07:53.420 --> 00:07:56.900]  那麼有一本中文新譯本 他翻譯跟
[00:07:56.900 --> 00:08:00.540]  如果你把他跟和和本合在一起的話 你就會
[00:08:00.540 --> 00:08:03.380]  明白 在這裡他說你們學了基督
[00:08:03.380 --> 00:08:04.860]  卻不是這樣
[00:08:05.420 --> 00:08:07.940]  學了基督 不是學了祂的道
[00:08:07.940 --> 00:08:10.340]  或也不是學了關於祂的事情
[00:08:10.340 --> 00:08:12.460]  那是學了基督 接下去他說
[00:08:12.460 --> 00:08:14.620]  如果你們聽了祂的道
[00:08:14.620 --> 00:08:18.340]  新譯本的話他就說 如果你們聽了祂
[00:08:18.340 --> 00:08:21.140]  他沒有說聽了祂的道
[00:08:21.140 --> 00:08:23.900]  但是我們和和本把它翻成這樣
[00:08:23.900 --> 00:08:26.700]  然後接下去他說領了祂的教
[00:08:26.700 --> 00:08:28.740]  那麼就是在基督裡面
[00:08:28.740 --> 00:08:31.220]  領受了祂所教導的
[00:08:31.220 --> 00:08:32.140]  換句話講
[00:08:32.140 --> 00:08:33.020]  我們
[00:08:33.020 --> 00:08:34.220]  就是
[00:08:34.900 --> 00:08:38.060]  這個地方就告訴我們我們信主那一時刻
[00:08:38.060 --> 00:08:41.300]  我們學了祂
[00:08:41.300 --> 00:08:44.940]  我們以祂為我們所知道的事情
[00:08:44.940 --> 00:08:48.820]  然後我們以基督為所有一切的規範
[00:08:48.820 --> 00:08:50.380]  接下去最後一句話
[00:08:50.380 --> 00:08:52.340]  學了祂的真理 其實呢
[00:08:52.340 --> 00:08:54.860]  原來的意思他是說
[00:08:54.860 --> 00:08:57.420]  因為祂就是真理
[00:08:57.420 --> 00:09:00.060]  主耶穌在世界上的時候
[00:09:00.060 --> 00:09:02.620]  在約翰福音第十四章第六節
[00:09:02.620 --> 00:09:05.220]  祂說我是道路 真理 生命
[00:09:05.220 --> 00:09:08.420]  若不藉著我沒有人能到父那裡去
[00:09:08.420 --> 00:09:11.820]  那麼從二十節到二十一節
[00:09:11.820 --> 00:09:12.660]  在這裡呢
[00:09:12.660 --> 00:09:15.580]  從文法的結構上來看
[00:09:15.580 --> 00:09:16.900]  從祂用的字來看
[00:09:16.900 --> 00:09:19.020]  保羅在這裡講什麼
[00:09:19.020 --> 00:09:22.820]  他告訴我們是已經發生的事實
[00:09:22.820 --> 00:09:25.540]  就是當我們在信主的時候
[00:09:25.540 --> 00:09:27.580]  我們已經學了基督
[00:09:27.580 --> 00:09:30.860]  我們已經聽了祂
[00:09:31.540 --> 00:09:34.500]  我們已經在祂的裡面受祂的教導
[00:09:34.500 --> 00:09:37.340]  雖然我們沒有親眼見過基督
[00:09:37.340 --> 00:09:40.500]  雖然我們不是在兩千年前親眼見過祂
[00:09:40.500 --> 00:09:44.700]  但是聖經上的話都是從神那裡而來的
[00:09:44.700 --> 00:09:47.260]  所以當我們從聖經上面我們看見的時候
[00:09:47.260 --> 00:09:50.820]  我們就曉得我們真的是在學祂
[00:09:50.820 --> 00:09:52.020]  真的是在聽祂
[00:09:52.020 --> 00:09:54.820]  真的是在祂裡面受教
[00:09:54.820 --> 00:09:59.820]  那麼已經學了基督是什麼意思呢
[00:10:01.100 --> 00:10:03.380]  接下去二十二節跟二十四節
[00:10:03.380 --> 00:10:04.500]  他就說明了
[00:10:04.500 --> 00:10:08.780]  當我們信主的時候發生了什麼事情
[00:10:08.780 --> 00:10:17.180]  你知道在這五節的經文裡面
[00:10:17.180 --> 00:10:21.300]  所有的動詞或者是跟動詞有關的詞句
[00:10:21.300 --> 00:10:23.180]  都是過去式的
[00:10:23.180 --> 00:10:27.340]  只有一個就是在第二十三節
[00:10:27.580 --> 00:10:31.300]  祂說你們要將你們的心智改換一新
[00:10:31.300 --> 00:10:33.100]  這個是一個現在式的
[00:10:33.100 --> 00:10:36.700]  希臘人當他們寫這些東西的時候
[00:10:36.700 --> 00:10:40.340]  或者是說當初使徒們當他們寫這些東西的時候
[00:10:40.340 --> 00:10:42.580]  是有希臘文化的一些背景
[00:10:42.580 --> 00:10:45.460]  那麼讓我們知道過去的事情發生了
[00:10:45.460 --> 00:10:47.180]  就是過去已經發生了
[00:10:47.180 --> 00:10:50.020]  但是它的影響還繼續存在
[00:10:50.020 --> 00:10:52.100]  那麼現在式是什麼意思呢
[00:10:52.100 --> 00:10:55.020]  現在式就是你繼續要做的
[00:10:55.020 --> 00:10:57.180]  一直不停的要做的
[00:10:57.700 --> 00:10:59.660]  這就是我們從聖經上是瞭解
[00:10:59.660 --> 00:11:01.780]  那麼所以從結構上來看
[00:11:01.780 --> 00:11:03.980]  祂說你們要脫去舊人
[00:11:03.980 --> 00:11:05.580]  穿上新人
[00:11:05.580 --> 00:11:08.580]  在這裡我們從二十節二十一節
[00:11:08.580 --> 00:11:11.220]  我們看見一個好像一個比方
[00:11:11.220 --> 00:11:14.860]  就像一個在學校裡面學東西的一個小孩子
[00:11:14.860 --> 00:11:18.100]  那麼二十二節跟二十四節在這裡
[00:11:18.100 --> 00:11:21.260]  就好像穿衣服跟脫衣服一樣
[00:11:21.260 --> 00:11:23.820]  那麼舊的衣服要把它脫下去
[00:11:23.820 --> 00:11:26.500]  然後你才能夠把新的衣服穿上去
[00:11:27.260 --> 00:11:28.940]  很多時候我不知道
[00:11:28.940 --> 00:11:31.700]  弟兄姊妹你有沒有看過一個人
[00:11:31.700 --> 00:11:33.740]  他裡面穿了一大堆破爛的衣服
[00:11:33.740 --> 00:11:35.580]  但是你給他一件新衣服之後
[00:11:35.580 --> 00:11:38.020]  他就把新衣服繼續的套上他的
[00:11:38.020 --> 00:11:40.100]  套在他的舊衣服的外面
[00:11:40.100 --> 00:11:42.700]  你會做什麼事情呢
[00:11:42.700 --> 00:11:46.700]  你會告訴他不是這樣子穿的對不對
[00:11:46.700 --> 00:11:49.020]  你要把你裡面的衣服脫下來
[00:11:49.020 --> 00:11:50.220]  如果他是一個乞丐
[00:11:50.220 --> 00:11:52.140]  幾十年沒有洗澡了
[00:11:52.140 --> 00:11:54.100]  或者是說幾十天沒有洗澡了
[00:11:54.100 --> 00:11:55.780]  那你要帶他去洗個澡
[00:11:55.780 --> 00:11:56.980]  讓他洗乾淨之後
[00:11:56.980 --> 00:11:58.740]  然後把新的衣服給他
[00:11:58.740 --> 00:12:00.540]  他才能夠穿上去對不對
[00:12:00.540 --> 00:12:01.980]  這是我們做人
[00:12:01.980 --> 00:12:04.180]  這是我們在人間我們所看到的
[00:12:04.180 --> 00:12:07.100]  那麼保羅在這裡就用這個比方
[00:12:07.100 --> 00:12:08.420]  他讓我們知道
[00:12:08.420 --> 00:12:11.660]  我們信主的時候發生了什麼事情
[00:12:11.660 --> 00:12:12.980]  我們信主的時候
[00:12:12.980 --> 00:12:15.540]  主耶穌為我們所成就的事情
[00:12:15.540 --> 00:12:19.020]  他已經把一個新的人放在我們裡面
[00:12:19.020 --> 00:12:23.900]  他已經讓我們穿上了一件新的衣服
[00:12:24.700 --> 00:12:27.860]  他已經把我們舊的衣服已經脫下去了
[00:12:27.860 --> 00:12:30.980]  讓我們成為一個新造的人
[00:12:30.980 --> 00:12:34.220]  這都是因為主耶穌他為我們的代使
[00:12:34.220 --> 00:12:37.020]  他定時在十字架上替我們
[00:12:37.020 --> 00:12:40.660]  然後三天以後從死裡復活
[00:12:40.660 --> 00:12:42.700]  然後回到神的右邊
[00:12:42.700 --> 00:12:44.900]  回到天上
[00:12:44.900 --> 00:12:47.180]  然後他說他以後還要再來
[00:12:47.180 --> 00:12:50.540]  那麼他回去之後
[00:12:50.540 --> 00:12:52.100]  他就拆遷聖靈下來
[00:12:52.100 --> 00:12:53.820]  聖靈就住在我們裡面
[00:12:54.100 --> 00:12:56.900]  讓我們能夠與基督聯合
[00:12:56.900 --> 00:12:58.100]  弟兄姊妹
[00:12:58.100 --> 00:12:59.020]  這個是什麼呢
[00:12:59.020 --> 00:13:01.180]  這個就是當我們在信主的時候
[00:13:01.180 --> 00:13:02.860]  所謂的改變
[00:13:02.860 --> 00:13:05.940]  我們生命的轉變
[00:13:05.940 --> 00:13:10.980]  英文美國人稱它叫做conversion
[00:13:10.980 --> 00:13:15.140]  這是我們每一個人信主的時候都會
[00:13:15.140 --> 00:13:21.300]  聖經裡面有很多關於所謂的救人
[00:13:21.500 --> 00:13:24.660]  肉體 老我 罪信
[00:13:24.660 --> 00:13:27.380]  那我現在在這裡很快地跟你們講一下
[00:13:27.380 --> 00:13:28.660]  這個救人是什麼
[00:13:28.660 --> 00:13:31.700]  救人是說我們就是從亞當來的救生命
[00:13:31.700 --> 00:13:35.100]  接下去聖經裡面還有一個名詞叫做肉體
[00:13:35.100 --> 00:13:36.460]  指的是什麼
[00:13:36.460 --> 00:13:39.420]  當亞當夏娃犯了罪之後
[00:13:39.420 --> 00:13:42.700]  罪使我們的身體也慢慢慢慢敗壞了
[00:13:42.700 --> 00:13:44.420]  所以我們從舊約裡面我們看見
[00:13:44.420 --> 00:13:49.180]  舊約在創世紀前面六章的時候
[00:13:49.180 --> 00:13:51.780]  我們發現那些人都活到好幾百歲
[00:13:51.780 --> 00:13:52.340]  對不對
[00:13:52.340 --> 00:13:54.380]  那麼現在我們為什麼活不了那麼長
[00:13:54.380 --> 00:13:55.780]  因為罪的影響
[00:13:55.780 --> 00:13:57.580]  因為罪在我們身上
[00:13:57.580 --> 00:13:59.700]  罪使我們的肉身也敗壞了
[00:13:59.700 --> 00:14:02.300]  我們肉身成為罪的工具
[00:14:02.300 --> 00:14:04.540]  比方說我們現在所講的
[00:14:04.540 --> 00:14:07.140]  你眼睛喜歡看什麼東西
[00:14:07.140 --> 00:14:07.660]  對不對
[00:14:07.660 --> 00:14:08.820]  我們常常很多時候
[00:14:08.820 --> 00:14:11.780]  我們會把我們的眼睛轉向不該看的地方
[00:14:11.780 --> 00:14:15.900]  夏天到了有的時候這種情形會發生的
[00:14:17.860 --> 00:14:20.740]  那麼還有就是我們嘴巴裡面所說出來的
[00:14:20.740 --> 00:14:23.180]  有的時候我們
[00:14:23.180 --> 00:14:24.900]  特別是跟我們最親的人
[00:14:24.900 --> 00:14:25.700]  對不對
[00:14:25.700 --> 00:14:27.660]  有的時候我們心裡面很不高興的時候
[00:14:27.660 --> 00:14:28.540]  跟他吵的時候
[00:14:28.540 --> 00:14:29.900]  我們不會去想太多的
[00:14:29.900 --> 00:14:31.860]  嘴巴裡面心裡面想什麼
[00:14:31.860 --> 00:14:33.060]  嘴巴裡面就出來了
[00:14:33.060 --> 00:14:35.260]  這是我們證明了
[00:14:35.260 --> 00:14:38.220]  我們身體已經被罪所利用了
[00:14:38.220 --> 00:14:40.060]  成為罪的工具
[00:14:40.060 --> 00:14:40.660]  對不對
[00:14:40.660 --> 00:14:42.420]  那麼我們在別的地方
[00:14:42.420 --> 00:14:43.700]  我們就是強忍
[00:14:43.700 --> 00:14:44.260]  強忍
[00:14:44.260 --> 00:14:44.700]  為什麼
[00:14:44.700 --> 00:14:45.940]  因為你在工作的場合
[00:14:45.940 --> 00:14:47.220]  你老闆對你不好的時候
[00:14:47.540 --> 00:14:51.940]  你決定不會當面對他把他罵得狗血噴臨頭
[00:14:51.940 --> 00:14:54.500]  為什麼
[00:14:54.500 --> 00:14:56.300]  因為你怕
[00:14:56.300 --> 00:14:59.540]  這是我們叫做自我為中心
[00:14:59.540 --> 00:15:01.660]  這證明我們裡面的罪
[00:15:01.660 --> 00:15:05.180]  還有就是我們耳朵喜歡聽的
[00:15:05.180 --> 00:15:06.060]  所以弟兄姊妹
[00:15:06.060 --> 00:15:07.700]  當我們看見這些事情的時候
[00:15:07.700 --> 00:15:08.380]  你就發現
[00:15:08.380 --> 00:15:09.260]  罪
[00:15:09.260 --> 00:15:10.660]  從亞當來的罪
[00:15:10.660 --> 00:15:12.620]  已經把我們的身體弄壞了
[00:15:12.620 --> 00:15:14.620]  把我們的身體跟罪
[00:15:14.620 --> 00:15:16.540]  就是分不開了
[00:15:16.980 --> 00:15:17.620]  那麼第二個
[00:15:17.620 --> 00:15:19.380]  聖經上常常講說老我
[00:15:19.380 --> 00:15:20.460]  什麼叫做老我
[00:15:20.460 --> 00:15:23.140]  老我就是以我為中心的舊性情
[00:15:23.140 --> 00:15:25.300]  也就是舊生命的中心
[00:15:25.300 --> 00:15:27.500]  從肉體所表現出來的
[00:15:27.500 --> 00:15:28.420]  有什麼東西
[00:15:28.420 --> 00:15:31.180]  自誇自大自私自以為是
[00:15:31.180 --> 00:15:34.780]  還有很多其他的
[00:15:34.780 --> 00:15:37.260]  那麼最後一個就是罪性
[00:15:37.260 --> 00:15:40.500]  罪性就是人在舊生命中的一種
[00:15:40.500 --> 00:15:42.220]  犯罪的傾向
[00:15:42.220 --> 00:15:44.140]  這是我們從聖經裡面所看到的
[00:15:44.140 --> 00:15:46.100]  從聖經裡面所歸納出來的
[00:15:46.380 --> 00:15:47.660]  那麼舊仁是什麼呢
[00:15:47.660 --> 00:15:50.260]  舊仁就是這三樣的總合
[00:15:50.260 --> 00:15:52.380]  所以在羅馬書第六章第六節
[00:15:52.380 --> 00:15:54.380]  還有加拉太書第二章第二十節裡面
[00:15:54.380 --> 00:15:55.140]  都告訴我們
[00:15:55.140 --> 00:15:57.580]  他說當我們在信主耶穌的時候
[00:15:57.580 --> 00:15:58.860]  我們的舊仁
[00:15:58.860 --> 00:16:01.300]  包括上面那三件事情
[00:16:01.300 --> 00:16:04.460]  我們都已經以基督同定在十字架上
[00:16:04.460 --> 00:16:06.860]  已經定死了
[00:16:06.860 --> 00:16:10.900]  那麼二十四節
[00:16:10.900 --> 00:16:11.980]  他就告訴我們
[00:16:11.980 --> 00:16:15.340]  他說而且他重新給了我們一個新造的人
[00:16:16.020 --> 00:16:17.700]  你們要記得一件事情
[00:16:17.700 --> 00:16:21.900]  在約翰福音第二十章
[00:16:21.900 --> 00:16:24.380]  主耶穌正面對他復活之後
[00:16:24.380 --> 00:16:25.660]  他面對他的門徒
[00:16:25.660 --> 00:16:27.620]  他向他們吹了一口氣
[00:16:27.620 --> 00:16:29.220]  你們還記不記得
[00:16:29.220 --> 00:16:32.140]  他向使徒們吹了一口氣
[00:16:32.140 --> 00:16:34.740]  他說你們受聖靈
[00:16:34.740 --> 00:16:37.100]  如果我們回到創世紀裡面去想
[00:16:37.100 --> 00:16:38.940]  亞當當他被造的時候
[00:16:38.940 --> 00:16:40.540]  神是用泥土捏他的
[00:16:40.540 --> 00:16:42.100]  對不對造成了一個人的樣子
[00:16:42.100 --> 00:16:44.460]  然後神做了一件什麼事情
[00:16:45.220 --> 00:16:47.220]  吹了一口氣在他裡面
[00:16:47.220 --> 00:16:51.020]  他就成了有靈的活人
[00:16:51.020 --> 00:16:53.220]  當我們信主耶穌
[00:16:53.220 --> 00:16:54.060]  在新約裡面
[00:16:54.060 --> 00:16:56.020]  主耶穌為我們做了一件事情
[00:16:56.020 --> 00:16:56.860]  什麼事情
[00:16:56.860 --> 00:16:58.020]  就是他回到天上之後
[00:16:58.020 --> 00:16:59.300]  他拆遣聖靈下來
[00:16:59.300 --> 00:17:01.540]  當我們接受聖靈下來的時候
[00:17:01.540 --> 00:17:05.060]  就是我們受聖靈的洗
[00:17:05.060 --> 00:17:08.300]  他把我們洗進了基督的身體
[00:17:08.300 --> 00:17:10.060]  讓我們與基督聯合
[00:17:10.060 --> 00:17:12.580]  所以我們成為一個新的人
