
[00:00:00.000 --> 00:00:03.780]  2021-2022年度的拆船年會
[00:09:55.500 --> 00:09:59.060]  都傾倒在上帝的面前
[00:09:59.060 --> 00:10:00.580]  那上帝很奇妙
[00:10:00.580 --> 00:10:06.380]  祂就在微生中來回應我的那個呼求
[00:10:06.380 --> 00:10:10.300]  祂跟我對話 祂來鼓勵我
[00:10:10.300 --> 00:10:13.700]  當我跟上帝對話之後的第二天
[00:10:13.700 --> 00:10:17.300]  我就收到一個朋友發過來的一張圖畫
[00:10:17.300 --> 00:10:20.100]  那張圖畫標題正好就寫著
[00:10:20.100 --> 00:10:22.220]  當你支持不下去
[00:10:22.220 --> 00:10:26.140]  我覺得當時正好就是我當時的感覺
[00:10:26.140 --> 00:10:30.220]  而且裡面有一句同樣是哥林多後書的經文
[00:10:30.220 --> 00:10:32.940]  它對我說我的恩典夠你用的
[00:10:32.940 --> 00:10:38.060]  因為我的能力是在人的軟弱上顯得完全
[00:10:38.060 --> 00:10:42.660]  我就覺得上帝在回應我的無力感
[00:10:42.660 --> 00:10:45.540]  然後在第二天我在讀經的時候
[00:10:45.540 --> 00:10:49.540]  我剛好讀到《啟示錄》的十二章
[00:10:49.540 --> 00:10:51.220]  裡面有兩句的經文
[00:10:51.220 --> 00:10:54.780]  他說我又聽見天上有大聲音說
[00:10:54.780 --> 00:10:57.860]  我們神的救恩能力、國度
[00:10:57.860 --> 00:11:00.340]  和祂所立的基督的權柄
[00:11:00.340 --> 00:11:02.660]  現在都已經來到了
[00:11:02.660 --> 00:11:05.100]  因為那周夜在我們神面前
[00:11:05.100 --> 00:11:07.780]  控告我們弟兄的控告者
[00:11:07.780 --> 00:11:10.060]  已經被摔下來了
[00:11:10.060 --> 00:11:13.420]  弟兄勝過他是因著陽高的雪
[00:11:13.420 --> 00:11:15.820]  也因著自己所見證的道
[00:11:15.820 --> 00:11:20.540]  他們雖然致死也不愛惜自己的性命
[00:11:20.540 --> 00:11:21.980]  我看到這句話
[00:11:21.980 --> 00:11:24.100]  因為那周夜在我們神面前
[00:11:24.100 --> 00:11:26.620]  控告我們弟兄的控告者
[00:11:26.620 --> 00:11:28.460]  已經被摔下來
[00:11:28.460 --> 00:11:30.460]  我的心就很受安慰
[00:11:30.460 --> 00:11:35.140]  因為我裡面我聽到有很多控訴我的聲音
[00:11:35.140 --> 00:11:37.740]  但是我知道上帝用這個經文
[00:11:37.740 --> 00:11:42.620]  再一次的來兼顧我
[00:11:42.620 --> 00:11:46.420]  然後再接著那一天更奇妙
[00:11:46.420 --> 00:11:47.700]  我靈修的時候
[00:11:47.700 --> 00:11:52.220]  我就看到《馬太福音》的第五章八福
[00:11:52.220 --> 00:11:56.140]  第一福就提到心靈貧乏的人有福了
[00:11:56.140 --> 00:11:59.260]  因為天國是他們的
[00:11:59.260 --> 00:12:03.340]  心靈貧乏就是人看到自己急急無助
[00:12:03.340 --> 00:12:04.940]  他別無所靠
[00:12:04.940 --> 00:12:07.740]  只能一心一意的投靠上帝
[00:12:07.740 --> 00:12:09.620]  這樣的人是有福的
[00:12:09.620 --> 00:12:12.900]  因為天國是他們的
[00:12:12.900 --> 00:12:14.500]  我當時也就是感覺
[00:12:14.500 --> 00:12:17.460]  我真的完全沒有力量
[00:12:17.460 --> 00:12:18.860]  完全沒有能力
[00:12:18.860 --> 00:12:20.300]  我不知道可以做什麼
[00:12:20.300 --> 00:12:25.980]  所以上帝藉著這個經文提醒我
[00:12:25.980 --> 00:12:29.700]  你真的不能靠自己
[00:12:29.700 --> 00:12:32.540]  你只能一心一意的依靠我
[00:12:32.540 --> 00:12:35.740]  你只要這樣子就夠了
[00:12:35.740 --> 00:12:40.100]  後來我又向神有聲音
[00:12:40.100 --> 00:12:41.540]  我自己跟自己說
[00:12:41.540 --> 00:12:44.620]  我覺得上帝我沒有資格來服侍你
[00:12:44.620 --> 00:12:46.660]  可是神卻讓我想起一句
[00:12:46.660 --> 00:12:49.260]  以前聽人家講過的一句話
[00:12:49.260 --> 00:12:50.140]  他說
[00:12:50.140 --> 00:12:52.100]  God doesn't call the qualified
[00:12:52.100 --> 00:12:54.020]  He qualifies the called
[00:12:54.020 --> 00:12:55.300]  意思就是說
[00:12:55.300 --> 00:12:58.020]  上帝不會呼召那些
[00:12:58.020 --> 00:13:00.500]  覺得自己很有資格的人
[00:13:00.500 --> 00:13:04.060]  可是祂對那些祂自己呼召的人
[00:13:04.060 --> 00:13:06.380]  祂親自的來讓他們
[00:13:06.380 --> 00:13:09.100]  使他們夠資格
[00:13:09.100 --> 00:13:11.700]  我覺得上帝接二連三的
[00:13:11.700 --> 00:13:13.500]  透過不同的方法
[00:13:13.500 --> 00:13:17.900]  再一次的來扶持我
[00:13:17.900 --> 00:13:20.500]  所以經過這一切之後
[00:13:20.500 --> 00:13:23.940]  我很快我就寫完了今天的講章
[00:13:23.940 --> 00:13:26.060]  PowerPoint也準備好了
[00:13:26.060 --> 00:13:28.420]  更奇妙的是在當天的晚上
[00:13:28.420 --> 00:13:30.540]  是星期一的晚上
[00:13:30.540 --> 00:13:32.740]  我就接到一位姊妹
[00:13:32.740 --> 00:13:34.660]  我在電話跟她談
[00:13:34.660 --> 00:13:36.540]  問到她的情況
[00:13:36.540 --> 00:13:39.340]  她就跟我分享她最近的經歷
[00:13:39.340 --> 00:13:42.540]  而她所分享她經歷的
[00:13:42.540 --> 00:13:46.260]  跟我之前經歷的真的差不多
[00:13:46.260 --> 00:13:49.300]  神就讓我用自己所經歷的
[00:13:49.300 --> 00:13:52.260]  去安慰去鼓勵這個姊妹
[00:13:52.260 --> 00:13:54.140]  所以我覺得上帝很奇妙
[00:13:54.140 --> 00:13:57.260]  所以我很深的來感受
[00:13:57.260 --> 00:14:01.140]  體會今天這一段的經文
[00:14:01.140 --> 00:14:04.340]  我覺得今天這個經文是很Powerful的
[00:14:04.340 --> 00:14:06.180]  很有力量的
[00:14:06.180 --> 00:14:11.620]  但是我卻是很無力的
[00:14:11.620 --> 00:14:15.300]  這段經文充滿上帝的力量
[00:14:15.300 --> 00:14:17.540]  而我今天也用了一個PowerPoint
[00:14:17.540 --> 00:14:20.700]  來闡釋這個經文的意思
[00:14:20.700 --> 00:14:26.180]  但是這裡有Power有Point的絕不是我
[00:14:26.180 --> 00:14:28.220]  這些的Power 這些的Point
[00:14:28.220 --> 00:14:31.020]  都是從上帝而來
[00:14:31.020 --> 00:14:32.860]  當我再去想
[00:14:32.860 --> 00:14:37.660]  神為什麼要把那個寶貝的福音
[00:14:37.660 --> 00:14:39.900]  交給我們這些人呢?
[00:14:39.900 --> 00:14:41.180]  上經說
[00:14:41.180 --> 00:14:44.500]  上帝創造人比天使微小一點
[00:14:44.500 --> 00:14:48.100]  為什麼上帝不揀選天使去禪事
[00:14:48.100 --> 00:14:52.140]  去教導人遵行或者是去傳福音
[00:14:52.140 --> 00:14:54.980]  而是揀選我們這些很卑微
[00:14:54.980 --> 00:14:56.420]  身體很脆弱
[00:14:56.420 --> 00:14:58.460]  會患病 會耗盡
[00:14:58.460 --> 00:15:01.860]  甚至會死亡的人去做呢?
[00:15:01.860 --> 00:15:03.540]  我有時候也在問
[00:15:03.540 --> 00:15:08.300]  上帝你的算盤是不是打錯了?
[00:15:08.300 --> 00:15:10.340]  然而我想
[00:15:10.340 --> 00:15:13.300]  正正是因為我們這些人
[00:15:13.300 --> 00:15:14.780]  微不足道
[00:15:14.780 --> 00:15:17.420]  所以我們才會謙卑下來
[00:15:17.420 --> 00:15:21.460]  沒有什麼可誇口的
[00:15:21.460 --> 00:15:23.980]  其實很多傳道人
[00:15:23.980 --> 00:15:26.860]  不敢讓人知道自己的軟弱
[00:15:26.860 --> 00:15:30.140]  免得地中姐妹說他你不夠屬靈
[00:15:30.140 --> 00:15:31.940]  所以在地中姐妹面前
[00:15:31.940 --> 00:15:35.540]  永遠要表現著自己很強的樣子
[00:15:35.540 --> 00:15:38.420]  儘管可能自己內心已經到了一種
[00:15:38.420 --> 00:15:41.700]  快要崩潰的地步
[00:15:41.700 --> 00:15:42.820]  地中姐妹
[00:15:42.820 --> 00:15:45.660]  千萬不要把一個屬靈的光環
[00:15:45.660 --> 00:15:47.220]  套在你的目者
[00:15:47.220 --> 00:15:50.100]  套在任何的傳道人身上
[00:15:50.100 --> 00:15:52.540]  正如保羅他這樣說
[00:15:52.540 --> 00:15:55.100]  有誰軟弱我不軟弱呢?
[00:15:55.100 --> 00:15:58.380]  有誰現在最理我不焦急呢?
[00:15:58.380 --> 00:16:00.460]  如果必須誇口
[00:16:00.460 --> 00:16:05.140]  我就誇自己的弱點
[00:16:05.140 --> 00:16:08.100]  傳道人並不一定比你強
[00:16:08.100 --> 00:16:10.740]  但是他面對的困難和擔心
[00:16:10.740 --> 00:16:14.020]  一般都會比你多
[00:16:14.020 --> 00:16:16.820]  只有當我們常常看到自己
[00:16:16.820 --> 00:16:18.660]  只不過是一個瓦器
[00:16:18.660 --> 00:16:20.060]  是軟弱的時候
[00:16:20.060 --> 00:16:23.500]  我們才懂得抓住那個寶貝
[00:16:23.500 --> 00:16:25.940]  更加的倚靠上帝
[00:16:25.940 --> 00:16:28.460]  而這個瓦器中的寶貝
[00:16:28.460 --> 00:16:34.140]  它會帶來兩個非常重要的彰顯
[00:16:34.140 --> 00:16:37.260]  在七到九節那裡提到
[00:16:37.260 --> 00:16:39.940]  這個瓦器中的寶貝
[00:16:39.940 --> 00:16:44.460]  它能夠讓神的能力更清楚地顯露
[00:16:44.460 --> 00:16:46.500]  我們有這寶貝在瓦器裡
[00:16:46.500 --> 00:16:51.060]  是要顯明這極大的能力是出於神
[00:16:51.060 --> 00:16:56.580]  不是出於我們
[00:16:56.580 --> 00:17:01.100]  而十到十二節是讓基督的生命
[00:17:01.100 --> 00:17:03.460]  更能夠彰顯出來
[00:17:03.460 --> 00:17:06.700]  因為我們身上常常帶著耶穌的死
[00:17:06.700 --> 00:17:11.220]  好讓耶穌的生也在我們的身上顯明出來
[00:17:11.220 --> 00:17:14.180]  我們這些活著的人為耶穌的緣故
[00:17:14.180 --> 00:17:16.580]  常常被人置於死地
[00:17:16.580 --> 00:17:21.420]  好讓耶穌的生也在我們必死的身上顯明出來
[00:17:21.420 --> 00:17:24.580]  這樣看來死在我們身上運行
[00:17:24.580 --> 00:17:31.060]  生卻在你們的身上運行
[00:17:31.060 --> 00:17:35.220]  我們的生命已經與基督聯合
[00:17:35.220 --> 00:17:37.620]  基督的死亡與復活
[00:17:37.620 --> 00:17:42.580]  同樣彰顯在我們的生活或者是世縱當中
[00:17:42.580 --> 00:17:45.260]  我們自己沒有可以倚靠的能力
[00:17:45.260 --> 00:17:48.140]  就好像基督死了一樣
[00:17:48.140 --> 00:17:51.420]  但是我們同樣擁有從神而來的能力
[00:17:51.420 --> 00:17:54.180]  正如基督已經復活了
[00:17:54.180 --> 00:17:58.580]  使我們雖然與基督一樣同遭苦難
[00:17:58.580 --> 00:18:02.540]  但是當我們遭苦難困難的時候
[00:18:02.540 --> 00:18:05.420]  卻造就了別人的屬靈生命
[00:18:05.420 --> 00:18:13.060]  和得著因性基督而來的復活的生命
[00:18:13.060 --> 00:18:18.940]  從這段經文裡面有什麼我們可以應用的呢?
[00:18:18.940 --> 00:18:23.380]  首先我們要珍惜我們這個尊貴的職份
[00:18:23.380 --> 00:18:26.260]  你知道嗎?弟兄姊妹
[00:18:26.260 --> 00:18:29.140]  叫人生 叫人死的權柄
[00:18:29.140 --> 00:18:32.500]  上帝只託付了給你和我
[00:18:32.500 --> 00:18:36.060]  我們要珍惜這個尊貴的職份
[00:18:36.060 --> 00:18:38.380]  《馬太福音》十六章十九節
[00:18:38.380 --> 00:18:41.500]  它提到我要把天國的鑰匙給你
[00:18:41.500 --> 00:18:45.140]  你在地上捆綁的 在天上也被捆綁
[00:18:45.140 --> 00:18:49.780]  你在地上釋放的 在天上也被釋放
[00:18:49.780 --> 00:18:53.220]  上帝把天國的鑰匙給你和我
[00:18:53.220 --> 00:18:56.420]  透過我們去傳揚這個福音
[00:18:56.420 --> 00:18:58.340]  如果人願意悔改
[00:18:58.340 --> 00:19:01.340]  歸向上帝的時候 歸向基督的時候
[00:19:01.340 --> 00:19:03.860]  他就能夠進入天上
[00:19:03.860 --> 00:19:08.300]  如果不是的話 他就只能去到地獄
[00:19:08.300 --> 00:19:11.860]  所以你是手拿著這個天國的鑰匙
[00:19:11.860 --> 00:19:15.780]  只有你和我有這個尊貴的職份
[00:19:15.780 --> 00:19:18.780]  還有彼得前書說
[00:19:18.780 --> 00:19:22.100]  你和我 然而你們是蒙簡選的族類
[00:19:22.100 --> 00:19:25.460]  是君尊的祭司 是聖潔的國民
[00:19:25.460 --> 00:19:26.980]  我也要叫你們宣揚
[00:19:26.980 --> 00:19:31.380]  那照你們出黑暗 入奇妙光明者的美德
[00:19:31.380 --> 00:19:36.100]  所以千萬我們要珍惜這個尊貴的職份
[00:19:36.100 --> 00:19:40.820]  第二個 我們要讓瓦契彰顯神的榮光
[00:19:40.820 --> 00:19:44.820]  無論我們這個瓦契有多麼的軟弱不濟
[00:19:44.820 --> 00:19:46.700]  但是我們不要忘記
[00:19:46.700 --> 00:19:49.500]  我們的生命中的寶貝
[00:19:49.500 --> 00:19:51.900]  神不在乎我們人的能力
[00:19:51.900 --> 00:19:55.300]  卻在乎我們對祂的心
[00:19:55.300 --> 00:19:56.900]  好像舊約時代
[00:19:56.900 --> 00:20:00.300]  神護照基邊去拯救以色列人
[00:20:00.300 --> 00:20:02.620]  脫離米店人的手
[00:20:02.620 --> 00:20:06.500]  祂在三萬二千人當中只揀選了三百個人
[00:20:06.500 --> 00:20:09.340]  免得那些人自誇
[00:20:09.340 --> 00:20:12.220]  當他們下去攻營的時候
[00:20:12.220 --> 00:20:15.500]  基邊祂就把三百人分作三隊
[00:20:15.500 --> 00:20:19.300]  他們把腳和空瓶交在各人的手裡
[00:20:19.300 --> 00:20:22.420]  又把火把放在瓶裡
[00:20:22.420 --> 00:20:25.420]  基邊和所有與祂一起的一百人
[00:20:25.420 --> 00:20:28.220]  在半夜三更的起初
[00:20:28.220 --> 00:20:29.500]  換更的時候
[00:20:29.500 --> 00:20:31.500]  祂就來到營的邊緣
[00:20:31.500 --> 00:20:33.500]  祂就吹起腳來
[00:20:33.500 --> 00:20:36.420]  打破了手中的瓦瓶
[00:20:36.420 --> 00:20:39.420]  大家你看到地上那些打破的瓦瓶嗎?
[00:20:39.420 --> 00:20:42.300]  然後火把就亮出來了
[00:20:42.300 --> 00:20:43.100]  弟兄姊妹
[00:20:43.100 --> 00:20:44.820]  願我們同樣的
[00:20:44.820 --> 00:20:46.700]  我們先破碎自己
[00:20:46.700 --> 00:20:48.020]  彰顯基督
[00:20:48.020 --> 00:20:50.820]  好像基邊打破了這些瓦瓶
[00:20:50.820 --> 00:20:54.100]  讓瓦瓶內的火把可以彰顯出來
[00:20:54.100 --> 00:20:56.220]  照亮這個黑夜
[00:20:56.220 --> 00:20:59.900]  今天神揀選我們成為祂的兒女
[00:20:59.900 --> 00:21:04.020]  是要叫我們的光照在人的面前
