
[00:00:00.000 --> 00:00:04.200]  這一集就是想帶大家回去看一幕
[00:01:49.380 --> 00:01:56.280]  他們就拿海綿澆滿了醋綁在蘆葦竿上
[00:01:56.280 --> 00:01:58.900]  送到他的嘴邊
[00:01:58.900 --> 00:02:02.980]  OK 耶穌上了那醋就說成了
[00:02:02.980 --> 00:02:04.080]  有沒有覺得很奇怪
[00:02:04.080 --> 00:02:06.980]  如果你看回《馬克福音》之前之後
[00:02:06.980 --> 00:02:08.840]  中間隔了十幾節
[00:02:08.840 --> 00:02:12.720]  之前他就不喝 後來他就喝
[00:02:12.720 --> 00:02:14.280]  為什麼呢?
[00:02:14.280 --> 00:02:16.520]  是不是之前未口渴
[00:02:16.520 --> 00:02:19.060]  後來他口渴終於喝
[00:02:19.060 --> 00:02:20.580]  或者之前也口渴
[00:02:20.580 --> 00:02:24.800]  不過他頂著不想受別人的好處
[00:02:24.800 --> 00:02:28.760]  後來終於頂不住而喝呢?
[00:02:28.760 --> 00:02:30.220]  原來不是的
[00:02:30.220 --> 00:02:33.860]  原來不單止聖經學者告訴他有一個解釋
[00:02:33.860 --> 00:02:37.980]  而這個解釋跟他的受苦是有關係的
[00:02:37.980 --> 00:02:41.000]  人家說第一次被人當他給他的酒
[00:02:41.000 --> 00:02:44.440]  活躍調和的酒是拿來止痛的
[00:02:44.440 --> 00:02:49.700]  耶穌拒絕是代表他要承受
[00:02:49.700 --> 00:02:54.320]  上帝完全的憤怒在他身上
[00:02:54.320 --> 00:02:56.680]  就是說你記得耶穌上十字架的時候
[00:02:56.680 --> 00:02:59.000]  祂說祂要喝天賦的杯
[00:02:59.000 --> 00:03:02.320]  而這個杯祂要從頭到尾喝光
[00:03:02.320 --> 00:03:05.680]  一滴都不留的為我們承傳
[00:03:05.680 --> 00:03:08.120]  你可以從這個救恩的角度來說
[00:03:08.120 --> 00:03:12.180]  耶穌將上帝的憤怒完全的喝盡
[00:03:12.180 --> 00:03:15.320]  第二次為什麼十幾次之後
[00:03:15.320 --> 00:03:18.740]  別人給他喝的時候他又喝呢?
[00:03:18.740 --> 00:03:22.820]  原來第二次去喝的這個不是之前的
[00:03:22.820 --> 00:03:24.940]  那個活躍是拿來止痛的
[00:03:24.940 --> 00:03:28.580]  這次只是一些醋或者醋的飲品
[00:03:28.580 --> 00:03:30.520]  原來這個醋的飲品
[00:03:30.520 --> 00:03:33.160]  就不是拿來止痛令你麻醉
[00:03:33.160 --> 00:03:35.680]  而是相反令你清醒一些的
[00:03:35.680 --> 00:03:38.220]  如果你看一下馬可夫音的上下文
[00:03:38.220 --> 00:03:39.600]  那些人在笑他
[00:03:39.600 --> 00:03:42.260]  他說:哎呀!他是不是在叫伊利亞?
[00:03:42.260 --> 00:03:43.180]  他當然不是了
[00:03:43.180 --> 00:03:46.360]  伊利亞是不是在叫伊利亞來救他?
[00:03:46.360 --> 00:03:47.740]  接著他就笑他
[00:03:47.740 --> 00:03:49.920]  他給一些醋給你
[00:03:49.920 --> 00:03:52.600]  你不要暈啊 你不要暈啊
[00:03:52.600 --> 00:03:55.060]  你暈了 伊利亞一會兒會來
[00:03:55.060 --> 00:03:58.140]  於是就特意想他清醒一些
[00:03:58.140 --> 00:04:03.360]  以致因為釘十字架的人可能會痛到暈了
[00:04:03.360 --> 00:04:06.440]  他不給他暈 清醒一些
[00:04:06.440 --> 00:04:10.860]  接著他說:等啊!等啊!伊利亞來救你
[00:04:10.860 --> 00:04:14.820]  其實他們是想耶穌更加的痛苦
[00:04:14.820 --> 00:04:16.280]  而耶穌這次是喝了
[00:04:16.280 --> 00:04:20.620]  因為祂又是不想一滴都不留
[00:04:20.620 --> 00:04:24.400]  祂要在祂清醒的狀態裏面
[00:04:24.400 --> 00:04:27.500]  喝盡上帝的憤怒
[00:04:27.500 --> 00:04:30.620]  就在這樣的一個情況之下
[00:04:30.620 --> 00:04:38.180]  主耶穌基督上尿拿醋是一個
[00:04:38.180 --> 00:04:41.200]  承受了最大的苦難 祂說上尿
[00:04:41.200 --> 00:04:43.300]  這個是我們的救主
[00:04:43.300 --> 00:04:48.920]  求主祢幫助我們去知道祂為我們所受的這一切
[00:04:48.920 --> 00:04:51.280]  願大家在這個日子的時候
[00:04:51.280 --> 00:04:55.900]  都是繼續紀念主耶穌基督為我們的受苦
