
[00:00:00.000 --> 00:00:02.000]  什麼叫做kiddo呢?
[00:03:04.880 --> 00:03:06.880]  還有金玲就去了senior adult
[00:03:06.880 --> 00:03:08.880]  原來呢
[00:03:08.880 --> 00:03:10.880]  你知道我們今年delta
[00:03:10.880 --> 00:03:12.880]  上年的delta因為一些緣故
[00:03:12.880 --> 00:03:14.880]  我們就沒有了
[00:03:14.880 --> 00:03:16.880]  所以有兩組
[00:03:16.880 --> 00:03:18.880]  youth的 仍然留在youth
[00:03:18.880 --> 00:03:20.880]  但她已經是出來工作
[00:03:20.880 --> 00:03:22.880]  或者在他們所謂
[00:03:22.880 --> 00:03:24.880]  在senior的youth裡面
[00:03:24.880 --> 00:03:26.880]  她已經是adult
[00:03:26.880 --> 00:03:28.880]  所以她的名字叫senior adult
[00:03:28.880 --> 00:03:30.880]  是同幅youth的獨有名詞
[00:03:30.880 --> 00:03:32.880]  我想問一個問題
[00:03:32.880 --> 00:03:34.880]  young adult 跟kidult
[00:03:34.880 --> 00:03:36.880]  有沒有分別?
[00:03:36.880 --> 00:03:42.880]  那有什麼分別呢?Hugo
[00:03:42.880 --> 00:03:48.880]  kidult 通常是一個貶義詞
[00:03:50.880 --> 00:03:52.880]  那young adult呢?
[00:03:52.880 --> 00:03:54.880]  是一個更貶的
[00:03:54.880 --> 00:04:00.880]  OK 給點掌聲
[00:04:00.880 --> 00:04:04.880]  那我講我寫了些什麼
[00:04:04.880 --> 00:04:06.880]  我講其實kidult呢
[00:04:06.880 --> 00:04:08.880]  有些人這樣寫
[00:04:08.880 --> 00:04:12.880]  是指心理上長不大的成年人
[00:04:12.880 --> 00:04:14.880]  他的心思意念
[00:04:14.880 --> 00:04:16.880]  仍然像一個小孩子
[00:04:16.880 --> 00:04:18.880]  young adult 是什麼呢?
[00:04:18.880 --> 00:04:20.880]  他的心思意念和他的身體已經是成人
[00:04:20.880 --> 00:04:22.880]  只不過他比較年輕
[00:04:22.880 --> 00:04:24.880]  所以為什麼我今天要強調
[00:04:24.880 --> 00:04:26.880]  我們不要再做kidult呢?
[00:04:26.880 --> 00:04:30.880]  kidult 這個詞可能聽上去
[00:04:30.880 --> 00:04:32.880]  有些人覺得貶義
[00:04:32.880 --> 00:04:34.880]  有些人覺得很neutral
[00:04:34.880 --> 00:04:36.880]  但我很想告訴你
[00:04:36.880 --> 00:04:38.880]  當我講這堂課的時候
[00:04:38.880 --> 00:04:40.880]  我講的kidult 就是一班發育不良
[00:04:40.880 --> 00:04:44.880]  特別是在講心思意念上
[00:04:44.880 --> 00:04:46.880]  Alex 的問題
[00:04:48.880 --> 00:04:50.880]  在繼續講下去之前
[00:04:50.880 --> 00:04:54.880]  就想跟你講兩個基督教常常講的術語
[00:04:54.880 --> 00:04:56.880]  一個叫做
[00:04:56.880 --> 00:04:58.880]  清義
[00:04:58.880 --> 00:05:00.880]  一個叫做誠誠
[00:05:00.880 --> 00:05:02.880]  有沒有聽過?
[00:05:02.880 --> 00:05:04.880]  什麼是清義?
[00:05:04.880 --> 00:05:06.880]  簡單一點
[00:05:06.880 --> 00:05:08.880]  清義是一個法律的用語
[00:05:08.880 --> 00:05:10.880]  宣判你無罪
[00:05:10.880 --> 00:05:12.880]  就是這個意思
[00:05:12.880 --> 00:05:14.880]  譬如你在法庭被人告
[00:05:14.880 --> 00:05:16.880]  突然宣判你無罪釋放
[00:05:16.880 --> 00:05:18.880]  這個就是清義
[00:05:18.880 --> 00:05:20.880]  那是不是上帝看到我們的罪
[00:05:20.880 --> 00:05:22.880]  看不到網開一面呢?
[00:05:22.880 --> 00:05:24.880]  不是
[00:05:24.880 --> 00:05:26.880]  是因為耶穌為我們付上代價
[00:05:26.880 --> 00:05:28.880]  所以我們被稱為義
[00:05:28.880 --> 00:05:30.880]  可以嗎?
[00:05:30.880 --> 00:05:32.880]  清義是很簡單很容易明白的
[00:05:32.880 --> 00:05:34.880]  誠誠呢?
[00:05:34.880 --> 00:05:38.880]  什麼叫誠誠?
[00:05:38.880 --> 00:05:40.880]  給你半分鐘跟旁邊的人講一下
[00:05:46.880 --> 00:05:48.880]  如果你照拆那個字
[00:05:48.880 --> 00:05:50.880]  就成為聖潔
[00:05:50.880 --> 00:05:52.880]  是不是?
[00:05:52.880 --> 00:05:54.880]  那什麼叫成為聖潔?
[00:05:54.880 --> 00:05:56.880]  什麼叫做誠誠呢?
[00:05:56.880 --> 00:05:58.880]  我不想將這個東西
[00:05:58.880 --> 00:06:00.880]  很神學理論的去解釋
[00:06:00.880 --> 00:06:02.880]  其實我那個背景的圖畫
[00:06:02.880 --> 00:06:04.880]  都大概講過了
[00:06:04.880 --> 00:06:06.880]  就是在屬靈生命裏面
[00:06:06.880 --> 00:06:08.880]  你開始結果子
[00:06:08.880 --> 00:06:10.880]  後面那是秋葡萄
[00:06:10.880 --> 00:06:12.880]  可能你看不到
[00:06:12.880 --> 00:06:14.880]  是要 abstract 一點的
[00:06:14.880 --> 00:06:16.880]  如果這麼清晰
[00:06:16.880 --> 00:06:18.880]  你就發霉
[00:06:18.880 --> 00:06:20.880]  被我說葡萄發霉
[00:06:20.880 --> 00:06:22.880]  那如果以我
[00:06:22.880 --> 00:06:24.880]  簡單一點的說法
[00:06:24.880 --> 00:06:26.880]  誠誠其實就是成熟
[00:06:26.880 --> 00:06:28.880]  開始結果子
[00:06:28.880 --> 00:06:30.880]  我給你幾對的圖畫
[00:06:30.880 --> 00:06:32.880]  幫你去更加清楚
[00:06:32.880 --> 00:06:34.880]  清義和誠誠的分別
[00:06:34.880 --> 00:06:36.880]  這兩幅圖畫
[00:06:36.880 --> 00:06:38.880]  哪邊是在講清義
[00:06:38.880 --> 00:06:40.880]  哪邊是在講誠誠
[00:06:40.880 --> 00:06:42.880]  你看不看到在做什麼?
[00:06:44.880 --> 00:06:46.880]  當我們在講
[00:06:46.880 --> 00:06:48.880]  我們做很多
[00:06:48.880 --> 00:06:50.880]  全方位的事工
[00:06:50.880 --> 00:06:52.880]  我們帶人信耶穌
[00:06:52.880 --> 00:06:54.880]  那個是清義
[00:06:54.880 --> 00:06:56.880]  但當我們在生活裏
[00:06:56.880 --> 00:06:58.880]  上帝好像一個泥匠
[00:06:58.880 --> 00:07:00.880]  我們好像一個器皿
[00:07:00.880 --> 00:07:02.880]  上帝在雕琢
[00:07:02.880 --> 00:07:04.880]  我們的生命
[00:07:04.880 --> 00:07:06.880]  這個是誠誠
[00:07:06.880 --> 00:07:08.880]  誰是清義?
[00:07:08.880 --> 00:07:10.880]  誰是誠誠?
[00:07:10.880 --> 00:07:12.880]  很 abstract 是不是?
[00:07:12.880 --> 00:07:14.880]  清義
[00:07:14.880 --> 00:07:16.880]  是一點
[00:07:16.880 --> 00:07:18.880]  可能就是你生命的其中一天
[00:07:18.880 --> 00:07:20.880]  對於我來說
[00:07:20.880 --> 00:07:22.880]  我清義的日子是1990年4月19日
[00:07:22.880 --> 00:07:24.880]  因為我是那天信耶穌的
[00:07:24.880 --> 00:07:26.880]  還沒出生我知道
[00:07:26.880 --> 00:07:28.880]  誠誠呢
[00:07:28.880 --> 00:07:30.880]  是一個生命的進程
[00:07:30.880 --> 00:07:32.880]  是一個 life journey
[00:07:32.880 --> 00:07:34.880]  行不行?
[00:07:34.880 --> 00:07:36.880]  這個都很容易
[00:07:36.880 --> 00:07:38.880]  誰是清義?誰是誠誠?
[00:07:42.880 --> 00:07:44.880]  一個嬰兒
[00:07:44.880 --> 00:07:46.880]  剛剛出生是清義
[00:07:46.880 --> 00:07:48.880]  誠誠就是他慢慢成長
[00:07:48.880 --> 00:07:50.880]  我很想和你
[00:07:50.880 --> 00:07:52.880]  讀一段經文
[00:07:52.880 --> 00:07:54.880]  這段經文在《楊潤福音》十章十節
[00:07:54.880 --> 00:07:56.880]  我想大家都很熟悉
[00:07:56.880 --> 00:07:58.880]  那段經文說我來了
[00:07:58.880 --> 00:08:00.880]  是要叫楊得生命
[00:08:00.880 --> 00:08:02.880]  並且得的更豐盛
[00:08:02.880 --> 00:08:04.880]  嚴格來說
[00:08:04.880 --> 00:08:06.880]  得生命就是清義的意思
[00:08:06.880 --> 00:08:08.880]  得生命就是清義的意思
[00:08:08.880 --> 00:08:10.880]  得更豐盛的生命
[00:08:10.880 --> 00:08:12.880]  得生命就是我們
[00:08:12.880 --> 00:08:14.880]  誠誠的過程
[00:08:14.880 --> 00:08:16.880]  我不知道你信了耶穌多久
[00:08:16.880 --> 00:08:18.880]  我相信在座
[00:08:18.880 --> 00:08:20.880]  大部分人已經缺乏自信
[00:08:20.880 --> 00:08:22.880]  你是一個清義的人
[00:08:22.880 --> 00:08:24.880]  但是你是不是一個
[00:08:24.880 --> 00:08:26.880]  誠誠的人呢?
[00:08:26.880 --> 00:08:28.880]  你是不是一個在基督
[00:08:28.880 --> 00:08:30.880]  裡面成長的人呢?
[00:08:30.880 --> 00:08:34.880]  今天很想
[00:08:34.880 --> 00:08:36.880]  其實關於這個題目
[00:08:36.880 --> 00:08:38.880]  想回答兩個問題
[00:08:38.880 --> 00:08:40.880]  第一個是要成長
[00:08:40.880 --> 00:08:42.880]  我今天會處理
[00:08:42.880 --> 00:08:44.880]  第二個問題就是
[00:08:44.880 --> 00:08:46.880]  怎樣叫成長
[00:08:46.880 --> 00:08:48.880]  或者成長的方向是什麼
[00:08:48.880 --> 00:08:50.880]  今天要講的經文只有三節
[00:08:50.880 --> 00:08:52.880]  不過我很想和你講一下
[00:08:52.880 --> 00:08:54.880]  《爾弗所書》第四章的背景
[00:08:54.880 --> 00:08:56.880]  嚴格來說
[00:08:56.880 --> 00:08:58.880]  你回去看一下
[00:08:58.880 --> 00:09:00.880]  《爾弗所書》第四章
[00:09:00.880 --> 00:09:02.880]  整章聖經都是在講
[00:09:02.880 --> 00:09:04.880]  怎樣在基督裡面長大成人
[00:09:04.880 --> 00:09:06.880]  你可能會有印象的經文
[00:09:06.880 --> 00:09:08.880]  你要脫去舊人
[00:09:08.880 --> 00:09:10.880]  穿上新人
[00:09:10.880 --> 00:09:12.880]  在《爾弗所書》的第四章
[00:09:12.880 --> 00:09:14.880]  一節請等一下節目讀
[00:09:14.880 --> 00:09:16.880]  預備一二三
[00:09:16.880 --> 00:09:28.880]  這段經文就是在講
[00:09:28.880 --> 00:09:30.880]  保羅在他被囚
[00:09:30.880 --> 00:09:32.880]  他在監獄裡面
[00:09:32.880 --> 00:09:34.880]  寫給《爾弗所教會》的一段聖經
[00:09:34.880 --> 00:09:36.880]  他就勸誡
[00:09:36.880 --> 00:09:38.880]  每一個在《爾弗所教會》的弟兄姊妹
[00:09:38.880 --> 00:09:40.880]  我現在勸你
[00:09:40.880 --> 00:09:42.880]  你們蒙召你們的行事為人
[00:09:42.880 --> 00:09:44.880]  要與這個呼應
[00:09:44.880 --> 00:09:46.880]  相呼應
[00:09:46.880 --> 00:09:48.880]  即是不可以
[00:09:48.880 --> 00:09:50.880]  掛一個名字是基督徒
[00:09:50.880 --> 00:09:52.880]  他說不夠
[00:09:52.880 --> 00:09:54.880]  你要成長成為一個真實
[00:09:54.880 --> 00:09:56.880]  成長的基督徒
[00:09:56.880 --> 00:09:58.880]  今天要和你讀三節經文
[00:09:58.880 --> 00:10:00.880]  就是這三節
[00:10:00.880 --> 00:10:02.880]  我很想請弟兄姊妹一起讀
[00:10:02.880 --> 00:10:04.880]  (教育)
[00:10:32.880 --> 00:10:34.880]  (教育)
[00:10:34.880 --> 00:10:42.880]  我剛才都說了
[00:10:42.880 --> 00:10:44.880]  這一次的講道分開上下集
[00:10:44.880 --> 00:10:46.880]  所以我今天只會講
[00:10:46.880 --> 00:10:48.880]  十四節和十五節的上半部
[00:10:48.880 --> 00:10:50.880]  那我就
[00:10:50.880 --> 00:10:52.880]  強調到底我們
[00:10:52.880 --> 00:10:54.880]  為什麼要在基督裡面成長
[00:10:54.880 --> 00:10:56.880]  經文這樣說
[00:10:56.880 --> 00:10:58.880]  不要再作小孩子眾人的詭計
[00:10:58.880 --> 00:11:00.880]  欺騙的法術
[00:11:00.880 --> 00:11:02.880]  遙東飄來飄去
[00:11:02.880 --> 00:11:04.880]  他說原來
[00:11:04.880 --> 00:11:06.880]  當我們不成長
[00:11:06.880 --> 00:11:08.880]  我們很容易
[00:11:08.880 --> 00:11:10.880]  被一些其他的講法
[00:11:10.880 --> 00:11:12.880]  帶走了
[00:11:12.880 --> 00:11:14.880]  英文有一個翻譯是The Message
[00:11:14.880 --> 00:11:16.880]  他就用一個比較
[00:11:16.880 --> 00:11:18.880]  近代的講法
[00:11:18.880 --> 00:11:20.880]  就是我們不會將小朋友
[00:11:20.880 --> 00:11:22.880]  留在一個荒山野嶺
[00:11:22.880 --> 00:11:24.880]  因為他會成為一些
[00:11:24.880 --> 00:11:26.880]  拐子佬的目標
[00:11:26.880 --> 00:11:28.880]  他說是不是每個人
[00:11:28.880 --> 00:11:30.880]  我們不可以作小孩呢
[00:11:30.880 --> 00:11:32.880]  不是
[00:11:32.880 --> 00:11:34.880]  我們如果信主年紀很短
[00:11:34.880 --> 00:11:36.880]  我們作小孩沒問題
[00:11:36.880 --> 00:11:38.880]  是正常的
[00:11:38.880 --> 00:11:40.880]  No Prolonged Infancy
[00:11:40.880 --> 00:11:42.880]  我發覺
[00:11:42.880 --> 00:11:44.880]  現在的問題其實不是
[00:11:44.880 --> 00:11:46.880]  我們中間有小孩
[00:11:46.880 --> 00:11:48.880]  我們中間有一些已經不是小孩
[00:11:48.880 --> 00:11:50.880]  不是嬰兒
[00:11:50.880 --> 00:11:52.880]  但他屬靈生命仍然
[00:11:52.880 --> 00:11:54.880]  好像小朋友一樣
[00:11:54.880 --> 00:11:56.880]  為什麼小朋友很容易
[00:11:56.880 --> 00:11:58.880]  被帶走或被攻擊呢
[00:11:58.880 --> 00:12:00.880]  兩個原因
[00:12:00.880 --> 00:12:02.880]  第一個原因就是
[00:12:02.880 --> 00:12:04.880]  小朋友不夠強壯
[00:12:04.880 --> 00:12:06.880]  被風一吹他就散了
[00:12:06.880 --> 00:12:08.880]  我曾經說過
[00:12:08.880 --> 00:12:10.880]  大概十年前我去
[00:12:10.880 --> 00:12:12.880]  度蜜月的時候
[00:12:12.880 --> 00:12:14.880]  我和我老婆去撐那些獨木舟
[00:12:14.880 --> 00:12:16.880]  在紐西蘭一個湖
[00:12:16.880 --> 00:12:18.880]  裡面去撐獨木舟
[00:12:18.880 --> 00:12:20.880]  撐著撐著突然之間起風
[00:12:20.880 --> 00:12:22.880]  風起了
[00:12:22.880 --> 00:12:24.880]  然後我發覺原來我們兩個體力不計
[00:12:24.880 --> 00:12:26.880]  加上那時候不太合
[00:12:26.880 --> 00:12:28.880]  我們就一直向著
[00:12:28.880 --> 00:12:30.880]  一個方向撐
[00:12:30.880 --> 00:12:32.880]  船就一直飄到另一邊
[00:12:32.880 --> 00:12:34.880]  結果是
[00:12:34.880 --> 00:12:36.880]  帶我們出去
[00:12:36.880 --> 00:12:38.880]  玩的導遊就去
[00:12:38.880 --> 00:12:40.880]  撐了我們
[00:12:40.880 --> 00:12:42.880]  擱淺了那個海灘
[00:12:42.880 --> 00:12:44.880]  還叫了車來接我們走
[00:12:44.880 --> 00:12:46.880]  因為我們不夠強壯
[00:12:46.880 --> 00:12:48.880]  這是第一個最簡單的原因
[00:12:48.880 --> 00:12:50.880]  第二個原因
[00:12:50.880 --> 00:12:52.880]  為什麼小朋友很容易被人拐帶呢
[00:12:52.880 --> 00:12:54.880]  這個原因更嚴重
[00:12:54.880 --> 00:12:56.880]  就是因為他不懂得分
[00:12:56.880 --> 00:12:58.880]  什麼是對
[00:12:58.880 --> 00:13:00.880]  什麼是錯
[00:13:00.880 --> 00:13:02.880]  我發覺我們現在
[00:13:02.880 --> 00:13:04.880]  很多時候的信仰
[00:13:04.880 --> 00:13:06.880]  有時候我們不是很清晰
[00:13:06.880 --> 00:13:08.880]  大概是這樣
[00:13:08.880 --> 00:13:10.880]  好像是這樣
[00:13:10.880 --> 00:13:12.880]  問清楚一點是不是這樣呢
[00:13:12.880 --> 00:13:14.880]  你不會回答的
[00:13:14.880 --> 00:13:16.880]  有一句說話
[00:13:16.880 --> 00:13:18.880]  這麼說
[00:13:18.880 --> 00:13:20.880]  我覺得這幅圖很噁心
[00:13:20.880 --> 00:13:22.880]  它說一條蛇
[00:13:22.880 --> 00:13:24.880]  不會用聲音去嚇你
[00:13:24.880 --> 00:13:26.880]  它會叫你BB
[00:13:26.880 --> 00:13:28.880]  兄弟
[00:13:28.880 --> 00:13:30.880]  朋友
[00:13:30.880 --> 00:13:32.880]  聖經在說
[00:13:32.880 --> 00:13:34.880]  人的詭計欺騙的法術
[00:13:34.880 --> 00:13:36.880]  和邪說之風
[00:13:36.880 --> 00:13:38.880]  其實這些可能是一些
[00:13:38.880 --> 00:13:40.880]  很deceivable的東西
[00:13:40.880 --> 00:13:42.880]  表面看上去沒有錯
[00:13:42.880 --> 00:13:44.880]  但實際上
[00:13:44.880 --> 00:13:46.880]  又是不對的
[00:13:46.880 --> 00:13:48.880]  是一些很subtle
[00:13:48.880 --> 00:13:50.880]  很低調的錯誤
[00:13:50.880 --> 00:13:52.880]  可能我們不經意
[00:13:52.880 --> 00:13:54.880]  踩了進去也不知道
[00:13:54.880 --> 00:13:56.880]  我不知道你有沒有印象
[00:13:56.880 --> 00:13:58.880]  創世紀當上帝做人
[00:13:58.880 --> 00:14:00.880]  做男做女
[00:14:00.880 --> 00:14:02.880]  跟著一條蛇出來引誘夏娃的時候
[00:14:02.880 --> 00:14:04.880]  他怎麼說
[00:14:04.880 --> 00:14:06.880]  他是不是一出來就說
[00:14:06.880 --> 00:14:08.880]  上帝說那棵樹不能吃,你吃吧
[00:14:08.880 --> 00:14:10.880]  你抵抗上帝吧
[00:14:10.880 --> 00:14:12.880]  他不是,經文這樣說
[00:14:12.880 --> 00:14:14.880]  我讀給你聽
[00:14:14.880 --> 00:14:16.880]  他說耶和華上帝所做的
[00:14:16.880 --> 00:14:18.880]  蛇比田野一切的走獸
[00:14:18.880 --> 00:14:20.880]  更加狡猾
[00:14:20.880 --> 00:14:22.880]  蛇對女人說
[00:14:22.880 --> 00:14:24.880]  上帝起事真說
[00:14:24.880 --> 00:14:26.880]  你不可可吞吃的食物
[00:14:26.880 --> 00:14:28.880]  女人就對蛇說
[00:14:28.880 --> 00:14:30.880]  他說園中所有的果子
[00:14:30.880 --> 00:14:32.880]  我們都可以吃
[00:14:32.880 --> 00:14:34.880]  只是園中那棵樹的果子
[00:14:34.880 --> 00:14:36.880]  上帝曾說
[00:14:36.880 --> 00:14:38.880]  你不可吃也不可摸
[00:14:38.880 --> 00:14:40.880]  免得你悶死
[00:14:40.880 --> 00:14:42.880]  蛇跟女人說什麼
[00:14:42.880 --> 00:14:44.880]  不一定死
[00:14:44.880 --> 00:14:46.880]  因為上帝知道
[00:14:46.880 --> 00:14:48.880]  你吃的日子眼睛就開
[00:14:48.880 --> 00:14:50.880]  就好像上帝一樣能知善惡
[00:14:50.880 --> 00:14:52.880]  結果女人就
[00:14:52.880 --> 00:14:54.880]  下答吃了
[00:14:54.880 --> 00:14:56.880]  就死了
[00:14:56.880 --> 00:14:58.880]  就像麥兜的故事
[00:14:58.880 --> 00:15:00.880]  吃完死了
[00:15:00.880 --> 00:15:02.880]  其實聖經不停提醒我們
[00:15:02.880 --> 00:15:04.880]  真的
[00:15:04.880 --> 00:15:06.880]  無論在哪一個世代也好
[00:15:06.880 --> 00:15:08.880]  我們有很多的
[00:15:08.880 --> 00:15:10.880]  詭計,欺騙的法術
[00:15:10.880 --> 00:15:12.880]  邪說之風
[00:15:12.880 --> 00:15:14.880]  我們要小心
[00:15:14.880 --> 00:15:16.880]  在彼得前書第
[00:15:16.880 --> 00:15:18.880]  五章八節
[00:15:18.880 --> 00:15:20.880]  這裡怎麼說
[00:15:20.880 --> 00:15:22.880]  慕要謹慎要警醒
[00:15:22.880 --> 00:15:24.880]  因為你們的仇敵魔鬼如同咆哮的獅子
[00:15:24.880 --> 00:15:26.880]  走來走去
[00:15:26.880 --> 00:15:28.880]  尋找可吞吃
[00:15:28.880 --> 00:15:30.880]  的人
[00:15:30.880 --> 00:15:32.880]  你有沒有見過獅子
[00:15:32.880 --> 00:15:34.880]  動物園見過
[00:15:34.880 --> 00:15:36.880]  牠通常在籠裡你覺得很安全
[00:15:36.880 --> 00:15:38.880]  我拿我的貓做這個例子
[00:15:38.880 --> 00:15:40.880]  我的貓就如同
[00:15:40.880 --> 00:15:42.880]  如同咆哮的
[00:15:42.880 --> 00:15:44.880]  獅子走來走去
[00:15:44.880 --> 00:15:46.880]  尋找可吞吃的
[00:15:46.880 --> 00:15:48.880]  食物
[00:15:48.880 --> 00:15:50.880]  真的
[00:15:50.880 --> 00:15:52.880]  牠真的看著你走去哪裡
[00:15:52.880 --> 00:15:54.880]  牠想吃東西的時候就看著你
[00:15:54.880 --> 00:15:56.880]  你不小心掉了一塊
[00:15:56.880 --> 00:15:58.880]  你永遠不夠牠快
[00:15:58.880 --> 00:16:00.880]  在你想彎下身的時候
[00:16:00.880 --> 00:16:02.880]  你發覺已經沒有了
[00:16:02.880 --> 00:16:04.880]  原來在我們屬靈生命
[00:16:04.880 --> 00:16:06.880]  我們都要信有撒旦的攻擊
[00:16:06.880 --> 00:16:08.880]  有撒旦的詭計
[00:16:08.880 --> 00:16:10.880]  想把我們的信仰
[00:16:10.880 --> 00:16:12.880]  拿走
[00:16:12.880 --> 00:16:14.880]  今天就想和你們在這件事裡
[00:16:14.880 --> 00:16:16.880]  做多一點的反省
[00:16:16.880 --> 00:16:20.880]  我想看看你們對
[00:16:20.880 --> 00:16:22.880]  我們信的信仰
[00:16:22.880 --> 00:16:24.880]  有多熟悉
[00:16:24.880 --> 00:16:26.880]  舉一些例子
[00:16:26.880 --> 00:16:28.880]  以前我曾經很喜歡一首
[00:16:28.880 --> 00:16:30.880]  的詩歌
[00:16:30.880 --> 00:16:32.880]  這首詩歌在20年前是很紅的
[00:16:32.880 --> 00:16:34.880]  有沒有唱過這首詩歌
[00:16:38.880 --> 00:16:40.880]  有問題
[00:16:40.880 --> 00:16:42.880]  給我一點時間
[00:16:42.880 --> 00:16:44.880]  你看看歌詞
[00:16:44.880 --> 00:16:48.880]  有什麼問題
[00:16:48.880 --> 00:16:52.880]  他在教什麼
[00:16:52.880 --> 00:16:54.880]  祈禱
[00:16:54.880 --> 00:16:56.880]  他在說我們要怎樣
[00:16:56.880 --> 00:16:58.880]  祈禱
[00:16:58.880 --> 00:17:00.880]  我覺得有問題
[00:17:00.880 --> 00:17:02.880]  或者很多教會找到的問題
[00:17:02.880 --> 00:17:04.880]  就是每一次我禱告
[00:17:04.880 --> 00:17:06.880]  我搖動你的手
[00:17:06.880 --> 00:17:08.880]  我想問
[00:17:08.880 --> 00:17:10.880]  如果我們不禱告
[00:17:10.880 --> 00:17:12.880]  上帝的手會不會搖動
[00:17:12.880 --> 00:17:16.880]  不會
[00:17:16.880 --> 00:17:18.880]  搖
[00:17:18.880 --> 00:17:20.880]  那就糟了
[00:17:20.880 --> 00:17:22.880]  原來上帝要看你的頭
[00:17:22.880 --> 00:17:24.880]  你祈禱他才會做事
