
[00:00:00.000 --> 00:00:09.840]  講起聖樂 教會音樂不能夠抽離在崇拜的背景裏面去談論教會的聖樂
[00:02:34.400 --> 00:02:38.320]  崇拜就是得返廣道 就是整個崇拜的核心呢
[00:02:38.320 --> 00:02:41.520]  特別這二三十年透過敬拜讚美運動
[00:02:41.520 --> 00:02:45.600]  被我們教了很多的足疏 但是從名稱上
[00:02:45.600 --> 00:02:49.840]  都被我們有一個誤解 以為敬拜讚美就是讚美
[00:02:49.840 --> 00:02:53.040]  就是崇拜 所以前面那一段詩歌的時間
[00:02:53.040 --> 00:02:56.560]  敬拜讚美完了 主席就說 交給廣道
[00:02:56.560 --> 00:02:58.480]  其實敬拜讚美還沒完的
[00:02:58.480 --> 00:03:01.760]  是整個小時都是在敬拜讚美的裡面
[00:03:01.760 --> 00:03:05.200]  這些很多很多的現象呢
[00:03:05.200 --> 00:03:09.440]  其實都是反映我們所拜的 我們不知道
[00:03:09.440 --> 00:03:12.400]  所以今天我就用這段經文 當聖學主日的時候
[00:03:12.400 --> 00:03:15.760]  我希望我們回到一個崇拜思考的範圍裡面
[00:03:15.760 --> 00:03:20.240]  我們這樣才去理解 究竟音樂在崇拜的過程裡面
[00:03:20.240 --> 00:03:21.920]  可以怎樣幫助我們
[00:03:21.920 --> 00:03:27.360]  我請大家再次祈禱 為聽道的和廣道的都禱告
[00:03:27.360 --> 00:03:32.080]  真理的聖靈 求你藉著你自己的話語來啟迪我們
[00:03:32.080 --> 00:03:34.080]  叫我們能夠更深認識你
[00:03:34.080 --> 00:03:38.320]  又讓我們全個人都能夠真摯地崇拜你
[00:03:38.320 --> 00:03:40.640]  奉主耶穌的名祈禱 阿們
[00:03:40.640 --> 00:03:44.400]  好 我請大家一起幫我讀 以上我書六章 一到八節
[00:03:44.400 --> 00:03:47.040]  這段經文 預備 一二三
[00:03:47.040 --> 00:03:50.160]  當烏西亞王崩的那年
[00:03:50.160 --> 00:03:54.160]  我看見主坐在高高的寶座上
[00:03:54.160 --> 00:03:58.240]  他的衣裳遮滿聖殿
[00:03:58.240 --> 00:04:00.960]  上有撒拉弗士納
[00:04:00.960 --> 00:04:03.120]  各有六個翅膀
[00:04:03.120 --> 00:04:05.280]  兩個翅膀遮臉
[00:04:05.280 --> 00:04:07.600]  兩個翅膀遮腳
[00:04:07.600 --> 00:04:10.800]  兩個翅膀飛牆
[00:04:10.800 --> 00:04:12.720]  彼此呼喊說
[00:04:12.720 --> 00:04:15.360]  聖哉 聖哉 聖哉
[00:04:15.360 --> 00:04:17.280]  萬君之耶和華
[00:04:17.280 --> 00:04:20.240]  他的榮光遍滿全地
[00:04:20.240 --> 00:04:22.640]  因呼喊者的聲音
[00:04:22.640 --> 00:04:25.440]  門教的根基震動
[00:04:25.440 --> 00:04:29.040]  殿裡充滿了煙雲
[00:04:29.040 --> 00:04:30.560]  那時我說
[00:04:30.560 --> 00:04:32.960]  和哉 我滅亡了
[00:04:32.960 --> 00:04:35.920]  因為我是嘴唇不潔的人
[00:04:35.920 --> 00:04:38.640]  住在嘴唇不潔的民眾
[00:04:38.640 --> 00:04:41.840]  又因我親眼看見大君王
[00:04:41.840 --> 00:04:43.840]  萬君之耶和華
[00:04:43.840 --> 00:04:46.320]  有一撒拉弗向我飛來
[00:04:46.320 --> 00:04:48.880]  手掌拿著燒紅的炭
[00:04:48.880 --> 00:04:53.760]  是用火鉗從炭上取下來的
[00:04:53.760 --> 00:04:56.560]  用炭沾我的口說
[00:04:56.560 --> 00:04:59.760]  看啊 這炭沾了你的嘴唇
[00:04:59.760 --> 00:05:02.160]  你的罪孽便除掉
[00:05:02.160 --> 00:05:04.800]  你的罪惡就赦免了
[00:05:04.800 --> 00:05:07.120]  我聽見主的聲音說
[00:05:07.120 --> 00:05:09.280]  我可以差遣誰
[00:05:09.280 --> 00:05:11.680]  誰肯為我門去
[00:05:11.680 --> 00:05:15.680]  我說 我在這裏請差遣我
[00:05:15.680 --> 00:05:19.040]  這段經文我想第一跟大家看的就是關於
[00:05:19.040 --> 00:05:21.840]  崇拜的程序 秩序的問題
[00:05:21.840 --> 00:05:23.440]  Worship Order
[00:05:23.440 --> 00:05:29.120]  在聖經沒有一套規範化的崇拜程序
[00:05:29.120 --> 00:05:31.440]  Prescribed Order 謙奉的
[00:05:31.440 --> 00:05:36.880]  但是聖經也不是對崇拜的流程是完全緘默的
[00:05:36.880 --> 00:05:40.640]  即是任意我們怎樣編排就怎樣編排
[00:05:40.640 --> 00:05:43.120]  如果我們看《耳塞俠書》六章到八節
[00:05:43.120 --> 00:05:45.120]  我們大概可以歸納得出
[00:05:45.120 --> 00:05:47.360]  其實在我們崇拜裏面
[00:05:47.360 --> 00:05:51.040]  我們的程序都有一些框架的原則
[00:05:51.040 --> 00:05:52.640]  Principles
[00:05:52.640 --> 00:05:57.120]  我們試一下把它整理一下
[00:05:57.120 --> 00:06:02.080]  出了以下這幾個
[00:06:02.080 --> 00:06:03.120]  有六點
[00:06:03.120 --> 00:06:06.880]  第一 神先彰顯自己的榮耀
[00:06:06.880 --> 00:06:09.040]  是神啟示他自己的屬性
[00:06:09.040 --> 00:06:12.560]  所以《耳塞俠》是見到天堂的敬拜
[00:06:12.560 --> 00:06:15.760]  神的榮耀在寶座上
[00:06:15.760 --> 00:06:18.560]  他的衣裳睡下 遮滿聖殿
[00:06:18.560 --> 00:06:20.320]  人很自然的回應
[00:06:20.320 --> 00:06:23.120]  當時天使的回應 被造物的回應
[00:06:23.120 --> 00:06:25.120]  他讚美神的聖潔
[00:06:25.120 --> 00:06:27.120]  這是一首很出名的歌
[00:06:27.120 --> 00:06:30.240]  Holy Holy Sanctus 三諜的聖哉
[00:06:30.240 --> 00:06:34.320]  萬鈞之耶和華 他的榮光充滿全地
[00:06:34.320 --> 00:06:37.200]  很特別 到了第三點的時候
[00:06:37.200 --> 00:06:39.200]  我形容它為相形見絕
[00:06:39.200 --> 00:06:42.640]  就是我們被造之物去朝拜這位神的時候
[00:06:42.640 --> 00:06:44.160]  見到神的屬性的時候
[00:06:44.160 --> 00:06:48.320]  我們就會見到我和神中間的一種差距
[00:06:48.320 --> 00:06:51.440]  我們就會很需要一種祈禱
[00:06:51.440 --> 00:06:54.560]  一種求神遮蓋憐憫 改變我們
[00:06:54.560 --> 00:06:59.600]  所以倚昌安他不是參加了天使的頌讚聖哉
[00:06:59.600 --> 00:07:02.240]  他反而說 和哉 我滅亡了
[00:07:02.240 --> 00:07:03.840]  因為我是嘴唇不潔的
[00:07:03.840 --> 00:07:06.320]  他不單止這樣 他也意識到
[00:07:06.320 --> 00:07:08.320]  他是學回來的 他想改都改不了
[00:07:08.320 --> 00:07:11.920]  因為他會在嘴唇不潔的紋當中
[00:07:11.920 --> 00:07:13.120]  但神也有回應
[00:07:13.120 --> 00:07:15.760]  到了這裡就是神的赦罪之恩
[00:07:15.760 --> 00:07:19.440]  神就派天使用炭沾他的嘴
[00:07:19.440 --> 00:07:22.320]  他就得到潔淨 罪得到赦免
[00:07:22.320 --> 00:07:26.320]  一個赦罪的人才有條件去接受神的差遣
[00:07:26.320 --> 00:07:27.920]  所以到了第五的時候
[00:07:27.920 --> 00:07:30.240]  神就啟示他的旨意
[00:07:30.240 --> 00:07:33.440]  看看有沒有誰願意接受神的差遣
[00:07:33.440 --> 00:07:36.960]  神就說 我可以差遣誰 誰肯為我們去
[00:07:36.960 --> 00:07:39.200]  然後才有這麼出名的一句
[00:07:39.200 --> 00:07:41.680]  我們很歡喜的這一句第八節
[00:07:41.680 --> 00:07:43.520]  就是倚昌安的回應說
[00:07:43.520 --> 00:07:45.760]  我在這裡請差遣我
[00:07:45.760 --> 00:07:50.400]  這個是一個秩序 待會我們再詳細再看
[00:07:50.400 --> 00:07:54.560]  但我要進入關於秩序的討論的時候
[00:07:54.560 --> 00:07:57.120]  我想先處理兩個
[00:07:57.120 --> 00:07:59.520]  今天有些教會可能極端了
[00:07:59.520 --> 00:08:02.000]  對於崇拜的程序極端的看法
[00:08:02.000 --> 00:08:07.120]  第一個極端是認為已有的崇拜的秩序
[00:08:07.120 --> 00:08:10.160]  是神聖不可侵犯的 不可以改的
[00:08:10.160 --> 00:08:12.800]  這個程序可能是創唐的時候
[00:08:12.800 --> 00:08:15.680]  我們的先輩二三十年前放下了
[00:08:15.680 --> 00:08:18.400]  我們一直奉行這個崇拜的秩序
[00:08:18.400 --> 00:08:22.400]  所以今天這麼小的動作都是大逆不道的
[00:08:22.400 --> 00:08:24.320]  不可以改的 神不約立的
[00:08:24.320 --> 00:08:26.160]  因為我們習慣了是這樣的
[00:08:26.160 --> 00:08:28.000]  程序一直這樣運作的
[00:08:28.000 --> 00:08:30.640]  這是一種極端的禮儀主義
[00:08:30.640 --> 00:08:34.560]  其實所犯的毛病和法理錯的人沒有兩樣
[00:08:34.560 --> 00:08:37.200]  我們忘記了程序是為人而設的
[00:08:37.200 --> 00:08:39.520]  不是人為程序而設的
[00:08:39.520 --> 00:08:42.560]  所以我們不是要高舉程序
[00:08:42.560 --> 00:08:44.560]  本身有什麼聖潔性 不是
[00:08:44.560 --> 00:08:46.720]  它本身有意義能夠幫助我們
[00:08:46.720 --> 00:08:49.440]  但如果我們有另外一個更好的進步
[00:08:49.440 --> 00:08:52.160]  幫助我們崇拜 其實這個秩序是可以改的
[00:08:52.160 --> 00:08:54.240]  但另外一邊的極端是什麼呢
[00:08:54.240 --> 00:08:59.200]  就是極端抗拒禮儀或者秩序
[00:08:59.200 --> 00:09:03.440]  我們會認為是要自由的
[00:09:03.440 --> 00:09:09.520]  特別我們福音派的播道會叫Evangelical Free Church
[00:09:09.520 --> 00:09:17.760]  即是Free From 一切這些本身就有的order的秩序
[00:09:17.760 --> 00:09:19.600]  但其實我們想深一層
[00:09:19.600 --> 00:09:23.920]  其實沒有哪幾個基督教的宗派的崇拜是沒有秩序的
[00:09:23.920 --> 00:09:25.680]  什麼叫沒有秩序的崇拜呢
[00:09:25.680 --> 00:09:27.920]  或者沒有程序的崇拜呢
[00:09:27.920 --> 00:09:34.160]  就是一個完全隨機安排的崇拜秩序的崇拜就是沒有了
[00:09:34.160 --> 00:09:36.880]  你想像一下 如果我們回來
[00:09:36.880 --> 00:09:41.440]  這個秩序單上有歡迎 宣召 加持 分享 重讚 默哭
[00:09:41.440 --> 00:09:44.160]  我們大概在台上弄一個輪盤
[00:09:44.160 --> 00:09:46.240]  這個輪盤寫了這麼多個秩序
[00:09:46.240 --> 00:09:48.160]  主席就來轉一轉個圈
[00:09:48.160 --> 00:09:49.440]  好 看看今天什麼開始
[00:09:49.440 --> 00:09:53.680]  一轉 轉 原來是猜獻先
[00:09:53.680 --> 00:09:54.880]  好 現在猜獻
[00:09:54.880 --> 00:09:56.880]  再轉 授奉獻
[00:09:56.880 --> 00:09:59.840]  如果這樣就叫做沒有秩序了
[00:09:59.840 --> 00:10:02.640]  但是我們發現就算一間教會
[00:10:02.640 --> 00:10:06.160]  譬如靈恩的教會不會派一張秩序單給你
[00:10:06.160 --> 00:10:07.600]  其實程序都比較簡化
[00:10:07.600 --> 00:10:12.720]  但是基本上每個禮拜都是沒有太大分別的
[00:10:12.720 --> 00:10:16.000]  都是一開始唱歌唱歌唱八九個字歌
[00:10:16.000 --> 00:10:18.080]  接著有些先知的講論
[00:10:18.080 --> 00:10:20.800]  接著依字禱告這樣暈倒
[00:10:20.800 --> 00:10:25.360]  大概其實都是有個order的
[00:10:25.360 --> 00:10:29.520]  order的意思就是說會眾是能夠期待的
[00:10:29.520 --> 00:10:31.280]  有期待就可以預備
[00:10:31.280 --> 00:10:37.120]  原來人是需要秩序才可以有效的參與在崇拜裡面
[00:10:37.120 --> 00:10:38.320]  因為你需要準備
[00:10:38.320 --> 00:10:40.960]  你需要理解究竟現在發生什麼事
[00:10:40.960 --> 00:10:42.720]  還有下一步會發生什麼事
[00:10:42.720 --> 00:10:45.440]  這個都是需要秩序
[00:10:45.440 --> 00:10:47.680]  所以我先處理這兩個
[00:10:47.680 --> 00:10:50.080]  希望播道會的頂姐妹
[00:10:50.080 --> 00:10:51.120]  廣播行的頂姐妹
[00:10:51.120 --> 00:10:56.400]  不要跌入這兩種極端的對禮儀的錯誤的理解
[00:10:56.400 --> 00:11:00.640]  我們應該中間找一個合適的平衡的點
[00:11:00.640 --> 00:11:02.480]  我們既不是完全沒有秩序
[00:11:02.480 --> 00:11:05.680]  但也不是完全死守某一個秩序
[00:11:05.680 --> 00:11:10.720]  每間教會都要自己去找自己恰當的中間的平衡點
[00:11:10.720 --> 00:11:12.720]  我們回到這六點
[00:11:12.720 --> 00:11:18.240]  我們再細心看其實是很合情很合理
[00:11:18.240 --> 00:11:19.680]  合乎人之常情的
[00:11:19.680 --> 00:11:22.560]  背後都有很豐富的神學意義
[00:11:22.560 --> 00:11:24.000]  為什麼要這樣鋪排
[00:11:24.000 --> 00:11:28.640]  第一我們看到是神主動的啟示他自己
[00:11:28.640 --> 00:11:32.000]  如果崇拜一個神人的對話
[00:11:32.000 --> 00:11:33.760]  其實是神先打電話來
[00:11:33.760 --> 00:11:36.720]  不是我們打給他
[00:11:36.720 --> 00:11:39.120]  我們記得亞當夏娃犯罪的時候
[00:11:39.120 --> 00:11:40.320]  她躲起來了
[00:11:40.320 --> 00:11:43.520]  都是神主動去找人說你在哪裡
[00:11:43.520 --> 00:11:45.440]  整個聖經的歷史
[00:11:45.440 --> 00:11:47.680]  人不斷的轉來神
[00:11:47.680 --> 00:11:50.320]  都是神一次又一次的去找人
[00:11:50.320 --> 00:11:52.400]  派先知來 派事師來
[00:11:52.400 --> 00:11:54.800]  派各樣 最後派耶穌基督來
[00:11:54.800 --> 00:11:56.080]  聖靈都來
[00:11:56.080 --> 00:11:58.880]  都是祂找我們 不是我們找祂
[00:11:58.880 --> 00:12:03.120]  今天沒錯 我們每個人都是早上回來崇拜的
[00:12:03.120 --> 00:12:04.560]  好像是我們回來
[00:12:04.560 --> 00:12:05.840]  我們覺得都算是這樣
[00:12:05.840 --> 00:12:07.040]  星期天這麼忙
[00:12:07.040 --> 00:12:08.240]  我又不是喝茶 不是逛街
[00:12:08.240 --> 00:12:10.240]  我都回來崇拜 都給你面子
[00:12:10.240 --> 00:12:11.440]  其實你調轉了
[00:12:11.440 --> 00:12:15.200]  其實是神每一個找我們回來的
[00:12:15.200 --> 00:12:17.520]  你想想你怎麼信耶穌的
[00:12:17.520 --> 00:12:19.440]  我們本來都是不信神的
[00:12:19.440 --> 00:12:21.840]  對神的真理是左而入 右而出
[00:12:21.840 --> 00:12:24.880]  但是神是沒有放棄我們
[00:12:24.880 --> 00:12:27.440]  我們身邊的同事 我們的朋友 我們的家人
[00:12:27.440 --> 00:12:30.960]  一次又對一次的跟我們分享福音 邀請我們
[00:12:30.960 --> 00:12:32.160]  所以我們今天才坐在這裏
[00:12:32.160 --> 00:12:33.920]  原來今天每一個人坐在這裏
[00:12:33.920 --> 00:12:38.080]  敬拜神背後是反映著神逐個逐個找我們
[00:12:38.080 --> 00:12:41.040]  難怪崇拜開始的時候會宣召
[00:12:41.040 --> 00:12:43.120]  其實宣召不是主席說話
[00:12:43.120 --> 00:12:44.960]  宣召是神說話
[00:12:44.960 --> 00:12:46.640]  祂說來啊
[00:12:46.640 --> 00:12:48.240]  我們一同向主歌唱
[00:12:48.240 --> 00:12:50.240]  我們說耶 我們都來了
[00:12:50.240 --> 00:12:52.400]  是神開始的
[00:12:52.400 --> 00:12:55.120]  當我們這樣去見到神的時候
[00:12:55.120 --> 00:12:57.200]  我們不能夠不去讚美祂
[00:12:57.200 --> 00:12:59.600]  祂的榮耀 祂的慈愛 祂的永恆
[00:12:59.600 --> 00:13:00.880]  這些屬性
[00:13:00.880 --> 00:13:03.440]  一開始的時候我們就要去讚美祂
[00:13:03.440 --> 00:13:04.480]  剛才我說了
[00:13:04.480 --> 00:13:07.280]  當我們越虧見神的聖潔之月的時候
[00:13:07.280 --> 00:13:10.320]  人就越發現自己的污穢和軟弱
[00:13:10.320 --> 00:13:11.440]  其實在這個時候
[00:13:11.440 --> 00:13:14.880]  原來人是有一種裏面屬靈的需要
[00:13:14.880 --> 00:13:18.320]  是很想向神去凝聚去祈禱的
[00:13:22.640 --> 00:13:24.480]  因為聖經也說
[00:13:24.480 --> 00:13:26.720]  誰能夠登耶和華的山
[00:13:26.720 --> 00:13:27.680]  就是守潔心清
[00:13:27.680 --> 00:13:29.360]  因為我們知道隔住了
[00:13:29.360 --> 00:13:30.880]  我很想去處理
[00:13:30.880 --> 00:13:33.280]  但是很可惜現在很多教會
[00:13:33.280 --> 00:13:35.840]  我們都不知道為什麼抽起所謂的凝聚
[00:13:35.840 --> 00:13:38.000]  傳統教會 有些禮儀教會
[00:13:38.000 --> 00:13:39.680]  在它的秩序裏面
[00:13:39.680 --> 00:13:42.160]  每個禮拜都有一個環節叫凝聚
[00:13:42.160 --> 00:13:44.720]  接著有個宣誓的 宣告赦免
[00:13:44.720 --> 00:13:47.040]  我背後也猜有些原因的
[00:13:47.040 --> 00:13:48.240]  第一
[00:13:48.240 --> 00:13:49.840]  現在我們比較著重的是
[00:13:49.840 --> 00:13:51.200]  所謂正向的心理學
[00:13:51.200 --> 00:13:52.560]  正向的心理學
[00:13:52.560 --> 00:13:54.320]  你每個禮拜跟祂說罪
[00:13:54.320 --> 00:13:55.840]  是不是說得很愁呢
[00:13:55.840 --> 00:13:57.040]  但這是一個神學問題
[00:13:57.040 --> 00:14:01.040]  究竟我們每個禮拜是不是需要凝聚呢
[00:14:01.040 --> 00:14:02.320]  那你自己想一想
[00:14:02.320 --> 00:14:03.040]  有沒有罪
[00:14:03.040 --> 00:14:04.480]  上個禮拜就凝聚了
[00:14:04.480 --> 00:14:06.960]  這個禮拜又凝聚了
[00:14:06.960 --> 00:14:08.800]  是喔 真的
[00:14:08.800 --> 00:14:09.600]  有時是需要
[00:14:09.600 --> 00:14:12.160]  所以有時我們福音派有種做法
[00:14:12.160 --> 00:14:14.240]  就是去到一個月一次的聖餐
[00:14:14.240 --> 00:14:15.600]  就清一次
[00:14:15.600 --> 00:14:17.360]  先清一次的凝聚
[00:14:17.360 --> 00:14:19.680]  但其實弟兄姊妹是有一種需要的
[00:14:19.680 --> 00:14:21.840]  他很少跟神說 神啊你幫我
[00:14:21.840 --> 00:14:22.640]  你赦免我
[00:14:22.640 --> 00:14:24.800]  其實他都無能為力
[00:14:24.800 --> 00:14:29.200]  所以這是我們要再深背後神學的思考
[00:14:29.200 --> 00:14:31.360]  究竟什麼是崇拜
[00:14:31.360 --> 00:14:33.120]  崇拜是怎樣面對
[00:14:33.120 --> 00:14:35.680]  自己裡面的黑暗和污穢
[00:14:35.680 --> 00:14:36.560]  我們的限制
[00:14:36.560 --> 00:14:38.960]  我們一起在神面前乞求的恩典
[00:14:38.960 --> 00:14:40.800]  否則我們唱不出剛才那首詩歌
[00:14:40.800 --> 00:14:42.960]  為什麼要渴慕祂
[00:14:42.960 --> 00:14:44.080]  你不看到自己貧窮
[00:14:44.080 --> 00:14:46.080]  你不會渴的
[00:14:46.080 --> 00:14:47.440]  所以崇拜有沒有機會
[00:14:47.440 --> 00:14:50.880]  讓我們會眾能夠這樣傾倒出來
[00:14:50.880 --> 00:14:52.560]  當我們去到這樣
[00:14:52.560 --> 00:14:54.160]  我們才可以去到下一步
[00:14:54.160 --> 00:14:56.160]  人才有資格
[00:14:56.160 --> 00:14:59.600]  或者有條件去接受神的差使
[00:14:59.600 --> 00:15:01.040]  你試想像一下
[00:15:01.040 --> 00:15:04.800]  如果以塞亞他是嘴唇不潔的
[00:15:04.800 --> 00:15:06.480]  但他的差顯是什麼呢
[00:15:06.480 --> 00:15:09.840]  他的差顯就是代表神向伊斯利文傳話
[00:15:09.840 --> 00:15:10.720]  他怎樣傳話呢
[00:15:10.720 --> 00:15:12.320]  一個嘴唇不潔的人
[00:15:12.320 --> 00:15:14.640]  要代表上帝傳上帝的說話
[00:15:14.640 --> 00:15:16.320]  是矛盾的 沒有可能
[00:15:16.320 --> 00:15:20.000]  所以他必須要經歷了這個潔淨
[00:15:20.000 --> 00:15:22.000]  但潔淨是痛的 你也要知道
[00:15:22.000 --> 00:15:23.600]  因為你想像一下
[00:15:23.600 --> 00:15:24.640]  想一想也痛
[00:15:24.640 --> 00:15:26.960]  用個炭燙你的嘴唇
[00:15:26.960 --> 00:15:28.800]  你平時燙傷也很辛苦
[00:15:28.800 --> 00:15:30.320]  生唇瘡
[00:15:30.320 --> 00:15:32.400]  他現在用個炭來燙他
[00:15:32.400 --> 00:15:36.240]  但是火代表潔淨 消毒
[00:15:36.240 --> 00:15:39.840]  唯有經歷了潔淨的嘴巴
[00:15:39.840 --> 00:15:41.360]  他可以說得出
[00:15:41.360 --> 00:15:43.760]  我在這裡請差遣我
[00:15:43.760 --> 00:15:45.120]  不能跳步的
[00:15:45.120 --> 00:15:46.400]  不過有時我們
[00:15:46.400 --> 00:15:48.880]  一唱就喜歡唱下面那首歌
[00:15:48.880 --> 00:15:50.320]  請差遣我
[00:15:50.320 --> 00:15:52.160]  你要先看上面
[00:15:52.160 --> 00:15:53.600]  所以你不要隨便說這句
[00:15:53.600 --> 00:15:54.800]  我代表你請差遣我
[00:15:54.800 --> 00:15:57.040]  因為他有implication
[00:15:57.040 --> 00:15:59.040]  他要imply
[00:15:59.040 --> 00:15:59.920]  他要假設
[00:15:59.920 --> 00:16:03.120]  你是要得到炭火的潔淨
[00:16:03.120 --> 00:16:08.320]  你才有資格被神差遣使用
[00:16:08.320 --> 00:16:12.720]  如果從這裡說
[00:16:12.720 --> 00:16:15.760]  我們又要理解崇拜
[00:16:15.760 --> 00:16:17.760]  今天的崇拜
[00:16:17.760 --> 00:16:19.200]  有一種現象就是
[00:16:19.200 --> 00:16:22.080]  將崇拜簡約為講道就搞定了
[00:16:22.080 --> 00:16:24.480]  我不知道這個錯誤的思想是從哪裡來的
[00:16:24.480 --> 00:16:27.040]  可能第一是我們全道目寫錯誤的教導
[00:16:27.040 --> 00:16:30.320]  因為我們神學訓練都是集中訓練講道
[00:16:30.320 --> 00:16:33.600]  彷彿練了講道就搞了整個崇拜
[00:16:33.600 --> 00:16:35.760]  所以我們不多不少可能
[00:16:35.760 --> 00:16:37.280]  漏口風 教了會眾
[00:16:37.280 --> 00:16:38.800]  最重要是回來聽道
[00:16:38.800 --> 00:16:41.440]  所以前面那句遲到不要緊
[00:16:41.440 --> 00:16:42.480]  聽完道之後
[00:16:42.480 --> 00:16:43.520]  領受了神的話語
[00:16:43.520 --> 00:16:44.640]  我又差不多可以走了
[00:16:44.640 --> 00:16:45.920]  反正我有事
[00:16:45.920 --> 00:16:52.560]  但如果你放回整個崇拜框架裡面看
[00:16:52.560 --> 00:16:56.240]  好像你回來就只是參與第五點
[00:16:56.240 --> 00:16:58.320]  神向人啟示 祂旨意
[00:16:58.320 --> 00:17:00.880]  其實神在問我可以差遣誰呢
[00:17:00.880 --> 00:17:01.840]  誰肯為我們去呢
[00:17:01.840 --> 00:17:03.120]  我說不好意思 我趕著走
[00:17:03.120 --> 00:17:04.240]  已經走了
[00:17:04.240 --> 00:17:07.440]  其實你看是很不合理的一件事
[00:17:07.440 --> 00:17:08.720]  沒有頭沒有尾
[00:17:08.720 --> 00:17:11.040]  簡單說簡直是沒有禮貌
[00:17:11.040 --> 00:17:13.120]  因為這個沒有禮貌不是你對著
[00:17:13.120 --> 00:17:17.360]  上面講台的人負責的主席或講員沒有禮貌
[00:17:17.360 --> 00:17:19.040]  其實你是對神沒有禮貌
[00:17:19.040 --> 00:17:21.680]  神在說話的
[00:17:21.680 --> 00:17:22.800]  你怎麼知道那天
[00:17:22.800 --> 00:17:26.480]  是不是神可能在差遣祝福那裡跟你說話呢
[00:17:26.480 --> 00:17:28.640]  不過你説我趕著 我聽不到
[00:17:28.640 --> 00:17:30.960]  走了
[00:17:30.960 --> 00:17:33.040]  所以我們是很多
[00:17:33.040 --> 00:17:34.240]  不知道
[00:17:34.240 --> 00:17:36.880]  無知地其實是在得罪神
[00:17:36.880 --> 00:17:40.960]  不知道原來這樣是對神的不敬
[00:17:40.960 --> 00:17:45.200]  講完這個對話的架構
[00:17:45.200 --> 00:17:46.240]  我們就進入說
[00:17:46.240 --> 00:17:47.200]  如果是對話
[00:17:47.200 --> 00:17:51.200]  首先第一樣重要是神展開這個對話
[00:17:51.200 --> 00:17:55.680]  我嘗試將經文再放在一個這樣的架構裡面去看
[00:17:55.680 --> 00:17:57.360]  就是兩邊的對話
[00:17:57.360 --> 00:17:58.880]  紅色的是神的啟示
[00:17:58.880 --> 00:18:00.160]  白色是人的回應
