
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹 我們再一次用掌聲感謝我們的主
[00:13:29.000 --> 00:13:32.000]  又怎麼可以正常地更新
[00:13:32.000 --> 00:13:35.000]  不斷的改變呢?
[00:13:35.000 --> 00:13:36.000]  弟兄姊妹
[00:13:36.000 --> 00:13:38.000]  我們自己又想一下
[00:13:38.000 --> 00:13:41.000]  其實我們有沒有將耶穌基督
[00:13:41.000 --> 00:13:46.000]  在我們的生命當中都模糊了
[00:13:46.000 --> 00:13:51.000]  我們都將他的形象淡化了
[00:13:51.000 --> 00:13:54.000]  其實真的令人很失望
[00:13:54.000 --> 00:13:58.000]  本來就是擁有很好的潛質
[00:13:58.000 --> 00:14:02.000]  擁有本來決下更新的力量
[00:14:02.000 --> 00:14:06.000]  但是偏偏就是不願意
[00:14:06.000 --> 00:14:08.000]  就是要在這個信仰上面
[00:14:08.000 --> 00:14:11.000]  要搞很多不同的花神
[00:14:11.000 --> 00:14:16.000]  以致到我們不能夠聚焦
[00:14:16.000 --> 00:14:19.000]  90年升空的哈勃望遠鏡
[00:14:19.000 --> 00:14:23.000]  因為UFO對不到焦的緣故
[00:14:23.000 --> 00:14:26.000]  它令到人大為失望
[00:14:26.000 --> 00:14:29.000]  但是當時那幫科學家
[00:14:29.000 --> 00:14:33.000]  慢慢地找到問題在哪裡
[00:14:33.000 --> 00:14:38.000]  他們鍥而不捨地去研究和操練
[00:14:38.000 --> 00:14:41.000]  更加開心的是
[00:14:41.000 --> 00:14:46.000]  他們能夠說服到那些太空人
[00:14:46.000 --> 00:14:51.000]  苦練究竟怎樣去修復這個哈勃望遠鏡
[00:14:51.000 --> 00:14:53.000]  經過了三年
[00:14:53.000 --> 00:14:55.000]  他們把握機會
[00:14:55.000 --> 00:15:00.000]  因為太空船這個奮進號的航天人員
[00:15:00.000 --> 00:15:01.000]  升空
[00:15:01.000 --> 00:15:03.000]  他們也不負所託
[00:15:03.000 --> 00:15:07.000]  將這個哈勃望遠鏡重新修正
[00:15:07.000 --> 00:15:10.000]  拍回來地球的相片
[00:15:10.000 --> 00:15:12.000]  就變成這樣
[00:15:12.000 --> 00:15:16.000]  這張相片並不是減肥前減肥後的表達
[00:15:16.000 --> 00:15:19.000]  不是減肥之後拍一張相
[00:15:19.000 --> 00:15:22.000]  其實我以前很肥的
[00:15:22.000 --> 00:15:25.000]  這張相的確是
[00:15:25.000 --> 00:15:29.000]  未修正之前所拍攝的星雲
[00:15:29.000 --> 00:15:32.000]  而旁邊那張就是修復之後
[00:15:32.000 --> 00:15:34.000]  所拍攝回來的影像
[00:15:34.000 --> 00:15:37.000]  當哈勃望遠鏡能夠運作正常
[00:15:37.000 --> 00:15:40.000]  發揮到它本來的功能的時候
[00:15:40.000 --> 00:15:44.000]  它就幫助人類對太空有更大的認識
[00:15:44.000 --> 00:15:52.000]  讓我們對這個宇宙有更大的認識上的躍進
[00:15:52.000 --> 00:15:55.000]  這位Dr. Jennifer Wiseman
[00:15:55.000 --> 00:16:00.000]  是現在美國太空總署的高級天體物理學家
[00:16:00.000 --> 00:16:07.000]  她曾經藉著研究哈勃望遠鏡傳送回來的數據
[00:16:07.000 --> 00:16:11.000]  發表了很多重要的論文
[00:16:11.000 --> 00:16:16.000]  現在她還是一個太空中心裡面的主管
[00:16:16.000 --> 00:16:22.000]  她並且活躍於美國的基督徒科學家團體
[00:16:22.000 --> 00:16:24.000]  她近幾年以來
[00:16:24.000 --> 00:16:28.000]  她聯同了很多不同的聖經學者
[00:16:28.000 --> 00:16:31.000]  科學家開辦了一個網站
[00:16:31.000 --> 00:16:34.000]  叫做Test of Faith
[00:16:34.000 --> 00:16:37.000]  我特別想和大家介紹
[00:16:37.000 --> 00:16:38.000]  在這個網站裡面
[00:16:38.000 --> 00:16:41.000]  另外一位科學家Dr. Francis Collins
[00:16:41.000 --> 00:16:45.000]  香港人都應該認識這位學者
[00:16:45.000 --> 00:16:49.000]  因為他和徐立芝教授都是研究基因工程的
[00:16:49.000 --> 00:16:52.000]  他們也發現了一些基因的病
[00:16:52.000 --> 00:16:56.000]  很值得我們去看這個網站
[00:16:56.000 --> 00:16:59.000]  而這個網站就是一個很重要的平台
[00:16:59.000 --> 00:17:03.000]  這班科學家很想透過他們對科學的認識
[00:17:03.000 --> 00:17:07.000]  宗教可以和科學有更多不同的對話
[00:17:07.000 --> 00:17:11.000]  以至能夠彼此建立一個平台
[00:17:11.000 --> 00:17:13.000]  能夠互相去欣賞
[00:17:13.000 --> 00:17:18.000]  理解對方所想的重點在哪裡
[00:17:18.000 --> 00:17:21.000]  下面我想和大家去看一看
[00:17:21.000 --> 00:17:24.000]  Dr. Jennifer Wiseman
[00:17:24.000 --> 00:17:27.000]  她曾經在一個訪問當中
[00:17:27.000 --> 00:17:30.000]  她對信仰和科學的一些表達
[00:17:55.000 --> 00:17:58.000]  我認為人類和宇宙的歷史和時間
[00:17:58.000 --> 00:18:01.000]  還有生物世界的複雜性
[00:18:01.000 --> 00:18:05.000]  這些東西告訴我一些關於神的天性
[00:18:05.000 --> 00:18:07.000]  正如我所理解
[00:18:07.000 --> 00:18:10.000]  神是強大和偉大
[00:18:10.000 --> 00:18:13.000]  但他愛美麗和創造力
[00:18:13.000 --> 00:18:16.000]  耐心超越時代
[00:18:16.000 --> 00:18:19.000]  和愛人生命
[00:18:19.000 --> 00:18:21.000]  這首熟悉的詩
[00:18:21.000 --> 00:18:24.000]  就像我們喜歡看夜空
[00:18:24.000 --> 00:18:26.000]  每當我們看
[00:18:26.000 --> 00:18:28.000]  天空都在宣揚神的光
[00:18:28.000 --> 00:18:29.000]  Jennifer希望在教會中
[00:18:29.000 --> 00:18:31.000]  能夠有更多對話
[00:18:31.000 --> 00:18:35.000]  了解科學的角色
[00:18:35.000 --> 00:18:38.000]  我認為教會不要害怕
[00:18:38.000 --> 00:18:41.000]  把問題放得太開
[00:18:41.000 --> 00:18:42.000]  我認為某些時候
[00:18:42.000 --> 00:18:45.000]  討論科學的問題
[00:18:45.000 --> 00:18:48.000]  是因為有些問題太難了
[00:18:48.000 --> 00:18:51.000]  也許我們可以邀請正在研究科學的人
[00:18:51.000 --> 00:18:53.000]  來告訴我們我們正在研究的東西
[00:18:53.000 --> 00:18:57.000]  從生物學到宇宙的新發現
[00:18:57.000 --> 00:19:00.000]  也許我們不必回答所有的問題
[00:19:00.000 --> 00:19:02.000]  但可以把問題放得太開
[00:19:02.000 --> 00:19:04.000]  讓人們可以問出自己的問題
[00:19:04.000 --> 00:19:06.000]  然後討論
[00:19:06.000 --> 00:19:08.000]  這樣才能讓教會更有活力
[00:19:08.000 --> 00:19:13.000]  我認為教會應該在研究科學的興奮之前
[00:19:13.000 --> 00:19:15.000]  有幾個原因
[00:19:15.000 --> 00:19:20.000]  第一,所有的真相都是神的真相
[00:19:20.000 --> 00:19:23.000]  現在整個世界都與科學相關
[00:19:23.000 --> 00:19:24.000]  我們所做的一切
[00:19:24.000 --> 00:19:26.000]  即使我們沒有去思考
[00:19:26.000 --> 00:19:28.000]  也都與科學和科技相關
[00:19:28.000 --> 00:19:31.000]  我們的健康、醫學
[00:19:31.000 --> 00:19:33.000]  甚至是娛樂
[00:19:33.000 --> 00:19:36.000]  我們的食物、農業
[00:19:36.000 --> 00:19:40.000]  甚至教會為農民和發展國家服務的事情
[00:19:40.000 --> 00:19:42.000]  我們需要了解這些東西
[00:19:42.000 --> 00:19:45.000]  這樣我們才能更有能力服務
[00:19:45.000 --> 00:19:47.000]  更有能力慈祷神
[00:19:47.000 --> 00:19:49.000]  也更有能力獲得祝福
[00:19:49.000 --> 00:19:51.000]  我們更能學會如何向神祈福
[00:19:51.000 --> 00:19:54.000]  當我們了解神的奇妙之事
[00:20:13.000 --> 00:20:15.000]  天體物理學家
[00:20:15.000 --> 00:20:20.000]  可能給人的形象都是比較離地
[00:20:20.000 --> 00:20:23.000]  可能自從堅尼地城站開了之後
[00:20:23.000 --> 00:20:25.000]  經常都有人形容
[00:20:25.000 --> 00:20:28.000]  你的生活、你的信仰
[00:20:28.000 --> 00:20:30.000]  好像很不踏實的話
[00:20:30.000 --> 00:20:33.000]  就會形容你很離地
[00:20:33.000 --> 00:20:35.000]  何況這位Jennifer
[00:20:35.000 --> 00:20:37.000]  她的儀器都在太空
[00:20:37.000 --> 00:20:39.000]  應該很離地
[00:20:39.000 --> 00:20:42.000]  但在這段影片當中
[00:20:42.000 --> 00:20:44.000]  她分享的內容
[00:20:44.000 --> 00:20:46.000]  我覺得完全不是那回事
[00:20:46.000 --> 00:20:48.000]  她關心的是什麼呢?
[00:20:48.000 --> 00:20:52.000]  關心的是人的敬拜
[00:20:52.000 --> 00:20:55.000]  她關心的是這個信仰的群體
[00:20:55.000 --> 00:20:58.000]  能不能夠與那些科學家
[00:20:58.000 --> 00:21:02.000]  與這個世界的科技可以接軌
[00:21:02.000 --> 00:21:05.000]  我們可以多點互相的欣賞
[00:21:05.000 --> 00:21:11.000]  以致我們能夠創造一個更加美好的環境
[00:21:11.000 --> 00:21:13.000]  弟兄姊妹,所以我會這樣想
[00:21:13.000 --> 00:21:17.000]  有時真的不是那個所謂專業
[00:21:17.000 --> 00:21:22.000]  不是那個範疇影響我們最多
[00:21:22.000 --> 00:21:24.000]  其實是那個人影響我們最多
[00:21:24.000 --> 00:21:26.000]  究竟我們這個being
[00:21:26.000 --> 00:21:29.000]  我們這個人的心靈是怎樣
[00:21:29.000 --> 00:21:31.000]  其實有時我都很怕的
[00:21:31.000 --> 00:21:33.000]  我讀文科
[00:21:33.000 --> 00:21:35.000]  我花了大部份的時間
[00:21:35.000 --> 00:21:37.000]  去讀聖經
[00:21:37.000 --> 00:21:39.000]  在教會裏面在默會
[00:21:39.000 --> 00:21:41.000]  有時我都很怕你跟我說科學
[00:21:41.000 --> 00:21:44.000]  你跟我說其他範疇的東西
[00:21:44.000 --> 00:21:46.000]  其實我覺得很陌生
[00:21:46.000 --> 00:21:48.000]  我甚至有時會覺得
[00:21:48.000 --> 00:21:52.000]  你不跟我說聖經好像規決了上帝的榮耀
