
[00:00:00.000 --> 00:00:05.800]  我哋今日開始繼續我哋嘅Romance嘅Series
[00:03:57.300 --> 00:03:59.300]  咁我哋今次呢就讀
[00:03:59.300 --> 00:04:01.300]  十五
[00:04:01.300 --> 00:04:03.300]  十五章
[00:04:03.300 --> 00:04:05.300]  十五章
[00:04:05.300 --> 00:04:07.300]  ok 我哋請Ava讀
[00:04:07.300 --> 00:04:09.300]  thank you
[00:04:13.300 --> 00:04:15.300]  不堅強的人
[00:04:15.300 --> 00:04:17.300]  應該分擔
[00:04:17.300 --> 00:04:19.300]  不堅強的人的軟弱
[00:04:19.300 --> 00:04:21.300]  不求自己的喜悅
[00:04:21.300 --> 00:04:23.300]  我援國人
[00:04:23.300 --> 00:04:25.300]  無必要讓鄰人喜悅
[00:04:25.300 --> 00:04:27.300]  使他得益處得造就
[00:04:27.300 --> 00:04:29.300]  因為基督也不求
[00:04:29.300 --> 00:04:31.300]  自己的喜悅
[00:04:31.300 --> 00:04:33.300]  如經上所記
[00:04:33.300 --> 00:04:35.300]  辱罵你的人
[00:04:35.300 --> 00:04:37.300]  的辱罵都落在我身上
[00:04:37.300 --> 00:04:39.300]  ok thank you
[00:04:39.300 --> 00:04:41.300]  好 呢度就話咩
[00:04:41.300 --> 00:04:43.300]  who are strong
[00:04:43.300 --> 00:04:45.300]  have an obligation
[00:04:45.300 --> 00:04:47.300]  to bear with the failings
[00:04:47.300 --> 00:04:49.300]  of the weak
[00:04:49.300 --> 00:04:51.300]  who are the strong
[00:04:51.300 --> 00:04:53.300]  邊個係覺得佢自己係好強
[00:04:53.300 --> 00:04:55.300]  舉手
[00:04:55.300 --> 00:04:57.300]  邊個覺得佢係好強
[00:04:57.300 --> 00:04:59.300]  好strong
[00:04:59.300 --> 00:05:01.300]  舉手 冇人覺得佢係strong
[00:05:01.300 --> 00:05:03.300]  ok 個bb係咪
[00:05:03.300 --> 00:05:05.300]  bb舉手 係呀
[00:05:05.300 --> 00:05:07.300]  兩個手 嘩好strong
[00:05:07.300 --> 00:05:09.300]  呢個bb會
[00:05:09.300 --> 00:05:11.300]  可以嘅 舉手
[00:05:11.300 --> 00:05:13.300]  邊個唔知佢係
[00:05:13.300 --> 00:05:15.300]  strong定係weak
[00:05:15.300 --> 00:05:17.300]  冇人知
[00:05:17.300 --> 00:05:19.300]  ok thank you
[00:05:19.300 --> 00:05:21.300]  咁
[00:05:21.300 --> 00:05:23.300]  喺 Romans chapter
[00:05:23.300 --> 00:05:25.300]  15
[00:05:25.300 --> 00:05:27.300]  同埋之前 Romans
[00:05:27.300 --> 00:05:29.300]  chapter 14
[00:05:29.300 --> 00:05:31.300]  who are the strong
[00:05:31.300 --> 00:05:33.300]  邊個係嗰啲strong嗰啲人
[00:05:33.300 --> 00:05:35.300]  邊個係
[00:05:35.300 --> 00:05:37.300]  好強嘅 好
[00:05:37.300 --> 00:05:39.300]  大隻 邊個係
[00:05:39.300 --> 00:05:41.300]  who are the strong
[00:05:41.300 --> 00:05:43.300]  之前呢
[00:05:43.300 --> 00:05:45.300]  就係有啲人
[00:05:45.300 --> 00:05:47.300]  食肉呢 可能
[00:05:47.300 --> 00:05:49.300]  受到個stomach
[00:05:49.300 --> 00:05:51.300]  係stronger嘅 係咪
[00:05:51.300 --> 00:05:53.300]  咁就可以個diet係stronger
[00:05:53.300 --> 00:05:55.300]  ok
[00:05:55.300 --> 00:05:57.300]  咁可能佢哋係physically
[00:05:57.300 --> 00:05:59.300]  stronger
[00:05:59.300 --> 00:06:01.300]  保羅呢 都係話 邊個係strong
[00:06:01.300 --> 00:06:03.300]  strong
[00:06:03.300 --> 00:06:05.300]  in faith
[00:06:05.300 --> 00:06:07.300]  strong in faith
[00:06:07.300 --> 00:06:09.300]  同埋呢
[00:06:09.300 --> 00:06:11.300]  保羅都係可能講
[00:06:11.300 --> 00:06:13.300]  嗰啲領袖
[00:06:13.300 --> 00:06:15.300]  教會嗰啲領袖 唔同嘅
[00:06:15.300 --> 00:06:17.300]  牧師呀 deacon呀
[00:06:17.300 --> 00:06:19.300]  those who are strong
[00:06:19.300 --> 00:06:21.300]  咁我哋今日呢
[00:06:21.300 --> 00:06:23.300]  就會講三樣嘢
[00:06:23.300 --> 00:06:25.300]  基督徒我哋要做嘅
[00:06:25.300 --> 00:06:27.300]  duty as a christian
[00:06:27.300 --> 00:06:29.300]  第一呢 bear with those who are weak
[00:06:29.300 --> 00:06:31.300]  bear with those
[00:06:31.300 --> 00:06:33.300]  who are weak 第二呢
[00:06:33.300 --> 00:06:35.300]  please not
[00:06:35.300 --> 00:06:37.300]  ourselves
[00:06:37.300 --> 00:06:39.300]  please not ourselves
[00:06:39.300 --> 00:06:41.300]  and the last one is live in harmony
[00:06:41.300 --> 00:06:43.300]  and welcome
[00:06:43.300 --> 00:06:45.300]  one another
[00:06:45.300 --> 00:06:47.300]  第一
[00:06:47.300 --> 00:06:49.300]  保羅叫我哋呢就係
[00:06:49.300 --> 00:06:51.300]  bear with the weak
[00:06:51.300 --> 00:06:53.300]  bear with the weak 邊個係
[00:06:53.300 --> 00:06:55.300]  覺得佢係弱嘅
[00:06:55.300 --> 00:06:57.300]  邊個係弱嘅 who are the weak
[00:06:57.300 --> 00:06:59.300]  Timothy is weak
[00:06:59.300 --> 00:07:01.300]  ok 點解Timothy係weak
[00:07:01.300 --> 00:07:03.300]  佢哋覺得
[00:07:03.300 --> 00:07:07.300]  ok
[00:07:07.300 --> 00:07:09.300]  之前呢佢哋
[00:07:09.300 --> 00:07:11.300]  飲水嗰時
[00:07:11.300 --> 00:07:13.300]  邊個喺屋企有filter嘅
[00:07:13.300 --> 00:07:15.300]  邊個屋企有filter
[00:07:15.300 --> 00:07:17.300]  淨係pure有filter
[00:07:17.300 --> 00:07:21.300]  你哋屋企冇filter㗎
[00:07:21.300 --> 00:07:23.300]  之前你覺得佢哋點
[00:07:23.300 --> 00:07:25.300]  點攞水飲㗎
[00:07:25.300 --> 00:07:27.300]  你覺得Timon
[00:07:27.300 --> 00:07:29.300]  Timon呢個組
[00:07:29.300 --> 00:07:31.300]  好多嘢講嗰組
[00:07:31.300 --> 00:07:33.300]  你講下
[00:07:33.300 --> 00:07:35.300]  之前你覺得佢哋點
[00:07:35.300 --> 00:07:37.300]  喺邊度攞水飲嘅
[00:07:37.300 --> 00:07:39.300]  喺耶穌嗰個時間
[00:07:39.300 --> 00:07:41.300]  river ok
[00:07:41.300 --> 00:07:43.300]  bank ok
[00:07:43.300 --> 00:07:45.300]  知唔知Roman aqueducts
[00:07:45.300 --> 00:07:47.300]  佢哋帶啲水呢
[00:07:47.300 --> 00:07:49.300]  喺啲river嗰度
[00:07:49.300 --> 00:07:51.300]  跟住flow into the cities
[00:07:51.300 --> 00:07:53.300]  ok 有冇filter㗎嗰時
[00:07:53.300 --> 00:07:55.300]  有冇用咩filter㗎
[00:07:55.300 --> 00:07:57.300]  有冇filter
[00:07:57.300 --> 00:07:59.300]  自己
[00:07:59.300 --> 00:08:01.300]  用口去攞下
[00:08:01.300 --> 00:08:03.300]  跟住先去飲 係咪
[00:08:03.300 --> 00:08:05.300]  咁樣filter
[00:08:05.300 --> 00:08:07.300]  冇filter 有冇boiled water
[00:08:07.300 --> 00:08:09.300]  maybe they boiled water
[00:08:09.300 --> 00:08:11.300]  rain
[00:08:11.300 --> 00:08:13.300]  ok rain water就係pure
[00:08:13.300 --> 00:08:15.300]  之前呢
[00:08:15.300 --> 00:08:17.300]  可能佢啲水冇咁乾淨
[00:08:17.300 --> 00:08:19.300]  咁所以保羅呢
[00:08:19.300 --> 00:08:21.300]  就叫Timothy add少少alcohol
[00:08:21.300 --> 00:08:23.300]  咁就唔會病
[00:08:23.300 --> 00:08:25.300]  因為佢成日飲啲水可能
[00:08:25.300 --> 00:08:27.300]  cause佢有啲sickness
[00:08:27.300 --> 00:08:29.300]  who are the weak
[00:08:29.300 --> 00:08:31.300]  咁我哋之前講
[00:08:31.300 --> 00:08:33.300]  好有信心嗰啲就係
[00:08:33.300 --> 00:08:35.300]  strong啦咁有啲
[00:08:35.300 --> 00:08:37.300]  喺教會冇咁多
[00:08:37.300 --> 00:08:39.300]  信心嘅了解
[00:08:39.300 --> 00:08:41.300]  聖經冇咁多嘅信仰
[00:08:41.300 --> 00:08:43.300]  冇咁多嘅咁呢個呢
[00:08:43.300 --> 00:08:45.300]  就係spiritually weak
[00:08:45.300 --> 00:08:47.300]  有啲人呢係physically weaker
[00:08:47.300 --> 00:08:49.300]  係咪可能digest
[00:08:49.300 --> 00:08:51.300]  唔到嗰啲肉係咪佢哋
[00:08:51.300 --> 00:08:53.300]  個stomach係食菜
[00:08:53.300 --> 00:08:55.300]  好啲嘅
[00:08:55.300 --> 00:08:57.300]  或者呢有啲係mentally weak
[00:08:57.300 --> 00:08:59.300]  係咪我哋而家
[00:08:59.300 --> 00:09:01.300]  個society好去
[00:09:01.300 --> 00:09:03.300]  focus有唔同嘅
[00:09:03.300 --> 00:09:05.300]  mental illness
[00:09:05.300 --> 00:09:07.300]  有個唔同嘅mental
[00:09:07.300 --> 00:09:09.300]  depression嗰啲唔同嘅
[00:09:09.300 --> 00:09:11.300]  嘢嘅係咪咁所以
[00:09:11.300 --> 00:09:13.300]  我哋睇到我哋而家
[00:09:13.300 --> 00:09:15.300]  個教會都有
[00:09:15.300 --> 00:09:17.300]  唔同嘅strong同埋weak
[00:09:17.300 --> 00:09:19.300]  嘅some people
[00:09:19.300 --> 00:09:21.300]  are physically strong
[00:09:21.300 --> 00:09:23.300]  some people are physically weak
[00:09:23.300 --> 00:09:25.300]  有啲人係可能有啲病
[00:09:25.300 --> 00:09:27.300]  going through some physical injury
[00:09:27.300 --> 00:09:29.300]  係咪
[00:09:29.300 --> 00:09:31.300]  有啲人係可能
[00:09:31.300 --> 00:09:33.300]  mentally strong
[00:09:33.300 --> 00:09:35.300]  好passion
[00:09:35.300 --> 00:09:37.300]  去做嘢呀
[00:09:37.300 --> 00:09:39.300]  讀書呀但係有啲人呢可能
[00:09:39.300 --> 00:09:41.300]  係mentally weak嘅
[00:09:41.300 --> 00:09:43.300]  有啲人可能好爛呀或者
[00:09:43.300 --> 00:09:45.300]  going through some depression or something like that
[00:09:45.300 --> 00:09:47.300]  我哋教會
[00:09:47.300 --> 00:09:49.300]  係可能有啲人
[00:09:49.300 --> 00:09:51.300]  信心好強嘅
[00:09:51.300 --> 00:09:53.300]  faithfully
[00:09:53.300 --> 00:09:55.300]  spiritually
[00:09:55.300 --> 00:09:57.300]  strong in faith
[00:09:57.300 --> 00:09:59.300]  但係有啲人呢可能
[00:09:59.300 --> 00:10:01.300]  屬靈上係好弱嘅
[00:10:01.300 --> 00:10:03.300]  係咪可能
[00:10:03.300 --> 00:10:05.300]  有時讀下聖經
[00:10:05.300 --> 00:10:07.300]  有時唔讀係咪有時返教會
[00:10:07.300 --> 00:10:09.300]  有時唔返係咪有時
[00:10:09.300 --> 00:10:11.300]  有人係spiritually
[00:10:11.300 --> 00:10:13.300]  weaker咁保羅呢
[00:10:13.300 --> 00:10:15.300]  就叫我哋強嗰啲人呢
[00:10:15.300 --> 00:10:17.300]  those who are strong
[00:10:17.300 --> 00:10:19.300]  we need to bear
[00:10:19.300 --> 00:10:21.300]  with the weak
[00:10:21.300 --> 00:10:23.300]  bear with the weak
[00:10:23.300 --> 00:10:25.300]  咁
[00:10:25.300 --> 00:10:27.300]  我哋點可以去bear
[00:10:27.300 --> 00:10:29.300]  with the weak
[00:10:29.300 --> 00:10:31.300]  就
[00:10:31.300 --> 00:10:33.300]  有啲人係可能spiritually
[00:10:33.300 --> 00:10:35.300]  emotionally
[00:10:35.300 --> 00:10:37.300]  mentally weaker
[00:10:37.300 --> 00:10:39.300]  第一我有三點
[00:10:39.300 --> 00:10:41.300]  第一我哋要realize
[00:10:41.300 --> 00:10:43.300]  we are all weak and need
[00:10:43.300 --> 00:10:45.300]  Christ
[00:10:45.300 --> 00:10:47.300]  我哋點可以bear with the weak
[00:10:47.300 --> 00:10:49.300]  我哋係要謙卑
[00:10:49.300 --> 00:10:51.300]  謙卑
[00:10:51.300 --> 00:10:53.300]  realize
[00:10:53.300 --> 00:10:55.300]  我哋個個都有弱點嘅
[00:10:55.300 --> 00:10:57.300]  我哋個個都要Christ
[00:10:57.300 --> 00:10:59.300]  邊個覺得佢哋自己
[00:10:59.300 --> 00:11:01.300]  都幾謙卑嘅
[00:11:01.300 --> 00:11:03.300]  邊個覺得佢自己
[00:11:03.300 --> 00:11:05.300]  謙卑
[00:11:05.300 --> 00:11:07.300]  jasmine係咪
[00:11:07.300 --> 00:11:09.300]  缽頭髮啫
[00:11:09.300 --> 00:11:11.300]  邊個覺得佢係謙卑嘅
[00:11:11.300 --> 00:11:13.300]  冇人覺得佢
[00:11:13.300 --> 00:11:15.300]  係咪謙卑
[00:11:15.300 --> 00:11:17.300]  ok
[00:11:17.300 --> 00:11:19.300]  第一點樣我哋
[00:11:19.300 --> 00:11:21.300]  可以bear with the weak
[00:11:21.300 --> 00:11:23.300]  我哋係要自己謙卑我哋自己
[00:11:23.300 --> 00:11:25.300]  你覺得你好叻呢
[00:11:25.300 --> 00:11:27.300]  好威呢 唔駛呢啲
[00:11:27.300 --> 00:11:29.300]  唔駛care呢啲人啦係咪
[00:11:29.300 --> 00:11:31.300]  幾勁呀
[00:11:31.300 --> 00:11:33.300]  好似Timon咁考完試啦
[00:11:33.300 --> 00:11:35.300]  七月先
[00:11:35.300 --> 00:11:37.300]  嚟啦
[00:11:37.300 --> 00:11:39.300]  幾型呀我 唔駛理嗰啲weak嗰啲人啦
[00:11:39.300 --> 00:11:41.300]  係咪
[00:11:41.300 --> 00:11:43.300]  唔會好似咁
[00:11:43.300 --> 00:11:45.300]  係咪
[00:11:45.300 --> 00:11:47.300]  我哋要realize我哋
[00:11:47.300 --> 00:11:49.300]  個個都有弱點嘅
[00:11:49.300 --> 00:11:51.300]  我哋要謙卑我哋自己
[00:11:51.300 --> 00:11:53.300]  第二呢你
[00:11:53.300 --> 00:11:55.300]  謙卑咗呢就要睇到人
[00:11:55.300 --> 00:11:57.300]  睇到你望下
[00:11:57.300 --> 00:11:59.300]  你側邊嗰啲人
[00:11:59.300 --> 00:12:01.300]  recognize有啲人
[00:12:01.300 --> 00:12:03.300]  係要我哋幫嘅
[00:12:03.300 --> 00:12:05.300]  係咪
[00:12:05.300 --> 00:12:07.300]  你有冇睇到你隔離嗰邊
[00:12:07.300 --> 00:12:09.300]  隔離嗰啲人有冇人
[00:12:09.300 --> 00:12:11.300]  有需要要幫下佢
[00:12:11.300 --> 00:12:13.300]  有冇睇過 定係自己睇自己嘅啫
[00:12:13.300 --> 00:12:15.300]  係咪 我要乜嘢呀
[00:12:15.300 --> 00:12:17.300]  我著乜嘢呀 我幾型呀
[00:12:17.300 --> 00:12:19.300]  淨係睇自己嘅啫
[00:12:19.300 --> 00:12:21.300]  邊個淨係睇自己嘅啫
[00:12:21.300 --> 00:12:23.300]  有冇人
[00:12:23.300 --> 00:12:25.300]  冇 ok好
[00:12:25.300 --> 00:12:27.300]  very good 第三呢
[00:12:27.300 --> 00:12:29.300]  你謙卑咗自己
[00:12:29.300 --> 00:12:31.300]  你睇到
[00:12:31.300 --> 00:12:33.300]  啲人嘅需要 第三係乜嘢
[00:12:33.300 --> 00:12:35.300]  係要reach out
[00:12:35.300 --> 00:12:37.300]  reach out
[00:12:37.300 --> 00:12:39.300]  係咪 reach out 吓
[00:12:39.300 --> 00:12:41.300]  你隔離嗰邊 reach out 吓
[00:12:41.300 --> 00:12:43.300]  使唔使reach out 呀 ok
[00:12:43.300 --> 00:12:45.300]  得幾個
[00:12:45.300 --> 00:12:47.300]  識reach out 好似
[00:12:47.300 --> 00:12:49.300]  行山咁 有冇人
[00:12:49.300 --> 00:12:51.300]  去過行山
[00:12:51.300 --> 00:12:53.300]  recently 有冇人去過行山
[00:12:53.300 --> 00:12:55.300]  冇 太
[00:12:55.300 --> 00:12:57.300]  太多魚呀 ok
[00:12:57.300 --> 00:12:59.300]  呢年有冇去過行山嘅舉手
[00:12:59.300 --> 00:13:01.300]  冇去過行山
[00:13:01.300 --> 00:13:03.300]  你哋淨係坐喺屋企
[00:13:03.300 --> 00:13:05.300]  打機嘅 ok
[00:13:05.300 --> 00:13:07.300]  唔行山
[00:13:07.300 --> 00:13:09.300]  ok 你行山
[00:13:09.300 --> 00:13:11.300]  有冇人陪個人行山嘅
[00:13:11.300 --> 00:13:13.300]  陪啲friend行山嘅
[00:13:13.300 --> 00:13:15.300]  Ethan I know you are why don't you raise your hand
[00:13:15.300 --> 00:13:19.300]  ok
[00:13:19.300 --> 00:13:21.300]  邊個
[00:13:21.300 --> 00:13:23.300]  同啲friend行過山嘅舉手
[00:13:23.300 --> 00:13:25.300]  ok 好
[00:13:25.300 --> 00:13:27.300]  咁你哋
[00:13:27.300 --> 00:13:29.300]  group friend呢你行山嗰時
[00:13:29.300 --> 00:13:31.300]  有冇人係平時
[00:13:31.300 --> 00:13:33.300]  行快啲 有人係
[00:13:33.300 --> 00:13:35.300]  行慢啲嘅
[00:13:35.300 --> 00:13:37.300]  係咪Timon好慢呀行
[00:13:37.300 --> 00:13:39.300]  唔係 佢唔行嘅
[00:13:39.300 --> 00:13:43.300]  即係點呀
[00:13:43.300 --> 00:13:47.300]  ok 係啦
[00:13:47.300 --> 00:13:49.300]  啲stamina差啲啲
[00:13:49.300 --> 00:13:51.300]  邊個講呢 佢自己stamina差啲嘅
[00:13:51.300 --> 00:13:53.300]  行慢啲嘅 ok Timon
[00:13:53.300 --> 00:13:55.300]  ok Jetta
[00:13:55.300 --> 00:13:57.300]  ok 你哋一齊行山好啦
[00:13:57.300 --> 00:13:59.300]  ok 你兩個一齊pair埋
[00:13:59.300 --> 00:14:01.300]  係咪 有啲人呢就行得好快嘅
[00:14:01.300 --> 00:14:03.300]  邊個行
[00:14:03.300 --> 00:14:05.300]  係啦 呢個行得好快嘅
[00:14:05.300 --> 00:14:07.300]  唔等人嘅 有冇人唔等人嘅
[00:14:07.300 --> 00:14:09.300]  係啦 Piera唔等人嘅
[00:14:09.300 --> 00:14:11.300]  Fiona都唔等嘅
[00:14:11.300 --> 00:14:13.300]  係咪我哋之前踩單車
[00:14:13.300 --> 00:14:15.300]  zoom就走咗
[00:14:15.300 --> 00:14:17.300]  唔等嘅
[00:14:17.300 --> 00:14:19.300]  係咪 但如果你係
[00:14:19.300 --> 00:14:21.300]  一個group呢
[00:14:21.300 --> 00:14:23.300]  有啲人行快嘅
[00:14:23.300 --> 00:14:25.300]  有啲行慢嘅
[00:14:25.300 --> 00:14:27.300]  咁就要點呀
[00:14:27.300 --> 00:14:29.300]  如果想stay together
[00:14:29.300 --> 00:14:31.300]  就要走嘅 係咪 要等呀
[00:14:31.300 --> 00:14:33.300]  係咪
[00:14:33.300 --> 00:14:35.300]  有時等
[00:14:35.300 --> 00:14:37.300]  係咪都覺得煩嘅
[00:14:37.300 --> 00:14:39.300]  邊個覺得煩嘅 有時要等
[00:14:39.300 --> 00:14:41.300]  係咪 都煩嘅
[00:14:41.300 --> 00:14:43.300]  但係有時覺得 哇 呢啲人咁快
[00:14:43.300 --> 00:14:45.300]  都覺得煩嘅 哇 點解咁快嘅
[00:14:45.300 --> 00:14:47.300]  唔等埋嘅 兩邊
[00:14:47.300 --> 00:14:49.300]  都要就下嘅 係咪
[00:14:49.300 --> 00:14:51.300]  我記得
[00:14:51.300 --> 00:14:53.300]  我去唔同嘅短宣啦
[00:14:53.300 --> 00:14:55.300]  邊個去過短宣嘅 記唔記得我哋
[00:14:55.300 --> 00:14:57.300]  explore有咩短宣
[00:14:57.300 --> 00:14:59.300]  有咩短宣
[00:14:59.300 --> 00:15:01.300]  越南 cambodia
[00:15:01.300 --> 00:15:03.300]  very good
[00:15:03.300 --> 00:15:05.300]  ok very good
[00:15:05.300 --> 00:15:07.300]  之前呢 我都帶過組去
[00:15:07.300 --> 00:15:09.300]  taiwan 咁邊個去過
[00:15:09.300 --> 00:15:11.300]  喺度 onsen 去過啦
[00:15:11.300 --> 00:15:13.300]  係咪 咁我記得
[00:15:13.300 --> 00:15:15.300]  我哋一齊
[00:15:15.300 --> 00:15:17.300]  搭飛機喺香港 跟住
[00:15:17.300 --> 00:15:19.300]  arrived 咗喺 Taipei
[00:15:19.300 --> 00:15:21.300]  ok 邊個去過 Taipei
[00:15:21.300 --> 00:15:23.300]  舉手 冇人去過
[00:15:23.300 --> 00:15:25.300]  Taipei ok 好
[00:15:25.300 --> 00:15:27.300]  去咗 Taipei 我哋行行下
[00:15:27.300 --> 00:15:29.300]  我哋係九個
[00:15:29.300 --> 00:15:31.300]  唔係呢個slide 住
[00:15:31.300 --> 00:15:33.300]  我哋行行下
[00:15:33.300 --> 00:15:35.300]  跟住 咦
[00:15:35.300 --> 00:15:37.300]  點解唔見咗一個嘅
[00:15:37.300 --> 00:15:39.300]  唔見咗一個
[00:15:39.300 --> 00:15:41.300]  我哋本來係九個 跟住
[00:15:41.300 --> 00:15:43.300]  點解得返八個嘅
