
[00:00:00.000 --> 00:00:05.860]  為什麼人總是在跨年的時候設定目標
[00:10:04.040 --> 00:10:09.240]  一個爸爸送給女兒一朵小小的鮮花
[00:10:09.240 --> 00:10:14.140]  女兒拿著在手裡欣賞之後 又再欣賞
[00:10:14.140 --> 00:10:17.440]  爸爸想問女兒拿回這朵小小的鮮花
[00:10:17.440 --> 00:10:20.440]  女兒不捨得
[00:10:20.440 --> 00:10:25.540]  女兒就撕了一片花瓣給爸爸
[00:10:25.540 --> 00:10:27.240]  爸爸再問一次
[00:10:27.240 --> 00:10:29.540]  女兒再撕一片
[00:10:29.540 --> 00:10:32.040]  一直這樣重複著
[00:10:32.040 --> 00:10:36.740]  好了 現在爸爸手上又有一朵花了
[00:10:36.740 --> 00:10:42.240]  不過她已經衰殘了
[00:10:42.240 --> 00:10:46.940]  一點都不好看了
[00:10:46.940 --> 00:10:50.740]  有一天在教會裡面有三個弟兄
[00:10:50.740 --> 00:10:53.740]  在討論應該怎樣奉獻
[00:10:53.740 --> 00:10:57.240]  第一個說 我在前面畫一條線
[00:10:57.240 --> 00:11:00.040]  然後我將我的金幣拋出去
[00:11:00.040 --> 00:11:03.540]  在線前面的就歸給神
[00:11:03.540 --> 00:11:07.040]  第二個聽了 你真是取巧
[00:11:07.040 --> 00:11:08.740]  如果你向後拋
[00:11:08.740 --> 00:11:11.540]  豈不是全數都歸你
[00:11:11.540 --> 00:11:12.740]  我就不同了
[00:11:12.740 --> 00:11:14.740]  我會畫一個圈
[00:11:14.740 --> 00:11:17.140]  然後將金幣拋出去
[00:11:17.140 --> 00:11:21.940]  在圈外面的就全部給神
[00:11:21.940 --> 00:11:25.540]  第三個聽了就說 你太取巧了
[00:11:25.540 --> 00:11:27.240]  如果你畫一個圈
[00:11:27.240 --> 00:11:29.640]  大到好像一個足球場一樣
[00:11:29.640 --> 00:11:31.040]  無論你怎樣拋
[00:11:31.040 --> 00:11:34.940]  金幣都仍然是歸你的
[00:11:34.940 --> 00:11:36.840]  第一 第二個問
[00:11:36.840 --> 00:11:38.440]  那你又怎樣
[00:11:38.440 --> 00:11:40.140]  第三個說
[00:11:40.140 --> 00:11:42.140]  我什麼都不畫
[00:11:42.140 --> 00:11:43.640]  我會去求神
[00:11:43.640 --> 00:11:45.940]  求神你拿去吧
[00:11:45.940 --> 00:11:47.240]  如果祂要拿去的話
[00:11:47.240 --> 00:11:49.440]  我就全部給祂
[00:11:49.440 --> 00:11:52.140]  我會向金幣向上拋
[00:11:52.140 --> 00:11:54.540]  如果神不願意拿的話
[00:11:54.540 --> 00:12:00.240]  我就唯有所有金幣都歸我了
[00:12:00.240 --> 00:12:01.740]  以上三個故事
[00:12:01.740 --> 00:12:04.740]  或者我們曾經聽過
[00:12:04.740 --> 00:12:08.440]  但是 我們有沒有在當中
[00:12:08.440 --> 00:12:11.540]  看到自己的影子呢
[00:12:11.540 --> 00:12:14.340]  神賜給我們生命氣息
[00:12:14.340 --> 00:12:16.340]  因賜才幹
[00:12:16.340 --> 00:12:19.640]  當神呼召我們奉獻給祂的時候
[00:12:19.640 --> 00:12:24.440]  我們是不是全心全意地作出奉獻
[00:12:24.440 --> 00:12:30.940]  或者好像那個女孩一樣 逐一點逐一點地給
[00:12:30.940 --> 00:12:32.740]  很不捨得地
[00:12:32.740 --> 00:12:40.340]  還以為是施捨地給她爸爸一樣
[00:12:40.340 --> 00:12:44.540]  如果好像那個小女孩
[00:12:44.540 --> 00:12:47.340]  這樣奉獻都還好
[00:12:47.340 --> 00:12:50.240]  畢竟都是奉獻到
[00:12:50.240 --> 00:12:54.140]  回到給父親的手裡面
[00:12:54.140 --> 00:12:57.540]  但是人往往在得到恩典之後
[00:12:57.540 --> 00:13:01.340]  就漸漸地忘恩
[00:13:01.340 --> 00:13:04.440]  覺得這一切都是我的
[00:13:04.440 --> 00:13:06.540]  得到智慧之後
[00:13:06.540 --> 00:13:09.140]  就開始玩弄小聰明
[00:13:09.140 --> 00:13:11.240]  用了取巧的方法
[00:13:11.240 --> 00:13:15.140]  嘗試避過奉獻
[00:13:15.140 --> 00:13:17.340]  我們作為基督徒的
[00:13:17.340 --> 00:13:21.040]  既然知道恩典是白白地從神而來
[00:13:21.040 --> 00:13:24.640]  又知道奉獻的真正意義
[00:13:24.640 --> 00:13:30.540]  我們就應當努力地為主作出行動
[00:13:30.540 --> 00:13:34.340]  奉獻是對神的愛的一種回應
[00:13:34.340 --> 00:13:37.740]  如果你深深地體會過神的愛
[00:13:37.740 --> 00:13:41.540]  如果你實實在在地經歷過神的恩典
[00:13:41.540 --> 00:13:43.340]  我十分鼓勵你
[00:13:43.340 --> 00:13:44.740]  在新的這一年
[00:13:44.740 --> 00:13:52.040]  我們好好地計劃如何為神奉獻我們自己
[00:13:52.040 --> 00:13:53.540]  不是取巧
[00:13:53.540 --> 00:13:55.240]  不是心猶不甘
[00:13:55.240 --> 00:13:57.140]  而是甘心樂意的
[00:13:57.140 --> 00:14:01.840]  為了回應神的緣故而奉獻
[00:14:01.840 --> 00:14:03.940]  讓我們重溫一下
[00:14:03.940 --> 00:14:07.640]  原來在馬拉基先知時代的猶太人
[00:14:07.640 --> 00:14:13.040]  也是不願意遵守十一奉獻的
[00:14:13.040 --> 00:14:16.840]  在《馬拉基書三章七到九節》裡說
[00:14:16.840 --> 00:14:18.540]  萬鈞之夜禍話說
[00:14:18.540 --> 00:14:21.340]  從你們列祖的日子以來
[00:14:21.340 --> 00:14:24.840]  你們常常偏離我的典章而不遵守
[00:14:24.840 --> 00:14:26.740]  現在你們要轉向我
[00:14:26.740 --> 00:14:28.440]  我就轉向你們
[00:14:28.440 --> 00:14:29.840]  你們卻問說
[00:14:29.840 --> 00:14:32.940]  我們如何才是轉向呢?
[00:14:32.940 --> 00:14:35.540]  人豈可奪取神之物呢?
[00:14:35.540 --> 00:14:38.040]  你們竟奪取我的貢物
[00:14:38.040 --> 00:14:43.440]  你們卻說我們在何時上奪取你的貢物呢?
[00:14:43.440 --> 00:14:48.540]  就是你們在當立的十分之一和當憲的貢物上
[00:14:48.540 --> 00:14:52.040]  因你們通國的人都奪取我的貢物
[00:14:52.040 --> 00:14:56.640]  咒咒就臨到你們身上
[00:14:56.640 --> 00:15:01.840]  所以神吩咐馬拉基向他們表明祂的心意
[00:15:01.840 --> 00:15:07.140]  於是先知呼籲猶太百姓去遵守神的典章
[00:15:07.140 --> 00:15:09.640]  你行十一奉獻
[00:15:09.640 --> 00:15:15.440]  以及因此將會帶來的大大的祝福
[00:15:15.440 --> 00:15:17.240]  第十節
[00:15:17.240 --> 00:15:19.940]  萬鈞之夜禍話說
[00:15:19.940 --> 00:15:23.740]  你們要將當立的十分之一
[00:15:23.740 --> 00:15:25.440]  傳言送入倉庫
[00:15:25.440 --> 00:15:27.340]  使我家有良
[00:15:27.340 --> 00:15:31.740]  以此試試我是否為你們闖開天上的窗戶
[00:15:31.740 --> 00:15:33.240]  傾覆於你們
[00:15:33.240 --> 00:15:35.940]  甚至無處可用
[00:15:35.940 --> 00:15:37.740]  萬鈞之夜禍話說
[00:15:37.740 --> 00:15:40.440]  我必為你們斥責蝗蟲
[00:15:40.440 --> 00:15:43.240]  不容他毀壞你們的土產
[00:15:43.240 --> 00:15:46.340]  你們田間的葡萄樹在未熟之先
[00:15:46.340 --> 00:15:47.940]  也不掉果子
[00:15:47.940 --> 00:15:50.840]  萬鈞之夜禍話說
[00:15:50.840 --> 00:15:54.240]  萬國必稱你們為「猶福的」
[00:15:54.240 --> 00:16:01.040]  因你們的地必成為「喜樂之地」
[00:16:01.040 --> 00:16:07.240]  雖然萬國必稱你們為「猶福的」
[00:16:07.240 --> 00:16:12.940]  雖然你們的地必成為「喜樂之地」
[00:16:12.940 --> 00:16:20.940]  我們有多少人是充滿著喜樂去奉獻的呢?
[00:16:20.940 --> 00:16:23.140]  現代的理財概念
[00:16:23.140 --> 00:16:25.040]  講的是更靈活的
[00:16:25.040 --> 00:16:28.340]  更聰明的去管理財政
[00:16:28.340 --> 00:16:30.140]  不是逃稅
[00:16:30.140 --> 00:16:32.540]  不是不奉公守法
[00:16:32.540 --> 00:16:38.940]  而是講求避稅、豁免、權利等等
[00:16:38.940 --> 00:16:43.440]  技術上、專業上的一些名詞
[00:16:43.440 --> 00:16:46.640]  在法律的空間運作
[00:16:46.640 --> 00:16:49.940]  合情、合理、合法
[00:16:49.940 --> 00:16:54.840]  於是不單止是在馬拉基先知時代的猶大人
[00:16:54.840 --> 00:16:58.540]  不願意進行「十一奉獻」
[00:16:58.540 --> 00:17:03.040]  現代人也開始問問題了
[00:17:03.040 --> 00:17:07.740]  不知道這些問題你有沒有想過呢?
[00:17:07.740 --> 00:17:11.740]  「十一奉獻」是指稅前的收入
[00:17:11.740 --> 00:17:14.640]  還是稅後的收入?
[00:17:14.640 --> 00:17:17.740]  是不是包括年尾花紅?
[00:17:17.740 --> 00:17:21.340]  是不是包括我的退休金的供款?
[00:17:21.340 --> 00:17:26.040]  是不是包括我的動產和不動產?
[00:17:26.040 --> 00:17:30.840]  我退休後也沒有正常的收入
[00:17:30.840 --> 00:17:35.140]  那是不是只是奉獻利息的十分之一?
[00:17:35.140 --> 00:17:38.840]  我退休之前已經履行了我的「十一奉獻」
[00:17:38.840 --> 00:17:43.640]  就是說我的身家已經是經過了「十一奉獻」
[00:17:43.640 --> 00:17:48.340]  所以是不是就不需要再額外的奉獻?
[00:17:48.340 --> 00:17:51.640]  那些退休之後才信主的
[00:17:51.640 --> 00:17:53.940]  豈不是很赤數?
[00:17:53.940 --> 00:17:57.240]  我的財產都在物業
[00:17:57.240 --> 00:18:00.740]  收入都交到銀行的按揭手裏面
[00:18:00.740 --> 00:18:04.940]  我還哪裏有多餘的錢去奉獻?
[00:18:04.940 --> 00:18:09.140]  我們先撇開一些先入為主的論斷
[00:18:09.140 --> 00:18:13.840]  千萬不要以為這些問題一定是根根計較的
[00:18:13.840 --> 00:18:15.140]  不一定
[00:18:15.140 --> 00:18:17.940]  明白聖經的教導以防做得不足
[00:18:17.940 --> 00:18:20.240]  總好過我們自以為是
[00:18:20.240 --> 00:18:25.040]  自以為或者是道聽途說
[00:18:25.040 --> 00:18:28.540]  其實這些都是好問題
[00:18:28.540 --> 00:18:34.240]  而答案也不是由傳道人或牧者去講
[00:18:34.240 --> 00:18:39.040]  最重要究竟聖經講的是什麼?
[00:18:39.040 --> 00:18:44.040]  聖經所講及的這些教導的時候是農業社會
[00:18:44.040 --> 00:18:48.340]  投生或者初熟是要獻給神
[00:18:48.340 --> 00:18:54.240]  十一奉獻的意思是奉獻我所賺的所得的十分之一
[00:18:54.240 --> 00:18:59.540]  他們不可能經過電腦結算之後的總收入
[00:18:59.540 --> 00:19:04.640]  就是那一個收成或者那一做
[00:19:04.640 --> 00:19:08.140]  就是一拿到就要先給神
[00:19:08.140 --> 00:19:09.940]  不是剩餘的
[00:19:09.940 --> 00:19:15.340]  不是說扣完扣剩所有的開銷之後的十分之一
[00:19:15.340 --> 00:19:20.040]  自然也不是稅後的十分之一
[00:19:20.040 --> 00:19:27.940]  而所講的其他奉獻是十一奉獻之外的奉獻
[00:19:27.940 --> 00:19:30.940]  在《春埃及記》十三章二節
[00:19:30.940 --> 00:19:32.640]  以色列縱凡投生的
[00:19:32.640 --> 00:19:36.540]  無論是人是生畜都是我的
[00:19:36.540 --> 00:19:40.240]  要分別為聖歸我
[00:19:40.240 --> 00:19:47.840]  真言三章九到十節你要以財物和一切初熟的土產尊榮耶和華
[00:19:47.840 --> 00:19:51.840]  這樣你的倉房必充滿有餘
[00:19:51.840 --> 00:19:56.040]  你的酒造有新酒迎人
[00:19:56.040 --> 00:19:59.040]  我們要知道一切都是出於神
[00:19:59.040 --> 00:20:02.740]  我所得的全部都是恩典
[00:20:02.740 --> 00:20:06.140]  不單只是投生或者初熟
[00:20:06.140 --> 00:20:09.640]  所以我們根本就沒有藉口
[00:20:09.640 --> 00:20:13.640]  不過聖經所講的不是上限
[00:20:13.640 --> 00:20:17.240]  只是最基本的
[00:20:17.240 --> 00:20:20.140]  說回剛才所提的所有問題
[00:20:20.140 --> 00:20:23.540]  和馬拉基書三章八節所提出的問題
[00:20:23.540 --> 00:20:28.140]  人豈可奪取神之物呢?
[00:20:28.140 --> 00:20:34.040]  聖經雖然沒有白紙黑字這樣逐條提供答案
[00:20:34.040 --> 00:20:42.640]  卻是很清楚的將問題指向我們自己的心
[00:20:42.640 --> 00:20:45.640]  廣南多後書第八章講到馬其頓宗教會
[00:20:45.640 --> 00:20:47.640]  在那裡講得很清楚
[00:20:47.640 --> 00:20:52.340]  奉獻背後有三種動力
[00:20:52.340 --> 00:20:58.640]  第一是恩著 恩典的關係 Grace Driven
[00:20:58.640 --> 00:21:00.240]  第一對二節
[00:21:00.240 --> 00:21:06.140]  弟兄們 我把神賜給馬其頓宗教會的恩告訴你們
[00:21:06.140 --> 00:21:09.840]  就是他們在患難中受大試煉的時候
[00:21:09.840 --> 00:21:11.940]  仍有滿足的快樂
[00:21:11.940 --> 00:21:19.540]  在極窮之間還格外顯出他們樂捐的後因
[00:21:19.540 --> 00:21:22.240]  不是因為富裕的關係
[00:21:22.240 --> 00:21:24.640]  不是因為多餘的關係
[00:21:24.640 --> 00:21:33.940]  竟然可以在極窮之間還格外顯出他們樂捐的後因
[00:21:33.940 --> 00:21:36.040]  原因只有一個
[00:21:36.040 --> 00:21:39.140]  感恩 Grace Driven
[00:21:39.140 --> 00:21:42.840]  感受得到這份不配的恩典
[00:21:42.840 --> 00:21:45.140]  知道不是應分的
[00:21:45.140 --> 00:21:51.740]  但是我們卻往往都覺得這份酬勞是我應得的
[00:21:51.740 --> 00:21:58.340]  甚至我們是underpaid
[00:21:58.340 --> 00:22:01.840]  第二個奉獻背後的動力
[00:22:01.840 --> 00:22:07.940]  是恩著與主的關係 Relationship Driven
[00:22:07.940 --> 00:22:09.440]  第三到五節
[00:22:09.440 --> 00:22:12.340]  我可以證明他們是按著力量
[00:22:12.340 --> 00:22:14.340]  而且也過了力量
[00:22:14.340 --> 00:22:16.840]  自己甘心樂意的捐助
[00:22:16.840 --> 00:22:19.540]  在三的求我們 准他們
[00:22:19.540 --> 00:22:23.640]  在這供給聖徒的恩情上有份
[00:22:23.640 --> 00:22:25.040]  並且他們所作的
[00:22:25.040 --> 00:22:27.440]  不但照我們所想望的
[00:22:27.440 --> 00:22:29.340]  更照神的旨意
[00:22:29.340 --> 00:22:31.340]  先把自己獻給主
[00:22:31.340 --> 00:22:34.340]  又歸附了我們
[00:22:34.340 --> 00:22:37.140]  現在很多基督徒奉獻
[00:22:37.140 --> 00:22:40.340]  是想著與計數機的關係
[00:22:40.340 --> 00:22:44.640]  而不是與主的關係
[00:22:44.640 --> 00:22:46.540]  珍惜與主的關係
[00:22:46.540 --> 00:22:48.940]  我們就會明白
[00:22:48.940 --> 00:22:55.140]  在這供給聖徒的恩情上有份
[00:22:55.140 --> 00:22:59.040]  不但照我們所想望的
[00:22:59.040 --> 00:23:00.940]  更照神的旨意
[00:23:00.940 --> 00:23:05.640]  先把自己獻給主
[00:23:05.640 --> 00:23:07.940]  第三個奉獻的背後動力
[00:23:07.940 --> 00:23:10.940]  是Love Driven
[00:23:10.940 --> 00:23:13.540]  恩著愛的關係
[00:23:13.540 --> 00:23:15.540]  第八到第九節
[00:23:15.540 --> 00:23:17.640]  我說者話不時吩咐你們
[00:23:17.640 --> 00:23:19.940]  乃是藉著別人的熱心
[00:23:19.940 --> 00:23:22.740]  試驗你們愛心的實在
[00:23:22.740 --> 00:23:25.840]  你們知道我們主耶穌基督的恩典
[00:23:25.840 --> 00:23:27.140]  祂本來富足
[00:23:27.140 --> 00:23:30.340]  卻為你們成了貧窮
[00:23:30.340 --> 00:23:32.240]  叫你們因祂的貧窮
[00:23:32.240 --> 00:23:34.540]  可以成為富足
[00:23:34.540 --> 00:23:37.540]  我們的愛心實在嗎?
[00:23:37.540 --> 00:23:39.840]  我們知道我們的主耶穌基督
[00:23:39.840 --> 00:23:41.840]  為我們所作的一切
[00:23:41.840 --> 00:23:45.440]  我們知道主耶穌基督的恩典
[00:23:45.440 --> 00:23:51.740]  祂本來富足卻為你們成了貧窮
[00:23:51.740 --> 00:23:53.340]  於是我們回應
[00:23:53.340 --> 00:23:55.640]  我們的回應實在嗎?
[00:23:55.640 --> 00:23:58.340]  我們的回應真實嗎?
[00:23:58.340 --> 00:24:01.640]  真誠嗎?
[00:24:01.640 --> 00:24:03.740]  這個和聖靈的
[00:24:03.740 --> 00:24:07.140]  Joint Venture合作計劃的第三方面
[00:24:07.140 --> 00:24:12.240]  十一奉獻是另一個Priority
[00:24:12.240 --> 00:24:14.540]  我們在一年之首
[00:24:14.540 --> 00:24:17.240]  你想怎樣立志?
[00:24:17.240 --> 00:24:18.740]  我讀過一篇論文
[00:24:18.740 --> 00:24:22.140]  有很好的提醒
[00:24:22.140 --> 00:24:26.040]  這篇文章當中說到三種態度
[00:24:26.040 --> 00:24:28.540]  三種我們奉獻的態度
[00:24:28.540 --> 00:24:30.740]  裡面有六個英文字
[00:24:30.740 --> 00:24:33.340]  都是以C字頭開始的
[00:24:33.340 --> 00:24:35.440]  六個C字
[00:24:35.440 --> 00:24:39.140]  我邀請你一會兒我說的時候你寫下
[00:24:39.140 --> 00:24:48.140]  經文是出自《哥林多後書》九章六到十一節
[00:24:48.140 --> 00:24:52.740]  《哥林多後書》九章六節
[00:24:52.740 --> 00:24:58.940]  「少中的少修,多中的多修,這話是真的。」
[00:24:58.940 --> 00:25:05.240]  「少」在希臘文的意思是缺乏或者保留
[00:25:05.240 --> 00:25:09.240]  對金錢很論色和計較成本
[00:25:09.240 --> 00:25:14.640]  不幸的是很多信徒對朋友很慷慨
[00:25:14.640 --> 00:25:18.040]  但是對神有所保留
[00:25:18.040 --> 00:25:20.240]  奉獻是一種祝福
[00:25:20.240 --> 00:25:24.240]  絕對不是一個負擔或者困境
[00:25:24.240 --> 00:25:27.040]  是絕對不保守的
[00:25:27.040 --> 00:25:31.940]  所以文章提議我們奉獻的第一種態度是
[00:25:31.940 --> 00:25:35.340]  慷慨施予毫不保留
[00:25:35.340 --> 00:25:40.840]  Give convincingly, not conservatively to the Lord
[00:25:40.840 --> 00:25:48.740]  Give convincingly, not conservatively to the Lord
[00:25:48.740 --> 00:25:51.140]  第七節
