
[00:00:00.000 --> 00:00:08.500]  大家早 今天的題目是 教會出品必屬佳品 是問句來的
[00:06:02.500 --> 00:06:06.500]  包括去 施洗 教導
[00:06:06.500 --> 00:06:10.500]  當然我們知道在這個過程當中是一個循環的過程
[00:06:10.500 --> 00:06:13.500]  不是說某個部份是做高的
[00:06:13.500 --> 00:06:16.500]  其他部份不需要不斷地循環去做
[00:06:16.500 --> 00:06:19.500]  特別是教導是不斷地去教導的
[00:06:19.500 --> 00:06:23.500]  所以我們知道建立門徒是包括三方面的動作
[00:06:23.500 --> 00:06:26.500]  包括去 施洗 教導
[00:06:26.500 --> 00:06:28.500]  在這裏我也想提醒大家
[00:06:28.500 --> 00:06:32.500]  一個非常容易被誤解的觀念
[00:06:32.500 --> 00:06:35.500]  大使命是包括傳福音的
[00:06:35.500 --> 00:06:39.500]  傳福音不等同於完整地去進行大使命
[00:06:39.500 --> 00:06:42.500]  我們說大使命就是傳福音其實是不完整的
[00:06:42.500 --> 00:06:45.500]  大使命不只是傳福音
[00:06:45.500 --> 00:06:47.500]  麻煩你跟旁邊的兩位弟兄姊妹說
[00:06:47.500 --> 00:06:49.500]  大使命不只是傳福音
[00:06:49.500 --> 00:06:54.500]  大使命不只是傳福音
[00:06:54.500 --> 00:06:57.500]  通常有些東西說三次就記得住
[00:06:57.500 --> 00:06:59.500]  希望大家印在腦裏
[00:06:59.500 --> 00:07:01.500]  大使命不只是傳福音
[00:07:01.500 --> 00:07:04.500]  大使命的重點是在於建立門徒
[00:07:04.500 --> 00:07:06.500]  在於建立門徒
[00:07:06.500 --> 00:07:07.500]  說到建立門徒的時候
[00:07:07.500 --> 00:07:09.500]  我們不得不參考耶穌基督
[00:07:09.500 --> 00:07:12.500]  當時是怎樣去帶領這些門徒
[00:07:12.500 --> 00:07:16.500]  我們發現耶穌基督訓練門徒有三大要素
[00:07:16.500 --> 00:07:18.500]  有三大要素
[00:07:18.500 --> 00:07:19.500]  分別就是BMW
[00:07:19.500 --> 00:07:21.500]  你又再跟旁邊的人說
[00:07:21.500 --> 00:07:22.500]  我需要BMW
[00:07:22.500 --> 00:07:25.500]  我需要BMW
[00:07:25.500 --> 00:07:28.500]  真的BMW
[00:07:28.500 --> 00:07:30.500]  看看BMW是什麼
[00:07:30.500 --> 00:07:32.500]  第一個就是聖經的真理
[00:07:32.500 --> 00:07:35.500]  第二個就是生命的榜樣
[00:07:35.500 --> 00:07:37.500]  我們知道生命影響生命非常重要
[00:07:37.500 --> 00:07:39.500]  第三個我翻譯得不太好
[00:07:39.500 --> 00:07:41.500]  希望大家記住BMW
[00:07:41.500 --> 00:07:43.500]  就是經驗的累積
[00:07:43.500 --> 00:07:46.500]  我們希望很多侍奉的經驗
[00:07:46.500 --> 00:07:47.500]  眼界的開拓
[00:07:47.500 --> 00:07:50.500]  使我們在當中有個累積
[00:07:50.500 --> 00:07:51.500]  我們首先看第一部份
[00:07:51.500 --> 00:07:53.500]  聖經的真理Bible
[00:07:53.500 --> 00:07:55.500]  大使命裏面說到
[00:07:55.500 --> 00:07:57.500]  凡我所教訓的
[00:07:57.500 --> 00:07:59.500]  裏面是指到什麼
[00:07:59.500 --> 00:08:03.500]  其實就是聖經的真理
[00:08:03.500 --> 00:08:05.500]  神的話語是耶穌基督
[00:08:05.500 --> 00:08:08.500]  最為看重的門訓內容
[00:08:08.500 --> 00:08:10.500]  無論是私底下或是公開的地方
[00:08:10.500 --> 00:08:14.500]  耶穌基督不斷用神的話語去教導門徒
[00:08:14.500 --> 00:08:17.500]  如果用聖經的話
[00:08:17.500 --> 00:08:19.500]  當然是未有新約
[00:08:19.500 --> 00:08:22.500]  但耶穌是不斷用舊約的經文去教導門徒
[00:08:22.500 --> 00:08:26.500]  包括直接引用了舊約六十六次
[00:08:26.500 --> 00:08:29.500]  超過九十次是間接的應用舊約
[00:08:29.500 --> 00:08:32.500]  不斷用聖經的話語去教導門徒
[00:08:32.500 --> 00:08:36.500]  而且我們留意當耶穌基督復活之後
[00:08:36.500 --> 00:08:40.500]  他和門徒一起有四十天的時間
[00:08:40.500 --> 00:08:42.500]  你知不知道耶穌基督在這四十天裏
[00:08:42.500 --> 00:08:45.500]  最主要做的事是什麼
[00:08:45.500 --> 00:08:48.500]  是不是傳福音
[00:08:48.500 --> 00:08:51.500]  是不是辦大型的報道會
[00:08:51.500 --> 00:08:52.500]  我們假設一下
[00:08:52.500 --> 00:08:55.500]  復活的耶穌如果那天復活之後
[00:08:55.500 --> 00:08:57.500]  走進聖殿
[00:08:57.500 --> 00:09:01.500]  向著成千上萬的以色列人顯現
[00:09:01.500 --> 00:09:05.500]  包括向大祭司和比拉多顯現
[00:09:05.500 --> 00:09:08.500]  你猜猜那是一個多麼震撼的時刻
[00:09:08.500 --> 00:09:09.500]  我相信如果是這樣的話
[00:09:09.500 --> 00:09:10.500]  很多人會信主
[00:09:10.500 --> 00:09:12.500]  即時悔改等等
[00:09:12.500 --> 00:09:13.500]  但很特別
[00:09:13.500 --> 00:09:15.500]  神的心意並非如此
[00:09:15.500 --> 00:09:17.500]  耶穌基督沒有再次走進聖殿
[00:09:17.500 --> 00:09:21.500]  去舉辦萬人報道會
[00:09:21.500 --> 00:09:25.500]  祂在那四十天裏面向門徒顯現
[00:09:25.500 --> 00:09:30.500]  最多那次是同時間向五百多個門徒顯現
[00:09:30.500 --> 00:09:31.500]  在這四十天裏面
[00:09:31.500 --> 00:09:34.500]  耶穌基督專注做一件事
[00:09:34.500 --> 00:09:37.500]  就是教導門徒聖經的真理
[00:09:37.500 --> 00:09:42.500]  讓門徒明白聖經講述神國的事
[00:09:42.500 --> 00:09:45.500]  聖經是神向世人啟示的話語
[00:09:45.500 --> 00:09:48.500]  也是神寫給我們的一封很重要的信
[00:09:48.500 --> 00:09:50.500]  當然信是很長
[00:09:50.500 --> 00:09:52.500]  但這封信是很寶貴的
[00:09:52.500 --> 00:09:55.500]  我們最直接全面了解基督信仰
[00:09:55.500 --> 00:09:58.500]  就是透過聖經了解
[00:09:58.500 --> 00:10:00.500]  我們對聖經有多渴慕
[00:10:00.500 --> 00:10:04.500]  直接反映我們對神有多渴慕
[00:10:04.500 --> 00:10:08.500]  現在科技很發達
[00:10:08.500 --> 00:10:09.500]  我想問大家
[00:10:09.500 --> 00:10:11.500]  你們有沒有用手寫信
[00:10:11.500 --> 00:10:13.500]  寫給你愛的親人
[00:10:13.500 --> 00:10:15.500]  或者你熟悉的朋友
[00:10:15.500 --> 00:10:16.500]  很少吧
[00:10:16.500 --> 00:10:17.500]  通常用電郵或WhatsApp
[00:10:17.500 --> 00:10:18.500]  用很多的方式
[00:10:18.500 --> 00:10:21.500]  十多年前我在德國的時候
[00:10:21.500 --> 00:10:24.500]  我和我太太拍拖
[00:10:24.500 --> 00:10:25.500]  當時是女朋友
[00:10:25.500 --> 00:10:27.500]  拍拖一段時間
[00:10:27.500 --> 00:10:32.500]  有一次我太太Fabia回香港見她的家人
[00:10:32.500 --> 00:10:36.500]  我從來沒有見過Fabia的父母
[00:10:36.500 --> 00:10:39.500]  因為我要在德國打工
[00:10:39.500 --> 00:10:40.500]  要做學生工
[00:10:40.500 --> 00:10:43.500]  所以沒有辦法回香港
[00:10:43.500 --> 00:10:44.500]  我用寫信的方式
[00:10:44.500 --> 00:10:47.500]  希望做一個自我介紹
[00:10:47.500 --> 00:10:49.500]  介紹一下自己
[00:10:49.500 --> 00:10:54.500]  希望Fabia的父母都認識一下自己
[00:10:54.500 --> 00:10:57.500]  特別說自己對Fabia的欣賞和愛慕
[00:10:57.500 --> 00:11:02.500]  希望得到父母對這段關係的認同和祝福
[00:11:02.500 --> 00:11:04.500]  我寫了幾頁的信
[00:11:04.500 --> 00:11:05.500]  頗長的
[00:11:05.500 --> 00:11:08.500]  神而眾之
[00:11:08.500 --> 00:11:09.500]  交給Fabia
[00:11:09.500 --> 00:11:11.500]  送給你父母看看
[00:11:11.500 --> 00:11:13.500]  一段時間之後
[00:11:13.500 --> 00:11:15.500]  Fabia度完假回來德國
[00:11:15.500 --> 00:11:17.500]  她帶回來的時候
[00:11:17.500 --> 00:11:19.500]  肯定有一封回信
[00:11:19.500 --> 00:11:20.500]  寫得那麼辛苦
[00:11:20.500 --> 00:11:22.500]  肯定會給我一封信
[00:11:22.500 --> 00:11:23.500]  除了回信之外
[00:11:23.500 --> 00:11:24.500]  還帶了一樣的手信
[00:11:24.500 --> 00:11:26.500]  你猜猜是什麼
[00:11:26.500 --> 00:11:28.500]  其實很難猜
[00:11:28.500 --> 00:11:30.500]  竟然是嫁女餅
[00:11:30.500 --> 00:11:32.500]  你想想
[00:11:32.500 --> 00:11:33.500]  雖然說是香港特產
[00:11:33.500 --> 00:11:35.500]  但是我想
[00:11:35.500 --> 00:11:36.500]  這一樣的手信裡面
[00:11:36.500 --> 00:11:39.500]  有沒有什麼特別的提示呢
[00:11:39.500 --> 00:11:41.500]  嫁女餅
[00:11:41.500 --> 00:11:43.500]  手信是其次
[00:11:43.500 --> 00:11:45.500]  當然這封信是更加重要
[00:11:45.500 --> 00:11:46.500]  我打開這封信
[00:11:46.500 --> 00:11:47.500]  細細的品味
[00:11:47.500 --> 00:11:49.500]  讀完一次又一次
[00:11:49.500 --> 00:11:50.500]  讀完一次又一次
[00:11:50.500 --> 00:11:53.500]  擔心有些東西錯過了
[00:11:53.500 --> 00:11:55.500]  錯過了裡面重要的訊息
[00:11:55.500 --> 00:11:58.500]  那就比較可惜
[00:11:58.500 --> 00:12:05.500]  事隔十幾年之後
[00:12:05.500 --> 00:12:07.500]  前幾天我拿這封信出來給Fabia看
[00:12:07.500 --> 00:12:08.500]  嚇了她一跳
[00:12:08.500 --> 00:12:10.500]  留到現在的這封信
[00:12:10.500 --> 00:12:14.500]  連未來岳父岳母的信
[00:12:14.500 --> 00:12:16.500]  都如此重視
[00:12:16.500 --> 00:12:17.500]  我們回想我們自己
[00:12:17.500 --> 00:12:21.500]  神寫了一封這麼美好的信
[00:12:21.500 --> 00:12:23.500]  寫了一封聖經給我們
[00:12:23.500 --> 00:12:26.500]  我們對祂所給我們的信
[00:12:26.500 --> 00:12:28.500]  我們的態度又是怎樣呢
[00:12:28.500 --> 00:12:33.500]  聖經不只是我們家裏的裝飾品
[00:12:33.500 --> 00:12:34.500]  如果是裝飾品的話
[00:12:34.500 --> 00:12:36.500]  我們經常會很安靜地
[00:12:36.500 --> 00:12:40.500]  讓祂在家裏的某個角落
[00:12:40.500 --> 00:12:41.500]  可能是書櫃的上面
[00:12:41.500 --> 00:12:43.500]  可能是放在裝飾的地方
[00:12:43.500 --> 00:12:48.500]  讓祂安靜地在裏面安然地拜著
[00:12:48.500 --> 00:12:49.500]  可能年底大掃除的時候
[00:12:49.500 --> 00:12:51.500]  拿出來拍一拍上面的塵
[00:12:51.500 --> 00:12:53.500]  然後就放回那裏
[00:12:53.500 --> 00:12:55.500]  會不會這樣呢
[00:12:55.500 --> 00:12:57.500]  我相信太古城堂的弟子
[00:12:57.500 --> 00:12:58.500]  絕對不會這樣做的
[00:12:58.500 --> 00:12:59.500]  因為我相信
[00:12:59.500 --> 00:13:01.500]  大家都是願意去讀神的話語
[00:13:01.500 --> 00:13:03.500]  但會不會有另一種的情形
[00:13:03.500 --> 00:13:04.500]  會發生就是說
[00:13:04.500 --> 00:13:07.500]  我們讀聖經只不過是一種功能性
[00:13:07.500 --> 00:13:09.500]  或者實用性去讀聖經呢
[00:13:09.500 --> 00:13:11.500]  當我們要預備查經
[00:13:11.500 --> 00:13:13.500]  當我們要預備分享
[00:13:13.500 --> 00:13:15.500]  甚至當我們要預備教主日學的時候
[00:13:15.500 --> 00:13:17.500]  我們才拿一本聖經出來
[00:13:17.500 --> 00:13:19.500]  去讀一下那段經文
[00:13:19.500 --> 00:13:21.500]  如果當我們只是功能性
[00:13:21.500 --> 00:13:23.500]  實用性去讀聖經的時候
[00:13:23.500 --> 00:13:25.500]  我們真的需要悔改
[00:13:25.500 --> 00:13:27.500]  因為我們只是將神的話語
[00:13:27.500 --> 00:13:29.500]  當作一本工具書
[00:13:29.500 --> 00:13:31.500]  一本參考書
[00:13:31.500 --> 00:13:34.500]  實際上聖經是我們生命的糧食
[00:13:34.500 --> 00:13:36.500]  我們應該抱著一個
[00:13:36.500 --> 00:13:39.500]  感恩和謙卑的心去領受
[00:13:39.500 --> 00:13:42.500]  和品嘗這份屬天的糧食
[00:13:42.500 --> 00:13:44.500]  我們一日三餐
[00:13:44.500 --> 00:13:47.500]  早中午晚餐
[00:13:47.500 --> 00:13:49.500]  我們從來都不會忘記
[00:13:49.500 --> 00:13:52.500]  但我們卻是常常忘記
[00:13:52.500 --> 00:13:55.500]  這份屬天的糧食
[00:13:55.500 --> 00:13:57.500]  我們需要渴望神
[00:13:57.500 --> 00:14:01.500]  我們必須從渴望神的話語開始
[00:14:01.500 --> 00:14:04.500]  回頭發現同樣離不開神的話語
[00:14:04.500 --> 00:14:06.500]  聖經說到大使命裡面
[00:14:06.500 --> 00:14:08.500]  凡我所吩咐你們的
[00:14:08.500 --> 00:14:10.500]  都要教導他們遵守
[00:14:10.500 --> 00:14:12.500]  2019年的時間
[00:14:12.500 --> 00:14:14.500]  我們沒有真正落實一個
[00:14:14.500 --> 00:14:17.500]  整全的讀經計劃
[00:14:17.500 --> 00:14:19.500]  譬如說一年我們要讀完一本聖經
[00:14:19.500 --> 00:14:22.500]  半年要讀完一本新約聖經
[00:14:22.500 --> 00:14:25.500]  或者三個月我們要讀完四卷福音書
[00:14:25.500 --> 00:14:27.500]  會不會有這些計劃呢
[00:14:27.500 --> 00:14:29.500]  無論哪一個計劃
[00:14:29.500 --> 00:14:33.500]  重點是我們有沒有能夠有恆心
[00:14:33.500 --> 00:14:36.500]  定期定量地去實踐
[00:14:36.500 --> 00:14:37.500]  我們都是軟弱的
[00:14:37.500 --> 00:14:40.500]  有時候一個人真的很難去堅持下去
[00:14:40.500 --> 00:14:42.500]  為了避免三分鐘熱度
[00:14:42.500 --> 00:14:45.500]  其實我們可以用一個家庭的形式
[00:14:45.500 --> 00:14:47.500]  或者小組的方式
[00:14:47.500 --> 00:14:49.500]  去彼此鼓勵彼此督促
[00:14:49.500 --> 00:14:53.500]  定時定量地去完成這些讀經計劃
[00:14:53.500 --> 00:14:55.500]  科技發展其實對我們有幫助
[00:14:55.500 --> 00:14:58.500]  有一個app叫做YouVersion
[00:14:58.500 --> 00:14:59.500]  其實我想很多人用的
[00:14:59.500 --> 00:15:02.500]  但裏面有一個功能未必大家知道的
[00:15:02.500 --> 00:15:05.500]  它是可以與朋友共讀的一個功能
[00:15:05.500 --> 00:15:07.500]  當你開始讀經計劃的時候
[00:15:07.500 --> 00:15:09.500]  你又加上幾個朋友的時候
[00:15:09.500 --> 00:15:12.500]  他會同時看到你讀經的進度
[00:15:12.500 --> 00:15:15.500]  如果Jacqueline很久都沒有讀聖經了
[00:15:15.500 --> 00:15:17.500]  發覺一起讀的計劃
[00:15:17.500 --> 00:15:19.500]  你發覺就打個電話給她
[00:15:19.500 --> 00:15:22.500]  Jacqueline最近為甚麼這麼少看神的話語
[00:15:22.500 --> 00:15:24.500]  就關心一下她
[00:15:24.500 --> 00:15:26.500]  其實是挺好的
[00:15:26.500 --> 00:15:28.500]  我們需要鼓勵
[00:15:28.500 --> 00:15:30.500]  我們用家庭的方式 小組的方式
[00:15:30.500 --> 00:15:32.500]  彼此推行一些
[00:15:32.500 --> 00:15:35.500]  切實實際情況的讀經計劃
[00:15:35.500 --> 00:15:37.500]  求主幫助我們
[00:15:37.500 --> 00:15:41.500]  每套訓練是從讀神的話語開始
[00:15:41.500 --> 00:15:43.500]  中至聖言開始
[00:15:43.500 --> 00:15:46.500]  第一方面是講到B是Bible
[00:15:46.500 --> 00:15:48.500]  第二方面是講到生命的榜樣
[00:15:48.500 --> 00:15:50.500]  生命影響 生命是model
[00:15:50.500 --> 00:15:55.500]  我們是否能夠真正完成大使命的主要標準
[00:15:55.500 --> 00:16:00.500]  其實不是教會和多少人洗禮
[00:16:00.500 --> 00:16:03.500]  也不是教會教導了多少聖經
[00:16:03.500 --> 00:16:06.500]  最重要的是我們教導了多少人
[00:16:06.500 --> 00:16:11.500]  去切實正確地去信服基督的教導
[00:16:11.500 --> 00:16:15.500]  如果教導其他人去信服這個功課
[00:16:15.500 --> 00:16:20.500]  必須教導者去成為一個信服的榜樣
[00:16:20.500 --> 00:16:23.500]  信服的生命榜樣是非常重要的
[00:16:23.500 --> 00:16:26.500]  門徒訓練是在乎生命的
[00:16:26.500 --> 00:16:30.500]  生命的榜樣其實是一個很核心的部份
[00:16:30.500 --> 00:16:32.500]  我們從耶穌基督帶領門徒的時候
[00:16:32.500 --> 00:16:35.500]  我們看到其實在很多經文裡都講到
[00:16:35.500 --> 00:16:39.500]  耶穌基督所講的和所做的是一致的
[00:16:39.500 --> 00:16:41.500]  他教導之所以這麼有能力
[00:16:41.500 --> 00:16:46.500]  是因為他的教導和他的生活是相配合的
[00:16:46.500 --> 00:16:50.500]  門徒當時跟著耶穌一起生活
[00:16:50.500 --> 00:16:52.500]  門徒訓練耶穌的方式就是
[00:16:52.500 --> 00:16:58.500]  開放他的生命給門徒來看來經歷來感受
[00:16:58.500 --> 00:17:02.500]  耶穌基督在最後的晚餐為門徒洗腳
[00:17:02.500 --> 00:17:11.500]  他不單止為十二個門徒洗腳
[00:17:11.500 --> 00:17:15.500]  其中包括了三次不認主的彼得
[00:17:15.500 --> 00:17:21.500]  而且又包括了那位出賣耶穌的門徒猶大
[00:17:21.500 --> 00:17:25.500]  耶穌親自好像一個僕人一樣
[00:17:25.500 --> 00:17:27.500]  為著每一個門徒洗腳
[00:17:27.500 --> 00:17:33.500]  就是要做出一個很深刻的榜樣
[00:17:33.500 --> 00:17:38.500]  開放生命成為榜樣有時候是很難的
[00:17:38.500 --> 00:17:40.500]  有時候對任何人來說
[00:17:40.500 --> 00:17:43.500]  特別是生命的導師都是一個很大的挑戰
[00:17:43.500 --> 00:17:47.500]  甚至會帶給我們一個讓我們窒息的壓力
[00:17:47.500 --> 00:17:49.500]  有一本書講到
[00:17:49.500 --> 00:17:52.500]  為什麼我不敢告訴你我是誰
[00:17:52.500 --> 00:17:57.500]  裡面講到其實人很害怕赤裸裸地面對別人
[00:17:57.500 --> 00:17:59.500]  即使是自己的至親
[00:17:59.500 --> 00:18:02.500]  譬如配偶、父母、子女
[00:18:02.500 --> 00:18:06.500]  都不敢將自己的生命完全地闖開
[00:18:06.500 --> 00:18:09.500]  但是一個沒有闖開的生命
[00:18:09.500 --> 00:18:12.500]  其實是很難去成長
[00:18:12.500 --> 00:18:15.500]  也很難幫助其他人去成長
[00:18:15.500 --> 00:18:21.500]  更加難以建立一個真實的健康的師徒關係
[00:18:21.500 --> 00:18:25.500]  作為生命導師其實需要作出一個冒險
[00:18:25.500 --> 00:18:27.500]  不過這個冒險其實是一種祝福
[00:18:27.500 --> 00:18:32.500]  無論是對導師來說或者對門徒來說
[00:18:32.500 --> 00:18:34.500]  感謝上帝在我的生命裡面
[00:18:34.500 --> 00:18:38.500]  是神預備了幾位生命導師在我當中
[00:18:38.500 --> 00:18:44.500]  其中我想分享的是一位在法蘭克福的橫教會的張牧師
[00:18:44.500 --> 00:18:46.500]  他在德國讀完醫之後
[00:18:46.500 --> 00:18:50.500]  他就忘神敷照去了台灣和他太太一起讀神學
[00:18:50.500 --> 00:18:52.500]  讀完神學之後就回到德國去服務木會
[00:18:52.500 --> 00:18:55.500]  他木會大概有一個一百多人的華人教會
[00:18:55.500 --> 00:18:57.500]  那時候只有他一個木者
[00:18:57.500 --> 00:18:59.500]  牧師雖然也是神學畢業
[00:18:59.500 --> 00:19:01.500]  不過那時候是買一送一
[00:19:01.500 --> 00:19:03.500]  大家知道什麼是買一送一嗎?
[00:19:03.500 --> 00:19:04.500]  如果不知道的話
[00:19:04.500 --> 00:19:07.500]  你三會之後問一下什麼叫買一送一
[00:19:07.500 --> 00:19:11.500]  牧師除了負責那間教會的服侍之外
[00:19:11.500 --> 00:19:14.500]  有講道、主教學、茶經班等等
[00:19:14.500 --> 00:19:18.500]  平時他還要照顧法蘭克福以外的一些衛星小城市
[00:19:18.500 --> 00:19:21.500]  裡面有些華人的茶經班
[00:19:21.500 --> 00:19:25.500]  他們就要定期一次兩次開車去那些地方
[00:19:25.500 --> 00:19:28.500]  帶領他們查經、關心那些弟兄姊妹
[00:19:28.500 --> 00:19:33.500]  師母要負責兒童侍工、婦女侍工、大師哥敬拜等等
[00:19:33.500 --> 00:19:36.500]  還有他們家裡還有兩個小朋友需要照顧
[00:19:36.500 --> 00:19:37.500]  其實是很辛勞的
[00:19:37.500 --> 00:19:38.500]  家裡沒有長者
[00:19:38.500 --> 00:19:41.500]  因為長者他們的長輩都不在德國附近
[00:19:41.500 --> 00:19:43.500]  由他們照顧
[00:19:43.500 --> 00:19:45.500]  那段時間我和我太太Fabia
[00:19:45.500 --> 00:19:48.500]  剛好有大半年的時間就在法蘭克福居住
[00:19:48.500 --> 00:19:51.500]  所以我們都來到這間教會去參與聚會
[00:19:51.500 --> 00:19:54.500]  那段時間都是我求問和探索
[00:19:54.500 --> 00:19:57.500]  全世界侍奉的一個過程
[00:19:57.500 --> 00:20:01.500]  我都很坦誠地和這位牧師分享了我內心的一種感動
