
[00:00:00.000 --> 00:00:03.640]  我在年青的時候 特別是考試的時候
[00:12:01.160 --> 00:12:03.320]  或者2013年多少月多少日
[00:12:03.320 --> 00:12:04.840]  不是這個時間
[00:12:04.840 --> 00:12:06.520]  是當你信耶穌的時候
[00:12:06.520 --> 00:12:10.760]  你的生命就開始有一個特別的變化
[00:12:10.760 --> 00:12:13.160]  就是時機開始
[00:12:13.160 --> 00:12:16.840]  希臘文叫做Kairos
[00:12:16.840 --> 00:12:18.680]  是一個特別的時間
[00:12:18.680 --> 00:12:25.080]  由那個時候開始你的生命就要有不再一樣
[00:12:25.080 --> 00:12:27.160]  因為在這個時機開始的時候
[00:12:27.160 --> 00:12:28.760]  耶穌第二個說話就是
[00:12:28.760 --> 00:12:31.240]  上帝的國近了
[00:12:31.240 --> 00:12:33.240]  什麼叫上帝的國近了呢
[00:12:33.240 --> 00:12:35.400]  就是說我們現在活在這裡
[00:12:35.400 --> 00:12:36.840]  就好像在上帝的國
[00:12:36.840 --> 00:12:39.800]  這個很簡單的powerpoint告訴我們
[00:12:39.800 --> 00:12:42.040]  我是一個我們處身的世代
[00:12:42.040 --> 00:12:43.240]  這個世代就是
[00:12:43.240 --> 00:12:47.080]  由耶穌很久以前到耶穌死
[00:12:47.080 --> 00:12:50.280]  和由耶穌開始來到到末後
[00:12:50.280 --> 00:12:51.560]  夾住的時代
[00:12:51.560 --> 00:12:53.000]  就是現在這個世代
[00:12:53.000 --> 00:12:54.760]  耶穌第一次來了沒有
[00:12:54.760 --> 00:12:56.280]  耶穌第一次來了沒有
[00:12:56.280 --> 00:12:57.080]  在旁邊
[00:12:57.080 --> 00:12:58.200]  來了是不是
[00:12:58.200 --> 00:13:00.360]  但是耶穌第二次再來沒有
[00:13:00.360 --> 00:13:01.800]  還沒有
[00:13:01.800 --> 00:13:04.040]  所以有一些人
[00:13:04.040 --> 00:13:06.040]  有些講聖經研究聖經的人說
[00:13:06.040 --> 00:13:10.760]  這一段就是我們所謂的天國近了的時間
[00:13:10.760 --> 00:13:13.960]  在這個地方有沒有上帝的國在這裡
[00:13:13.960 --> 00:13:14.760]  有
[00:13:14.760 --> 00:13:16.280]  但是完不完全呢
[00:13:16.280 --> 00:13:17.160]  未必完全
[00:13:17.160 --> 00:13:18.600]  所以英文有句說話
[00:13:18.600 --> 00:13:20.440]  叫做already but not yet
[00:13:20.440 --> 00:13:21.640]  就是已經有
[00:13:21.640 --> 00:13:23.160]  但是還沒有拿到
[00:13:23.160 --> 00:13:25.560]  明白什麼叫已經有還沒有拿到
[00:13:25.560 --> 00:13:28.440]  我想問在當中有沒有人在懷孕的
[00:13:28.440 --> 00:13:30.360]  請你舉一下手
[00:13:30.360 --> 00:13:32.200]  懷孕
[00:13:32.200 --> 00:13:33.720]  全部都沒有
[00:13:33.720 --> 00:13:34.680]  OK
[00:13:34.680 --> 00:13:35.320]  可能有人
[00:13:35.320 --> 00:13:37.480]  我講了語言你都未知
[00:13:37.480 --> 00:13:39.320]  如果是的感謝主
[00:13:39.320 --> 00:13:42.360]  凡是懷孕當中都見到的就是
[00:13:42.360 --> 00:13:44.760]  當他大肚便便的時候
[00:13:44.760 --> 00:13:46.120]  你會問他
[00:13:46.120 --> 00:13:48.360]  他是不是媽媽呢
[00:13:48.360 --> 00:13:49.400]  未必是
[00:13:49.400 --> 00:13:51.240]  因為他BB未出世
[00:13:51.240 --> 00:13:53.000]  但是他是不是不是媽媽呢
[00:13:53.000 --> 00:13:54.280]  他又不是不是
[00:13:54.280 --> 00:13:56.200]  因為他BB又準備出世
[00:13:56.200 --> 00:13:58.120]  天國就好像這個情況
[00:13:58.120 --> 00:13:58.840]  明不明白
[00:13:58.840 --> 00:13:59.880]  already but not
[00:13:59.880 --> 00:14:00.920]  已經在這裡
[00:14:00.920 --> 00:14:02.360]  但是又未出現
[00:14:02.360 --> 00:14:03.000]  OK
[00:14:03.000 --> 00:14:05.400]  或者你這些人都不明白
[00:14:05.400 --> 00:14:09.080]  講一下出糧就知道了
[00:14:09.080 --> 00:14:10.920]  現在已經4月7號了
[00:14:10.920 --> 00:14:13.480]  我不知道有沒有人還是未出3月的糧
[00:14:13.480 --> 00:14:14.760]  有沒有的
[00:14:14.760 --> 00:14:15.800]  可能沒有的
[00:14:15.800 --> 00:14:17.000]  但如果有都不出奇
[00:14:17.000 --> 00:14:18.840]  這些叫做already but not yet
[00:14:18.840 --> 00:14:20.920]  老闆乞求你明天就可以拿了
[00:14:20.920 --> 00:14:24.120]  無論如何我想很簡單的講
[00:14:24.120 --> 00:14:26.520]  上帝的國在這裡
[00:14:26.520 --> 00:14:28.600]  上帝國有什麼呢
[00:14:28.600 --> 00:14:33.000]  公義慈愛在這裡繼續增長
[00:14:33.000 --> 00:14:36.760]  今天我們真的要去支持一下
[00:14:36.760 --> 00:14:39.000]  我不知道我不是一個政治人物
[00:14:39.000 --> 00:14:40.600]  某些程度
[00:14:40.600 --> 00:14:42.840]  一個地方受壓迫
[00:14:42.840 --> 00:14:45.880]  有些不公不義的時候要起來
[00:14:45.880 --> 00:14:48.280]  上帝的公義在這個地方
[00:14:48.280 --> 00:14:50.520]  所以很欣賞現在在搞公運
[00:14:50.520 --> 00:14:52.440]  支持的那幫人
[00:14:52.440 --> 00:14:56.520]  特別是職工盟
[00:14:56.520 --> 00:14:58.200]  如果我沒有記錯就是職工盟
[00:14:58.200 --> 00:15:01.080]  「你XX人」那裡
[00:15:01.080 --> 00:15:02.680]  我記得很久以前讀神學生
[00:15:02.680 --> 00:15:04.920]  來探訪他們的機構
[00:15:04.920 --> 00:15:07.640]  他們當時劉千石
[00:15:07.640 --> 00:15:09.480]  去過辦公室跟他們聊天
[00:15:09.480 --> 00:15:11.800]  有一句話很吸引我
[00:15:11.800 --> 00:15:13.240]  他說「行公義好憐憫
[00:15:13.240 --> 00:15:15.160]  傳謙卑的心與神同行」
[00:15:15.160 --> 00:15:16.200]  我就很明白
[00:15:16.200 --> 00:15:18.840]  因為當時對社會社運不是很明白
[00:15:18.840 --> 00:15:20.680]  還是很年輕
[00:15:20.680 --> 00:15:22.040]  但是現在明白
[00:15:22.040 --> 00:15:23.560]  當「行公義好憐憫
[00:15:23.560 --> 00:15:25.240]  傳謙卑的心與神同行」的時候
[00:15:25.240 --> 00:15:27.080]  這一幫大公運的人
[00:15:27.080 --> 00:15:29.880]  就要跟這幫被欺壓的人一起走
[00:15:29.880 --> 00:15:35.160]  因為在彰顯、經歷上帝的國
[00:15:35.160 --> 00:15:37.720]  為什麼非洲有一個叫「解放神學」呢
[00:15:37.720 --> 00:15:39.000]  就是為什麼那些人受壓制
[00:15:39.000 --> 00:15:40.200]  要釋放他們
[00:15:40.200 --> 00:15:42.200]  因為上帝國在這裡
[00:15:42.200 --> 00:15:43.640]  當然上帝國有公義
[00:15:43.640 --> 00:15:46.120]  但是上帝國同時有慈愛
[00:15:46.120 --> 00:15:48.360]  所以今天我們憐憫的時宮
[00:15:48.360 --> 00:15:50.040]  我們宣教的時宮
[00:15:50.040 --> 00:15:51.800]  我們醫病趕鬼的時宮
[00:15:51.800 --> 00:15:52.600]  都要在這個世上
[00:15:52.600 --> 00:15:55.480]  因為上帝的慈愛留在當中
[00:15:55.480 --> 00:15:57.480]  我講這兩件事希望給大家知道
[00:15:57.480 --> 00:15:59.080]  當耶穌講第一句話
[00:15:59.080 --> 00:16:00.520]  是在講一個時段
[00:16:00.520 --> 00:16:02.040]  這個時段就是很近
[00:16:02.040 --> 00:16:04.120]  這個時段就是上帝在彰顯
[00:16:04.120 --> 00:16:05.320]  讓我明白
[00:16:05.320 --> 00:16:09.400]  最重要的我想配合的第三個情況
[00:16:09.400 --> 00:16:15.560]  就是「你們當悔改」
[00:16:15.560 --> 00:16:17.640]  悔改是什麼意思
[00:16:17.640 --> 00:16:19.640]  在Eugene Peterson那本書
[00:16:19.640 --> 00:16:22.680]  翻譯成「Change Your Life」
[00:16:22.680 --> 00:16:24.520]  就是改變你的生命
[00:16:24.520 --> 00:16:26.360]  以下改變的生命
[00:16:26.360 --> 00:16:27.880]  不是我們靠己力
[00:16:27.880 --> 00:16:29.640]  我以前不是很好
[00:16:29.640 --> 00:16:30.680]  現在想做好一點
[00:16:30.680 --> 00:16:31.800]  不是這麼簡單
[00:16:31.800 --> 00:16:34.200]  是靠著福音去改變的
[00:16:34.200 --> 00:16:36.120]  所有以下改變的福音
[00:16:36.120 --> 00:16:38.520]  改變都是靠著福音的大能改變
[00:16:38.520 --> 00:16:39.480]  不是靠己力
[00:16:39.480 --> 00:16:42.120]  否則基督的信仰就是靠行為得救
[00:16:42.120 --> 00:16:43.960]  明白嗎
[00:16:43.960 --> 00:16:46.040]  所以當耶穌講
[00:16:46.040 --> 00:16:47.480]  當然他那時候還沒死
[00:16:47.480 --> 00:16:49.160]  但他已經宣佈你們要悔改
[00:16:49.160 --> 00:16:50.840]  其實他承接著一件事
[00:16:50.840 --> 00:16:53.000]  耶穌講你們當悔改的時候
[00:16:53.000 --> 00:16:54.520]  或者你們當悔改
[00:16:54.520 --> 00:16:56.280]  是承接著做一件事
[00:16:56.280 --> 00:16:57.560]  就是因為昔日
[00:16:57.560 --> 00:17:01.400]  在馬可福音第一章14字的時候
[00:17:01.400 --> 00:17:03.480]  他說約翰下監以後
[00:17:03.480 --> 00:17:04.600]  耶穌出來講話
[00:17:04.600 --> 00:17:06.760]  約翰還沒下監的時候
[00:17:06.760 --> 00:17:08.120]  他是一個施浸約翰
[00:17:08.120 --> 00:17:09.400]  施浸約翰那時候
[00:17:09.400 --> 00:17:10.520]  他不知道什麼叫做福音
[00:17:10.520 --> 00:17:11.320]  什麼都不知道
[00:17:11.320 --> 00:17:13.400]  他只知道你們行事為人
[00:17:13.400 --> 00:17:14.520]  真的要正直
[00:17:14.520 --> 00:17:16.840]  所以每一個被約翰施浸的時候
[00:17:16.840 --> 00:17:18.520]  都是要他悔改的
[00:17:18.520 --> 00:17:21.320]  所以悔改完之後
[00:17:21.320 --> 00:17:23.080]  是啊是啊我悔改
[00:17:23.080 --> 00:17:24.280]  然後浸了又不知道
[00:17:24.280 --> 00:17:25.240]  嫖賭飲蕩吹
[00:17:25.240 --> 00:17:25.960]  然後回來
[00:17:25.960 --> 00:17:26.920]  約翰再浸多一次
[00:17:26.920 --> 00:17:27.880]  又浸又浸
[00:17:27.880 --> 00:17:32.200]  常常把悔改當作吃生菜
[00:17:32.200 --> 00:17:34.760]  當然耶穌在這裡
[00:17:34.760 --> 00:17:36.600]  當悔改的時候
[00:17:36.600 --> 00:17:40.200]  就比悔改強烈一點
[00:17:40.200 --> 00:17:43.000]  悔改和當悔改有什麼分別
[00:17:43.000 --> 00:17:46.200]  悔改和當悔改有什麼分別
[00:17:46.200 --> 00:17:49.240]  分別就大了
[00:17:49.240 --> 00:17:50.840]  一個是什麼
[00:17:50.840 --> 00:17:53.640]  有一個命令你做的
[00:17:53.640 --> 00:17:55.320]  一個是隨便的
[00:17:55.320 --> 00:17:59.080]  所以通常夫婦很多意外發生
[00:17:59.080 --> 00:18:00.360]  打架就是
[00:18:00.360 --> 00:18:02.120]  我叫你收衣服
[00:18:02.120 --> 00:18:03.880]  我叫你洗碗
[00:18:03.880 --> 00:18:05.240]  叫而已
[00:18:05.240 --> 00:18:08.840]  那大家就當水過鴨背就算了
[00:18:08.840 --> 00:18:11.320]  但是他很嚴重的
[00:18:11.320 --> 00:18:12.920]  很辯釋的說
[00:18:12.920 --> 00:18:14.840]  我叫你洗衣服
[00:18:14.840 --> 00:18:16.440]  我叫你倒垃圾
[00:18:16.440 --> 00:18:17.560]  為什麼你做不到
[00:18:17.560 --> 00:18:19.640]  你就會覺得對不起
[00:18:19.640 --> 00:18:20.760]  這個分別
[00:18:20.760 --> 00:18:23.160]  我想回來就是
[00:18:23.160 --> 00:18:27.320]  耶穌和你們當悔改
[00:18:27.320 --> 00:18:31.880]  這個字在舊約翰一聲嘆息
[00:18:31.880 --> 00:18:33.720]  他用詩篇不是日篇
[00:18:33.720 --> 00:18:37.160]  他說憂傷痛悔的心靈
[00:18:37.160 --> 00:18:39.240]  主必不慶安
