
[00:00:00.000 --> 00:00:08.000]  每年的復活節都是在春天的時候
[00:03:15.000 --> 00:03:23.000]  有什麼不同呢 就是死了又再復活的生命
[00:03:23.000 --> 00:03:31.000]  所以保羅在哥羅西書裏面 就這樣去描述這個不同的生命
[00:03:31.000 --> 00:03:38.000]  在二章二十節他就說 你們若是與基督同死
[00:03:38.000 --> 00:03:43.000]  你們如果真是與基督同死
[00:03:43.000 --> 00:03:46.000]  就是我們是一個死了的生命
[00:03:46.000 --> 00:03:54.000]  第三章第一節 你們若真的與基督一同復活
[00:03:54.000 --> 00:04:03.000]  好像這樣的描述 在保羅的書信裏面不斷地去重覆
[00:04:03.000 --> 00:04:07.000]  在哥羅西書我們剛剛所讀的第三章第三節
[00:04:07.000 --> 00:04:20.000]  他說 因為你們已經死了 你們的生命與基督一同藏在神裏面
[00:04:20.000 --> 00:04:29.000]  都很難明白 又說死又說生 到底是死了還是生了呢
[00:04:29.000 --> 00:04:35.000]  是一個死的生命還是一個生的生命呢
[00:04:35.000 --> 00:04:44.000]  大家有沒有弄清楚 身份不同是告訴我們 我們的確是死了
[00:04:44.000 --> 00:04:53.000]  是什麼死了 是以前的我的生命死了 舊我的生命死了
[00:04:53.000 --> 00:05:04.000]  而新的生命是會誕生 以前的我就已經死了
[00:05:04.000 --> 00:05:12.000]  那個自私的生命 那個會犯罪的生命是會死了
[00:05:12.000 --> 00:05:19.000]  已經與基督同死 而現在活著的這個生命
[00:05:19.000 --> 00:05:26.000]  是一個不同了的生命 令到我們的身份是轉變了
[00:05:26.000 --> 00:05:32.000]  我們是需要去意識到我們身份上的轉變
[00:05:32.000 --> 00:05:40.000]  我們是一個新做的人 就好像一個女子
[00:05:40.000 --> 00:05:49.000]  她嫁了之後 結了婚之後 身份都是轉變了 是不是
[00:05:49.000 --> 00:06:02.000]  以前叫做王小姐 現在叫做陳師奶 陳太太
[00:06:02.000 --> 00:06:10.000]  以前是不需要做家務的 但現在嫁了 身份轉變了
[00:06:10.000 --> 00:06:18.000]  又要買菜 又要煮飯 又要洗碗
[00:06:18.000 --> 00:06:28.000]  以前是自己賺錢買衣服的 現在是有人給錢你去買衣服
[00:06:28.000 --> 00:06:39.000]  是身份不同了 我們要知道我們身份是有轉變了
[00:06:39.000 --> 00:06:45.000]  如果我們還沒有回來教會之前 我們沒有聽過耶穌基督
[00:06:45.000 --> 00:06:50.000]  我們的生命 我們用我們自己小時候的思想去過我們的生活
[00:06:50.000 --> 00:06:56.000]  這個是一個舊的生命 如果我們回到教會
[00:06:56.000 --> 00:07:03.000]  信了耶穌 接受了洗禮的時候 這是一個新的生命
[00:07:03.000 --> 00:07:11.000]  是我們的身份是轉變了 我們是需要去適應這個身份的轉變
[00:07:11.000 --> 00:07:20.000]  不過起碼在頭腦上面 我們要知道我們的身份是變了 是不同了
[00:07:20.000 --> 00:07:24.000]  如果我們不意識到我們自己身份的轉變
[00:07:24.000 --> 00:07:31.000]  我們會為我們自己 為我們身邊的人帶來很多麻煩
[00:07:31.000 --> 00:07:37.000]  我在1994年去了美國波士頓 在一間神學院裏面讀書
[00:07:37.000 --> 00:07:48.000]  住了在一個已婚宿舍 住了在我們隔壁有一對台灣的夫婦
[00:07:48.000 --> 00:07:59.000]  我們開學之後第二個月 那個太太 那個台灣太太就生了個兒子
[00:07:59.000 --> 00:08:08.000]  沒有陪月的 沒有爸爸媽媽在身邊去照顧的
[00:08:08.000 --> 00:08:13.000]  所以她就什麼都自己來
[00:08:13.000 --> 00:08:19.000]  當這個家庭多了一個成員之後
[00:08:19.000 --> 00:08:26.000]  那個丈夫他沒有覺得自己已經做了爸爸
[00:08:26.000 --> 00:08:32.000]  他照舊每天八個小時在圖書館裏面溫書
[00:08:32.000 --> 00:08:41.000]  他照舊覺得太太是要買菜煮飯 他都沒有幫忙去洗碗
[00:08:41.000 --> 00:08:45.000]  他繼續過他自己學生的生活
[00:08:45.000 --> 00:08:49.000]  當他沒有意識到自己的身份轉變的時候
[00:08:49.000 --> 00:09:00.000]  就令到那個台灣的太太在產後有很大的抑鬱 很不開心
[00:09:00.000 --> 00:09:02.000]  我們怎樣知道呢
[00:09:02.000 --> 00:09:09.000]  因為有一次就是當他們的兒子經常哭
[00:09:09.000 --> 00:09:14.000]  兒子哭的時候 媽媽又在哭
[00:09:14.000 --> 00:09:20.000]  那個丈夫很煩 他說不如將兒子放在雪櫃裏面
[00:09:20.000 --> 00:09:26.000]  幫他冷靜一下 讓他不用哭
[00:09:26.000 --> 00:09:32.000]  所以我們就知道了他們這幾件事情
[00:09:32.000 --> 00:09:35.000]  做了爸爸 做了媽媽
[00:09:35.000 --> 00:09:39.000]  或者我們的身份是不同了的時候
[00:09:39.000 --> 00:09:43.000]  我們需要去意識我們自己的身份的轉變
[00:09:43.000 --> 00:09:51.000]  如果我們回到教會 信了耶穌 洗了禮
[00:09:51.000 --> 00:09:56.000]  我們就是一個浸禮的生命 有一個不同的生命
[00:09:56.000 --> 00:10:00.000]  我們首先要知道我們的身份是不同了
[00:10:00.000 --> 00:10:04.000]  我們站出來的時候 我們是一個基督徒
[00:10:04.000 --> 00:10:07.000]  甚至我們是一個已經洗了禮的基督徒
[00:10:07.000 --> 00:10:11.000]  這是我們的身份的不同
[00:10:11.000 --> 00:10:16.000]  第二方面 是想法不同
[00:10:16.000 --> 00:10:19.000]  因為我們的身份不同
[00:10:19.000 --> 00:10:25.000]  所以我們的想法都應該是不同的
[00:10:25.000 --> 00:10:29.000]  保羅在《哥羅西書》第三章第二節
[00:10:29.000 --> 00:10:32.000]  他就是這樣說的
[00:10:32.000 --> 00:10:42.000]  「既然你們若真與基督一同復活 就當求上面的事
[00:10:42.000 --> 00:10:44.000]  那裡有基督坐在神的右邊」
[00:10:44.000 --> 00:10:54.000]  第二節 「你們要思念上面的事 不要思念地上的事」
[00:10:54.000 --> 00:11:01.000]  如果我們回到教會 信了耶穌 接受了浸禮
[00:11:01.000 --> 00:11:10.000]  我們的想法應該是不同了
[00:11:10.000 --> 00:11:13.000]  如果有人傳福音給你聽
[00:11:13.000 --> 00:11:18.000]  說「你只要回到教會就可以了 一切都不需要改變的」
[00:11:18.000 --> 00:11:21.000]  這個不是福音
[00:11:21.000 --> 00:11:23.000]  「你的生活是沒有改變的」
[00:11:23.000 --> 00:11:28.000]  這個不是真正的福音 是會有改變的
[00:11:28.000 --> 00:11:35.000]  我們的想法都是不同了
[00:11:35.000 --> 00:11:40.000]  以前我們家裡要買些什麼
[00:11:40.000 --> 00:11:43.000]  以前我們家裡要做些什麼
[00:11:43.000 --> 00:11:46.000]  以前我們家裡怎樣過復活節
[00:11:46.000 --> 00:11:50.000]  什麼時候要去旅行等等
[00:11:50.000 --> 00:11:53.000]  我們可以自己去決定
[00:11:53.000 --> 00:11:57.000]  但是如果我們真的信了耶穌
[00:11:57.000 --> 00:12:02.000]  我們的生命是與耶穌連結了的話
[00:12:02.000 --> 00:12:05.000]  我們對於這個世界上所做的事
[00:12:05.000 --> 00:12:07.000]  這個世界的價值觀
[00:12:07.000 --> 00:12:11.000]  我們的想法應該是有點不同的
[00:12:11.000 --> 00:12:17.000]  不是完全一樣的
[00:12:17.000 --> 00:12:20.000]  在最近這幾個月
[00:12:20.000 --> 00:12:26.000]  大家都知道有很多的安積禮拜
[00:12:26.000 --> 00:12:30.000]  過去一個禮拜我總共去了四次殯儀館
[00:12:30.000 --> 00:12:34.000]  一次的墳場
[00:12:34.000 --> 00:12:37.000]  當中都有一些的家庭
[00:12:37.000 --> 00:12:39.000]  他們是未信主
[00:12:39.000 --> 00:12:44.000]  是採取道教或者佛教的儀式
[00:12:44.000 --> 00:12:48.000]  但是我們有一些已經信了主
[00:12:48.000 --> 00:12:50.000]  浸了禮的會友
[00:12:50.000 --> 00:12:53.000]  他們的衣著是不同的
[00:12:53.000 --> 00:12:58.000]  當其他的家人都在披靡大孝的時候
[00:12:58.000 --> 00:13:04.000]  基督徒是穿著一套黑色的衣服
[00:13:04.000 --> 00:13:07.000]  為什麼?因為我們的身份不同了
[00:13:07.000 --> 00:13:13.000]  我們的想法都是不同了
[00:13:13.000 --> 00:13:18.000]  哥林多後書第五章第十七節
[00:13:18.000 --> 00:13:20.000]  若有人在基督裡
[00:13:20.000 --> 00:13:23.000]  媽媽就是新造的人
[00:13:23.000 --> 00:13:27.000]  舊事已過都變成新的了
[00:13:27.000 --> 00:13:28.000]  如果我們在基督裡
[00:13:28.000 --> 00:13:30.000]  我們成為新造的人
[00:13:30.000 --> 00:13:35.000]  以弗所書第二章
[00:13:35.000 --> 00:13:39.000]  它說你們未曾上教會之前
[00:13:39.000 --> 00:13:41.000]  未曾認識耶穌的時候
[00:13:41.000 --> 00:13:44.000]  那時你們在其中行事為人
[00:13:44.000 --> 00:13:48.000]  是隨從今世的風俗
[00:13:48.000 --> 00:13:50.000]  是怎樣的呢?
[00:13:50.000 --> 00:13:55.000]  它說從前你是放縱肉體的私慾
[00:13:55.000 --> 00:14:00.000]  隨從肉體和心中所喜好的去行
[00:14:00.000 --> 00:14:04.000]  那是什麼?就是自我中心
[00:14:04.000 --> 00:14:07.000]  以前你是自我中心的
[00:14:07.000 --> 00:14:11.000]  但是信了主之後怎麼樣?
[00:14:11.000 --> 00:14:13.000]  洗了禮之後怎麼樣?
[00:14:13.000 --> 00:14:16.000]  以弗所書第四章第一節
[00:14:16.000 --> 00:14:20.000]  它說我為主被囚的勸你們
[00:14:20.000 --> 00:14:22.000]  既然夢召行事為人
[00:14:22.000 --> 00:14:27.000]  就當與夢召的因相稱
[00:14:27.000 --> 00:14:30.000]  既然是信了主
[00:14:30.000 --> 00:14:32.000]  既然是洗了禮
[00:14:32.000 --> 00:14:37.000]  我們的行事為人是應該不同的
[00:14:37.000 --> 00:14:42.000]  四章二十節
[00:14:42.000 --> 00:14:47.000]  特別這段經文是告訴我們
[00:14:47.000 --> 00:14:51.000]  我們應該怎樣不同的生活方式
[00:14:51.000 --> 00:14:54.000]  你們學了基督卻不是這樣
[00:14:54.000 --> 00:14:56.000]  如果你們聽過祂的道
[00:14:56.000 --> 00:14:57.000]  領了祂的教
[00:14:57.000 --> 00:14:58.000]  學了祂的真理
[00:14:58.000 --> 00:15:00.000]  就要怎樣?
[00:15:00.000 --> 00:15:05.000]  就要脫去你們從前行為上的舊人
[00:15:05.000 --> 00:15:06.000]  這個就是死
[00:15:06.000 --> 00:15:09.000]  脫去舊人就是死了
[00:15:09.000 --> 00:15:15.000]  這舊人是因私慾的迷惑漸漸變壞的
[00:15:15.000 --> 00:15:19.000]  又要將你們的心智改換一生
[00:15:19.000 --> 00:15:23.000]  並且穿上新人
[00:15:23.000 --> 00:15:27.000]  就是說舊的舊人脫去了
[00:15:27.000 --> 00:15:31.000]  就好像放在水裡浸死了一樣
[00:15:31.000 --> 00:15:32.000]  舊我死了
[00:15:32.000 --> 00:15:34.000]  但是我們要穿上這個新人
[00:15:34.000 --> 00:15:38.000]  就是一個復活的生命
[00:15:38.000 --> 00:15:40.000]  穿上新人
[00:15:40.000 --> 00:15:43.000]  這個新人是照著神的形象去做
[00:15:43.000 --> 00:15:50.000]  有真理的仁義和聖潔
[00:15:50.000 --> 00:15:54.000]  怎樣去令我們的想法會有改變呢?
[00:15:54.000 --> 00:15:58.000]  有不同的神學家就這樣去提醒我們
[00:15:58.000 --> 00:16:04.000]  用了一些很現代的方式
[00:16:04.000 --> 00:16:10.000]  這樣去問你每天看電視的時間多一點
[00:16:10.000 --> 00:16:17.000]  還是看聖經思想的時間多一點呢?
[00:16:17.000 --> 00:16:21.000]  如果我們花在電視的時間多一點
[00:16:21.000 --> 00:16:29.000]  我們就被電視的文化去影響我們的想法
[00:16:29.000 --> 00:16:36.000]  時間到了嗎?我結束了
[00:16:36.000 --> 00:16:42.000]  如果我們思想聖經的話語多一點
[00:16:42.000 --> 00:16:53.000]  我們的想法就不會被聖經的思想影響我們
[00:16:53.000 --> 00:16:58.000]  我們看報紙新聞的時間多一點
[00:16:58.000 --> 00:17:02.000]  還是思想聖經的話語多一點呢?
[00:17:02.000 --> 00:17:07.000]  我們在生活裡面有什麼行為
[00:17:07.000 --> 00:17:12.000]  可以令我們靠近聖經
[00:17:12.000 --> 00:17:16.000]  或者耶穌基督自己的想法
[00:17:16.000 --> 00:17:19.000]  如果我們做多一點的話
[00:17:19.000 --> 00:17:28.000]  我們的思想和行為是會趨近於神的心意多一點
[00:17:28.000 --> 00:17:32.000]  所以每一個基督徒
[00:17:32.000 --> 00:17:39.000]  我們不單是每一個星期要回來教會聚會
[00:17:39.000 --> 00:17:43.000]  每一個星期回來都起碼有一個小時兩個小時的時間
[00:17:43.000 --> 00:17:49.000]  如果你回到主日學我們有機會去思想聖經的話語
[00:17:49.000 --> 00:17:55.000]  但是從星期一到星期六在我們的生命裡面
[00:17:55.000 --> 00:18:01.000]  我們又給了什麼去操縱我們的思想呢?
[00:18:01.000 --> 00:18:06.000]  今年第四章二十三節
[00:18:06.000 --> 00:18:10.000]  一個我自己很喜歡的金句
[00:18:10.000 --> 00:18:13.000]  大家可能很熟悉的金句是這樣說的
[00:18:13.000 --> 00:18:18.000]  你要保守你的心勝過保守一切
[00:18:18.000 --> 00:18:23.000]  因為一生的果效是由心發出來
[00:18:23.000 --> 00:18:26.000]  保守你的心
[00:18:26.000 --> 00:18:30.000]  當代的聖經的心就說要保守你的心思
[00:18:30.000 --> 00:18:33.000]  保守就是說你要去守護著你自己的心思
[00:18:33.000 --> 00:18:39.000]  你真的謹慎你自己的心思勝過保守一切
[00:18:39.000 --> 00:18:43.000]  勝過保守一切就是說勝過保守你自己家裡所有的
[00:18:43.000 --> 00:18:49.000]  你擁有的財產和你身邊所有的關係
[00:18:49.000 --> 00:18:52.000]  你先守護著你自己的心思
[00:18:52.000 --> 00:18:56.000]  因為你一生的成敗是從這裡開始的
[00:18:56.000 --> 00:19:01.000]  從你的思想開始
[00:19:01.000 --> 00:19:04.000]  身份的轉變
[00:19:04.000 --> 00:19:07.000]  想法的轉變
[00:19:07.000 --> 00:19:09.000]  身份的不同
[00:19:09.000 --> 00:19:12.000]  想法的不同
[00:19:12.000 --> 00:19:17.000]  你知不知道你自己是哪一個?
[00:19:17.000 --> 00:19:20.000]  英國有一個皇帝
[00:19:20.000 --> 00:19:23.000]  做了很短時間
[00:19:23.000 --> 00:19:26.000]  愛德華八世
[00:19:26.000 --> 00:19:32.000]  他是二十世紀一個很爭議的英國國王
[00:19:32.000 --> 00:19:38.000]  後來他被追封成為溫莎公爵
[00:19:38.000 --> 00:19:42.000]  1972年他就離開這個世界
[00:19:42.000 --> 00:19:47.000]  在他死了之後有人去翻查他的文獻
[00:19:47.000 --> 00:19:51.000]  就發覺他有一些這樣的童年的往事
[00:19:51.000 --> 00:19:59.000]  他說我的爸爸是一個非常之嚴厲的父親
[00:19:59.000 --> 00:20:05.000]  因為這個溫莎公爵他是王儲
[00:20:05.000 --> 00:20:08.000]  他爸爸是英國的皇帝
[00:20:08.000 --> 00:20:13.000]  而他是繼承王位的王儲
[00:20:13.000 --> 00:20:19.000]  所以每一次當我做錯事的時候
[00:20:19.000 --> 00:20:22.000]  我爸爸就這樣跟我說
[00:20:22.000 --> 00:20:30.000]  兒子你要記住你是哪一個
[00:20:30.000 --> 00:20:35.000]  你要記住你是哪一個
[00:20:35.000 --> 00:20:42.000]  因為當爸爸叫我去記住我是哪一個的時候
[00:20:42.000 --> 00:20:45.000]  我知道我自己的身份的時候
[00:20:45.000 --> 00:20:53.000]  我的思想我的行為都會小心一點
[00:20:53.000 --> 00:20:55.000]  我盼望在座每一位
[00:20:55.000 --> 00:20:58.000]  如果你已經洗禮了
[00:20:58.000 --> 00:21:03.000]  希望你都可以記住你自己的身份
[00:21:03.000 --> 00:21:07.000]  教會的浸池很大
[00:21:07.000 --> 00:21:10.000]  起碼要六個小時才可以注滿這些水
[00:21:10.000 --> 00:21:15.000]  我們沒有辦法每一個星期天都注滿水
[00:21:15.000 --> 00:21:17.000]  去幫助你去提醒你
[00:21:17.000 --> 00:21:19.000]  你是已經浸了泥
[00:21:19.000 --> 00:21:22.000]  不過當你回來的時候
[00:21:22.000 --> 00:21:25.000]  這個透明的玻璃都可以去提醒我們
[00:21:25.000 --> 00:21:27.000]  那個浸池在我們前面
[00:21:27.000 --> 00:21:30.000]  我們是有浸泥的生命
