
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早晨
[00:04:49.000 --> 00:04:51.000]  能夠和睦共處
[00:04:51.000 --> 00:04:56.000]  為什麼我們不能夠繼續去稱謝?
[00:04:56.000 --> 00:04:59.000]  為什麼我們能夠繼續去慶祝?
[00:04:59.000 --> 00:05:02.000]  為什麼我們能夠繼續去讚美上帝?
[00:05:02.000 --> 00:05:07.000]  不是因為我們做得好
[00:05:07.000 --> 00:05:11.000]  不是因為我們環境好
[00:05:11.000 --> 00:05:16.000]  不是因為在我們當中的際遇好
[00:05:16.000 --> 00:05:18.000]  其實
[00:05:18.000 --> 00:05:20.000]  當我們有機會重溫《先知書》
[00:05:20.000 --> 00:05:22.000]  重溫《以塞俠書》的時候
[00:05:22.000 --> 00:05:24.000]  你會知道
[00:05:24.000 --> 00:05:29.000]  《先知書》其實說的一件事
[00:05:29.000 --> 00:05:30.000]  其實
[00:05:30.000 --> 00:05:32.000]  以色列人
[00:05:32.000 --> 00:05:34.000]  因為他們自己是軟弱
[00:05:34.000 --> 00:05:35.000]  以色列人
[00:05:35.000 --> 00:05:37.000]  因為外族的侵凌
[00:05:37.000 --> 00:05:39.000]  以色列人
[00:05:39.000 --> 00:05:42.000]  因為他們所遭遇的環境
[00:05:42.000 --> 00:05:46.000]  使他們無所適從
[00:05:46.000 --> 00:05:48.000]  無能為力
[00:05:48.000 --> 00:05:50.000]  但是
[00:05:50.000 --> 00:05:53.000]  就算他們是怎樣
[00:05:53.000 --> 00:05:59.000]  耶和華上帝仍然是他們的拯救
[00:05:59.000 --> 00:06:03.000]  耶和華上帝仍然是他們的幫助
[00:06:03.000 --> 00:06:08.000]  耶和華上帝仍然是他們盼望所在
[00:06:08.000 --> 00:06:10.000]  各位弟兄姊妹
[00:06:10.000 --> 00:06:11.000]  所以
[00:06:11.000 --> 00:06:14.000]  交正我們的焦點
[00:06:14.000 --> 00:06:16.000]  為什麼今天我們能夠慶祝?
[00:06:16.000 --> 00:06:18.000]  是因為
[00:06:18.000 --> 00:06:20.000]  上帝的恩惠與慈愛
[00:06:20.000 --> 00:06:24.000]  並沒有因為我們的種種而離開
[00:06:24.000 --> 00:06:26.000]  上帝的拯救
[00:06:26.000 --> 00:06:32.000]  並沒有因為我們的敵人的強大而離開
[00:06:32.000 --> 00:06:34.000]  一班選民
[00:06:34.000 --> 00:06:37.000]  一班屬於主的民
[00:06:37.000 --> 00:06:41.000]  我們怎樣能夠經歷歲月的洗禮
[00:06:41.000 --> 00:06:45.000]  我們怎樣能夠超越我們中間的爭執軟弱
[00:06:45.000 --> 00:06:51.000]  就是因為上帝尚與我們同在
[00:06:51.000 --> 00:06:54.000]  這就是以馬愛利的應許
[00:06:54.000 --> 00:06:58.000]  這就是以蔡亞書所說的
[00:06:58.000 --> 00:07:00.000]  無論你是在什麼環境
[00:07:00.000 --> 00:07:02.000]  無論你是在什麼光景
[00:07:02.000 --> 00:07:06.000]  上帝仍然是你的上帝
[00:07:06.000 --> 00:07:09.000]  上帝仍要作我們眾人的拯救
[00:07:09.000 --> 00:07:15.000]  所以才可以稱謝上帝
[00:07:15.000 --> 00:07:20.000]  是因為就算當時當刻環境沒有轉變
[00:07:20.000 --> 00:07:25.000]  但上帝是不會離開他們
[00:07:25.000 --> 00:07:27.000]  各位弟兄姊妹
[00:07:27.000 --> 00:07:32.000]  原來當我們真的要學習慶祝的時候
[00:07:32.000 --> 00:07:34.000]  我們真的要感謝我們上帝
[00:07:34.000 --> 00:07:37.000]  感謝就是我們慶祝的第一個功課
[00:07:37.000 --> 00:07:40.000]  感謝上帝對我們的不離不棄
[00:07:40.000 --> 00:07:44.000]  感謝上帝對我們無條件的接納
[00:07:44.000 --> 00:07:47.000]  感謝上帝時刻的擁抱
[00:07:47.000 --> 00:07:48.000]  拖帶我們
[00:07:48.000 --> 00:07:49.000]  我們的教會
[00:07:49.000 --> 00:07:53.000]  走我們人生的道路
[00:07:53.000 --> 00:07:55.000]  教會的道路
[00:07:55.000 --> 00:07:59.000]  所以當我們要慶祝的時候
[00:07:59.000 --> 00:08:02.000]  請先學習一個功課
[00:08:02.000 --> 00:08:08.000]  將我們的眼目回歸在上帝身上
[00:08:08.000 --> 00:08:11.000]  不要單單看我們現在的處境
[00:08:11.000 --> 00:08:12.000]  看我們教會的處境
[00:08:12.000 --> 00:08:14.000]  看我們的際遇
[00:08:14.000 --> 00:08:18.000]  不要單單看這一切
[00:08:18.000 --> 00:08:20.000]  一個屬於神的人
[00:08:20.000 --> 00:08:23.000]  一個屬於上帝的教會
[00:08:23.000 --> 00:08:27.000]  如果只顧著開會
[00:08:27.000 --> 00:08:29.000]  顧著各樣事工
[00:08:29.000 --> 00:08:32.000]  顧著各樣要做的事
[00:08:32.000 --> 00:08:35.000]  要處理的問題
[00:08:35.000 --> 00:08:37.000]  其實是很可憐的
[00:08:37.000 --> 00:08:41.000]  因為當我們能夠認識基督的時候
[00:08:41.000 --> 00:08:43.000]  耶穌基督的呼喚
[00:08:43.000 --> 00:08:46.000]  已經一不斷地來呼喚我們
[00:08:46.000 --> 00:08:49.000]  將我們各樣的勞苦重擔放下
[00:08:49.000 --> 00:08:50.000]  拿到祂面前
[00:08:50.000 --> 00:08:55.000]  祂就使我們得到真正的安息
[00:08:55.000 --> 00:08:57.000]  是耶穌基督的名
[00:08:57.000 --> 00:09:00.000]  令我們得到真正的救恩
[00:09:00.000 --> 00:09:02.000]  是上帝的恩手
[00:09:02.000 --> 00:09:06.000]  能夠拖擔我們經過死刃的憂骨
[00:09:06.000 --> 00:09:08.000]  也不怕遭害
[00:09:08.000 --> 00:09:11.000]  因為上帝常與我們同在
[00:09:11.000 --> 00:09:13.000]  所以各位弟兄姊妹
[00:09:13.000 --> 00:09:17.000]  要慶祝我們的堂慶
[00:09:17.000 --> 00:09:20.000]  首先學習去多謝
[00:09:20.000 --> 00:09:25.000]  多謝上帝
[00:09:25.000 --> 00:09:28.000]  我們會多謝人
[00:09:28.000 --> 00:09:31.000]  但我們真的要學習多謝上帝
[00:09:31.000 --> 00:09:33.000]  想想在我們教會
[00:09:33.000 --> 00:09:35.000]  在我們人生裏面
[00:09:35.000 --> 00:09:37.000]  經過多少的波折
[00:09:37.000 --> 00:09:41.000]  但今天我們能夠在這裏
[00:09:41.000 --> 00:09:44.000]  今天我們能夠享受各樣的事
[00:09:44.000 --> 00:09:47.000]  我們要學習去多謝上帝
[00:09:47.000 --> 00:09:49.000]  聖經的說法
[00:09:49.000 --> 00:09:53.000]  去稱謝上帝
[00:09:53.000 --> 00:09:56.000]  一個懂得去稱謝上帝
[00:09:56.000 --> 00:09:58.000]  一個懂得去多謝上帝的人
[00:09:58.000 --> 00:10:02.000]  他一定會學會另一個功課
[00:10:02.000 --> 00:10:03.000]  第四節
[00:10:03.000 --> 00:10:05.000]  在那一日你們要說
[00:10:05.000 --> 00:10:07.000]  當稱謝耶和華
[00:10:07.000 --> 00:10:10.000]  求告祂的命
[00:10:10.000 --> 00:10:13.000]  求告祂的命
[00:10:13.000 --> 00:10:15.000]  什麼來的?
[00:10:15.000 --> 00:10:19.000]  什麼叫求告?
[00:10:19.000 --> 00:10:23.000]  找他幫忙,找他求救
[00:10:23.000 --> 00:10:25.000]  你知道嗎?
[00:10:25.000 --> 00:10:27.000]  其實一個基督徒要學的功課
[00:10:27.000 --> 00:10:29.000]  另一個功課我覺得很重要
[00:10:29.000 --> 00:10:31.000]  就是什麼?
[00:10:31.000 --> 00:10:33.000]  你的上帝還沒死
[00:10:33.000 --> 00:10:35.000]  找上帝
[00:10:35.000 --> 00:10:38.000]  無論我們人生遇見種種的問題
[00:10:38.000 --> 00:10:40.000]  無論我們的處境如何
[00:10:40.000 --> 00:10:42.000]  無論當中有多少的爭執
[00:10:42.000 --> 00:10:44.000]  無論我們
[00:10:44.000 --> 00:10:47.000]  是在落在河底的光景裏面
[00:10:47.000 --> 00:10:50.000]  找上帝
[00:10:50.000 --> 00:10:52.000]  其實今天
[00:10:52.000 --> 00:10:55.000]  如果我們真的要慶祝這個堂慶的時候
[00:10:55.000 --> 00:10:58.000]  我覺得我們真的要立定一個志向
[00:10:58.000 --> 00:11:00.000]  這個志向是什麼?
[00:11:00.000 --> 00:11:03.000]  就是從今天開始
[00:11:03.000 --> 00:11:07.000]  將我們的心轉向上帝
[00:11:07.000 --> 00:11:09.000]  將我們的眼目
[00:11:09.000 --> 00:11:15.000]  仰望那位能夠為我們創始成中的主耶穌基督
[00:11:15.000 --> 00:11:17.000]  其實多少的問題
[00:11:17.000 --> 00:11:18.000]  多少的軟弱
[00:11:18.000 --> 00:11:19.000]  多少的失落
[00:11:19.000 --> 00:11:23.000]  是因為我們看遍全世界的幫助
[00:11:23.000 --> 00:11:26.000]  但是看不到上帝
[00:11:26.000 --> 00:11:29.000]  作為一個相信上帝的人
[00:11:29.000 --> 00:11:35.000]  作為一間以上帝為我們主的教會
[00:11:35.000 --> 00:11:41.000]  我們是否要先尋求上帝的面?
[00:11:41.000 --> 00:11:46.000]  我們是否決定上帝的面
[00:11:46.000 --> 00:11:50.000]  正是我們要尋求的呢?
[00:11:50.000 --> 00:11:52.000]  有時候
[00:11:52.000 --> 00:11:54.000]  教會經歷多少的爭執
[00:11:54.000 --> 00:11:56.000]  多少的風浪
[00:11:56.000 --> 00:11:59.000]  就是因為我們見到人
[00:11:59.000 --> 00:12:00.000]  見到事
[00:12:00.000 --> 00:12:03.000]  見不到上帝
[00:12:03.000 --> 00:12:05.000]  所以改定之後
[00:12:05.000 --> 00:12:06.000]  你要慶祝嗎?
[00:12:06.000 --> 00:12:07.000]  立定志向
[00:12:07.000 --> 00:12:08.000]  你的慶祝是什麼?
[00:12:08.000 --> 00:12:11.000]  回到上帝那裏求告祂
[00:12:11.000 --> 00:12:14.000]  求告祂
[00:12:14.000 --> 00:12:18.000]  一個慶祝的第三個方法
[00:12:18.000 --> 00:12:21.000]  也是在第四節
[00:12:21.000 --> 00:12:22.000]  宣告
[00:12:22.000 --> 00:12:24.000]  宣告祂的名義
[00:12:24.000 --> 00:12:25.000]  以備尊崇
[00:12:25.000 --> 00:12:27.000]  告訴別人
[00:12:27.000 --> 00:12:30.000]  昨晚你們報道會就是要告訴很多人
[00:12:30.000 --> 00:12:31.000]  上帝怎樣愛我們
[00:12:31.000 --> 00:12:35.000]  上帝怎樣對我們每一個人公公平平
[00:12:35.000 --> 00:12:36.000]  上帝祝福我們
[00:12:36.000 --> 00:12:37.000]  不會有篩選
[00:12:37.000 --> 00:12:40.000]  不會有哪些人要特別接受祝福
[00:12:40.000 --> 00:12:42.000]  有哪些人應該不用祝福
[00:12:42.000 --> 00:12:43.000]  沒有的
[00:12:43.000 --> 00:12:44.000]  明白嗎?
[00:12:44.000 --> 00:12:46.000]  事實上我們要宣告
[00:12:46.000 --> 00:12:48.000]  將上帝在我們身上的工作
[00:12:48.000 --> 00:12:50.000]  將上帝在我們教會裏的工作
[00:12:50.000 --> 00:12:53.000]  去告訴別人
[00:12:53.000 --> 00:12:55.000]  這個宣告
[00:12:55.000 --> 00:12:57.000]  是很重要的
[00:12:57.000 --> 00:12:59.000]  聖經說什麼?
[00:12:59.000 --> 00:13:02.000]  在萬民中傳揚祂的作為
[00:13:02.000 --> 00:13:05.000]  願上帝在我們當中所做的事
[00:13:05.000 --> 00:13:08.000]  遍傳全地
[00:13:08.000 --> 00:13:10.000]  全世界都要聽到
[00:13:10.000 --> 00:13:13.000]  上帝在我們生命裏
[00:13:13.000 --> 00:13:15.000]  在我們教會裏的工作
[00:13:15.000 --> 00:13:16.000]  各位弟兄姊妹
[00:13:16.000 --> 00:13:18.000]  有沒有想過
[00:13:18.000 --> 00:13:22.000]  原來上帝讓你承受各樣的恩典
[00:13:22.000 --> 00:13:24.000]  原來上帝與你同在
[00:13:24.000 --> 00:13:26.000]  幫助你人生走過一段段的路
[00:13:26.000 --> 00:13:30.000]  原來上帝在這間教會裏各樣的工作
[00:13:30.000 --> 00:13:32.000]  目的是有一個
[00:13:32.000 --> 00:13:36.000]  是要讓萬民都知道
[00:13:36.000 --> 00:13:39.000]  上帝仍在人間
[00:13:39.000 --> 00:13:42.000]  上帝的名
[00:13:42.000 --> 00:13:45.000]  是要讓普世的人都能夠知道
[00:13:45.000 --> 00:13:49.000]  上帝在子民當中的作為
[00:13:49.000 --> 00:13:53.000]  是要讓普世的人都能夠認同
[00:13:53.000 --> 00:13:56.000]  當上帝的名被高舉的時候
[00:13:56.000 --> 00:13:59.000]  我們都很盼望有這樣的一天
[00:13:59.000 --> 00:14:06.000]  萬民就被吸引留歸這裏
[00:14:06.000 --> 00:14:12.000]  要宣告上帝的名
[00:14:12.000 --> 00:14:14.000]  要將上帝在我們生命裏的作為
[00:14:14.000 --> 00:14:17.000]  告訴別人
[00:14:17.000 --> 00:14:20.000]  有時候都需要有些突破
[00:14:20.000 --> 00:14:24.000]  有時候都需要擺上
[00:14:24.000 --> 00:14:27.000]  你知不知道今天很多的教會
[00:14:27.000 --> 00:14:30.000]  甚至乎我以前
[00:14:30.000 --> 00:14:33.000]  有幾年我在宣教工場
[00:14:33.000 --> 00:14:37.000]  我回來香港超過十年
[00:14:37.000 --> 00:14:40.000]  我能夠很誠實地跟大家說一件事
[00:14:40.000 --> 00:14:42.000]  我對於香港的教會
[00:14:42.000 --> 00:14:46.000]  我仍然覺得不太滿意
[00:14:46.000 --> 00:14:48.000]  為甚麼呢
[00:14:48.000 --> 00:14:52.000]  因為我們香港的教會其實在享受很多東西
[00:14:52.000 --> 00:14:53.000]  我們有童工
[00:14:53.000 --> 00:14:55.000]  我們有很好的地方
[00:14:55.000 --> 00:14:56.000]  我們有很多的資源
[00:14:56.000 --> 00:14:57.000]  我們有很多的機會
[00:14:57.000 --> 00:15:00.000]  但我們香港教會整體的成長
[00:15:00.000 --> 00:15:03.000]  都好像依然固和
[00:15:03.000 --> 00:15:09.000]  對比我曾經去過的地方
[00:15:09.000 --> 00:15:10.000]  其實
[00:15:10.000 --> 00:15:18.000]  我有時候真的覺得上帝對我們有點偏心
[00:15:18.000 --> 00:15:19.000]  明年一月
[00:15:19.000 --> 00:15:22.000]  我會跟區會的弟兄姊妹
[00:15:22.000 --> 00:15:25.000]  一起去泰國東北那裏有個短宣
[00:15:25.000 --> 00:15:27.000]  我們去的地方
[00:15:27.000 --> 00:15:30.000]  是泰國的一個省
[00:15:30.000 --> 00:15:32.000]  是東北的一個省
[00:15:32.000 --> 00:15:34.000]  七十多個省裏面
[00:15:34.000 --> 00:15:38.000]  這個省大概有十五個香港這麼大
[00:15:38.000 --> 00:15:39.000]  有印象嗎
[00:15:39.000 --> 00:15:41.000]  十五個香港這麼大
[00:15:41.000 --> 00:15:48.000]  裏面大概有二百多萬人
[00:15:48.000 --> 00:15:49.000]  在那裏
[00:15:49.000 --> 00:15:51.000]  這個省有一樣東西出名的
[00:15:51.000 --> 00:15:52.000]  就是泰國七十多個省裏面
[00:15:52.000 --> 00:15:56.000]  最多佛廟的地方
[00:15:56.000 --> 00:16:05.000]  在那裏有多少間教會呢
[00:16:05.000 --> 00:16:07.000]  心裏面給我一個數吧
[00:16:07.000 --> 00:16:08.000]  不用你講
[00:16:08.000 --> 00:16:11.000]  二十至二十五間
[00:16:11.000 --> 00:16:13.000]  二十五間都足夠
[00:16:13.000 --> 00:16:16.000]  但每間平均有多少人呢
[00:16:16.000 --> 00:16:19.000]  四十人
[00:16:19.000 --> 00:16:24.000]  二十五間教會有多少個牧師呢
[00:16:24.000 --> 00:16:26.000]  四個
[00:16:26.000 --> 00:16:30.000]  有多少位宣教師呢
[00:16:30.000 --> 00:16:36.000]  大概十多位
[00:16:36.000 --> 00:16:43.000]  你覺得上帝是否特別恩待我們香港的教會
[00:16:43.000 --> 00:16:45.000]  你覺得我們正在享受的東西
[00:16:45.000 --> 00:16:47.000]  是否要繼續給我們講一句
[00:16:47.000 --> 00:16:49.000]  我們在這個山上真好
[00:16:49.000 --> 00:16:55.000]  你們在山下繼續死吧
[00:16:55.000 --> 00:16:56.000]  各位弟兄姊妹
[00:16:56.000 --> 00:16:59.000]  真正的感恩
[00:16:59.000 --> 00:17:01.000]  是要讓我們學習
[00:17:01.000 --> 00:17:03.000]  將我們所領受的恩情
[00:17:03.000 --> 00:17:06.000]  去跟別人分享的
[00:17:06.000 --> 00:17:10.000]  而不是來一招代代平安
[00:17:10.000 --> 00:17:14.000]  我們就過我們這一世
[00:17:14.000 --> 00:17:16.000]  當我們慶祝我們五十三年的時候
[00:17:16.000 --> 00:17:19.000]  我們有沒有想過第五十四年
[00:17:19.000 --> 00:17:23.000]  我們要為上帝的國度
[00:17:23.000 --> 00:17:26.000]  要多走幾步
[00:17:26.000 --> 00:17:28.000]  我們這個人
[00:17:28.000 --> 00:17:31.000]  要為上帝的福音
[00:17:31.000 --> 00:17:36.000]  多走幾步
[00:17:36.000 --> 00:17:41.000]  當我們真的願意感謝上帝的時候
[00:17:41.000 --> 00:17:43.000]  不要只用口說
[00:17:43.000 --> 00:17:45.000]  我們要立定心智
[00:17:45.000 --> 00:17:48.000]  我們要尋求上帝的面
[00:17:48.000 --> 00:17:50.000]  我們都要用行動
[00:17:50.000 --> 00:17:51.000]  講給別人聽
[00:17:51.000 --> 00:17:53.000]  上帝對我們怎樣好
[00:17:53.000 --> 00:17:56.000]  這個就是真正的慶祝
[00:17:56.000 --> 00:18:02.000]  這個就是真正合乎上帝心意的慶祝方法
[00:18:02.000 --> 00:18:04.000]  在這一天
[00:18:04.000 --> 00:18:06.000]  讓我們慶祝
[00:18:06.000 --> 00:18:15.000]  讓我們立定我們志向轉眼仰望上帝
[00:18:15.000 --> 00:18:18.000]  也都願意跟隨上帝的呼喚
[00:18:18.000 --> 00:18:20.000]  叫萬民
[00:18:20.000 --> 00:18:22.000]  叫全地
[00:18:22.000 --> 00:18:26.000]  都能夠認識到上帝的名
[00:18:26.000 --> 00:18:31.000]  上帝的工作何等偉大
[00:18:31.000 --> 00:18:36.000]  不知道這個是不是你的立志
[00:18:36.000 --> 00:18:38.000]  是不是教會的立志
[00:18:38.000 --> 00:18:41.000]  但聖經是這樣教導
[00:18:41.000 --> 00:18:43.000]  盼望大家聽從
[00:18:43.000 --> 00:18:45.000]  阿門
