
[00:00:00.000 --> 00:00:03.600]  各位好 新年快樂 跟大家拜個年
[00:02:01.280 --> 00:02:03.080]  那些是 narrative telling(故事講述)
[00:02:03.080 --> 00:02:04.280]  就是 storytelling(故事講述)
[00:02:04.280 --> 00:02:06.080]  所以是不可以的
[00:02:06.080 --> 00:02:09.480]  那就是沒多久之前
[00:02:09.480 --> 00:02:13.280]  就開始了這個《選擇》的 TV series(電視劇)
[00:02:13.280 --> 00:02:16.680]  我本身也沒什麼興趣 因為我沒什麼時間
[00:02:16.680 --> 00:02:18.680]  但是我的女兒就很有興趣
[00:02:18.680 --> 00:02:21.480]  她就經常看 經常看
[00:02:21.480 --> 00:02:23.880]  她就經常鼓勵我
[00:02:23.880 --> 00:02:26.080]  你一定要看 你一定要看 你一定要看
[00:02:26.080 --> 00:02:28.080]  我沒什麼時間 我又沒什麼興趣
[00:02:28.080 --> 00:02:29.480]  所以我就推了她好幾次
[00:02:29.480 --> 00:02:34.280]  結果最近 她就成功地說服了我
[00:02:34.280 --> 00:02:36.080]  我就說 好啦 我跟你一起看
[00:02:36.080 --> 00:02:38.480]  她又想翻看
[00:02:38.480 --> 00:02:40.280]  她說 居然可以翻看
[00:02:40.280 --> 00:02:42.680]  以前看過耶穌《選擇》會翻看嗎?
[00:02:42.680 --> 00:02:45.480]  不會的 以前我們看
[00:02:45.480 --> 00:02:47.680]  沒得說兩倍的 是吧?
[00:02:47.680 --> 00:02:50.680]  快點啦 耶穌走快點 講話講得快點
[00:02:50.680 --> 00:02:52.080]  沒有這招了 是吧?
[00:02:52.080 --> 00:02:53.680]  她說 居然翻看
[00:02:53.680 --> 00:02:57.280]  這麼好看嗎? 讓她翻看 是吧?
[00:02:57.280 --> 00:03:03.280]  結果我就應酬一下她
[00:03:03.280 --> 00:03:05.080]  我就看了一下
[00:03:05.080 --> 00:03:07.080]  結果我看了一點點
[00:03:07.080 --> 00:03:09.080]  我覺得拍得很好
[00:03:09.080 --> 00:03:10.680]  我拍得很好
[00:03:10.680 --> 00:03:13.480]  我所著眼的地方是什麼呢?
[00:03:13.480 --> 00:03:16.480]  就是那個外景
[00:03:16.480 --> 00:03:18.680]  她一定不會在以色列拍
[00:03:18.680 --> 00:03:20.680]  因為那個耗資很龐大
[00:03:20.680 --> 00:03:22.280]  以色列搞成這樣 是吧?
[00:03:22.280 --> 00:03:24.880]  又不是很安全 是吧?
[00:03:24.880 --> 00:03:26.280]  那我看那些外景
[00:03:26.280 --> 00:03:28.680]  外景都挺像的
[00:03:28.680 --> 00:03:29.880]  就是加利利胡
[00:03:29.880 --> 00:03:31.680]  雖然他有些地方在德州
[00:03:31.680 --> 00:03:34.080]  或者在不同的地方拿外景
[00:03:34.080 --> 00:03:35.280]  不過回頭看的時候
[00:03:35.280 --> 00:03:40.880]  這個場景都挺嚴肅
[00:03:40.880 --> 00:03:43.480]  還有那裡的
[00:03:43.480 --> 00:03:47.280]  TV Series裡面有的故事
[00:03:47.280 --> 00:03:49.480]  我覺得穿插得不錯
[00:03:49.480 --> 00:03:51.480]  剛剛前兩天
[00:03:51.480 --> 00:03:53.280]  我看完Season 1
[00:03:53.280 --> 00:03:54.280]  有八集
[00:03:54.280 --> 00:03:54.880]  Season 1
[00:03:54.880 --> 00:03:59.080]  現在已經是Season 4
[00:03:59.080 --> 00:04:01.280]  所以第一季我已經看完了
[00:04:01.280 --> 00:04:03.480]  我覺得真的不錯
[00:04:03.480 --> 00:04:05.880]  我相信在教會
[00:04:05.880 --> 00:04:11.480]  我們很多時候都有不同的朋友來
[00:04:11.480 --> 00:04:14.680]  有一些可能是比較初初去接觸
[00:04:14.680 --> 00:04:16.280]  聖經接觸信仰
[00:04:16.280 --> 00:04:18.080]  聽到耶穌這個名字
[00:04:18.080 --> 00:04:20.280]  有一些是好像我們這些
[00:04:20.280 --> 00:04:22.080]  信了幾十年
[00:04:22.080 --> 00:04:26.480]  我們對聖經好像很熟悉
[00:04:26.480 --> 00:04:27.280]  是吧?
[00:04:27.280 --> 00:04:28.480]  對教會好像很熟悉
[00:04:28.480 --> 00:04:31.680]  對耶穌的生平或者記載
[00:04:31.680 --> 00:04:36.080]  我們都好像比較熟悉一些
[00:04:36.080 --> 00:04:37.680]  我們有不同的人
[00:04:37.680 --> 00:04:39.080]  Different walks of life
[00:04:39.080 --> 00:04:42.480]  但我相信我們如果去看回
[00:04:42.480 --> 00:04:43.880]  耶穌的故事的時候
[00:04:43.880 --> 00:04:48.080]  每一個人都是有好處的
[00:04:48.080 --> 00:04:50.680]  即使你剛剛去認識
[00:04:50.680 --> 00:04:53.280]  或者你認識了很多很多年
[00:04:53.280 --> 00:04:55.480]  所以在這個講道的系列裡面
[00:04:55.480 --> 00:04:58.080]  我就是想按照
[00:04:58.080 --> 00:05:00.480]  找幾集Chosen
[00:05:00.480 --> 00:05:02.080]  你們都可以講一講
[00:05:02.080 --> 00:05:03.480]  當然了
[00:05:03.480 --> 00:05:05.880]  這個Chosen的TV Series
[00:05:05.880 --> 00:05:07.880]  就是它開頭講的時候
[00:05:07.880 --> 00:05:10.480]  就是按照一個True story
[00:05:10.480 --> 00:05:12.280]  當然這個True story就是耶穌的
[00:05:12.280 --> 00:05:13.680]  生平耶穌的故事
[00:05:13.680 --> 00:05:15.480]  四福音裡面所講的
[00:05:15.480 --> 00:05:18.680]  但是為了增添真實性等等
[00:05:18.680 --> 00:05:21.480]  所以就加了一些
[00:05:21.480 --> 00:05:23.480]  境外的內容或者
[00:05:23.480 --> 00:05:25.680]  一些所謂Poetic license
[00:05:25.680 --> 00:05:29.280]  加了一些藝術的想像在裡面
[00:05:29.280 --> 00:05:30.480]  但是最重要的
[00:05:30.480 --> 00:05:32.280]  我們回到福音書裡面
[00:05:32.280 --> 00:05:33.880]  怎樣去介紹
[00:05:33.880 --> 00:05:36.480]  怎樣講耶穌的故事
[00:05:36.480 --> 00:05:37.680]  我相信這個系列
[00:05:37.680 --> 00:05:39.280]  大家回去
[00:05:39.280 --> 00:05:40.280]  儘管回去看看
[00:05:40.280 --> 00:05:41.080]  OK
[00:05:41.080 --> 00:05:42.280]  儘管回去看看
[00:05:42.280 --> 00:05:43.680]  在網上是免費可以看的
[00:05:43.680 --> 00:05:45.280]  而且是有字幕的
[00:05:45.280 --> 00:05:46.280]  有人告訴我
[00:05:46.280 --> 00:05:50.880]  甚至是有普通話的配音
[00:05:50.880 --> 00:05:55.680]  我不知道耶穌講普通話是怎樣
[00:05:55.680 --> 00:05:56.480]  很搞笑的
[00:05:56.480 --> 00:05:59.280]  如果耶穌講普通話
[00:05:59.280 --> 00:06:02.480]  不過你Chosen耶穌是講英文的
[00:06:02.480 --> 00:06:04.680]  本身是講亞文的
[00:06:04.680 --> 00:06:05.680]  無論如何
[00:06:05.680 --> 00:06:06.880]  儘管回去看一下
[00:06:06.880 --> 00:06:07.880]  我鼓勵你回去看一下
[00:06:07.880 --> 00:06:10.280]  你可以從Episode 1開始看
[00:06:10.280 --> 00:06:12.680]  但是看的時候想一下
[00:06:12.680 --> 00:06:14.880]  聖經裡面怎樣講
[00:06:14.880 --> 00:06:16.280]  看的時候想一下
[00:06:16.280 --> 00:06:17.280]  福音書裡面怎樣講
[00:06:17.280 --> 00:06:20.680]  以及我們信仰的生命是怎樣
[00:06:20.680 --> 00:06:23.880]  連結在一起
[00:06:23.880 --> 00:06:25.880]  那麼每一集
[00:06:25.880 --> 00:06:27.280]  大家要知道
[00:06:27.280 --> 00:06:30.880]  每一集都有耶穌出現
[00:06:30.880 --> 00:06:33.480]  他不會藏起來
[00:06:33.480 --> 00:06:36.480]  我知道香港的朋友最近很失望
[00:06:36.480 --> 00:06:38.680]  看《求王》、《美斯》
[00:06:38.680 --> 00:06:42.280]  誰知道陪他一起看球賽
[00:06:42.280 --> 00:06:43.880]  但是Chosen不會的
[00:06:43.880 --> 00:06:45.280]  Chosen是每一集都有的
[00:06:45.280 --> 00:06:47.280]  每一集都有耶穌出現一點點
[00:06:47.280 --> 00:06:48.680]  起碼一點點
[00:06:48.680 --> 00:06:50.280]  所以一定不會缺席
[00:06:50.280 --> 00:06:52.280]  你不會和耶穌一起看電影
[00:06:52.280 --> 00:06:55.080]  那麼我就想從Episode 1開始講
[00:06:55.080 --> 00:06:56.680]  但是我想講一講
[00:06:56.680 --> 00:07:00.280]  耶穌確實是一個歷史的人物
[00:07:00.280 --> 00:07:02.880]  除了聖經裡面有記載之外
[00:07:02.880 --> 00:07:05.280]  聖經以外的一些文件
[00:07:05.280 --> 00:07:08.880]  比如說羅馬人的一些文件
[00:07:08.880 --> 00:07:10.080]  或者猶太人的一些文件
[00:07:10.080 --> 00:07:12.680]  都有提過耶穌這個名字
[00:07:12.680 --> 00:07:14.680]  或者耶穌這個歷史的人物
[00:07:14.680 --> 00:07:17.080]  他確實是一個以色列巴斯坦地
[00:07:17.080 --> 00:07:20.480]  第一世紀出現過的一個人
[00:07:20.480 --> 00:07:21.680]  在耶穌的時代
[00:07:21.680 --> 00:07:22.880]  當時的猶太人
[00:07:22.880 --> 00:07:29.880]  是被羅馬帝國軍事佔領的
[00:07:29.880 --> 00:07:33.280]  所以那些猶太人都是活得很苦
[00:07:33.280 --> 00:07:35.880]  稅項非常之重
[00:07:35.880 --> 00:07:37.880]  我們美國快要交稅了
[00:07:37.880 --> 00:07:39.880]  你覺得交稅交很多
[00:07:39.880 --> 00:07:43.280]  那時候他們更多
[00:07:43.280 --> 00:07:44.480]  如果你是漁夫
[00:07:44.480 --> 00:07:46.680]  或者你是農民的話
[00:07:46.680 --> 00:07:49.280]  你交稅是非常非常之多
[00:07:49.280 --> 00:07:51.080]  是非常之heavy
[00:07:51.080 --> 00:07:53.080]  就是因為這樣的背景裡面
[00:07:53.080 --> 00:07:54.880]  耶穌是出現的
[00:07:54.880 --> 00:07:56.080]  《救約》裡面
[00:07:56.080 --> 00:07:57.280]  聖一提到
[00:07:57.280 --> 00:08:00.080]  猶太人的聖經聖一提到
[00:08:00.080 --> 00:08:02.880]  就是上帝一定會來到
[00:08:02.880 --> 00:08:04.880]  重建他自己的國度
[00:08:04.880 --> 00:08:07.880]  就是說上帝的子民能夠復興起來
[00:08:07.880 --> 00:08:10.480]  能夠有自由
[00:08:10.480 --> 00:08:13.080]  你知道每年一次
[00:08:13.080 --> 00:08:15.680]  他們一起有團年飯的時候
[00:08:15.680 --> 00:08:17.880]  我們華人就會
[00:08:17.880 --> 00:08:20.080]  初一十五、正月的時候
[00:08:20.080 --> 00:08:22.280]  有團年飯
[00:08:22.280 --> 00:08:26.080]  但是猶太人的團年飯就是
[00:08:26.080 --> 00:08:28.680]  吃什麼?什麼時候吃?
[00:08:28.680 --> 00:08:30.080]  御御節是吧?
[00:08:30.080 --> 00:08:33.080]  御節就是他們每年一次的團年飯
[00:08:33.080 --> 00:08:35.280]  那個團年飯是做什麼的?
[00:08:35.280 --> 00:08:37.080]  他們會說故事
[00:08:37.080 --> 00:08:38.680]  說什麼故事?
[00:08:38.680 --> 00:08:41.680]  出埃及
[00:08:41.680 --> 00:08:45.080]  就是摩西會帶領我們
[00:08:45.080 --> 00:08:48.280]  離開埃及慰勞之地
[00:08:48.280 --> 00:08:49.280]  然後呢
[00:08:49.280 --> 00:08:51.880]  上帝會大能的降臨
[00:08:51.880 --> 00:08:56.280]  然後會打敗那個欺負我們那個
[00:08:56.280 --> 00:08:57.880]  那個oppressor
[00:08:57.880 --> 00:09:00.080]  然後把他們free up
[00:09:00.080 --> 00:09:02.680]  讓他們能夠真真正正成為神的子民
[00:09:02.680 --> 00:09:04.480]  每年一次
[00:09:04.480 --> 00:09:06.280]  每年一次pass over的時候
[00:09:06.280 --> 00:09:08.480]  吃團年飯的時候
[00:09:08.480 --> 00:09:10.880]  他們就會去說這個故事
[00:09:10.880 --> 00:09:13.480]  就是出埃及記的故事
[00:09:13.480 --> 00:09:15.680]  所以在羅馬帝國的時候
[00:09:15.680 --> 00:09:16.480]  第一世紀的時候
[00:09:16.480 --> 00:09:19.280]  猶太人都是照樣這樣做
[00:09:19.280 --> 00:09:20.880]  猶太人都是意想到
[00:09:20.880 --> 00:09:23.480]  以前上帝給我們的認許
[00:09:23.480 --> 00:09:25.280]  上帝給我們的承諾
[00:09:25.280 --> 00:09:27.280]  是一定會兌現的
[00:09:27.280 --> 00:09:29.280]  他們的盼望就在上帝那裡
[00:09:29.280 --> 00:09:30.880]  所以上帝一定會有救主
[00:09:30.880 --> 00:09:32.080]  派到我們中間
[00:09:32.080 --> 00:09:35.880]  然後重整這個已經
[00:09:35.880 --> 00:09:40.080]  失去了很久的一個國度
[00:09:40.080 --> 00:09:41.480]  所以因為這樣的緣故
[00:09:41.480 --> 00:09:45.280]  在這個背景底下
[00:09:45.280 --> 00:09:46.680]  耶穌出現
[00:09:46.680 --> 00:09:48.480]  所以你要記住這個背景
[00:09:48.480 --> 00:09:50.280]  當你看耶穌的故事的時候
[00:09:50.280 --> 00:09:51.080]  你就明白
[00:09:51.080 --> 00:09:53.080]  到底當時的人在掙扎什麼
[00:09:53.080 --> 00:09:54.280]  我們首先呢
[00:09:54.280 --> 00:09:57.480]  從第一集開始
[00:09:57.480 --> 00:09:59.080]  第一集說些什麼呢
[00:09:59.080 --> 00:10:00.080]  我想問你
[00:10:00.080 --> 00:10:02.480]  當我講到第一集裡面的情節的時候
[00:10:02.480 --> 00:10:04.680]  有些什麼在聖經裡面有提過
[00:10:04.680 --> 00:10:07.880]  有些什麼是製片商
[00:10:07.880 --> 00:10:09.480]  或者作者
[00:10:09.480 --> 00:10:10.480]  電影的作者
[00:10:10.480 --> 00:10:12.880]  他加了上去一些想像
[00:10:12.880 --> 00:10:14.280]  第一集說些什麼呢
[00:10:14.280 --> 00:10:16.880]  就大概主前二年的時候
[00:10:16.880 --> 00:10:18.280]  就有一位少女
[00:10:18.280 --> 00:10:21.080]  叫做末大拉瑪利亞
[00:10:21.080 --> 00:10:22.080]  末大拉瑪利亞
[00:10:22.080 --> 00:10:24.880]  當她小時候
[00:10:24.880 --> 00:10:28.280]  她整天晚上就會醒來
[00:10:28.280 --> 00:10:29.680]  她會很害怕
[00:10:29.680 --> 00:10:30.880]  為什麼這麼害怕呢
[00:10:30.880 --> 00:10:33.880]  因為怕不知道有些什麼騷擾她等等
[00:10:33.880 --> 00:10:36.680]  她爸爸就整天去提醒她
[00:10:36.680 --> 00:10:38.880]  一句的經文
[00:10:38.880 --> 00:10:41.080]  《以錯亞書》四十三章
[00:10:41.080 --> 00:10:43.280]  就告訴她四十三章裡面說些什麼
[00:10:43.280 --> 00:10:46.280]  以致她不會懼怕
[00:10:46.280 --> 00:10:48.680]  這樣開始之後
[00:10:48.680 --> 00:10:51.480]  轉眼間跳到很多年之後
[00:10:51.480 --> 00:10:54.880]  就是二十八年之後
[00:10:54.880 --> 00:10:58.480]  就是末大拉瑪利亞已經長大了
[00:10:58.480 --> 00:11:01.680]  這個末大拉瑪利亞在群眾的眼中
[00:11:01.680 --> 00:11:03.080]  其他人怎麼看她
[00:11:03.080 --> 00:11:04.280]  或者叫她什麼名字呢
[00:11:04.280 --> 00:11:06.080]  就不是叫她Mary
[00:11:06.080 --> 00:11:08.680]  是叫她做Lilith
[00:11:08.680 --> 00:11:10.280]  叫她做Lilith
[00:11:10.280 --> 00:11:16.080]  這個末大拉瑪利亞就是被很多的惡鬼所附的
[00:11:16.080 --> 00:11:19.080]  就是她有鬼附在身
[00:11:19.080 --> 00:11:23.280]  因為這樣的緣故所以她就受了很多苦
[00:11:23.280 --> 00:11:27.080]  她可能是襲擊了某人
[00:11:27.080 --> 00:11:28.580]  然後那些人就會
[00:11:28.580 --> 00:11:31.080]  懷疑到她真的被鬼附
[00:11:31.080 --> 00:11:34.080]  然後就找了一個人去驅鬼
[00:11:34.080 --> 00:11:36.280]  那個人的名字叫做尼哥底姆
[00:11:36.280 --> 00:11:38.080]  Nicodemus
[00:11:38.080 --> 00:11:43.080]  尼哥底姆是當時一個非常之出名的拉比
[00:11:43.080 --> 00:11:49.080]  適逢他就去到末大拉瑪利亞住的地方附近
[00:11:49.080 --> 00:11:50.680]  就是去到加伯隆
[00:11:50.680 --> 00:11:52.480]  尼哥底姆去到加伯隆
[00:11:52.480 --> 00:11:54.480]  加伯隆是一個漁港
[00:11:54.480 --> 00:11:57.480]  在加里海附近的一個漁港
[00:11:57.480 --> 00:12:00.680]  那裡就說到一些漁夫
[00:12:00.680 --> 00:12:01.680]  猶太人的漁夫
[00:12:01.680 --> 00:12:04.280]  就是因為要納稅
[00:12:04.280 --> 00:12:05.480]  因為有很重稅
[00:12:05.480 --> 00:12:09.480]  所以他們很多時候就唯利地
[00:12:09.480 --> 00:12:11.080]  就在安息日的時候
[00:12:11.080 --> 00:12:14.480]  都做事 因為猶太人安息日是不做事
[00:12:14.480 --> 00:12:16.680]  所以在安息日照打魚
[00:12:16.680 --> 00:12:20.480]  因為打了那些魚就不當是收入
[00:12:20.480 --> 00:12:22.080]  不用上報
[00:12:22.080 --> 00:12:25.680]  所以那裡就可以逃避一些收入稅
[00:12:25.680 --> 00:12:26.680]  我們很熟悉
[00:12:26.680 --> 00:12:28.680]  我們經常都做這些事
[00:12:28.680 --> 00:12:31.080]  就是想清洗那些收入稅
[00:12:31.080 --> 00:12:32.480]  猶太人就想做這些事
[00:12:32.480 --> 00:12:34.680]  安息日的時候打魚那些就不算了
[00:12:34.680 --> 00:12:37.280]  但是那些羅馬人當然不妥
[00:12:37.280 --> 00:12:41.680]  所以就找了這個大的拉比 叫做尼戈底姆
[00:12:41.680 --> 00:12:49.080]  去到想拘捕這些猶太人的漁夫等等
[00:12:49.080 --> 00:12:52.080]  適逢因為尼戈底姆去到加里附近
[00:12:52.080 --> 00:12:55.080]  所以有些人就找了尼戈底姆
[00:12:55.080 --> 00:12:57.280]  去幫這個Lilith
[00:12:57.280 --> 00:12:59.680]  或者這個莫大拉瑪尼亞
[00:12:59.680 --> 00:13:01.080]  希望能夠去驅鬼
[00:13:01.080 --> 00:13:03.480]  但是尼戈底姆呢
[00:13:03.480 --> 00:13:05.280]  能力不夠
[00:13:05.280 --> 00:13:08.080]  就不能夠將他驅鬼
[00:13:08.080 --> 00:13:10.280]  他就失敗
[00:13:10.280 --> 00:13:13.280]  結果呢
[00:13:13.280 --> 00:13:14.680]  誰出場
[00:13:14.680 --> 00:13:16.480]  就是耶穌
[00:13:16.480 --> 00:13:20.080]  耶穌就去驅鬼
[00:13:20.080 --> 00:13:22.480]  我想問一下整個情節裡面
[00:13:22.480 --> 00:13:23.680]  有些什麼在聖經裡面
[00:13:23.680 --> 00:13:25.880]  有些什麼不是聖經裡面
[00:13:25.880 --> 00:13:28.680]  有很多都不是聖經裡面
[00:13:28.680 --> 00:13:30.080]  有很多都不是
[00:13:30.080 --> 00:13:34.080]  但是有些是聖經裡面確實有提過的
[00:13:34.080 --> 00:13:36.280]  你知道看這些電影的時候
[00:13:36.280 --> 00:13:39.680]  你就留意有些情節是別人加上去的
[00:13:39.680 --> 00:13:43.280]  以致那個故事能夠吸引多一點點
[00:13:43.280 --> 00:13:45.680]  那些一聽了 看了
[00:13:45.680 --> 00:13:47.880]  是OK就可以了
[00:13:47.880 --> 00:13:49.680]  但是最重要是什麼
[00:13:49.680 --> 00:13:51.880]  我們回到聖經裡面
[00:13:51.880 --> 00:13:53.480]  聖經裡面怎麼說
[00:13:53.480 --> 00:13:55.480]  有一件事想提一提的就是
[00:13:55.480 --> 00:13:58.080]  那個莫大拉瑪尼亞
[00:13:58.080 --> 00:14:02.280]  他是被鬼附身
[00:14:02.280 --> 00:14:03.480]  受了很多苦
[00:14:03.480 --> 00:14:05.280]  那些人怎麼叫他
[00:14:05.280 --> 00:14:06.680]  叫他什麼名字
[00:14:06.680 --> 00:14:08.480]  不是叫他Mary
[00:14:08.480 --> 00:14:11.280]  是叫他Lilith
[00:14:11.280 --> 00:14:13.680]  為什麼會叫他Lilith
[00:14:13.680 --> 00:14:16.280]  因為猶太人的後期的傳統
[00:14:16.280 --> 00:14:18.880]  住在後很多世紀的時候
[00:14:18.880 --> 00:14:20.680]  他們的傳統就是說
[00:14:20.680 --> 00:14:23.080]  女鬼是叫什麼名字
[00:14:23.080 --> 00:14:25.080]  叫做Lilith
[00:14:25.080 --> 00:14:26.880]  就是叫Lilith
[00:14:26.880 --> 00:14:28.280]  我知道新年初的時候
[00:14:28.280 --> 00:14:32.480]  說這些東西不是很勵志
[00:14:32.480 --> 00:14:34.480]  但是我們百無禁忌的
[00:14:34.480 --> 00:14:36.880]  因為耶穌最大
[00:14:36.880 --> 00:14:39.280]  所以就叫了他做Lilith
[00:14:39.280 --> 00:14:43.480]  耶穌最後就去到
[00:14:43.480 --> 00:14:46.280]  幫助這個莫大拉瑪尼亞
[00:14:46.280 --> 00:14:49.480]  以致這些鬼去纏身的
[00:14:49.480 --> 00:14:50.880]  就被驅
[00:14:50.880 --> 00:14:53.880]  然後被趕走
[00:14:53.880 --> 00:14:55.480]  聖經裡面怎麼說
[00:14:55.480 --> 00:14:58.480]  這些人物或者有什麼情節裡面
[00:14:58.480 --> 00:15:00.280]  當然不多
[00:15:00.280 --> 00:15:02.480]  但是這裡說到什麼
[00:15:02.480 --> 00:15:05.280]  路加福第八章
[00:15:05.280 --> 00:15:06.280]  路加福第八章
[00:15:06.280 --> 00:15:10.280]  路加福第八章由第一章到第七章
[00:15:10.280 --> 00:15:14.880]  都是說耶穌的公開的侍公
[00:15:14.880 --> 00:15:16.480]  他公開的侍公他傳道
[00:15:16.480 --> 00:15:18.280]  然後也做了很多
[00:15:18.280 --> 00:15:21.280]  趕鬼、驅鬼的一些行動
[00:15:21.280 --> 00:15:24.280]  以致將神的國帶來
[00:15:24.280 --> 00:15:25.880]  說了一段時間了
[00:15:25.880 --> 00:15:28.280]  然後到第八章第一節
[00:15:28.280 --> 00:15:30.280]  他說過了不久
[00:15:30.280 --> 00:15:34.280]  耶穌周遊各城各鄉傳道
[00:15:34.280 --> 00:15:36.480]  宣講上帝國的福音
[00:15:36.480 --> 00:15:38.880]  和他同去的有十二個使徒
[00:15:38.880 --> 00:15:42.280]  當時已經召集了十二個使徒
[00:15:42.280 --> 00:15:44.880]  患有曾被邪靈所負
[00:15:44.880 --> 00:15:46.880]  被疾病所纏
[00:15:46.880 --> 00:15:49.680]  而已經治好的幾個婦女
[00:15:49.680 --> 00:15:51.480]  原來不僅是只有一個
[00:15:51.480 --> 00:15:52.880]  有幾個
[00:15:52.880 --> 00:15:57.480]  其中有一位叫做莫大拉瑪尼亞
[00:15:57.480 --> 00:15:59.280]  Mary Madeline
[00:15:59.280 --> 00:16:03.680]  曾有七個鬼從她身上趕出來
[00:16:03.680 --> 00:16:08.080]  又有希律管家苦殺的妻子約亞拿
[00:16:08.080 --> 00:16:11.880]  和蘇薩拿和好莎別的婦女
[00:16:11.880 --> 00:16:13.880]  她們都用自己的財物
[00:16:13.880 --> 00:16:18.480]  去供給耶穌和祂的十二使徒
[00:16:18.480 --> 00:16:19.880]  這裡就提到
[00:16:19.880 --> 00:16:22.880]  莫大拉瑪尼亞 Mary Madeline這個人
[00:16:22.880 --> 00:16:24.880]  什麼叫莫大拉瑪尼亞?
[00:16:24.880 --> 00:16:27.280]  莫大拉瑪尼亞其實很簡單
[00:16:27.280 --> 00:16:30.080]  就是一位叫做瑪尼亞的女孩
[00:16:30.080 --> 00:16:32.280]  是從莫大拉瑪尼亞這個地方出來的
[00:16:32.280 --> 00:16:34.080]  Madeleine這個地方
[00:16:34.080 --> 00:16:35.680]  Madeleine在哪裡呢?
[00:16:35.680 --> 00:16:38.480]  Madeleine今天去以色列都可以去看的
[00:16:38.480 --> 00:16:42.480]  因為那裡找回一些第一世紀的房屋
[00:16:42.480 --> 00:16:46.280]  和一個很漂亮的猶太人的會堂
[00:16:46.280 --> 00:16:48.480]  莫大拉瑪尼亞其實就在加伯隆附近的
[00:16:48.480 --> 00:16:49.480]  如果開車的話
[00:16:49.480 --> 00:16:53.080]  我開車
[00:16:53.080 --> 00:16:55.680]  應該十分鐘就到
[00:16:55.680 --> 00:16:59.880]  你開車應該十五、二十分鐘就到
[00:16:59.880 --> 00:17:00.680]  很近的
[00:17:00.680 --> 00:17:02.480]  就是在加利里沿海
[00:17:02.480 --> 00:17:04.080]  一直這樣南下
[00:17:04.080 --> 00:17:06.880]  然後就到加利里的西岸一個地方
[00:17:06.880 --> 00:17:08.880]  一個漁港
[00:17:08.880 --> 00:17:11.080]  那裡就叫做Magdala
[00:17:11.080 --> 00:17:14.280]  現在是屬於一個天主教的物業
