
[00:00:00.000 --> 00:00:02.240]  在明朝的時候
[00:05:00.840 --> 00:05:02.840]  究竟什麼是智慧呢?
[00:05:02.840 --> 00:05:07.840]  我覺得《針研九章十字》講得最理想
[00:05:07.840 --> 00:05:11.840]  敬畏耶和華是智慧的開端
[00:05:11.840 --> 00:05:15.840]  認識至聖者便是聰明
[00:05:15.840 --> 00:05:21.840]  真正的智慧我覺得一定跟認識神有關
[00:05:21.840 --> 00:05:25.480]  真正的智慧就不是講那些處世哲學
[00:05:25.480 --> 00:05:27.480]  我們做人道理那些
[00:05:27.480 --> 00:05:28.840]  不是講這些
[00:05:28.840 --> 00:05:32.480]  真正的智慧一定是跟神有關
[00:05:32.480 --> 00:05:35.480]  所以我會這樣去想智慧
[00:05:35.480 --> 00:05:38.480]  或者我自己這樣去學習
[00:05:38.480 --> 00:05:42.480]  智慧和知識有什麼分別呢?
[00:05:42.480 --> 00:05:44.480]  知識就是你腦袋裡面的資料
[00:05:44.480 --> 00:05:45.480]  有一堆的資料
[00:05:45.480 --> 00:05:48.480]  智慧就是你運用知識
[00:05:48.480 --> 00:05:53.480]  能夠做到神在你生命上所要做到的心意
[00:05:53.480 --> 00:05:55.480]  這個就是智慧
[00:05:55.480 --> 00:05:58.480]  你舉一個例子
[00:05:58.480 --> 00:06:00.480]  地圖是知識來的
[00:06:00.480 --> 00:06:04.480]  能夠告訴你哪裡是灣仔
[00:06:04.480 --> 00:06:05.480]  哪裡是紅磡
[00:06:05.480 --> 00:06:08.480]  那個地方那個位置
[00:06:08.480 --> 00:06:10.480]  但我怎樣去呢?
[00:06:10.480 --> 00:06:12.480]  我走哪條路呢?
[00:06:12.480 --> 00:06:13.480]  怎樣走呢?
[00:06:13.480 --> 00:06:14.480]  有什麼方向呢?
[00:06:14.480 --> 00:06:16.480]  這個就是智慧
[00:06:16.480 --> 00:06:18.480]  如果我要從紅磡去灣仔
[00:06:18.480 --> 00:06:20.480]  我喜歡游泳
[00:06:20.480 --> 00:06:24.480]  這個可能不是很有智慧
[00:06:24.480 --> 00:06:27.480]  更加重要的就是我走這條路
[00:06:27.480 --> 00:06:28.480]  走這個方向
[00:06:28.480 --> 00:06:29.480]  是神的心意
[00:06:29.480 --> 00:06:32.480]  這個就是最重要的
[00:06:32.480 --> 00:06:34.480]  這個就是智慧
[00:06:34.480 --> 00:06:36.480]  如果舉一些實際的例子
[00:06:36.480 --> 00:06:39.480]  我和一些年青人有時去接觸
[00:06:39.480 --> 00:06:45.480]  我發覺那些年青人原來有一個心態是很真實的
[00:06:45.480 --> 00:06:48.480]  他們覺得原來有拖拍
[00:06:48.480 --> 00:06:51.480]  才能夠證明自己是有價值的
[00:06:51.480 --> 00:06:53.480]  有人愛我
[00:06:53.480 --> 00:06:54.480]  我才是寶貴的
[00:06:54.480 --> 00:06:57.480]  這個才是我自我形象的建立
[00:06:57.480 --> 00:06:59.480]  當然是去拍拖
[00:06:59.480 --> 00:07:00.480]  因為拍拖很重要
[00:07:00.480 --> 00:07:02.480]  但拍完很快散
[00:07:02.480 --> 00:07:04.480]  散完很快又拍
[00:07:04.480 --> 00:07:07.480]  結果多數都會傷害自己
[00:07:07.480 --> 00:07:09.480]  和傷害對方
[00:07:09.480 --> 00:07:14.480]  更加可能對將來的婚姻沒有什麼幫助
[00:07:14.480 --> 00:07:17.480]  但真正的智慧是怎樣呢?
[00:07:17.480 --> 00:07:18.480]  我覺得真正的智慧
[00:07:18.480 --> 00:07:23.480]  我們的自我形象就不是建立在有沒有人喜歡我這件事上
[00:07:23.480 --> 00:07:28.480]  我們的自我形象是建立在和神的關係
[00:07:28.480 --> 00:07:32.480]  有這個寶貝在我這個雅氣裏面
[00:07:32.480 --> 00:07:33.480]  我才是寶貴
[00:07:33.480 --> 00:07:35.480]  不是因為有沒有拖拍
[00:07:35.480 --> 00:07:37.480]  所以如果真正的智慧
[00:07:37.480 --> 00:07:41.480]  可能是很有耐性的去等候
[00:07:41.480 --> 00:07:44.480]  按著神的心意去找對象
[00:07:44.480 --> 00:07:46.480]  我相信一段理想的拍拖
[00:07:46.480 --> 00:07:48.480]  或者理想的婚姻
[00:07:48.480 --> 00:07:50.480]  是值得等的
[00:07:50.480 --> 00:07:52.480]  不用匆忙
[00:07:52.480 --> 00:07:54.480]  另外一個例子
[00:07:54.480 --> 00:07:56.480]  我們長大一點了
[00:07:56.480 --> 00:07:57.480]  我們出來謀生了
[00:07:57.480 --> 00:07:58.480]  我們工作了
[00:07:58.480 --> 00:08:02.480]  我想在今天很多人都會開始相信
[00:08:02.480 --> 00:08:04.480]  金錢不是萬能
[00:08:04.480 --> 00:08:08.480]  但是沒有錢就萬萬不能這一句
[00:08:08.480 --> 00:08:13.480]  可能很多人都還認同
[00:08:13.480 --> 00:08:16.480]  好像沒有錢就沒有安全感
[00:08:16.480 --> 00:08:19.480]  所以在年青就拼命賺錢
[00:08:19.480 --> 00:08:21.480]  做到全殘
[00:08:21.480 --> 00:08:23.480]  因為太過拼命賺錢
[00:08:23.480 --> 00:08:26.480]  所以年長就賺錢拼命
[00:08:26.480 --> 00:08:31.480]  賺錢就賭你的不健康的命
[00:08:31.480 --> 00:08:33.480]  得不償失的
[00:08:33.480 --> 00:08:36.480]  你用健康去換錢
[00:08:36.480 --> 00:08:38.480]  最後用什麼錢換健康
[00:08:38.480 --> 00:08:41.480]  其實沒有什麼益處
[00:08:41.480 --> 00:08:43.480]  我發覺真正的智慧是什麼呢
[00:08:43.480 --> 00:08:45.480]  是信了一個神
[00:08:45.480 --> 00:08:47.480]  將安全感放在神那裏
[00:08:47.480 --> 00:08:50.480]  你想想他連那隻麻雀都養活
[00:08:50.480 --> 00:08:54.480]  我們比麻雀貴重這麼多
[00:08:54.480 --> 00:08:57.480]  他怎會不看重我們呢
[00:08:57.480 --> 00:08:59.480]  有衣有食就當知足
[00:08:59.480 --> 00:09:02.480]  敬填加上知足就是大慮
[00:09:02.480 --> 00:09:05.480]  我相信這個才是真正的智慧
[00:09:05.480 --> 00:09:09.480]  《雅各書》我上一次講是一章的二至四節
[00:09:09.480 --> 00:09:11.480]  就是講到我們要面對試煉
[00:09:11.480 --> 00:09:14.480]  逆境苦難的時候
[00:09:14.480 --> 00:09:16.480]  最重要是有信心
[00:09:16.480 --> 00:09:18.480]  以致我們有忍耐
[00:09:18.480 --> 00:09:21.480]  最終令到我們的生命會成熟
[00:09:21.480 --> 00:09:24.480]  願被毫無缺陷
[00:09:24.480 --> 00:09:26.480]  《雅各》說
[00:09:26.480 --> 00:09:27.480]  他接著這樣講
[00:09:27.480 --> 00:09:30.480]  其實我們不是真的什麼都沒有缺陷
[00:09:30.480 --> 00:09:32.480]  我們還可能缺陷一樣東西
[00:09:32.480 --> 00:09:34.480]  就是智慧
[00:09:34.480 --> 00:09:36.480]  《雅各》在玩一些文字
[00:09:36.480 --> 00:09:38.480]  他用缺少這個字
[00:09:38.480 --> 00:09:40.480]  將第四和第五節連起來
[00:09:40.480 --> 00:09:43.480]  亦都是將第二至四節這一段
[00:09:43.480 --> 00:09:45.480]  和五至八節這一段
[00:09:45.480 --> 00:09:46.480]  去連起來
[00:09:46.480 --> 00:09:48.480]  即是說什麼呢
[00:09:48.480 --> 00:09:49.480]  我們遇到試煉
[00:09:49.480 --> 00:09:50.480]  遇到苦難
[00:09:50.480 --> 00:09:52.480]  我們一定要有信心
[00:09:52.480 --> 00:09:55.480]  但是我們同時都需要有智慧
[00:09:55.480 --> 00:09:57.480]  去幫助我們
[00:09:57.480 --> 00:10:00.480]  成功去通過這個信心的考驗
[00:10:00.480 --> 00:10:04.480]  我想大家和我一起再讀一讀第五節
[00:10:04.480 --> 00:10:07.480]  你們中間若有缺少智慧的
[00:10:07.480 --> 00:10:09.480]  該求那口齒與眾人
[00:10:09.480 --> 00:10:11.480]  又不斥責人的神
[00:10:11.480 --> 00:10:14.480]  神必賜給他
[00:10:14.480 --> 00:10:16.480]  如果缺少智慧
[00:10:16.480 --> 00:10:18.480]  我們應該去求神去賜下
[00:10:18.480 --> 00:10:20.480]  在《針研二章六節》
[00:10:20.480 --> 00:10:24.480]  因為耶和華賞賜智慧
[00:10:24.480 --> 00:10:26.480]  智慧是由神給的
[00:10:26.480 --> 00:10:28.480]  所以《雅各》很清楚
[00:10:28.480 --> 00:10:32.480]  有一些不是由神給的智慧
[00:10:32.480 --> 00:10:34.480]  在《雅各書》的三章十五十六
[00:10:34.480 --> 00:10:36.480]  他講得很清楚
[00:10:36.480 --> 00:10:38.480]  有屬地上的智慧
[00:10:38.480 --> 00:10:40.480]  有屬情慾的智慧
[00:10:40.480 --> 00:10:42.480]  有屬鬼魔的智慧
[00:10:42.480 --> 00:10:45.480]  這些智慧帶來什麼後果
[00:10:45.480 --> 00:10:48.480]  就是動亂和各樣的壞事
[00:10:48.480 --> 00:10:50.480]  所以《雅各》是非常清楚的
[00:10:50.480 --> 00:10:52.480]  我們每個人都講智慧
[00:10:52.480 --> 00:10:53.480]  你信耶穌又講
[00:10:53.480 --> 00:10:55.480]  你不信耶穌都講智慧
[00:10:55.480 --> 00:10:59.480]  但我們要留意我們在求什麼智慧
[00:10:59.480 --> 00:11:02.480]  是地上、情慾、鬼魔
[00:11:02.480 --> 00:11:04.480]  還是屬神的智慧呢
[00:11:04.480 --> 00:11:07.480]  神是智慧的源頭
[00:11:07.480 --> 00:11:08.480]  所以我們要求祂
[00:11:08.480 --> 00:11:11.480]  求這個字是現在式的動詞
[00:11:11.480 --> 00:11:13.480]  意思是我們要不斷求
[00:11:13.480 --> 00:11:15.480]  不是一次過的
[00:11:15.480 --> 00:11:18.480]  不斷、經常、每天都求
[00:11:18.480 --> 00:11:21.480]  而求這個字是命令式的動詞
[00:11:21.480 --> 00:11:26.480]  即是我們必須不斷、經常去求上帝給我們智慧
[00:11:26.480 --> 00:11:27.480]  為什麼呢
[00:11:27.480 --> 00:11:30.480]  因為世上的智慧會拉扯我們
[00:11:30.480 --> 00:11:32.480]  我們沒有上帝的智慧
[00:11:32.480 --> 00:11:38.480]  我們很容易被世上的智慧牢籠了我們
[00:11:38.480 --> 00:11:41.480]  我們求智慧的時候
[00:11:41.480 --> 00:11:43.480]  神會怎樣回應呢
[00:11:43.480 --> 00:11:46.480]  神會厚賜給我們
[00:11:46.480 --> 00:11:49.480]  神是一個厚賜的神
[00:11:49.480 --> 00:11:51.480]  厚這個字在一般聖經的譯法
[00:11:51.480 --> 00:11:54.480]  多數的意思是很慷慨的意思
[00:11:54.480 --> 00:11:57.480]  但其實這個字本身的意思
[00:11:57.480 --> 00:12:01.480]  基本意思其實是單一、專一的意思
[00:12:01.480 --> 00:12:04.480]  是single、simple、很專一
[00:12:04.480 --> 00:12:09.480]  意思是神是一心一意、全心全意
[00:12:09.480 --> 00:12:13.480]  誠心誠意地賜智慧給我們
[00:12:13.480 --> 00:12:16.480]  在這個暑假有一些卡通電影
[00:12:16.480 --> 00:12:19.480]  還有迪士尼開了灰熊山
[00:12:19.480 --> 00:12:25.480]  我很想帶我兩個兒子去看電影、看戲和去玩
[00:12:25.480 --> 00:12:28.480]  我通常都給他們一些目標
[00:12:28.480 --> 00:12:30.480]  你乖就有一顆星
[00:12:30.480 --> 00:12:32.480]  我兩個兒子很小的,只有幾歲
[00:12:32.480 --> 00:12:36.480]  你儲夠五顆星就可以去看電影
[00:12:36.480 --> 00:12:39.480]  有十顆星就可以去灰熊山
[00:12:39.480 --> 00:12:40.480]  那怎樣儲呢?
[00:12:40.480 --> 00:12:44.480]  你吃飯乖、睡覺乖就可以有星
[00:12:44.480 --> 00:12:47.480]  所以你每天正常有三顆星
[00:12:47.480 --> 00:12:50.480]  那我太太就賣大包
[00:12:50.480 --> 00:12:53.480]  只要你不罵哥哥、不罵弟弟、不打
[00:12:53.480 --> 00:12:56.480]  就再加多三顆星
[00:12:56.480 --> 00:13:01.480]  你一天正正常常過活已經可以去看電影
[00:13:01.480 --> 00:13:03.480]  我們是很想很想跟他去
[00:13:03.480 --> 00:13:05.480]  我們已經預定跟他去
[00:13:05.480 --> 00:13:07.480]  我兒子明天就開學
[00:13:07.480 --> 00:13:10.480]  他到今天都未看電影
[00:13:10.480 --> 00:13:13.480]  都未去灰熊山
[00:13:13.480 --> 00:13:18.480]  我多想跟他們,我多有厚次的心意呢
[00:13:18.480 --> 00:13:21.480]  但我兩個兒子好像沒什麼信心
[00:13:21.480 --> 00:13:25.480]  好像我都儲夠星去
[00:13:25.480 --> 00:13:28.480]  他一定輸數,不知道為什麼
[00:13:28.480 --> 00:13:30.480]  我從我兩個兒子那裡學到
[00:13:30.480 --> 00:13:32.480]  咦,我是不是這樣呢?
[00:13:32.480 --> 00:13:34.480]  我可能是這樣的
[00:13:34.480 --> 00:13:37.480]  我求神的時候會不會這樣想呢?
[00:13:37.480 --> 00:13:39.480]  都說沒有的
[00:13:39.480 --> 00:13:42.480]  不一定的,哪有這麼神跡的
[00:13:42.480 --> 00:13:45.480]  甚至我們想,我信主這麼短
[00:13:45.480 --> 00:13:48.480]  我靈命這麼低,我做得不夠好
[00:13:48.480 --> 00:13:50.480]  神會給我的
[00:13:50.480 --> 00:13:52.480]  祂給都是給數目師的
[00:13:52.480 --> 00:13:57.480]  怎麼會給我這些信不敢的人呢
[00:13:57.480 --> 00:13:58.480]  但這裡怎麼說呢?
[00:13:58.480 --> 00:14:02.480]  神是全心全意很想給我們智慧
[00:14:02.480 --> 00:14:06.480]  還有神是一個不斥責人的神
[00:14:06.480 --> 00:14:09.480]  雅各用一個不斥責人來形容神
[00:14:09.480 --> 00:14:10.480]  是表明什麼呢?
[00:14:10.480 --> 00:14:13.480]  表明神是一個容易親近
[00:14:13.480 --> 00:14:16.480]  很同情體恤人的上帝
[00:14:16.480 --> 00:14:17.480]  也鼓勵信徒
[00:14:17.480 --> 00:14:20.480]  你遇到試煉,你遇到苦難
[00:14:20.480 --> 00:14:22.480]  你不要逃避神,你找祂
[00:14:22.480 --> 00:14:23.480]  我們小心
[00:14:23.480 --> 00:14:26.480]  我們不要絕對化斷章取義這一句
[00:14:26.480 --> 00:14:29.480]  哦,神是從來不罵人的
[00:14:29.480 --> 00:14:30.480]  不要這麼看
[00:14:30.480 --> 00:14:35.480]  從舊約聖經我們經常看到神是會罵人
[00:14:35.480 --> 00:14:39.480]  既然神是全心全意賜給我們智慧
[00:14:39.480 --> 00:14:41.480]  神是一位這麼可親
[00:14:41.480 --> 00:14:43.480]  這麼同情體諒我們的上帝
[00:14:43.480 --> 00:14:45.480]  我們的回應是什麼?
[00:14:45.480 --> 00:14:47.480]  放膽去求祂
[00:14:47.480 --> 00:14:49.480]  上帝祢給我們智慧
[00:14:49.480 --> 00:14:52.480]  怎樣操練我們放膽去求神呢?
[00:14:52.480 --> 00:14:54.480]  我自己有兩個心態
[00:14:54.480 --> 00:14:56.480]  我覺得很幫到我
[00:14:56.480 --> 00:15:00.480]  第一個心態,我要常常覺得自己是無
[00:15:00.480 --> 00:15:01.480]  我是缺乏的
[00:15:01.480 --> 00:15:04.480]  我是無助的
[00:15:04.480 --> 00:15:06.480]  我們很多時候覺得自己完全碰到
[00:15:06.480 --> 00:15:08.480]  就不會去找上帝
[00:15:08.480 --> 00:15:11.480]  我要操練一種心態就是
[00:15:11.480 --> 00:15:12.480]  我自覺缺乏的
[00:15:12.480 --> 00:15:14.480]  我自覺無助的
[00:15:14.480 --> 00:15:18.480]  不要等到你真的陷入絕境
[00:15:18.480 --> 00:15:20.480]  不要等到你真的沒有辦法了
[00:15:20.480 --> 00:15:21.480]  你先找神
[00:15:21.480 --> 00:15:24.480]  咦,我去到癌症第四期絕症了
[00:15:24.480 --> 00:15:26.480]  兩個月就完蛋了,我先找上帝
[00:15:26.480 --> 00:15:28.480]  不要這樣
[00:15:28.480 --> 00:15:31.480]  要在平時無事無幹
[00:15:31.480 --> 00:15:34.480]  你要多一點去培養這一種
[00:15:34.480 --> 00:15:36.480]  我自覺不足
[00:15:36.480 --> 00:15:38.480]  我需要你,上帝
[00:15:38.480 --> 00:15:39.480]  這樣的心態
[00:15:39.480 --> 00:15:43.480]  這樣我們才會常常去祈求上帝
[00:15:43.480 --> 00:15:45.480]  第二種的心態就是
[00:15:45.480 --> 00:15:47.480]  我要認知這個神
[00:15:47.480 --> 00:15:50.480]  是一個很樂意施與的上帝
[00:15:50.480 --> 00:15:52.480]  這個神很慈愛可親
[00:15:52.480 --> 00:15:53.480]  祂很樂意祝福我的
[00:15:53.480 --> 00:15:55.480]  這個不是玩弄我的上帝
[00:15:55.480 --> 00:15:57.480]  這個不是玩弄人生的上帝
[00:15:57.480 --> 00:16:01.480]  祂是很樂意去祝福愛我們的上帝
[00:16:01.480 --> 00:16:03.480]  當我這樣想的時候
[00:16:03.480 --> 00:16:05.480]  我經常都好像不行
[00:16:05.480 --> 00:16:06.480]  我不行的
[00:16:06.480 --> 00:16:08.480]  這個又這麼可親的上帝
[00:16:08.480 --> 00:16:10.480]  我就常常去求祂
[00:16:10.480 --> 00:16:14.480]  今天下午是林書豪的生命灌籃的報道會
[00:16:14.480 --> 00:16:17.480]  在幾天前我們跟工會討論這個報道會
[00:16:17.480 --> 00:16:20.480]  因為我們都有份參與直播
[00:16:20.480 --> 00:16:23.480]  林璇峰就帶來了颱風
[00:16:23.480 --> 00:16:25.480]  兩個颱風
[00:16:25.480 --> 00:16:28.480]  又天平又布拉萬
[00:16:28.480 --> 00:16:30.480]  我們就在想怎麼辦呢
[00:16:30.480 --> 00:16:32.480]  可能搞不成的
[00:16:32.480 --> 00:16:35.480]  我們跟工會只有一句回應
[00:16:35.480 --> 00:16:36.480]  祈禱
[00:16:36.480 --> 00:16:39.480]  掌管天氣的又是上帝
[00:16:39.480 --> 00:16:41.480]  使用報道會的又是上帝
[00:16:41.480 --> 00:16:42.480]  我們祈禱
[00:16:42.480 --> 00:16:46.480]  我們信一個上帝你會比我們最好
[00:16:46.480 --> 00:16:48.480]  一切在上帝的掌握之內
[00:16:48.480 --> 00:16:50.480]  我們放膽禱告
[00:16:50.480 --> 00:16:53.480]  當然我自己是很想這個報道會搞得成
[00:16:53.480 --> 00:16:55.480]  因為我覺得這個報道會是
[00:16:55.480 --> 00:16:57.480]  總之令人得聞福音
[00:16:57.480 --> 00:16:59.480]  也是很多人關注的
[00:16:59.480 --> 00:17:01.480]  不單止機場博覽館
[00:17:01.480 --> 00:17:06.480]  還有差不多十間的教會是現場直播
[00:17:06.480 --> 00:17:10.480]  有幾萬人可能會聽到這個福音信息
[00:17:10.480 --> 00:17:13.480]  我是很想它搞得成
[00:17:13.480 --> 00:17:14.480]  放膽禱告
[00:17:14.480 --> 00:17:16.480]  放膽去祈求
[00:17:16.480 --> 00:17:18.480]  所以事就這樣成了
[00:17:18.480 --> 00:17:20.480]  雖然未到結局
[00:17:20.480 --> 00:17:22.480]  我們還有兩個多小時
[00:17:22.480 --> 00:17:24.480]  未到結局
[00:17:24.480 --> 00:17:26.480]  信得過上帝
[00:17:26.480 --> 00:17:28.480]  所以我懇請你們
[00:17:28.480 --> 00:17:31.480]  無論下午你出不出席這個報道會
[00:17:31.480 --> 00:17:33.480]  我懇請你為
[00:17:33.480 --> 00:17:37.480]  未信了所有出席報道會的人
[00:17:37.480 --> 00:17:38.480]  切切去禱告
[00:17:38.480 --> 00:17:40.480]  求上帝祝福他們
[00:17:40.480 --> 00:17:42.480]  上帝自然有祂的心意
[00:17:42.480 --> 00:17:44.480]  我們求的時候
[00:17:44.480 --> 00:17:46.480]  第五節最後一句
[00:17:46.480 --> 00:17:48.480]  神必賜給我們
[00:17:48.480 --> 00:17:51.480]  同樣我們不要斷章取義
[00:17:51.480 --> 00:17:52.480]  絕對化這一句
[00:17:52.480 --> 00:17:54.480]  我們求什麼有什麼
[00:17:54.480 --> 00:17:56.480]  我們明天先買五手匯豐
[00:17:56.480 --> 00:17:58.480]  祈求去升十個價位
[00:17:58.480 --> 00:18:00.480]  不是的 千萬不要
[00:18:00.480 --> 00:18:04.480]  這句想表達神是一個厚摯的上帝
[00:18:04.480 --> 00:18:07.480]  而且在下面六至八節說了例外
[00:18:07.480 --> 00:18:10.480]  我們不是求什麼有什麼
[00:18:10.480 --> 00:18:11.480]  你沒有信心求
[00:18:11.480 --> 00:18:13.480]  是一無所得
[00:18:13.480 --> 00:18:18.480]  請大家我們讀完第六到第八節好不好
[00:18:18.480 --> 00:18:21.480]  只要憑著信心求
[00:18:21.480 --> 00:18:32.480]  這樣的人不要想從主那裡得到什麼
[00:18:32.480 --> 00:18:34.480]  三心二意的人
