
[00:00:00.000 --> 00:00:02.680]  各位頂姐妹 新年平安
[00:02:23.920 --> 00:02:26.880]  每年講蛇我們都要解釋一下
[00:02:26.880 --> 00:02:30.000]  究竟我們會不會迷信呢
[00:02:30.000 --> 00:02:33.040]  要記得我們不是講生肖
[00:02:33.040 --> 00:02:38.560]  我們是講那種動物在聖經裡面出現的經脈
[00:02:38.560 --> 00:02:42.520]  給我們的教訓和提醒
[00:02:42.520 --> 00:02:46.040]  我覺得我們有時候在神學院裡面
[00:02:46.040 --> 00:02:51.400]  教導傳道人很著重保羅的教導
[00:02:51.400 --> 00:02:55.040]  按照正義分解真理的道
[00:02:55.040 --> 00:02:56.040]  這個是對的
[00:02:56.040 --> 00:02:56.840]  沒錯的
[00:02:56.840 --> 00:02:58.200]  是非常好的
[00:02:58.200 --> 00:03:01.320]  但是很多時候我們就失去一個平衡
[00:03:01.320 --> 00:03:05.240]  忘記主耶穌的比喻裡面說到
[00:03:05.240 --> 00:03:09.400]  誰是忠心有見識的僕人
[00:03:09.400 --> 00:03:12.320]  他能夠按時分量
[00:03:12.320 --> 00:03:16.800]  有些英文聖經翻譯這一節的經文就更加好了
[00:03:16.800 --> 00:03:22.000]  他說supplying the food according to different seasons
[00:03:22.000 --> 00:03:24.200]  按照不同的時節
[00:03:24.200 --> 00:03:28.920]  你要供應他們肉體上的需要
[00:03:28.920 --> 00:03:31.160]  心靈上的需要
[00:03:31.160 --> 00:03:33.200]  我常常都記住主耶穌
[00:03:33.200 --> 00:03:35.520]  這個按時分量
[00:03:35.520 --> 00:03:39.200]  和按照正義分解真理的道
[00:03:39.200 --> 00:03:42.040]  兩者需要有一個平衡
[00:03:42.040 --> 00:03:45.320]  比如有些教會有一個很古舊的傳統
[00:03:45.320 --> 00:03:49.440]  每三年將成本的聖經講一次
[00:03:49.440 --> 00:03:50.120]  是好的
[00:03:50.120 --> 00:03:51.280]  非常好
[00:03:51.280 --> 00:03:53.440]  特別在中世紀
[00:03:53.440 --> 00:03:55.520]  歐洲文盲卵
[00:03:55.520 --> 00:03:59.480]  就是不識字的人接近90%
[00:03:59.480 --> 00:04:01.800]  他唯有在教堂裡面看
[00:04:01.800 --> 00:04:05.720]  俯路十四站
[00:04:05.720 --> 00:04:09.600]  藉著圖像講故事
[00:04:09.600 --> 00:04:11.680]  同樣在廣壇上
[00:04:11.680 --> 00:04:14.400]  讀經的程序上也是這樣
[00:04:14.400 --> 00:04:16.160]  但是今天
[00:04:16.160 --> 00:04:19.360]  馬守在下面的信徒
[00:04:19.360 --> 00:04:22.240]  他能夠讀不同版本的聖經
[00:04:22.240 --> 00:04:25.840]  比站在廣壇上的傳道人更厲害
[00:04:25.840 --> 00:04:26.920]  你們很可能
[00:04:26.920 --> 00:04:28.480]  二十多種英文譯本
[00:04:28.480 --> 00:04:30.720]  你家裡都有藏
[00:04:30.720 --> 00:04:32.880]  英文譯本有二十多種
[00:04:32.880 --> 00:04:34.400]  我們中文譯本
[00:04:34.400 --> 00:04:39.280]  我想由太平天國馬利信到現在
[00:04:39.280 --> 00:04:41.720]  都是不夠十本
[00:04:41.720 --> 00:04:44.400]  而且翻譯有很多東西
[00:04:44.400 --> 00:04:46.600]  其實翻了這麼多次
[00:04:46.600 --> 00:04:50.000]  都沒有突破性的一種翻譯
[00:04:50.000 --> 00:04:52.080]  長話短說
[00:04:52.080 --> 00:04:54.040]  因為是主餐
[00:04:54.040 --> 00:04:56.960]  我就講一個濃縮的版本
[00:04:56.960 --> 00:05:01.040]  如果你想詳細獄知後事如何
[00:05:01.040 --> 00:05:02.560]  要聽《白蛇傳》
[00:05:02.560 --> 00:05:04.800]  接下來這個星期六夫婦區
[00:05:04.800 --> 00:05:07.720]  我就從《白蛇傳》的故事
[00:05:07.720 --> 00:05:11.720]  講到人間的情愛和夫妻
[00:05:11.720 --> 00:05:14.480]  如何要相愛
[00:05:14.480 --> 00:05:16.480]  另外你可以
[00:05:16.480 --> 00:05:18.880]  除了外面我那本小書
[00:05:18.880 --> 00:05:20.920]  很詳細解釋這一部分
[00:05:20.920 --> 00:05:24.320]  2月份的《天使心》
[00:05:24.320 --> 00:05:28.400]  將我那本書的撮要版登了進去
[00:05:28.400 --> 00:05:32.640]  這裡的插圖全部是《天使心》撮出來
[00:05:32.640 --> 00:05:36.760]  你可以不用看太多《天使心》
[00:05:36.760 --> 00:05:37.960]  又或者
[00:05:37.960 --> 00:05:42.200]  創世電視的節目你可以去搜尋重播
[00:05:42.200 --> 00:05:45.680]  所以我今天就講一個很簡單的
[00:05:45.680 --> 00:05:47.640]  根據我的研究
[00:05:47.640 --> 00:05:49.600]  無論中西文化
[00:05:49.600 --> 00:05:52.480]  或者聖經的文化
[00:05:52.480 --> 00:05:54.440]  邪很特別的一種動物
[00:05:54.440 --> 00:05:57.200]  是正邪合體
[00:05:57.200 --> 00:05:59.200]  什麼叫正邪合體?
[00:05:59.200 --> 00:06:03.360]  就是一間給人的印象是負面的
[00:06:03.360 --> 00:06:05.520]  但是轉身的時候
[00:06:05.520 --> 00:06:07.880]  它卻是神聖的代表
[00:06:07.880 --> 00:06:10.080]  這叫做正邪合體
[00:06:10.080 --> 00:06:12.160]  我相信大家比較少
[00:06:12.160 --> 00:06:15.400]  系統去研究邪的經文
[00:06:15.400 --> 00:06:17.560]  在我們和合本裡面
[00:06:17.560 --> 00:06:22.080]  大概有65節的經文
[00:06:22.080 --> 00:06:24.640]  是講到有邪的
[00:06:24.640 --> 00:06:27.320]  我從這65節裡面
[00:06:27.320 --> 00:06:31.520]  選了一些很代表性和重點的經文
[00:06:31.520 --> 00:06:33.760]  來思想
[00:06:33.760 --> 00:06:35.720]  給一個系統讓我們看見
[00:06:35.720 --> 00:06:36.800]  今年是蛇年
[00:06:36.800 --> 00:06:38.880]  聖經怎麼講邪呢?
[00:06:38.880 --> 00:06:42.640]  在我們的倫理生活實踐
[00:06:42.640 --> 00:06:44.440]  在我們傳福音
[00:06:44.440 --> 00:06:46.760]  在我們對未來的盼望上
[00:06:46.760 --> 00:06:49.600]  邪給我們有什麼啟示呢?
[00:06:49.600 --> 00:06:51.600]  第一段經文就出現在
[00:06:51.600 --> 00:06:56.320]  《創世記》第三章一節的地方
[00:06:56.320 --> 00:07:00.600]  我們看見這個邪是撒旦的化身
[00:07:00.600 --> 00:07:03.520]  或者是利用的工具
[00:07:03.520 --> 00:07:04.400]  為什麼呢?
[00:07:04.400 --> 00:07:07.360]  因為當你去到啟示錄的時候
[00:07:07.360 --> 00:07:08.480]  你就發現
[00:07:08.480 --> 00:07:09.800]  原來這條蛇
[00:07:09.800 --> 00:07:13.200]  另外一些名字叫做大龍
[00:07:13.200 --> 00:07:14.640]  叫做魔鬼
[00:07:14.640 --> 00:07:16.240]  叫做撒旦
[00:07:16.240 --> 00:07:18.880]  就印證了這條古蛇
[00:07:18.880 --> 00:07:23.600]  就是很圓圓悠長
[00:07:23.600 --> 00:07:27.320]  是成為人類敵對力量的象徵
[00:07:27.320 --> 00:07:28.560]  在那裡
[00:07:28.560 --> 00:07:31.760]  所以這條蛇是撒旦的代表
[00:07:31.760 --> 00:07:33.600]  給我們看見
[00:07:33.600 --> 00:07:38.920]  你千萬不要成為撒旦利用的工具
[00:07:38.920 --> 00:07:44.040]  但為什麼會讓撒旦進入他的心呢?
[00:07:44.040 --> 00:07:46.400]  我們看聖經就說
[00:07:46.400 --> 00:07:49.760]  他從來都有一些不好
[00:07:49.760 --> 00:07:51.440]  錢銀上的習慣
[00:07:51.440 --> 00:07:53.120]  或者有其他習慣
[00:07:53.120 --> 00:07:55.840]  撒旦要利用一個人成為的工具
[00:07:55.840 --> 00:07:58.400]  一定這些人有弱點
[00:07:58.400 --> 00:08:00.240]  成為切入軌
[00:08:00.240 --> 00:08:03.520]  令到這些人被他使用
[00:08:03.520 --> 00:08:05.480]  聖經說到這條蛇
[00:08:05.480 --> 00:08:07.400]  在這麼多活物裡面
[00:08:07.400 --> 00:08:10.120]  他的形象比較奧秘
[00:08:10.120 --> 00:08:12.400]  比較猥瑣
[00:08:12.400 --> 00:08:14.520]  比較潛伏難矣
[00:08:14.520 --> 00:08:16.600]  是揣測
[00:08:16.600 --> 00:08:20.360]  所以撒旦利用他這一點的特性
[00:08:20.360 --> 00:08:22.400]  就是和夏娃對話
[00:08:22.400 --> 00:08:25.080]  將上帝的誡命減輕
[00:08:25.080 --> 00:08:29.680]  令到夏娃看見果子月目
[00:08:29.680 --> 00:08:32.560]  就超越了界線
[00:08:32.560 --> 00:08:36.160]  另外凡是撒旦的追求者
[00:08:36.160 --> 00:08:40.280]  都是冠以一個毒蛇的種類
[00:08:40.280 --> 00:08:43.920]  或者有些日本人說毒蛇的種類
[00:08:43.920 --> 00:08:46.120]  哇!很厲害
[00:08:46.120 --> 00:08:48.120]  不單止是毒蛇
[00:08:48.120 --> 00:08:49.000]  是撒旦
[00:08:49.000 --> 00:08:53.360]  而且凡是偏向邪惡力量的
[00:08:53.360 --> 00:08:55.640]  都叫毒蛇的種類
[00:08:55.640 --> 00:08:59.040]  施捨約翰說到哪兩類人呢?
[00:08:59.040 --> 00:09:02.920]  就是法利塞人和撒旦的人
[00:09:02.920 --> 00:09:07.320]  法利塞人是很嚴謹很虔誠的
[00:09:07.320 --> 00:09:09.520]  律法主義者
[00:09:09.520 --> 00:09:11.920]  今天你去到以色列
[00:09:11.920 --> 00:09:13.320]  或者紐約
[00:09:13.320 --> 00:09:15.760]  或者羅便臣道
[00:09:15.760 --> 00:09:17.480]  雍景台附近
[00:09:17.480 --> 00:09:18.960]  星期五下午
[00:09:18.960 --> 00:09:22.040]  你看到那些穿黑衣服的女士
[00:09:22.040 --> 00:09:23.320]  穿得很保守
[00:09:23.320 --> 00:09:25.120]  穿三重裙
[00:09:25.120 --> 00:09:27.560]  她的球鞋上有一條牛仔褲
[00:09:27.560 --> 00:09:31.240]  牛仔褲的膝蓋上有一條裙
[00:09:31.240 --> 00:09:32.560]  一定過膝蓋
[00:09:32.560 --> 00:09:35.240]  然後腰間有一件背心
[00:09:35.240 --> 00:09:37.240]  然後摘一塊布
[00:09:37.240 --> 00:09:39.840]  小朋友、男生有兩條辮子
[00:09:39.840 --> 00:09:44.640]  那些襯衫下面有一些扔下來的東西
[00:09:44.640 --> 00:09:48.720]  都是比較傳統的Orphodox Jews
[00:09:48.720 --> 00:09:51.680]  你星期五去電腦樓梯看
[00:09:51.680 --> 00:09:54.160]  去猶太寺那裡
[00:09:54.160 --> 00:09:55.960]  你就會看到這些
[00:09:55.960 --> 00:09:59.080]  這些人耶穌批評他們什麼呢?
[00:09:59.080 --> 00:10:01.720]  將律法、將重擔加在別人身上
[00:10:01.720 --> 00:10:04.480]  但是自己一根指頭都不肯讀
[00:10:04.480 --> 00:10:05.320]  就是說
[00:10:05.320 --> 00:10:08.960]  他是一種律法規條主義者
[00:10:08.960 --> 00:10:10.920]  是能講不能行
[00:10:10.920 --> 00:10:13.040]  心口不一致
[00:10:13.040 --> 00:10:17.080]  而且就是一種形式主義
[00:10:17.080 --> 00:10:19.440]  其實禮儀不是不好的
[00:10:19.440 --> 00:10:21.360]  禮儀是一種程序
[00:10:21.360 --> 00:10:26.640]  讓你有步驟去知道你要達到的屬靈目的
[00:10:26.640 --> 00:10:30.080]  所以甚至有很多基督教比較闊的宗派
[00:10:30.080 --> 00:10:34.440]  如果我們能夠明白他的舉動禮儀的背後
[00:10:34.440 --> 00:10:37.320]  你投入你的心路歷程
[00:10:37.320 --> 00:10:39.160]  跟著他的禮儀進行
[00:10:39.160 --> 00:10:41.600]  你也有所得著
[00:10:41.600 --> 00:10:43.040]  雖然我們是報道會
[00:10:43.040 --> 00:10:44.600]  是屬於Free Church
[00:10:44.600 --> 00:10:46.720]  但是我也覺得
[00:10:46.720 --> 00:10:49.640]  東正教或者是聖公會
[00:10:49.640 --> 00:10:52.840]  有很多的禮儀如果你明白它的意義
[00:10:52.840 --> 00:10:53.880]  是好的
[00:10:53.880 --> 00:10:55.640]  我們可以投入它
[00:10:55.640 --> 00:10:59.040]  是靈性追求的另外一種模式
[00:10:59.040 --> 00:11:01.920]  但是法理賽人是太過形式主義
[00:11:01.920 --> 00:11:04.360]  就是說他失去了律法的真義
[00:11:04.360 --> 00:11:08.000]  但是他仍然在形式保持
[00:11:08.000 --> 00:11:12.000]  今天我們會不會成為律法的規條主義
[00:11:12.000 --> 00:11:14.040]  墨守成規
[00:11:14.040 --> 00:11:16.840]  不僅是自己做不到
[00:11:16.840 --> 00:11:20.080]  還要將這件事加在別人身上
[00:11:20.080 --> 00:11:21.680]  如果是的話
[00:11:21.680 --> 00:11:23.480]  你就中了
[00:11:23.480 --> 00:11:29.000]  就中了施洗約翰所指責的毒蛇的種類
[00:11:29.000 --> 00:11:31.280]  今天教會好像當時
[00:11:31.280 --> 00:11:32.480]  2000年前
[00:11:32.480 --> 00:11:36.000]  有另一類人叫做薩都戈人
[00:11:36.000 --> 00:11:37.840]  薩都戈人是什麼呢?
[00:11:37.840 --> 00:11:41.720]  無論耶穌保羅是被抓
[00:11:41.720 --> 00:11:46.160]  說他們違反祖先的規條教導的時候
[00:11:46.160 --> 00:11:48.600]  當時提起復活的問題
[00:11:48.600 --> 00:11:50.200]  你想想
[00:11:50.200 --> 00:11:54.000]  那些法律賽人和薩都戈人就自相矛盾
[00:11:54.000 --> 00:11:54.920]  打成一片
[00:11:54.920 --> 00:11:58.000]  忘記要審的是保羅和耶穌
[00:11:58.000 --> 00:12:00.040]  換言之薩都戈人
[00:12:00.040 --> 00:12:02.480]  他們在政府裡面有地位
[00:12:02.480 --> 00:12:06.600]  但是他們受的教育文化是希羅文化
[00:12:06.600 --> 00:12:08.200]  就像我們今天所說的
[00:12:08.200 --> 00:12:09.800]  犯書仔
[00:12:09.800 --> 00:12:12.200]  不懂傳統中國文化
[00:12:12.200 --> 00:12:16.080]  不懂中國文化裡面禮儀背後的含義
[00:12:16.080 --> 00:12:18.080]  是什麼呢?
[00:12:18.080 --> 00:12:19.320]  這一群人
[00:12:19.320 --> 00:12:22.960]  或者說是今天的新派神學
[00:12:22.960 --> 00:12:24.640]  連復活都不相信
[00:12:24.640 --> 00:12:27.800]  他只相信希臘裡面的靈魂不老
[00:12:27.800 --> 00:12:30.360]  當然還有很多的教條
[00:12:30.360 --> 00:12:31.560]  正如今天
[00:12:31.560 --> 00:12:35.720]  很多的神學院裡面教導的是西方歐陸
[00:12:35.720 --> 00:12:37.680]  他們的人民思想
[00:12:37.680 --> 00:12:40.640]  用宗教包裝
[00:12:40.640 --> 00:12:44.160]  所以你去選擇神學院要很重要
[00:12:44.160 --> 00:12:46.560]  甚至你神學院裡面的老師
[00:12:46.560 --> 00:12:47.960]  跟你講解聖經
[00:12:47.960 --> 00:12:51.320]  你也要很清楚他背後的哲學立場是什麼
[00:12:51.320 --> 00:12:53.000]  所以有些在侍奉
[00:12:53.000 --> 00:12:55.200]  很出色的弟兄姊妹
[00:12:55.200 --> 00:12:56.080]  我說牧師
[00:12:56.080 --> 00:12:58.280]  我應不應該去讀神學院
[00:12:58.280 --> 00:13:00.520]  我說你很好去讀BSF
[00:13:00.520 --> 00:13:02.120]  我怕你讀完神學院回來
[00:13:02.120 --> 00:13:04.120]  你的機構要倒閉了
[00:13:04.120 --> 00:13:06.440]  因為你都不相信這樣不相信那樣
[00:13:06.440 --> 00:13:07.480]  怎麼辦呢?
[00:13:07.480 --> 00:13:08.400]  是不是?
[00:13:08.400 --> 00:13:11.400]  所以今天在這個末後的世代裡面
[00:13:11.400 --> 00:13:12.920]  我們要很小心
[00:13:12.920 --> 00:13:15.200]  不要做殺刀割人
[00:13:15.200 --> 00:13:18.280]  也不要做法律菜人
[00:13:18.280 --> 00:13:18.960]  好了
[00:13:18.960 --> 00:13:22.640]  第二類的一些經文
[00:13:22.640 --> 00:13:25.880]  是在食物有關的
[00:13:25.880 --> 00:13:28.800]  我用了一個弟兄
[00:13:28.800 --> 00:13:33.440]  他有一本書名叫做《賭命識的飲食》
[00:13:33.440 --> 00:13:35.880]  我認識一個上海的弟兄
[00:13:35.880 --> 00:13:37.840]  他說做生意很成功
[00:13:37.840 --> 00:13:40.240]  但是他就業餘
[00:13:40.240 --> 00:13:45.640]  去跟中國一個九十多歲的中醫學診症
[00:13:45.640 --> 00:13:49.000]  現在他經常在香港和內地
[00:13:49.000 --> 00:13:51.560]  義務幫人針灸診症
[00:13:51.560 --> 00:13:53.440]  不收錢的
[00:13:53.440 --> 00:13:55.600]  經常叫我去看
[00:13:55.600 --> 00:13:56.560]  不過他很遠
[00:13:56.560 --> 00:13:57.480]  去到沙田
[00:13:57.480 --> 00:13:58.600]  還要坐小巴
[00:13:58.600 --> 00:14:00.200]  上山頂那裡
[00:14:00.200 --> 00:14:03.360]  每次被他刺完是舒服很多的
[00:14:03.360 --> 00:14:05.440]  一大包重劑飯
[00:14:05.440 --> 00:14:08.320]  他寫了二十多三十本講飲食
[00:14:08.320 --> 00:14:12.520]  講如何從中醫理論角度
[00:14:12.520 --> 00:14:13.600]  講養生
[00:14:13.600 --> 00:14:15.120]  其中一本書
[00:14:15.120 --> 00:14:17.200]  我們平時很多觀念
[00:14:17.200 --> 00:14:18.320]  減肥
[00:14:18.320 --> 00:14:20.480]  吃東西之前吃一碟水果
[00:14:20.480 --> 00:14:22.480]  是致命的
[00:14:22.480 --> 00:14:24.320]  不是一定你的體質
[00:14:24.320 --> 00:14:26.160]  是要這樣吃
[00:14:26.160 --> 00:14:27.360]  每個人的體質不同
[00:14:27.360 --> 00:14:28.960]  有不同的方法
[00:14:28.960 --> 00:14:32.960]  有機會你看看這本《賭命識的飲食》
[00:14:32.960 --> 00:14:36.600]  《舊約》裡面說到爬行之物
[00:14:36.600 --> 00:14:39.400]  是不潔淨不可以吃
[00:14:39.400 --> 00:14:41.360]  也說到酒
[00:14:41.360 --> 00:14:43.080]  是很吸引人
[00:14:43.080 --> 00:14:44.680]  發紅
[00:14:44.680 --> 00:14:46.120]  閃爍
[00:14:46.120 --> 00:14:47.680]  吞下煙
[00:14:47.680 --> 00:14:49.200]  很舒暢
[00:14:49.200 --> 00:14:53.360]  但是終究他必咬你如蛇
[00:14:53.360 --> 00:14:56.440]  刺你如毒蛇
[00:14:56.440 --> 00:14:59.920]  我們很感謝主客中國人
[00:14:59.920 --> 00:15:03.040]  史唐傳第十五章期魯撒冷會議
[00:15:03.040 --> 00:15:06.560]  為我們解了很多把鎖
[00:15:06.560 --> 00:15:09.880]  保羅出去傳道的時候遇到很多人
[00:15:09.880 --> 00:15:13.240]  他們的飲食習慣、文化、生活習慣
[00:15:13.240 --> 00:15:18.320]  與當時猶太人和《舊約》所規定的不同
[00:15:18.320 --> 00:15:20.040]  他們爭議一個問題
[00:15:20.040 --> 00:15:21.040]  我信耶穌而已
[00:15:21.040 --> 00:15:22.640]  我用不著連飲食習慣
[00:15:22.640 --> 00:15:24.920]  各樣東西都要改變
[00:15:24.920 --> 00:15:28.520]  結果他們縮到很窄的問題
[00:15:28.520 --> 00:15:32.080]  食物只有兩樣東西不可以吃
[00:15:32.080 --> 00:15:33.840]  不可以吃血
[00:15:33.840 --> 00:15:36.760]  不可以吃勒死的牲畜
[00:15:36.760 --> 00:15:38.960]  不可以扮偶像
[00:15:38.960 --> 00:15:40.360]  不可以姦淫
[00:15:40.360 --> 00:15:42.000]  宗教道德那方面
[00:15:42.000 --> 00:15:43.640]  食物那方面
[00:15:43.640 --> 00:15:45.840]  但是如果你看保羅的書信
[00:15:45.840 --> 00:15:47.000]  到後來
[00:15:47.000 --> 00:15:50.920]  保羅因為到了歐洲那些地方
[00:15:50.920 --> 00:15:52.640]  他簡直是說
[00:15:52.640 --> 00:15:56.040]  "擺在桌上的不要問緣由"
[00:15:56.040 --> 00:15:59.360]  "祈禱祝謝,只有平平安安地吃"
[00:15:59.360 --> 00:16:00.720]  至少也說
[00:16:00.720 --> 00:16:02.960]  人不是因為吃什麼不吃什麼
[00:16:02.960 --> 00:16:06.240]  能夠進天國不能夠進天國
[00:16:06.240 --> 00:16:09.360]  出口的話
[00:16:09.360 --> 00:16:11.240]  比入口的食物
[00:16:11.240 --> 00:16:15.000]  那種污穢性更加厲害
[00:16:15.000 --> 00:16:17.840]  如果根據司唐善第十五章
[00:16:17.840 --> 00:16:20.480]  我們今天不能吃煮紅粥
[00:16:20.480 --> 00:16:23.800]  哮喘也不可以吃鵪鶉
[00:16:23.800 --> 00:16:25.800]  因為有一個民間驗方
[00:16:25.800 --> 00:16:27.440]  小朋友哮喘
[00:16:27.440 --> 00:16:30.680]  就要買一對黐紅的鵪鶉
[00:16:30.680 --> 00:16:33.560]  然後用繩子勒死他
[00:16:33.560 --> 00:16:36.520]  因為你斬他的頸放血無效
[00:16:36.520 --> 00:16:37.960]  再加鵝魚肉
[00:16:37.960 --> 00:16:40.360]  再加川貝
[00:16:40.360 --> 00:16:41.920]  就是很好的川貝
[00:16:41.920 --> 00:16:43.040]  去燉完
[00:16:43.040 --> 00:16:44.120]  吃完
[00:16:44.120 --> 00:16:47.240]  他就說包保利的小朋友的哮喘
[00:16:47.240 --> 00:16:48.680]  是痊癒過來的
[00:16:48.680 --> 00:16:49.600]  糟糕了
[00:16:49.600 --> 00:16:51.440]  哮喘要找另一條
[00:16:51.440 --> 00:16:52.960]  你說你不吃這些
[00:16:52.960 --> 00:16:54.280]  我哮喘吃西洋
[00:16:54.280 --> 00:16:56.200]  我不吃煮紅粥
[00:16:56.200 --> 00:16:57.480]  那些鵝肉呢
[00:16:57.480 --> 00:17:00.280]  我要用豆腐墊底不要鵝胸
[00:17:00.280 --> 00:17:01.960]  那我就問你吃牛扒
[00:17:01.960 --> 00:17:04.800]  你永遠只能做得好
[00:17:04.800 --> 00:17:07.240]  你不能吃那種叫「他他」
[00:17:07.240 --> 00:17:09.320]  「他他」就是直接不煮
[00:17:09.320 --> 00:17:11.240]  一坨這樣
[00:17:11.240 --> 00:17:13.640]  大部份人吃牛扒都是七成熟
[00:17:13.640 --> 00:17:16.600]  Medium Rare
[00:17:16.600 --> 00:17:18.040]  但是我們看到
[00:17:18.040 --> 00:17:19.680]  為什麼不能吃血呢
[00:17:19.680 --> 00:17:21.800]  因為血在舊約的祭祀
[00:17:21.800 --> 00:17:24.400]  是代表生命
[00:17:24.400 --> 00:17:27.320]  是代表贖罪的生命
[00:17:27.320 --> 00:17:28.720]  是給神的
[00:17:28.720 --> 00:17:29.840]  你吃肉好了
[00:17:29.840 --> 00:17:32.760]  血是代表生命
[00:17:32.760 --> 00:17:35.080]  太多書第一章講得好
[00:17:35.080 --> 00:17:37.000]  一個人的良心乾淨
[00:17:37.000 --> 00:17:39.520]  天地良知都乾淨
[00:17:39.520 --> 00:17:42.080]  一個人的良心不乾淨
[00:17:42.080 --> 00:17:44.360]  什麼都不乾淨
[00:17:44.360 --> 00:17:46.360]  你吃不吃泰國菜
[00:17:46.360 --> 00:17:47.680]  很多人吃泰國菜
[00:17:47.680 --> 00:17:48.720]  但是你吃的時候
[00:17:48.720 --> 00:17:51.480]  你不知道在廚房做了什麼
[00:17:51.480 --> 00:17:52.520]  我聽說
[00:17:52.520 --> 00:17:54.080]  看一些專欄
[00:17:54.080 --> 00:17:56.240]  泰國菜的食慾裡
[00:17:56.240 --> 00:17:58.920]  是有一個拜神的儀式
[00:17:58.920 --> 00:18:01.480]  在後面做你不知道的
[00:18:01.480 --> 00:18:04.880]  你就像彈耳裡面被巴比倫王
[00:18:04.880 --> 00:18:06.640]  給他們的王的食物
[00:18:06.640 --> 00:18:10.680]  是有祭祀巴比倫王的一些形式
[00:18:10.680 --> 00:18:14.240]  我們知道偶像不算什麼
[00:18:14.240 --> 00:18:16.440]  這些東西不會勝過
[00:18:16.440 --> 00:18:18.760]  但是為著人的良心
[00:18:18.760 --> 00:18:20.480]  我們有所不吃
[00:18:20.480 --> 00:18:22.960]  有所不淫
[00:18:22.960 --> 00:18:26.960]  有一個英國很出名的推銷員
[00:18:26.960 --> 00:18:29.520]  他走遍世界各地去開會
[00:18:29.520 --> 00:18:31.920]  我看見一個專欄的說
[00:18:31.920 --> 00:18:34.560]  他說基本上世界
[00:18:34.560 --> 00:18:37.640]  米茲蓮有星的地方
[00:18:37.640 --> 00:18:40.280]  他也吃過
[00:18:40.280 --> 00:18:42.360]  他的答案就不外如是
[00:18:42.360 --> 00:18:44.760]  所以你不要去追求了
[00:18:44.760 --> 00:18:47.240]  找些有節五星期的去就行了
[00:18:47.240 --> 00:18:49.560]  五顆星這樣
[00:18:49.560 --> 00:18:51.080]  我的意思就是說
[00:18:51.080 --> 00:18:54.240]  若然上帝給我們有機會享受美食
[00:18:54.240 --> 00:18:56.400]  我們感謝主
[00:18:56.400 --> 00:18:58.760]  享用這些東西
[00:18:58.760 --> 00:19:00.640]  但是若然上帝安排
[00:19:00.640 --> 00:19:02.800]  我們好像蔡根潭一樣
[00:19:02.800 --> 00:19:04.160]  粗茶淡飯
[00:19:04.160 --> 00:19:06.440]  我們同樣感謝主
