
[00:00:00.000 --> 00:00:03.800]  在一個真的是水深火熱的世代 可是他活出了一個非常
[00:02:50.240 --> 00:02:56.360]  待會跟你分享為什麼這個題目重要 因為這個題目也影響你跟我前面的路
[00:02:57.320 --> 00:03:05.200]  這個題目很簡單 這個題目就叫做他們有一個觀念 但依理是相信說 雖然他活在一個亂世的
[00:03:05.200 --> 00:03:12.520]  當中 水深火熱就是他亡國了 現在是兵荒馬亂的時代 可是在亂世當中 他相信說
[00:03:12.520 --> 00:03:16.400]  他的上帝仍然是掌權的
[00:03:16.400 --> 00:03:21.280]  意思是說整個大環境好像是已經失控了
[00:03:21.680 --> 00:03:29.680]  已經我國家滅亡了 我家也沒有了 我被擄到了異鄉他國 然後我們經常去敬拜的那間教堂
[00:03:29.680 --> 00:03:31.680]  那個聖殿現在也被毀了
[00:03:31.680 --> 00:03:36.160]  那其中的那些金銀財寶也被擄到巴比倫的國度
[00:03:36.160 --> 00:03:41.520]  整個環境看起來是已經失控了 已經完全不像樣
[00:03:41.520 --> 00:03:48.560]  可是但依理在這個時候他還是相信說 我相信的這位上帝並沒有失控
[00:03:49.040 --> 00:03:55.520]  他還是把握著整個全局 所以這個第一個觀念就是在亂世中
[00:03:55.520 --> 00:04:00.120]  掌權的神 就是在亂世當中神依然掌權
[00:04:00.120 --> 00:04:06.880]  那麼這個觀念影響了三件事情 那第一件事就是人生的定位 人生的定位
[00:04:06.880 --> 00:04:13.480]  其實但依理寫書的時候 他當時的時代 我剛剛說過是個非常不好的時代
[00:04:13.480 --> 00:04:17.880]  真的兵荒馬亂 就是家沒了 國沒了 他被擄到異邦他鄉
[00:04:18.320 --> 00:04:21.800]  那我最佩服他的一個心態 我在第一堂的時候也分享過
[00:04:21.800 --> 00:04:28.320]  就是亡國跟他沒有關係 就是這不是他的錯 他是個很認真面對信仰的人
[00:04:28.320 --> 00:04:32.520]  但是他周遭所有的人都是那群就是
[00:04:32.520 --> 00:04:38.600]  亂七八糟的人 就一天到晚拜偶像啊 得罪神啊 那神派很多先知跟他們說
[00:04:38.600 --> 00:04:41.000]  不要再搞了 不要再搞了 回頭回頭
[00:04:41.000 --> 00:04:46.200]  他們不聽不聽 那後來神就說不聽對不對 那懲罰就來到 你們要亡國
[00:04:46.440 --> 00:04:49.560]  所以神很早就已經預言說 你們再不聽就亡國
[00:04:49.560 --> 00:04:52.120]  他們就不聽 那結果就亡國了嘛
[00:04:52.120 --> 00:04:59.240]  可是但依理他沒有 就是亡國跟他無關 可是他卻成為第一批被擄的人
[00:04:59.240 --> 00:05:03.720]  意思說他成為第一批需要承擔這個後果的人
[00:05:03.720 --> 00:05:12.160]  人生很多時候就是這樣子 就是這個決定不是你做的 你老闆做了個錯誤的決定 就弄得公司的財政有問題
[00:05:12.480 --> 00:05:18.000]  那結果被裁的是你 跟老闆 你的總經理沒關係 他的位置保住了 那你就被裁
[00:05:18.000 --> 00:05:24.280]  那你說奇怪 不關我的事啊 我好好一個員工 你做的決定 為什麼我要背這個後果
[00:05:24.280 --> 00:05:31.560]  可是但依理在亂世當中 他要承擔這樣的後果 可是他用一種非常好的態度面對
[00:05:31.560 --> 00:05:39.640]  他真的沒有用那種怨天尤人啊 反正不關我的事啊 我這麼認真面對信仰 你們亂搞 好 現在我遭殃
[00:05:40.640 --> 00:05:43.840]  他還是相信說在這個兵荒馬亂的世代
[00:05:43.840 --> 00:05:45.000]  他的神
[00:05:45.000 --> 00:05:50.640]  依然是掌權的 就是為什麼他能夠找到的人生的一個定位
[00:05:50.640 --> 00:05:55.040]  他身邊所有人都已經跟風了 就是所有人都已經放棄信仰說
[00:05:55.040 --> 00:06:02.440]  你看這位神 我們得罪神這麼久 他已經不理我們了 如果他真的理我們 我們至於今天這樣整個國家滅亡嗎
[00:06:02.440 --> 00:06:04.200]  我們被擄到異邦他鄉
[00:06:04.800 --> 00:06:12.120]  跟他一起去的大概只有他那三個小夥伴 一直陪伴著他 堅持他的信仰 其他人都已經放棄了
[00:06:12.120 --> 00:06:14.640]  隨便吧 隨波逐流吧
[00:06:14.640 --> 00:06:18.360]  在人生當中 如果你不是相信
[00:06:18.360 --> 00:06:26.760]  在這個時代 是神把你放在這個時代 他在你身上有一套的計劃 你的人生就沒有定位
[00:06:26.760 --> 00:06:28.120]  你就跟風
[00:06:29.400 --> 00:06:34.720]  我有一次在在日本 在日本的地鐵站看到一間甜品店
[00:06:34.720 --> 00:06:40.640]  很多人在排隊 其實他賣什麼甜品 我真的不知道 我也沒吃過
[00:06:40.640 --> 00:06:44.840]  不過因為很多人排隊 那我也就去排了
[00:06:44.840 --> 00:06:51.360]  那排了一個小時終於買到那個甜品 買回來發現也不是我喜歡吃的
[00:06:51.360 --> 00:06:59.000]  其實這就是人生一個的輸贏 只是我浪費了一個小時 很多人浪費一輩子
[00:06:59.640 --> 00:07:05.640]  就是你不知道你想要什麼 你只是看到很多人都往那個方向去 應該沒錯吧 那我也去
[00:07:05.640 --> 00:07:14.040]  結果你花一輩子的時間努力爭取 最後你得到的東西 你拿回來一看說 這其實不是我喜歡的
[00:07:14.040 --> 00:07:16.600]  這就是跟風的人
[00:07:16.600 --> 00:07:19.960]  最悲慘的下場 就是你辛苦一輩子
[00:07:19.960 --> 00:07:25.760]  可是你永遠不知道你要的是什麼 你永遠只是跟風 你人生是沒有定位
[00:07:26.280 --> 00:07:32.520]  除非你真的相信這個時代是神把你擺在這個時代 他有一個特殊的使命給你
[00:07:32.520 --> 00:07:38.120]  你才能夠做出一個定位 你才能夠活出像蛋一裡這樣成功的人生
[00:07:38.120 --> 00:07:39.360]  我在
[00:07:39.360 --> 00:07:41.200]  不但只是
[00:07:41.200 --> 00:07:48.200]  買甜品了 其實很多事情你看到跟風的下場其實還蠻可怕的 比方說買股票
[00:07:49.000 --> 00:07:58.320]  我對股票不是很懂 我也沒有投資股票 可是最基本的道理還是懂的 就是股票應該是價位低的時候你買嘛
[00:07:58.320 --> 00:08:03.480]  對不對 就價位高的時候你賣 那你就賺了嘛 應該是這樣嘛 對不對 道理是應該這樣
[00:08:03.480 --> 00:08:06.600]  可是你發現所有人投資股票都是相反的
[00:08:06.600 --> 00:08:15.240]  股票漲了趕快買呀 股票跌了趕快拋呀 那你就想說為什麼大家都相反的呢
[00:08:15.240 --> 00:08:18.480]  不是應該股票跌了趕快買呀
[00:08:19.920 --> 00:08:25.480]  前幾年美國有一本非常出名的雜誌 財經雜誌叫money magazine
[00:08:25.480 --> 00:08:28.400]  那money magazine有一年他post一個question
[00:08:28.400 --> 00:08:35.760]  他有一道題目他說啊 如果誰能夠答對這道題目的話呢 那就有獎品 那很多人就就把那個答案
[00:08:35.760 --> 00:08:40.480]  發發發進去那個magazine裡面 那題目是這樣問的他說
[00:08:40.480 --> 00:08:48.520]  這個人稱華爾街股神Warren Buffet啊 就是很多年排名首富榜第三名
[00:08:49.080 --> 00:08:56.640]  他說大家猜猜大家猜猜他在美國股災最嚴重的那個年代就股市崩盤啊那個年代
[00:08:56.640 --> 00:08:58.800]  他到底虧了多少錢
[00:08:58.800 --> 00:09:00.160]  就這樣一個問題
[00:09:00.160 --> 00:09:05.560]  那很多人就去就算了嘛 就是當初他他擁有的股票大概當時可能
[00:09:05.560 --> 00:09:13.400]  他買的時候100塊一股啦 現在股災的時候跌到10塊錢一股 那大家就算 那有些人大概大部分的都算說
[00:09:13.400 --> 00:09:18.320]  他應該虧了大概上百億美金 就這樣說大概上百億
[00:09:19.280 --> 00:09:26.800]  那最後那個money magazine就公佈答案說 哎 大概都沒有人猜對 他說真正最準確的答案是
[00:09:26.800 --> 00:09:28.760]  他其實一分錢都沒虧
[00:09:28.760 --> 00:09:34.600]  他奇怪 為什麼一分錢都沒虧 明明你股市跌了嘛 倒是很簡單 因為他沒有賣
[00:09:34.600 --> 00:09:37.680]  你知道嗎 沒賣就沒虧
[00:09:37.680 --> 00:09:44.520]  你的股票本來是100塊一股 現在跌到10塊 你好像是虧了90塊一股
[00:09:44.520 --> 00:09:47.240]  可是前提是如果你賣了
[00:09:48.080 --> 00:09:51.400]  如果你賣了就虧90塊 如果你沒賣呢
[00:09:51.400 --> 00:09:53.000]  一分錢都沒虧
[00:09:53.000 --> 00:10:01.800]  等到幾年過後經濟又恢復了 然後股市又重新回到那個價位 甚至更高的時候他在賣 他沒虧反而賺
[00:10:01.800 --> 00:10:08.560]  所以在所有的身邊的朋友都在股市崩盤的時候 啪哇啪哇都虧的一塌糊塗的時候
[00:10:09.200 --> 00:10:18.200]  Warren Buffet帶領他的投資團隊很安全的走過那個經濟危機的年代 靠的只有一招 就是不賣 不跟風
[00:10:18.200 --> 00:10:25.000]  就大家都賣嘛 那我就堅持說 我就看好美國經濟 應該過了幾年他會好的
[00:10:25.000 --> 00:10:27.200]  不賣他說一分錢都沒虧
[00:10:27.200 --> 00:10:30.680]  那人生有時候就像投資股票一樣
[00:10:30.680 --> 00:10:37.600]  你把你的時間 你的精力 你的才幹 甚至你的愛情感情
[00:10:38.320 --> 00:10:39.680]  你投到什麼地方
[00:10:39.680 --> 00:10:43.520]  就注定你這一生到底過得成不成功
[00:10:43.520 --> 00:10:50.040]  那如果你是跟風 每到不知道投到哪 反正好像某個職業不錯 投那邊投那邊
[00:10:50.040 --> 00:10:57.960]  到時候你就發現這根本不是你喜歡的工作 你做的又辛苦 你做的不開心 做的不開心自然做的不好
[00:10:57.960 --> 00:11:03.000]  對不對 你把感情投錯地方 你這一生大概也就毀了
[00:11:03.520 --> 00:11:09.640]  多少人輟學是因為愛情的緣故對不對 就是愛情崩盤了 那就很糟糕
[00:11:09.640 --> 00:11:15.360]  所以人生如果你不知道說有一位神他放你在這個時代
[00:11:15.360 --> 00:11:23.400]  他在你身上有一套計劃 如果你不去尋求的話 通常你人生就沒有定位 你就跟風
[00:11:23.400 --> 00:11:26.000]  就這個世代好像流行什麼我就跟的
[00:11:26.000 --> 00:11:30.760]  你要回來的東西未必是你真正需要的
[00:11:31.400 --> 00:11:35.080]  所以丹伊里他能夠決心 像丹伊里書一章八節
[00:11:35.080 --> 00:11:42.280]  他年輕的時候他遇到挑戰 他就說丹伊里決心不沾王公的食物和酒 免得自己在禮儀上不潔淨
[00:11:42.280 --> 00:11:47.960]  於是他請求亞斯比拿幫助他 這是他第一個挑戰 他第一個立場
[00:11:47.960 --> 00:11:56.360]  所有的人都不管了 難得進到UC巴比倫還包吃包喝 吃的還是皇宮的食物 那我就照吃了嘛
[00:11:56.360 --> 00:12:00.920]  那只有他跟他身邊三個小夥伴決定說我們堅守我們的立場
[00:12:01.400 --> 00:12:04.840]  因為那些食物他們覺得敗過偶像不好 就不要吃
[00:12:04.840 --> 00:12:07.160]  所以他知道神掌權
[00:12:07.160 --> 00:12:15.760]  背後他相信在這個兵荒馬亂的時代 神依然有計劃在他身上 他就有個定位
[00:12:15.760 --> 00:12:22.600]  他就在這個年代能夠活出他應該有的生活 不然所有人都跟風 反正
[00:12:22.600 --> 00:12:25.760]  入鄉隨俗嘛 來到巴比倫照吃了
[00:12:27.120 --> 00:12:35.040]  人生就是這樣 如果你沒有認識那位神 知道他在你身上的計劃 很多的時候你人生就是隨波逐流
[00:12:35.040 --> 00:12:37.400]  第二個影響
[00:12:37.400 --> 00:12:40.000]  但以你的一生的
[00:12:40.000 --> 00:12:46.960]  就是一個非常重要的觀念 到了第二章 這個觀念就是神借著一個夢能夠告訴他說
[00:12:46.960 --> 00:12:51.200]  原來他人生未來的盼望到底有多有希望
[00:12:52.080 --> 00:13:00.000]  到了第二章發生了一件很奇特的事 那前幾章我們也分享過 就是當初的巴比倫王做了一個夢
[00:13:00.000 --> 00:13:02.760]  那麼做了一個夢了 他就要找他的那些
[00:13:02.760 --> 00:13:12.120]  江湖術士們來幫他解夢 那麼他也知道他請的那一群所謂的江湖術士都是混飯吃的 有些完全是不懂
[00:13:12.120 --> 00:13:20.040]  所以他就特別刁難他們說 我不把我的夢告訴你 如果我把我的夢告訴你 你就亂說一套忽悠我唄
[00:13:20.360 --> 00:13:26.320]  那我就說 我不把我的夢告訴你 如果你真的 所謂的上通天神
[00:13:26.320 --> 00:13:35.440]  讓他告訴你我的夢是什麼 那如果你 我不把我的夢告訴你 你還可以幫我解夢的話 表示你真材實料
[00:13:35.440 --> 00:13:41.240]  所以他就用了 如果你解不出我的夢 全部殺頭 就那一群官全部都得死
[00:13:41.240 --> 00:13:46.400]  就在這個時候 丹依里就站出來說 給我幾天時間 我可以解
[00:13:46.960 --> 00:13:55.160]  那於是他就回去禱告說 神啊 怎麼辦呢 現在要解不出夢就殺頭了 那結果神就幫助他 藉著一個夢告訴他說
[00:13:55.160 --> 00:14:00.360]  我告訴你怎麼幫那個巴比倫王去解夢 就這樣的一件事情
[00:14:00.360 --> 00:14:07.720]  那神就藉著那個夢告訴了丹依里整個歷史 大概他告訴他大概前面500年的歷史
[00:14:07.720 --> 00:14:11.960]  他把巴比倫將要被波斯帝國侵滅
[00:14:12.440 --> 00:14:19.760]  的這件事告訴他 然後波斯帝國後來會被希臘帝國打贏了 希臘帝國的興起也告訴他
[00:14:19.760 --> 00:14:26.800]  後來希臘帝國被羅馬帝國征服也告訴他 那後來羅馬帝國被哪個帝國征服啊 被教會征服
[00:14:26.800 --> 00:14:36.000]  所以整個羅馬帝國變了基督教的國家也告訴他 所以整整大概是500年 他生活的年代大概是公元前500年
[00:14:36.520 --> 00:14:43.560]  到了大概公元的時候 就0年的時候 就大概是羅馬帝國的時期 就是教會開始興起的時期
[00:14:43.560 --> 00:14:48.960]  大概500年的歷史 神藉著一個夢就告訴他 所以藉著那個夢
[00:14:48.960 --> 00:14:58.040]  至少丹尼很清楚知道一點 說他信的神果真沒錯 原來前面這個歷史現在看起來好像
[00:14:58.040 --> 00:15:05.960]  所有環境都失控 可是這500年的歷史告訴他 他的神是掌管時間的
[00:15:06.560 --> 00:15:12.200]  至少前面歷史這500年 神說這個時間表在神的手中
[00:15:12.200 --> 00:15:20.600]  他知道哪一個年代會發生什麼事 哪一個年代波斯帝國會興起 哪個年代希臘帝國然後到羅馬帝國 然後最後
[00:15:20.600 --> 00:15:25.680]  羅馬帝國整個會變基督教的國度 所以他整個歷史已經告訴他
[00:15:25.680 --> 00:15:31.880]  自從那個夢之後 丹尼就知道說 我信的神沒錯 果真他掌管歷史
[00:15:31.880 --> 00:15:36.200]  如果神可以掌管歷史的時間表
[00:15:36.960 --> 00:15:44.040]  下面能夠影響我們的就是 你信不信神也能夠掌管你的時間表呢
[00:15:44.040 --> 00:15:47.000]  你知道時間是很難控制的
[00:15:47.000 --> 00:15:51.280]  在西伯來 我昨天有個音樂會 我也跟他們分享一個觀念
[00:15:51.280 --> 00:15:56.560]  在西伯來人 就猶太人有個觀念 他們認為成功了
[00:15:56.560 --> 00:16:02.760]  的解釋其實跟環差不多 我們環認為成功就是天時地利人和就成功對不對
[00:16:03.680 --> 00:16:07.680]  猶太人也這樣認為 他們覺得成功就是你在對的時間
[00:16:07.680 --> 00:16:13.960]  在對的地方出現 遇到對的人 那通常你就成功 那不然通常你就失敗
[00:16:13.960 --> 00:16:21.920]  所以西伯來文有個字叫carat 意思就是有些中文翻成是機遇吧 英文翻成是成功
[00:16:21.920 --> 00:16:26.200]  那麼這個字第一次出現是因為有一個人要選老婆
[00:16:26.200 --> 00:16:33.520]  你知道選老婆是真的選偶像啊 就選配偶 選你的配偶 選你的男朋友女朋友
[00:16:33.920 --> 00:16:40.800]  真的需要你在對的時間 在對的地方 碰到對的人 那你的感情就不錯啊 有一個人叫亞伯拉罕
[00:16:40.800 --> 00:16:49.200]  他年紀大了 他就說 哎 也是時候幫我的孩子找個媳婦 那麼他就把他的管家叫來說 哎
[00:16:49.200 --> 00:16:54.640]  我的孩子大了 那這樣你回我的家鄉幫我的孩子找一個媳婦
[00:16:54.640 --> 00:17:00.600]  那我的要求也不高 我只需要他有天使的面貌 魔鬼的身材以及
[00:17:01.120 --> 00:17:05.560]  連那個什麼什麼賢妻良母的品格就可以了
[00:17:05.560 --> 00:17:10.840]  那麼那老管家聽了就 哎 壓力就來了 我哪裡找這樣的女生呢
[00:17:10.840 --> 00:17:15.760]  就去到回到家鄉 回到家鄉之後呢 他就做了一個簡單的禱告
[00:17:15.760 --> 00:17:23.440]  他就說了一句話 英文說英文的翻譯是law Grammy success 就是讓我成功
[00:17:23.440 --> 00:17:28.520]  啊 好像中文的譯本是說神今天讓我有一個好的機遇
[00:17:29.000 --> 00:17:35.200]  所以英文翻譯成成功 中文翻譯成機遇 啊 希伯來文的原文是Cora 這個字 就是
[00:17:35.200 --> 00:17:39.920]  幫助我在對的時候 在對的地方就遇見這個對的人
[00:17:39.920 --> 00:17:43.000]  所以他剛做完這個禱告 抬頭一看
[00:17:43.000 --> 00:17:51.280]  那個天使的面貌 魔鬼身材 賢妻良母的品格的女生就出現了 結果這件事就水到渠成
[00:17:51.280 --> 00:17:58.560]  他就幫他的主人找到一個非常滿意的媳婦 你知道人生就是這樣 你的感情也是一樣
[00:17:59.400 --> 00:18:07.160]  你怎麼樣選擇你的配偶 你真的可以計劃的到你在對的時間 在對的地方出現 然後碰到對的人嗎
[00:18:07.160 --> 00:18:14.480]  你知道很多時候感情失敗不是會人錯 有時候是因為對的人就錯的時間
[00:18:14.480 --> 00:18:19.720]  對不對 你有沒有聽過蘇永康的那首歌 蘇永康有首歌叫 啊 什麼叫啊
[00:18:19.720 --> 00:18:26.760]  就愛還是最美 對不對 啊 最後結束的那句歌詞 他的結束是這樣結束的 就是說兩個對的人在錯的時間愛了一回
[00:18:27.160 --> 00:18:33.240]  就這麼 就這樣 所以下次你跟你的女朋友分手 別人說 哎 怎麼又分手咧 你就說 其實也沒什麼了
[00:18:33.240 --> 00:18:36.800]  只是兩個對的人在錯的時間愛了一回 就這麼簡單
[00:18:36.800 --> 00:18:43.400]  你總希望說你的人生是可以在對的時間跟對的人能夠愛一輩子
[00:18:43.400 --> 00:18:46.720]  但是你沒有辦法掌控時間呢
[00:18:46.720 --> 00:18:53.760]  答應你給我們的第二個最大的挑戰是說 你真的相信我們的神
[00:18:54.600 --> 00:19:02.320]  掌控時間表 他能夠把你擺在對的時間 在對的地方出現 然後你就成功嗎
[00:19:02.320 --> 00:19:07.240]  你的感情會成功 而且不但止如此 有時候真的會救你一命
[00:19:07.240 --> 00:19:14.400]  有個教會的弟兄 其實他從小在教會長大 那麼他聽過這個觀念很多次
[00:19:14.400 --> 00:19:20.480]  可是他 他不太知道說什麼叫對的時間 在對的地方出現 有什麼那麼重要呢
[00:19:21.120 --> 00:19:29.120]  直到有一次他去以色列出差 那麼他住在耶路撒冷的一間酒店 那麼有一天早上他就去吃早餐
[00:19:29.120 --> 00:19:36.440]  他在大堂吃早餐的時候呢 他就走去吃早餐的地方 他剛好走的時候剛好那間酒店
[00:19:36.440 --> 00:19:44.720]  發生了恐怖襲擊 就有人在埋了個炸彈就在那邊爆炸 可是在那個爆炸當中他就是
[00:19:44.720 --> 00:19:46.560]  一點傷害都沒有
[00:19:47.480 --> 00:19:54.240]  只是因為他正在大堂走的時候 他剛好走到一根柱子的後面的時候
[00:19:54.240 --> 00:19:55.560]  爆炸就發生
[00:19:55.560 --> 00:20:00.320]  所以等爆炸發生完 他從柱子走出來的時候發現已經爆完了
[00:20:00.320 --> 00:20:04.560]  他就看到整場很多人傷亡 可是他一點事都沒有
[00:20:04.560 --> 00:20:09.440]  他後來分享見證的時候說 在那一刻
[00:20:09.440 --> 00:20:13.600]  他明白什麼叫做在對的時間
[00:20:14.320 --> 00:20:18.000]  在對的地方出現有多麼的重要
[00:20:18.000 --> 00:20:27.560]  有時候人生遇到不如意的事 其實總歸來說 就是你在錯的時間 出現在錯的地方 遇到錯的人 大概就是這樣
[00:20:27.560 --> 00:20:31.560]  很多時候我們遇到所謂的災難 其實是自然的一些
[00:20:31.560 --> 00:20:33.400]  狀況 無論是地震
[00:20:33.400 --> 00:20:41.240]  颱風也好 任何的事情 其實這些都不是一些錯的事 這是一些自然的現象
[00:20:41.840 --> 00:20:48.240]  但是如果你在錯的時間 在錯的地方出現 那麼這些自然的現象就非常影響你
[00:20:48.240 --> 00:20:50.880]  就比方說有一對
[00:20:50.880 --> 00:20:56.440]  新婚的夫婦 他們去度蜜月 他們就去了馬來西亞的一個島
[00:20:56.440 --> 00:21:03.960]  那麼他在島度蜜月的時候 有一天他的丈夫就很想在沙灘裡面去曬太陽去relax一下 輕鬆一下
[00:21:03.960 --> 00:21:11.760]  可是他太太呢 就那天早上不知道為什麼 就很有一種衝動 想說我想要吃一種特別的食物
[00:21:12.360 --> 00:21:17.680]  可是那種食物呢 在他那個沙灘是沒有的 他需要開車all the way
[00:21:17.680 --> 00:21:22.480]  去島的另外一邊 才有一間餐館有那種食物
[00:21:22.480 --> 00:21:30.680]  所以他們就決定沒辦法了 太太想吃嗎 那就去吧 那後來他們就開車去了 就在他們吃午餐的時候
[00:21:30.680 --> 00:21:36.160]  海嘯就發生 本來他們想要曬太陽的那個沙灘發生海嘯
[00:21:36.160 --> 00:21:41.360]  在對的時間 出現在對的地方 遇到對的人
[00:21:42.240 --> 00:21:47.680]  這就是人生成功很重要的秘訣 這就是猶太人的觀念
[00:21:47.680 --> 00:21:55.280]  但是請問 你能夠控制 你永遠能夠在對的時間 在對的地方出現嗎
[00:21:55.280 --> 00:21:59.720]  無論你更聰明 你沒 我相信你沒有辦法預計說
[00:21:59.720 --> 00:22:07.840]  啊 我大概明天就8點45分23秒就剛好走到那條柱子的後面 那剛好爆炸就發生 那我就沒事了嗎
[00:22:08.920 --> 00:22:14.120]  你操控不來了 無論你更聰明 你只能努力做你的事情 可是
[00:22:14.120 --> 00:22:17.560]  有誰可以把你的人生安排在
