
[00:00:00.000 --> 00:00:02.560]  梁法堂的大英姐妹平安
[00:01:52.880 --> 00:01:54.720]  我還怕誰呢?
[00:01:54.720 --> 00:01:57.880]  耶和華是我生命的保障
[00:01:57.880 --> 00:02:00.600]  我還懼誰呢?
[00:02:00.600 --> 00:02:05.440]  裏面講的「懼怕」其實是很真實的
[00:02:05.440 --> 00:02:09.200]  我們很擔心染病
[00:02:09.200 --> 00:02:15.800]  很害怕傳染給我們的家人、朋友和同事
[00:02:15.800 --> 00:02:19.480]  我們特別擔心沒有打針的
[00:02:19.480 --> 00:02:23.680]  沒有抗體的小孩和老人家
[00:02:23.680 --> 00:02:25.960]  我們有很多的憂慮
[00:02:25.960 --> 00:02:30.880]  我們憂心要去隔離營
[00:02:30.880 --> 00:02:39.440]  或者我們憂慮在老人院、在醫院的親人會不會被傳染
[00:02:39.440 --> 00:02:44.360]  我們很擔心政府會不會封城
[00:02:44.360 --> 00:02:48.440]  或者亦都因為這種擔心
[00:02:48.440 --> 00:02:55.200]  令到上個禮拜全民就出去搶購食物
[00:02:55.200 --> 00:02:58.560]  塞滿自己的雪櫃
[00:02:58.560 --> 00:03:03.520]  我們同時都擔心政策不貼地的人禍
[00:03:03.520 --> 00:03:07.760]  令到市民百上加斤
[00:03:07.760 --> 00:03:11.280]  經濟蕭條、社會不安
[00:03:11.280 --> 00:03:14.880]  最大的問題就是我們這些懷疑
[00:03:14.880 --> 00:03:17.320]  不單單是懷疑
[00:03:17.320 --> 00:03:24.040]  不單單這些懷疑還可以針對我們的上帝
[00:03:24.040 --> 00:03:27.320]  「上帝啊!你究竟是否存在?」
[00:03:27.320 --> 00:03:32.600]  「為何我們要經歷這些仇苦、這些苦難?」
[00:03:32.600 --> 00:03:36.120]  詩人和上仰都有這些質疑
[00:03:36.120 --> 00:03:40.960]  在詩篇27篇7至12節裏面
[00:03:40.960 --> 00:03:47.480]  她正好展現了哀歌的傳統
[00:03:47.480 --> 00:03:53.440]  這似乎是一個個人的哀歌
[00:03:53.440 --> 00:03:57.600]  當人生面對迷茫、失焦的時候
[00:03:57.600 --> 00:04:03.760]  哀歌就正好表達到詩人的痛苦、悲傷
[00:04:03.760 --> 00:04:06.280]  沮喪和憤怒
[00:04:06.280 --> 00:04:10.640]  從中都希望去尋求上帝應允禱告
[00:04:10.640 --> 00:04:13.720]  令到詩人可以安然居住
[00:04:13.720 --> 00:04:17.720]  一般哀歌的格式大概可以分為
[00:04:17.720 --> 00:04:21.520]  一、向上帝發出懇求
[00:04:21.520 --> 00:04:26.800]  二、表達上帝給予表達詩人的苦情
[00:04:26.800 --> 00:04:31.040]  三、去祈求上帝應允祈禱
[00:04:31.040 --> 00:04:34.320]  四、敬拜和讚美
[00:04:34.320 --> 00:04:38.480]  去確認上帝會聆聽詩人的禱告
[00:04:38.480 --> 00:04:41.440]  令他可以安然居住
[00:04:41.440 --> 00:04:44.040]  但是作為詩歌的題材
[00:04:44.040 --> 00:04:51.560]  每一首哀歌都不一定會跟足以上的格式
[00:04:51.560 --> 00:04:57.800]  這首詩篇在第七節裏面
[00:04:57.800 --> 00:05:00.560]  亦有一個呼求上帝
[00:05:00.560 --> 00:05:02.600]  去聆聽我們的禱告
[00:05:02.600 --> 00:05:04.760]  應允我的祈禱
[00:05:04.760 --> 00:05:07.600]  第九節裏面有四個筆
[00:05:07.600 --> 00:05:12.600]  「叫上帝不要轉念不顧我」
[00:05:12.600 --> 00:05:15.920]  「不要發怒 不要離開我」
[00:05:15.920 --> 00:05:18.000]  「不要撇棄我」
[00:05:18.000 --> 00:05:19.920]  第十二節裏面
[00:05:19.920 --> 00:05:25.920]  「不要將我交給敵人 任由對方魚肉」
[00:05:25.920 --> 00:05:28.200]  無論向上帝呼求
[00:05:28.200 --> 00:05:31.320]  或者要求上帝不要離棄我
[00:05:31.320 --> 00:05:38.520]  裏面都蘊含了一種靈性上的憂慮
[00:05:38.520 --> 00:05:40.480]  第八節裏面講到
[00:05:40.480 --> 00:05:44.240]  詩人說「你的面我正要尋求」
[00:05:44.240 --> 00:05:49.000]  但是尋找卻找不到
[00:05:49.000 --> 00:05:51.800]  所以才要在第九節裏面
[00:05:51.800 --> 00:05:54.800]  有一個主觀這樣講
[00:05:54.800 --> 00:05:59.400]  「不要轉念不見我」
[00:05:59.400 --> 00:06:03.400]  的確我們生活在逆境裏面
[00:06:03.400 --> 00:06:07.840]  以上的情緒其實都很正常的
[00:06:07.840 --> 00:06:10.200]  真實的恐懼和懷疑
[00:06:10.200 --> 00:06:16.200]  是幫我們帶來真誠的信仰
[00:06:16.200 --> 00:06:19.240]  對於我們一些不可以預知的
[00:06:19.240 --> 00:06:23.480]  和有限的人生來說是必須的
[00:06:23.480 --> 00:06:26.400]  我們需要去堅持
[00:06:26.400 --> 00:06:30.440]  原來對我們生命有懷疑
[00:06:30.440 --> 00:06:36.720]  這些是可以幫助我們的信仰得到成長
[00:06:36.720 --> 00:06:40.160]  亦都可以幫助我們更加重視上帝
[00:06:40.160 --> 00:06:47.920]  讓上帝和自己的生命有真正的連繫
[00:06:47.920 --> 00:06:51.920]  讓他和他一起去處理你當下的掙扎
[00:06:51.920 --> 00:06:54.400]  面對你真實的人生
[00:06:54.400 --> 00:06:59.600]  簡單來說就是檢視我們的疑惑和恐懼
[00:06:59.600 --> 00:07:03.480]  是可以幫助我們重新了解上帝
[00:07:03.480 --> 00:07:09.760]  重新檢視我們信仰的盲點
[00:07:09.760 --> 00:07:15.280]  重新去建立從上帝而來的生命智慧
[00:07:15.280 --> 00:07:20.720]  如果我們要將恐懼和信仰
[00:07:20.720 --> 00:07:24.560]  懷疑和信心同步共存的話
[00:07:24.560 --> 00:07:27.240]  我們需要有教會的群體
[00:07:27.240 --> 00:07:30.720]  去承載我們真實的信仰
[00:07:30.720 --> 00:07:36.160]  這個不單單是個人去面對自己信仰的哀歌
[00:07:36.160 --> 00:07:39.160]  詩篇是第27篇1至6節
[00:07:39.160 --> 00:07:42.840]  裏面正好表達我們的崇拜者
[00:07:42.840 --> 00:07:50.160]  在會眾面前公開宣告他的讚美和獻祭
[00:07:50.160 --> 00:07:55.160]  在第一節
[00:07:55.160 --> 00:07:57.400]  耶和華是我的亮光
[00:07:57.400 --> 00:07:58.600]  是我的拯救
[00:07:58.600 --> 00:08:00.280]  我還怕誰呢?
[00:08:00.280 --> 00:08:03.280]  耶和華是我生命的保障
[00:08:03.280 --> 00:08:05.160]  我還懼誰呢?
[00:08:05.160 --> 00:08:06.720]  第三節
[00:08:06.720 --> 00:08:10.520]  雖然有軍隊安營攻擊我
[00:08:10.520 --> 00:08:14.440]  我的心凝脈也不害怕
[00:08:14.440 --> 00:08:16.200]  雖然興起
[00:08:16.200 --> 00:08:18.040]  戰爭攻擊我
[00:08:18.040 --> 00:08:19.840]  我仍舊安穩
[00:08:19.840 --> 00:08:21.200]  第四節
[00:08:21.200 --> 00:08:24.440]  有一件事我尋求耶和華
[00:08:24.440 --> 00:08:26.840]  我仍要尋求
[00:08:26.840 --> 00:08:30.560]  就是一生一世住在耶和華的殿中
[00:08:30.560 --> 00:08:32.320]  瞻仰祂的榮美
[00:08:32.320 --> 00:08:36.240]  在祂的殿宇裏去求民
[00:08:36.240 --> 00:08:37.560]  第六節
[00:08:37.560 --> 00:08:40.400]  現在我們得以揚手
[00:08:40.400 --> 00:08:42.800]  高過四面的受敵
[00:08:42.800 --> 00:08:45.680]  我要在祂的帳幕裏
[00:08:45.680 --> 00:08:49.760]  寬然獻祭 我要唱詩
[00:08:49.760 --> 00:08:52.400]  詩歌頌耶和華
[00:08:52.400 --> 00:08:54.280]  我們的崇拜生活
[00:08:54.280 --> 00:09:00.600]  就是將弟兄姊妹真實的生命裏面的懷疑和恐懼
[00:09:00.600 --> 00:09:03.080]  去連繫我們的聖經
[00:09:03.080 --> 00:09:04.400]  教會傳統
[00:09:04.400 --> 00:09:06.240]  歷代的見證人
[00:09:06.240 --> 00:09:08.920]  和感動人心的聖靈
[00:09:08.920 --> 00:09:11.320]  讓我們得以去見到
[00:09:11.320 --> 00:09:13.000]  第四節裏面講的
[00:09:13.000 --> 00:09:14.760]  上帝的榮美
[00:09:14.760 --> 00:09:15.960]  和第六節
[00:09:15.960 --> 00:09:22.080]  我們可以口唱心和地高歌讚美上帝
[00:09:22.080 --> 00:09:23.600]  在疫情之下
[00:09:23.600 --> 00:09:26.040]  我們回不到崇拜
[00:09:26.040 --> 00:09:27.520]  今天都很可惜
[00:09:27.520 --> 00:09:34.960]  不可以親身來到梁法堂裏面
[00:09:34.960 --> 00:09:37.720]  去和大家一起敬拜上帝
[00:09:37.720 --> 00:09:40.240]  分享上帝的說話
[00:09:40.240 --> 00:09:45.040]  我們只可以在網上裏面去進行崇拜
[00:09:45.040 --> 00:09:48.240]  但是同時我們也可以想像得到
[00:09:48.240 --> 00:09:49.960]  這個網上的聯絡
[00:09:49.960 --> 00:09:52.920]  不只是我們教會的弟兄姊妹
[00:09:52.920 --> 00:09:55.040]  也可以想像得到
[00:09:55.040 --> 00:10:00.240]  在普世天下裏面
[00:10:00.240 --> 00:10:02.160]  基督徒網絡
[00:10:02.160 --> 00:10:05.840]  大家都可以同心結念
[00:10:05.840 --> 00:10:10.120]  亦可以彼此紀念
[00:10:10.120 --> 00:10:17.560]  最後詩人在第十三節和第十四節
[00:10:17.560 --> 00:10:21.320]  以讚美作結
[00:10:21.320 --> 00:10:23.960]  我深信在活人之地
[00:10:23.960 --> 00:10:27.040]  必得見耶和華的恩惠
[00:10:27.040 --> 00:10:29.200]  要等候耶和華
[00:10:29.200 --> 00:10:32.880]  當壯膽堅固你的心
[00:10:32.880 --> 00:10:36.200]  要等候耶和華
[00:10:36.200 --> 00:10:40.000]  我們今天是大齋祗的第二主日
[00:10:40.000 --> 00:10:41.480]  在大齋祗裏面
[00:10:41.480 --> 00:10:43.320]  祂叫我們學習
[00:10:43.320 --> 00:10:46.080]  警醒、祈禱、紀念
[00:10:46.080 --> 00:10:48.840]  等候上帝在我們當中
[00:10:48.840 --> 00:10:52.240]  真實的奧妙的行動
[00:10:52.240 --> 00:10:54.280]  和恩典的事
[00:10:54.280 --> 00:10:55.800]  最觸動我的經文
[00:10:55.800 --> 00:10:58.560]  就是在第十三節
[00:10:58.560 --> 00:11:00.800]  《和修本》裏面的翻譯
[00:11:00.800 --> 00:11:03.240]  就是說是「恩惠」
[00:11:03.240 --> 00:11:06.320]  但是在現代中文譯本裏面
[00:11:06.320 --> 00:11:08.200]  那個翻譯我比較喜歡
[00:11:08.200 --> 00:11:09.600]  叫做「美善」
[00:11:09.600 --> 00:11:13.320]  因為在NRSV英文的版本裏面
[00:11:13.320 --> 00:11:17.480]  它都是說上帝的「Goodness」
[00:11:17.480 --> 00:11:22.280]  我記得我曾經參與在太宅崇拜裏面
[00:11:22.280 --> 00:11:24.960]  特別很記得這首詩歌
[00:11:24.960 --> 00:11:28.040]  它就是用到詩篇
[00:11:28.040 --> 00:11:32.720]  二十七篇的十三節裏面
[00:11:32.720 --> 00:11:41.360]  它提到「我深信在這活人之地
[00:11:41.360 --> 00:11:47.640]  會看見上主的幸福美善
[00:11:47.640 --> 00:11:51.600]  我必會看見上主的幸福美善
[00:11:51.600 --> 00:11:54.160]  信賴上主」
[00:11:54.160 --> 00:11:56.040]  太宅詩歌的特色
[00:11:56.040 --> 00:12:01.160]  就是一起重覆重唱一節聖經
[00:12:01.160 --> 00:12:02.760]  透過重覆的重唱
[00:12:02.760 --> 00:12:08.160]  將它化為我們的禱告
[00:12:08.160 --> 00:12:11.080]  不斷的重唱這首詩歌
[00:12:11.080 --> 00:12:15.640]  令我想起宣告這個信仰
[00:12:15.640 --> 00:12:17.520]  在裏面的過程裏面
[00:12:17.520 --> 00:12:20.160]  令我想起過去這幾年
[00:12:20.160 --> 00:12:23.840]  香港的變化、香港的情況
[00:12:23.840 --> 00:12:25.360]  不斷重唱
[00:12:25.360 --> 00:12:27.680]  我要在我有生之年
[00:12:27.680 --> 00:12:31.120]  去看見上帝的美善在香港
[00:12:31.120 --> 00:12:32.760]  不斷重唱
[00:12:32.760 --> 00:12:36.440]  上帝的美善要來到香港裏面
[00:12:36.440 --> 00:12:38.480]  不斷重唱的時候
[00:12:38.480 --> 00:12:41.800]  我心裏經歷到難過
[00:12:41.800 --> 00:12:45.080]  但同時也有上帝的安慰
[00:12:45.080 --> 00:12:49.520]  我看到一些我現在看不到的將來
[00:12:49.520 --> 00:12:52.400]  但我知道上帝的美善
[00:12:52.400 --> 00:12:56.480]  一定會來到香港裏面
[00:12:56.480 --> 00:13:01.280]  回到這個疫情
[00:13:01.280 --> 00:13:05.720]  原來這兩天新鮮滾熱辣的
[00:13:05.720 --> 00:13:09.520]  就有如珍和曾奴德重新演繹過
[00:13:09.520 --> 00:13:12.160]  42年前一首的民歌
[00:13:12.160 --> 00:13:17.560]  叫做《天國一方》2022版
[00:13:17.560 --> 00:13:19.120]  因為版權的問題
[00:13:19.120 --> 00:13:26.360]  所以我不會重聽如珍的版本
[00:13:26.360 --> 00:13:28.800]  但也想讀給大家聽
[00:13:28.800 --> 00:13:30.880]  讓我們在過程裏面
[00:13:30.880 --> 00:13:33.680]  嘗試去深入了解一下
[00:13:33.680 --> 00:13:36.240]  今天我們所說的上帝美善
[00:13:36.240 --> 00:13:38.480]  可能是甚麼呢?
[00:13:38.480 --> 00:13:40.480]  大家聽著我讀吧
[00:13:40.480 --> 00:13:48.560]  曾經有人說過
[00:13:48.560 --> 00:13:53.800]  你要記得那些在大雨中為你撐傘的人
[00:13:53.800 --> 00:13:57.280]  當你擋著外來之物的人
[00:13:57.280 --> 00:14:01.800]  黑暗中默默擁抱著你的人
[00:14:01.800 --> 00:14:03.640]  哄你笑的人
[00:14:03.640 --> 00:14:06.280]  陪你徹夜聊天的人
[00:14:06.280 --> 00:14:09.160]  坐車來看你的人
[00:14:09.160 --> 00:14:11.200]  陪你哭過的人
[00:14:11.200 --> 00:14:13.920]  在醫院陪你的人
[00:14:13.920 --> 00:14:16.600]  總是以你為重的人
[00:14:16.600 --> 00:14:20.480]  帶著你四處遊蕩的人
[00:14:20.480 --> 00:14:23.160]  或想念你的人
[00:14:23.160 --> 00:14:28.840]  是這些人組成你生命裏面一點一滴的溫暖
[00:14:28.840 --> 00:14:33.600]  是這些溫暖使你遠離陰霾
[00:14:33.600 --> 00:14:36.760]  今天我們要更加記住的那些
[00:14:36.760 --> 00:14:40.200]  是冒著自己生命危險
[00:14:40.200 --> 00:14:45.240]  在慈善因護我們的人
[00:14:45.240 --> 00:14:49.960]  我們一定要記住這些人
[00:14:49.960 --> 00:14:56.400]  當然這個《天國一方》最新的版本
[00:14:56.400 --> 00:15:01.840]  是特別向我們現在當下
[00:15:01.840 --> 00:15:07.560]  在疫情裏面最前線的醫護人員致敬
[00:15:07.560 --> 00:15:12.040]  但同時它也讓我體會到
[00:15:12.040 --> 00:15:14.360]  上帝的美善
[00:15:14.360 --> 00:15:16.760]  其實簡單來說
[00:15:16.760 --> 00:15:19.920]  就是強調人間有愛
[00:15:19.920 --> 00:15:25.040]  如果我們今天可以為感染的兄子或者朋友
[00:15:25.040 --> 00:15:27.560]  去買所需的物品
[00:15:27.560 --> 00:15:31.440]  或者嘗試打個電話去慰問一下
[00:15:31.440 --> 00:15:34.160]  我們身邊的獨居老人
[00:15:34.160 --> 00:15:36.720]  讓我們去學習
[00:15:36.720 --> 00:15:39.400]  怎樣保護自己之餘
[00:15:39.400 --> 00:15:42.240]  同時亦都是去關心
[00:15:42.240 --> 00:15:44.840]  我們身邊的龍蛇
[00:15:44.840 --> 00:15:47.920]  祈求我們在大齋祈裏面
[00:15:47.920 --> 00:15:50.840]  去學習等候上帝
[00:15:50.840 --> 00:15:54.160]  和去覺察上帝的美善
[00:15:54.160 --> 00:15:57.840]  在我們當中誠心所願
