
[00:00:00.000 --> 00:00:02.920]  各位弟兄姊妹 平安 聖經向你説話
[00:04:47.620 --> 00:04:52.340]  要做一條銅蛇掛在木架上
[00:04:52.340 --> 00:04:53.740]  舉起來
[00:04:53.740 --> 00:04:55.820]  一望一條銅蛇
[00:04:55.820 --> 00:04:57.100]  他們就得救
[00:04:57.100 --> 00:04:59.140]  所以在新約聖經裡面
[00:04:59.140 --> 00:05:01.180]  聖經就告訴我們
[00:05:01.180 --> 00:05:04.580]  摩西在曠野怎樣舉蛇
[00:05:04.580 --> 00:05:08.740]  人子都要照樣被舉起來
[00:05:08.740 --> 00:05:12.620]  耶穌就被掛在架上
[00:05:12.620 --> 00:05:14.780]  叫我們仰望耶穌
[00:05:14.780 --> 00:05:16.740]  我們就能夠得拯救
[00:05:16.740 --> 00:05:21.620]  還有在他們在曠野漂流的時候
[00:05:21.620 --> 00:05:25.100]  盤石要出水
[00:05:25.100 --> 00:05:29.980]  原來今天我們都需要喝活水
[00:05:29.980 --> 00:05:33.780]  耶穌基督就是活水的主義
[00:05:33.780 --> 00:05:39.140]  祂能夠叫我們可以得解我們的口渴
[00:05:39.140 --> 00:05:43.620]  還有耶穌也是生命之糧
[00:05:43.620 --> 00:05:45.860]  當他們在曠野漂流的時候
[00:05:45.860 --> 00:05:48.300]  神為他們預備馬拿
[00:05:48.300 --> 00:05:53.340]  所以耶穌是我們的生命之糧
[00:05:53.340 --> 00:05:57.500]  還有在他們的行程裡面
[00:05:57.500 --> 00:06:03.540]  神為他們預備了很多美好的安排
[00:06:03.540 --> 00:06:06.860]  所以他們白天的時候
[00:06:06.860 --> 00:06:09.140]  有雲柱領他們
[00:06:09.140 --> 00:06:12.100]  晚上有火柱帶領他們
[00:06:12.100 --> 00:06:15.740]  今天耶穌都成為我們路上
[00:06:15.740 --> 00:06:19.020]  帶領我們的帶領者
[00:06:19.020 --> 00:06:21.220]  當你仰望耶穌的時候
[00:06:21.220 --> 00:06:24.060]  你就可以得到祂的指引
[00:06:24.060 --> 00:06:26.980]  這本書有介紹我們的神
[00:06:26.980 --> 00:06:28.740]  我們的神是誰呢
[00:06:28.740 --> 00:06:32.380]  我們的神就是一位供應者
[00:06:32.380 --> 00:06:35.700]  祂是那位供應我們一切所需的
[00:06:35.700 --> 00:06:37.980]  在屬靈上面給我們很多
[00:06:37.980 --> 00:06:40.860]  深刻的體會的一位神
[00:06:40.860 --> 00:06:42.620]  我們信靠祂
[00:06:42.620 --> 00:06:45.820]  我們就可以勇往前行
[00:06:45.820 --> 00:06:49.580]  這本書有兩段很重要的經文
[00:06:49.580 --> 00:06:51.020]  第一段的經文
[00:06:51.020 --> 00:06:57.060]  就記載在第六章24到26節
[00:06:57.060 --> 00:06:59.700]  就是亞倫的祝福
[00:06:59.700 --> 00:07:02.340]  大祭司亞倫的祝福
[00:07:02.340 --> 00:07:03.660]  神吩咐亞倫
[00:07:03.660 --> 00:07:06.180]  祂說你要這樣祝福以色列人
[00:07:06.180 --> 00:07:10.020]  「冤夜惑惑,賜福給你,保護你
[00:07:10.020 --> 00:07:15.580]  冤夜惑惑,使祂的念光照你,賜福給你
[00:07:15.580 --> 00:07:20.980]  冤夜惑惑,向你仰念,賜你平安」
[00:07:20.980 --> 00:07:24.580]  今天很多人都用這個祝福
[00:07:24.580 --> 00:07:27.460]  來給予祝福
[00:07:27.460 --> 00:07:30.660]  因為福氣是從上頭而來
[00:07:30.660 --> 00:07:33.300]  從神那裡賜給我們
[00:07:33.300 --> 00:07:37.580]  另外這本書還有一段很重要的經文
[00:07:37.580 --> 00:07:43.140]  就在第十四章二十三和二十四節
[00:07:43.140 --> 00:07:45.820]  那裡說
[00:07:45.820 --> 00:07:48.540]  「他們都不得看見
[00:07:48.540 --> 00:07:51.820]  我向他們祖宗所起誓
[00:07:51.820 --> 00:07:53.700]  應許之地
[00:07:53.700 --> 00:07:55.820]  凡藐視我的
[00:07:55.820 --> 00:07:58.380]  一個都不能夠看見
[00:07:58.380 --> 00:08:02.420]  唯獨我的僕人迦勒」
[00:08:02.420 --> 00:08:06.180]  因為祂另有一個心智
[00:08:06.180 --> 00:08:09.340]  專一的跟從我
[00:08:09.340 --> 00:08:18.700]  我就將祂領入我賜祂所過去得為業的地方
[00:08:18.700 --> 00:08:20.900]  原來只有兩個人
[00:08:20.900 --> 00:08:24.980]  約書亞和迦勒可以進入迦勒
[00:08:24.980 --> 00:08:28.180]  而其中特別描寫這位的迦勒
[00:08:28.180 --> 00:08:30.620]  他有一個心智
[00:08:30.620 --> 00:08:33.020]  很專一的跟從神
[00:08:33.020 --> 00:08:34.740]  沒有第二條心
[00:08:34.740 --> 00:08:36.300]  只有一條心
[00:08:36.300 --> 00:08:38.180]  單單跟從神
[00:08:38.180 --> 00:08:39.660]  所以神揀選他
[00:08:39.660 --> 00:08:42.460]  他就能夠進入應許之地
[00:08:42.460 --> 00:08:47.620]  讓你和我都成為專心跟從神的人
[00:08:47.620 --> 00:08:49.060]  天父祝福你
