
[00:00:00.000 --> 00:00:09.620]  今天我所定的題目 我們要看的是一位婦女 在舊約中的婦女 哈娜
[00:10:57.820 --> 00:11:01.820]  可當時哈拿的情形是什麼
[00:11:01.820 --> 00:11:05.820]  在當時的認知裡面
[00:11:05.820 --> 00:11:07.820]  是神不讓他生育
[00:11:07.820 --> 00:11:08.820]  所以若不生育
[00:11:08.820 --> 00:11:12.820]  在當時的環境背景的需求下
[00:11:12.820 --> 00:11:14.820]  是一個羞辱的
[00:11:14.820 --> 00:11:16.820]  所以對哈拿來說
[00:11:16.820 --> 00:11:18.820]  是極其苦惱
[00:11:18.820 --> 00:11:24.820]  天天煩惱的人
[00:11:24.820 --> 00:11:26.820]  當我在想
[00:11:26.820 --> 00:11:29.820]  他這樣苦惱煩惱
[00:11:29.820 --> 00:11:33.820]  有一件事情使他更煩惱
[00:11:33.820 --> 00:11:41.820]  假如說只有哈拿跟他的老公伊利加拿
[00:11:41.820 --> 00:11:43.820]  假如哈拿不懷孕
[00:11:43.820 --> 00:11:48.820]  聖經假如說神不使他懷孕
[00:11:48.820 --> 00:11:50.820]  那哈拿也可以說
[00:11:50.820 --> 00:11:54.820]  老公是你的問題
[00:11:54.820 --> 00:11:57.820]  老公也說是你的問題
[00:11:57.820 --> 00:11:59.820]  那也就不了了之
[00:11:59.820 --> 00:12:02.820]  可是問題出在這裡
[00:12:02.820 --> 00:12:07.820]  伊利加拿他娶了另外一個比利拿
[00:12:07.820 --> 00:12:10.820]  比利拿給他生了小孩了
[00:12:10.820 --> 00:12:13.820]  這下問題出在哪裡
[00:12:13.820 --> 00:12:14.820]  出在哈拿
[00:12:14.820 --> 00:12:15.820]  他更苦惱
[00:12:15.820 --> 00:12:18.820]  原來他想不是你就是我
[00:12:18.820 --> 00:12:19.820]  不是我就是你
[00:12:19.820 --> 00:12:21.820]  反正一半一半
[00:12:21.820 --> 00:12:24.820]  可是這下他一娶了之後
[00:12:24.820 --> 00:12:25.820]  問題不是你了
[00:12:25.820 --> 00:12:26.820]  是我
[00:12:26.820 --> 00:12:29.820]  你說他的苦惱是不是更多
[00:12:29.820 --> 00:12:35.820]  在那樣的情況苦惱更多
[00:12:35.820 --> 00:12:40.820]  而且這苦惱不單單是每天
[00:12:40.820 --> 00:12:45.820]  這苦惱也是每年獻祭的時候
[00:12:45.820 --> 00:12:50.820]  全家都到四樓去獻祭
[00:12:50.820 --> 00:12:53.820]  雖然他苦惱
[00:12:53.820 --> 00:12:54.820]  他老公愛他
[00:12:54.820 --> 00:13:00.820]  他說有我愛你不比十個孩子還好
[00:13:00.820 --> 00:13:03.820]  講得很好聽
[00:13:03.820 --> 00:13:07.820]  也給他雙份的肌肉
[00:13:07.820 --> 00:13:08.820]  換句話說
[00:13:08.820 --> 00:13:14.820]  這些都不能挪去他心中的苦惱
[00:13:14.820 --> 00:13:20.820]  永遠是痛苦的
[00:13:20.820 --> 00:13:22.820]  若是丈夫不愛他的話
[00:13:22.820 --> 00:13:23.820]  他也就死心
[00:13:23.820 --> 00:13:26.820]  可是丈夫又愛他
[00:13:26.820 --> 00:13:31.820]  可是他又是生活在那樣的環境裡面
[00:13:31.820 --> 00:13:34.820]  所以我們讀到第一章整章的時候
[00:13:34.820 --> 00:13:36.820]  我們就可以體會到
[00:13:36.820 --> 00:13:46.820]  他心中那種苦惱
[00:13:46.820 --> 00:13:55.820]  還好在這樣的情形是丈夫愛他
[00:13:55.820 --> 00:13:58.820]  假如丈夫不愛他的話
[00:13:58.820 --> 00:14:05.820]  或是丈夫用暴力來對他處理
[00:14:05.820 --> 00:14:07.820]  他又是另外一層的苦惱
[00:14:07.820 --> 00:14:11.820]  在心靈裡面的苦惱是看不見的
[00:14:11.820 --> 00:14:16.820]  外面假如來的暴力的苦惱是看得見的
[00:14:16.820 --> 00:14:19.820]  跟今天我們美國的社會就不一樣
[00:14:19.820 --> 00:14:23.820]  今天我們美國的社會
[00:14:23.820 --> 00:14:28.820]  假如對妻子有暴力的話
[00:14:28.820 --> 00:14:31.820]  男人要特別小心
[00:14:31.820 --> 00:14:35.820]  你只要在警察派出所被登記
[00:14:35.820 --> 00:14:39.820]  你這永遠抹不掉
[00:14:39.820 --> 00:14:42.820]  我們通常可以說
[00:14:42.820 --> 00:14:46.820]  姐妹是伶牙俐嘴
[00:14:46.820 --> 00:14:48.820]  先生是力氣大
[00:14:48.820 --> 00:14:51.820]  可是一個伶牙俐嘴跟一個力氣大
[00:14:51.820 --> 00:14:53.820]  一衝突的時候
[00:14:53.820 --> 00:14:55.820]  怎麼樣
[00:14:55.820 --> 00:14:57.820]  你就拿你的本事了
[00:14:57.820 --> 00:14:59.820]  對不對
[00:14:59.820 --> 00:15:04.820]  你伶牙俐嘴的時候沒有記錄
[00:15:04.820 --> 00:15:05.820]  可是我輸了
[00:15:05.820 --> 00:15:07.820]  我一拳過去的時候
[00:15:07.820 --> 00:15:09.820]  那有證據了
[00:15:09.820 --> 00:15:12.820]  去看醫生的時候有證據了
[00:15:12.820 --> 00:15:22.820]  可是這證據就留在警察的檔案裡面
[00:15:22.820 --> 00:15:26.820]  可是我們回到當時的情況
[00:15:26.820 --> 00:15:28.820]  可是丈夫愛她
[00:15:28.820 --> 00:15:33.820]  丈夫給她雙倍的肌肉
[00:15:33.820 --> 00:15:39.820]  可是抹滅不掉她心靈的難處
[00:15:39.820 --> 00:15:41.820]  第三個
[00:15:41.820 --> 00:15:43.820]  比利娜來的功課
[00:15:43.820 --> 00:15:47.820]  假如你去看這段經文
[00:15:47.820 --> 00:15:53.820]  這裡說比利娜是他的對頭
[00:15:53.820 --> 00:15:55.820]  大大的激動他
[00:15:55.820 --> 00:15:58.820]  使他生氣
[00:15:58.820 --> 00:16:02.820]  比利娜已經生了不少的孩子
[00:16:02.820 --> 00:16:04.820]  因為我看中文聖經
[00:16:04.820 --> 00:16:06.820]  我看不出來生多少
[00:16:06.820 --> 00:16:10.820]  我也不能猜測一定是十個
[00:16:10.820 --> 00:16:12.820]  可是也有可能十個
[00:16:12.820 --> 00:16:14.820]  可是我看英文聖經的時候
[00:16:14.820 --> 00:16:16.820]  英文聖經就比較好
[00:16:16.820 --> 00:16:18.820]  Sons有一個S
[00:16:18.820 --> 00:16:20.820]  起碼兩個吧
[00:16:20.820 --> 00:16:22.820]  Daughters也有S
[00:16:22.820 --> 00:16:23.820]  起碼兩個
[00:16:23.820 --> 00:16:24.820]  換句話說
[00:16:24.820 --> 00:16:26.820]  他最少有四個
[00:16:26.820 --> 00:16:27.820]  那換句話說
[00:16:27.820 --> 00:16:29.820]  你想想看
[00:16:29.820 --> 00:16:32.820]  他的對頭常常讓他生氣
[00:16:32.820 --> 00:16:34.820]  常常激動他
[00:16:34.820 --> 00:16:36.820]  會怎麼激動
[00:16:36.820 --> 00:16:38.820]  我一懷孕的時候
[00:16:38.820 --> 00:16:39.820]  你不懷孕
[00:16:39.820 --> 00:16:42.820]  我就在你前面晃
[00:16:42.820 --> 00:16:45.820]  你說他難不難受
[00:16:45.820 --> 00:16:47.820]  假如他的名字不是恩慈
[00:16:47.820 --> 00:16:48.820]  不是和祥
[00:16:48.820 --> 00:16:52.820]  你說他會怎麼弄
[00:16:52.820 --> 00:16:54.820]  今天我們要從哈娜的身上
[00:16:54.820 --> 00:16:56.820]  我們來學習
[00:16:56.820 --> 00:16:58.820]  比利娜是這樣的對待哈娜
[00:16:58.820 --> 00:17:01.820]  聖經也說是他的對頭
[00:17:01.820 --> 00:17:03.820]  可能有很多諷刺的話
[00:17:03.820 --> 00:17:08.820]  聖經覺得不需要把這些細節都列出來
[00:17:08.820 --> 00:17:10.820]  只要把大原則講
[00:17:10.820 --> 00:17:11.820]  我們就可以體會到
[00:17:11.820 --> 00:17:14.820]  哈娜心中的苦楚
[00:17:14.820 --> 00:17:21.820]  哈娜心中沒有辦法說出來的難處
[00:17:21.820 --> 00:17:28.820]  那我們來問哈娜如何來面對這樣的難處
[00:17:28.820 --> 00:17:32.820]  聖經不是給我們看這一段
[00:17:32.820 --> 00:17:35.820]  聖經給我們看下面一段
[00:17:35.820 --> 00:17:38.820]  他把真實的情形講出來之後
[00:17:38.820 --> 00:17:40.820]  問我們每個人
[00:17:40.820 --> 00:17:44.820]  哈娜會怎麼樣對待這樣的環境
[00:17:44.820 --> 00:17:48.820]  你會怎麼樣來處理這樣的環境
[00:17:48.820 --> 00:17:51.820]  下面一個 他的禱告
[00:17:51.820 --> 00:17:54.820]  他用禱告的方式
[00:17:54.820 --> 00:17:57.820]  來把他的苦惱交託給神
[00:17:57.820 --> 00:18:02.820]  他用禱告的方式來向神訴苦
[00:18:02.820 --> 00:18:08.820]  他用禱告的方式來向神許願
[00:18:08.820 --> 00:18:17.820]  其實不是那麼樣簡單的一件事
[00:18:17.820 --> 00:18:19.820]  他的禱告
[00:18:19.820 --> 00:18:21.820]  他在聖殿中
[00:18:21.820 --> 00:18:27.820]  他在神面前的清心禱意
[00:18:27.820 --> 00:18:30.820]  被誰誤會了
[00:18:30.820 --> 00:18:34.820]  被聖殿中的祭司以利誤會了
[00:18:34.820 --> 00:18:36.820]  那是很嚴重的
[00:18:36.820 --> 00:18:38.820]  被人誤會了還好
[00:18:38.820 --> 00:18:40.820]  被祭司誤會了
[00:18:40.820 --> 00:18:43.820]  祭司應該是屬靈人
[00:18:43.820 --> 00:18:48.820]  祭司是在殿裡面來料理事的
[00:18:48.820 --> 00:18:50.820]  被祭司怎麼誤會
[00:18:50.820 --> 00:18:52.820]  他說你是不是醉酒了
[00:18:52.820 --> 00:18:58.820]  在那裡自說自話
[00:18:58.820 --> 00:19:02.820]  你看 把他180度的轉變
[00:19:02.820 --> 00:19:03.820]  他是往這個方向
[00:19:03.820 --> 00:19:06.820]  祭司說你一定是往這個方向
[00:19:06.820 --> 00:19:11.820]  苦上加苦
[00:19:11.820 --> 00:19:16.820]  可是哈拿的恩慈
[00:19:16.820 --> 00:19:18.820]  他對祭司怎麼說
[00:19:18.820 --> 00:19:23.820]  假如你仔細看的話
[00:19:23.820 --> 00:19:25.820]  他清酒濃酒我都沒有喝
[00:19:25.820 --> 00:19:29.820]  祭司以為他喝醉了
[00:19:29.820 --> 00:19:37.820]  在那裡喃喃自語
[00:19:37.820 --> 00:19:41.820]  他對祭司說被人激動
[00:19:41.820 --> 00:19:43.820]  愁苦太多
[00:19:43.820 --> 00:19:45.820]  所以祈求到如今
[00:19:45.820 --> 00:19:46.820]  所以不是一年
[00:19:46.820 --> 00:19:47.820]  不是兩年
[00:19:47.820 --> 00:19:48.820]  不是三年
[00:19:48.820 --> 00:19:58.820]  不是五年
[00:19:58.820 --> 00:20:03.820]  所以哈拿的不但向神訴苦
[00:20:03.820 --> 00:20:06.820]  把痛苦交託給神
[00:20:06.820 --> 00:20:07.820]  祭司來的誤會
[00:20:07.820 --> 00:20:11.820]  他也沒有強力的反駁
[00:20:11.820 --> 00:20:14.820]  反而他向神許願
[00:20:14.820 --> 00:20:18.820]  把一切交託給神
[00:20:18.820 --> 00:20:21.820]  幸虧我們的神是公義的神
[00:20:21.820 --> 00:20:24.820]  幸虧我們的神是憐憫的神
[00:20:24.820 --> 00:20:27.820]  神有他特別的憐憫之意
[00:20:27.820 --> 00:20:31.820]  在這樣的情形下
[00:20:31.820 --> 00:20:38.820]  原來不生育的神要他生育
[00:20:38.820 --> 00:20:44.820]  假如你看第一章的十八節
[00:20:44.820 --> 00:20:45.820]  最後一節
[00:20:45.820 --> 00:20:46.820]  他禱告之後
[00:20:46.820 --> 00:20:48.820]  他的反應是什麼
[00:20:48.820 --> 00:20:49.820]  他禱告之後
[00:20:49.820 --> 00:20:51.820]  他的反應聖經記載
[00:20:51.820 --> 00:20:54.820]  不再帶憂愁了
[00:20:54.820 --> 00:20:57.820]  多少時候我們禱告之後還是帶憂愁
[00:20:57.820 --> 00:21:00.820]  這裡還沒有看到實現
[00:21:00.820 --> 00:21:02.820]  可是他回去的時候
[00:21:02.820 --> 00:21:05.820]  他禱告回去之後
[00:21:05.820 --> 00:21:08.820]  就不帶憂愁
[00:21:08.820 --> 00:21:13.820]  那表示將一切交託給神
[00:21:13.820 --> 00:21:15.820]  多少時候我們禱告
[00:21:15.820 --> 00:21:18.820]  把重擔帶到神的面前
[00:21:18.820 --> 00:21:19.820]  禱告完之後
[00:21:19.820 --> 00:21:23.820]  我們又把重擔帶回去
[00:21:23.820 --> 00:21:33.820]  從哈拿身上我們可以學到這一點
[00:21:33.820 --> 00:21:36.820]  我們看第三點
[00:21:36.820 --> 00:21:39.820]  所以他的許願是什麼呢
[00:21:39.820 --> 00:21:41.820]  他的許願是
[00:21:41.820 --> 00:21:43.820]  若神給他一個兒子
[00:21:43.820 --> 00:21:48.820]  他願意把這個兒子終生歸於耶和華
[00:21:48.820 --> 00:21:50.820]  使耶和華使用
[00:21:50.820 --> 00:21:54.820]  不用剃頭刀剃他的髮
[00:21:54.820 --> 00:21:56.820]  就是拿希爾人
[00:21:56.820 --> 00:21:59.820]  就終生做拿希爾人
[00:21:59.820 --> 00:22:01.820]  就歸屬耶和華
[00:22:01.820 --> 00:22:04.820]  他的禱告是這樣
[00:22:04.820 --> 00:22:11.820]  所以他並沒有為了報復比利納
[00:22:11.820 --> 00:22:15.820]  反而把他心中的愁苦
[00:22:15.820 --> 00:22:17.820]  神若給我一個兒子
[00:22:17.820 --> 00:22:20.820]  我就把這個兒子全歸給神
[00:22:20.820 --> 00:22:25.820]  讓神祢自己榮耀彰顯在我身上
[00:22:25.820 --> 00:22:36.820]  這是他的禱告
[00:22:36.820 --> 00:22:38.820]  最後結論
[00:22:38.820 --> 00:22:44.820]  因為今天我們會有兒童詩班獻詩
[00:22:44.820 --> 00:22:46.820]  在兒童詩班獻詩之前
[00:22:46.820 --> 00:22:49.820]  我就願意用這樣的結論
[00:22:49.820 --> 00:22:51.820]  來提醒各位
[00:22:51.820 --> 00:22:53.820]  來勸勉各位
[00:22:53.820 --> 00:22:56.820]  也是勉勵各位
[00:22:56.820 --> 00:23:00.820]  你對神是否有承諾
[00:23:00.820 --> 00:23:02.820]  我們不曉得
[00:23:02.820 --> 00:23:04.820]  我不曉得
[00:23:04.820 --> 00:23:06.820]  只有你曉得
[00:23:06.820 --> 00:23:09.820]  在你過去信徒的年日裡面
[00:23:09.820 --> 00:23:11.820]  是否你碰到難處的時候
[00:23:11.820 --> 00:23:16.820]  你對神是否有承諾
[00:23:16.820 --> 00:23:18.820]  當你對神有承諾的時候
[00:23:18.820 --> 00:23:20.820]  你要記得
[00:23:20.820 --> 00:23:22.820]  哈拿也是像你我一樣
[00:23:22.820 --> 00:23:25.820]  曾經對神有承諾
[00:23:25.820 --> 00:23:27.820]  當神施恩
[00:23:27.820 --> 00:23:31.820]  當神施行作為的時候
[00:23:31.820 --> 00:23:35.820]  哈拿是按照在神面前的承諾
[00:23:35.820 --> 00:23:37.820]  他履行了
[00:23:37.820 --> 00:23:40.820]  假如你看第二章
[00:23:40.820 --> 00:23:43.820]  他不只生一個
[00:23:43.820 --> 00:23:46.820]  生了七個兒子
[00:23:46.820 --> 00:23:48.820]  很特別
[00:23:48.820 --> 00:23:51.820]  叫聖經說他生一個
[00:23:51.820 --> 00:23:54.820]  那神特別作為
[00:23:54.820 --> 00:23:57.820]  生七個換句話說
[00:23:57.820 --> 00:23:59.820]  藉著七來表明
[00:23:59.820 --> 00:24:02.820]  神的祝福
[00:24:02.820 --> 00:24:06.820]  不是碰巧
[00:24:06.820 --> 00:24:09.820]  神的祝福是印證
[00:24:09.820 --> 00:24:15.820]  我使你持續可以有七個小孩
[00:24:15.820 --> 00:24:17.820]  今天
[00:24:17.820 --> 00:24:21.820]  你我對神有沒有承諾
[00:24:21.820 --> 00:24:25.820]  當你對神有承諾的時候
[00:24:25.820 --> 00:24:28.820]  在這永不改變的神之前
[00:24:28.820 --> 00:24:30.820]  我們應該履行
[00:24:30.820 --> 00:24:31.820]  因為我剛剛說
[00:24:31.820 --> 00:24:33.820]  第一章到第三章
[00:24:33.820 --> 00:24:36.820]  什麼字出現超過六十次
[00:24:36.820 --> 00:24:38.820]  耶和華這個名字
[00:24:38.820 --> 00:24:40.820]  耶和華的意思是什麼
[00:24:40.820 --> 00:24:42.820]  耶和華的意思是說
[00:24:42.820 --> 00:24:44.820]  過去現在將來
[00:24:44.820 --> 00:24:47.820]  他都是一的
[00:24:47.820 --> 00:24:48.820]  他沒有過去
[00:24:48.820 --> 00:24:50.820]  他也沒有將來
[00:24:50.820 --> 00:24:52.820]  我們人有過去
[00:24:52.820 --> 00:24:54.820]  我們人有將來
[00:24:54.820 --> 00:24:56.820]  神是沒有過去
[00:24:56.820 --> 00:24:57.820]  沒有將來
[00:24:57.820 --> 00:25:00.820]  他永遠是存在
[00:25:00.820 --> 00:25:02.820]  所以中文聖經說
[00:25:02.820 --> 00:25:06.820]  他是自有擁有的神
[00:25:06.820 --> 00:25:08.820]  所以約翰
