
[00:00:00.000 --> 00:00:04.000]  我們問小朋友,你覺得神是怎樣的?
[00:04:12.820 --> 00:04:16.860]  祂是愛我、為我寫記
[00:04:16.860 --> 00:04:21.300]  所以我們必須要認信這位主
[00:04:21.300 --> 00:04:23.880]  所以當時在羅馬帝國的時候
[00:04:23.880 --> 00:04:26.040]  他們就迫害基督徒
[00:04:26.040 --> 00:04:27.760]  他們說你只要一件事
[00:04:27.760 --> 00:04:30.000]  你說你不是信耶穌的就行
[00:04:30.000 --> 00:04:32.380]  那你就有生路走
[00:04:32.380 --> 00:04:34.080]  如果你說你信耶穌的話
[00:04:34.080 --> 00:04:37.420]  那就要斬首、就要受死
[00:04:37.420 --> 00:04:40.060]  認不認信耶穌
[00:04:40.060 --> 00:04:43.640]  是一個很重要的抉擇
[00:04:43.640 --> 00:04:47.820]  原來在第三屆裡面就告訴我們
[00:04:47.820 --> 00:04:50.700]  我們要高舉神的名
[00:04:50.700 --> 00:04:54.000]  要尊崇祂、要愛祂
[00:04:54.000 --> 00:04:55.620]  所以聖經裡面
[00:04:55.620 --> 00:04:57.700]  在生命記裡面
[00:04:57.700 --> 00:05:00.120]  有一個叫做Shema
[00:05:00.120 --> 00:05:04.580]  就是聽我耶和華、認識祢的神
[00:05:04.580 --> 00:05:09.420]  祢要盡心、盡性、盡意愛主祢的神
[00:05:09.420 --> 00:05:11.660]  而且祢要將這一個
[00:05:11.660 --> 00:05:14.760]  這麼重要的誡命教導
[00:05:14.760 --> 00:05:18.180]  是一路教導你的兒女子孫
[00:05:18.180 --> 00:05:20.360]  一代一代地傳下去
[00:05:20.360 --> 00:05:24.220]  無論你在家中、座下、起立
[00:05:24.220 --> 00:05:28.560]  你都要時時記得這個誡命
[00:05:28.560 --> 00:05:36.740]  就是盡心、盡性、盡意愛主祢的神
[00:05:36.740 --> 00:05:40.940]  所以耶穌有一個律法師問祂
[00:05:40.940 --> 00:05:43.920]  祂說:舊約最大的誡命是什麼?
[00:05:43.920 --> 00:05:47.700]  耶穌就答:舊約最大的誡命
[00:05:47.700 --> 00:05:51.300]  就是盡心、盡性、盡意愛主祢的神
[00:05:51.300 --> 00:05:56.220]  其次同樣重要的就是愛人如警
[00:05:56.220 --> 00:05:58.280]  所以原來十誡是提醒我們
[00:05:58.280 --> 00:06:00.560]  有幾樣東西是很重要的
[00:06:00.560 --> 00:06:04.160]  第一,就是在第一屆
[00:06:04.160 --> 00:06:07.560]  你不可有prediction 就讓我們知道
[00:06:07.560 --> 00:06:11.020]  我們敬拜的對象是誰?
[00:06:11.020 --> 00:06:12.880]  只有一位的神
[00:06:12.880 --> 00:06:17.660]  第二屆就叫我們不要丟黑偶像
[00:06:17.660 --> 00:06:22.780]  就讓我們知道我們敬拜的方式是怎樣
[00:06:22.780 --> 00:06:27.020]  是用心靈誠實去敬拜
[00:06:27.020 --> 00:06:32.660]  第三屆就說到我們敬拜的態度
[00:06:32.660 --> 00:06:34.600]  是一個尊崇
[00:06:34.600 --> 00:06:37.900]  是一個在神面前要苦服
[00:06:37.900 --> 00:06:40.860]  在神面前我們要謙卑自己
[00:06:40.860 --> 00:06:43.200]  祂是最崇高的
[00:06:43.200 --> 00:06:47.220]  我們敬畏祂、尊崇祂、高舉祂
[00:06:47.220 --> 00:06:50.020]  是敬拜的態度
[00:06:50.020 --> 00:06:53.740]  所以我們應該知道我們敬拜的對象是誰
[00:06:53.740 --> 00:06:56.620]  我們敬拜的方式是怎樣
[00:06:56.620 --> 00:06:58.940]  不是用偶像去敬拜
[00:06:58.940 --> 00:07:01.780]  不是製造一些形象
[00:07:01.780 --> 00:07:04.060]  以致我們知道這位就是神
[00:07:04.060 --> 00:07:07.820]  第三,我們有敬拜的態度
[00:07:07.820 --> 00:07:10.860]  是從我們內心裡面發出來
[00:07:10.860 --> 00:07:13.400]  對神一種的敬畏
[00:07:13.400 --> 00:07:15.900]  對神一種的仰望
[00:07:15.900 --> 00:07:17.780]  所以在詩篇裡面
[00:07:17.780 --> 00:07:20.420]  很多的詩人都是教我們
[00:07:20.420 --> 00:07:22.740]  我們要來到神的面前
[00:07:22.740 --> 00:07:25.820]  去瞻仰祂的明媚
[00:07:25.820 --> 00:07:28.300]  瞻仰這個字真是很好
[00:07:28.300 --> 00:07:31.300]  有抬頭仰望的意思
[00:07:31.300 --> 00:07:34.140]  祂是高高在上的
[00:07:34.140 --> 00:07:37.060]  我們在祂面前要苦服跪拜
[00:07:37.060 --> 00:07:39.300]  我們在祂面前要謙卑
[00:07:39.300 --> 00:07:42.660]  我們帶著一個恭恭敬敬的心
[00:07:42.660 --> 00:07:44.340]  來到祂的面前
[00:07:44.340 --> 00:07:48.540]  我們來仰望祂那一份的榮美
[00:07:48.540 --> 00:07:50.580]  神的榮美吸引我們
[00:07:50.580 --> 00:07:54.260]  神的榮光充滿整個的回眸
[00:07:54.260 --> 00:08:00.140]  我們就覺得神是何等可畏可敬的神
[00:08:00.140 --> 00:08:02.540]  祂是何等尊榮的神
[00:08:02.540 --> 00:08:06.860]  記得有一次多摩西在西乃山上面的時候
[00:08:06.860 --> 00:08:09.620]  神降臨在西乃山上面
[00:08:09.620 --> 00:08:14.900]  西乃山就好像著火一樣冒煙
[00:08:14.900 --> 00:08:16.780]  煙雲上騰
[00:08:16.780 --> 00:08:19.660]  那些以色列人全部很害怕
[00:08:19.660 --> 00:08:22.860]  因為神要降臨在西乃山上面
[00:08:22.860 --> 00:08:25.740]  這個就叫做神的顯然
[00:08:25.740 --> 00:08:30.860]  還有後來神的榮光充滿整個的回眸裡面
[00:08:30.860 --> 00:08:35.780]  這個就是神的很威榮的榮光
[00:08:35.780 --> 00:08:38.860]  叫人覺得好像有個距離
[00:08:38.860 --> 00:08:40.140]  因為祂是神
[00:08:40.140 --> 00:08:43.540]  我們是這些很卑微有罪的人
[00:08:43.540 --> 00:08:46.740]  我們跟神怎可以靠近呢?
[00:08:46.740 --> 00:08:48.900]  但是我們感謝神的恩典
[00:08:48.900 --> 00:08:50.740]  因為祂預備了救恩
[00:08:50.740 --> 00:08:54.060]  祂猜祂的獨生子耶穌來到世界
[00:08:54.060 --> 00:08:56.020]  叫我們藉著耶穌
[00:08:56.020 --> 00:08:59.060]  我們可以進到神面前
[00:08:59.060 --> 00:09:01.220]  所以各位親愛的弟兄姊妹
[00:09:01.220 --> 00:09:04.620]  我很想鼓勵你或者勸導你
[00:09:04.620 --> 00:09:08.940]  你必須要尊崇敬畏我們的神
[00:09:08.940 --> 00:09:12.140]  我們一生要過一個聖潔
[00:09:12.140 --> 00:09:14.300]  敬畏神的生活
[00:09:14.300 --> 00:09:17.780]  以致我成為一位尊崇神
[00:09:17.780 --> 00:09:20.500]  願意討神喜悅
[00:09:20.500 --> 00:09:25.820]  以榮耀神為我們人生目的的一個信徒
[00:09:25.820 --> 00:09:28.220]  願天父賜福給你
