
[00:00:00.000 --> 00:00:01.600]  各位兄弟姐妹
[00:06:27.700 --> 00:06:29.700]  我叫Nana
[00:06:29.700 --> 00:06:31.700]  是
[00:06:31.700 --> 00:06:35.700]  Nana 你可否分享一下
[00:06:35.700 --> 00:06:37.700]  聖誕節裏面
[00:06:37.700 --> 00:06:39.700]  你這麽多年有沒有收過一份禮物
[00:06:39.700 --> 00:06:42.700]  令到你很難忘的
[00:06:42.700 --> 00:06:44.700]  你可以說沒有的
[00:06:44.700 --> 00:06:52.700]  沒有 OK 好了
[00:06:52.700 --> 00:06:58.700]  那 現在有了
[00:06:58.700 --> 00:07:06.700]  記住了
[00:07:06.700 --> 00:07:10.700]  是不是很厲害 我們的禮物
[00:07:10.700 --> 00:07:14.700]  但是你們收著才做我的禮物
[00:07:21.700 --> 00:07:24.700]  好 行數 再來
[00:07:24.700 --> 00:07:32.700]  一 第一行
[00:07:32.700 --> 00:07:34.700]  哇 第一行
[00:07:34.700 --> 00:07:36.700]  二 四 五
[00:07:36.700 --> 00:07:38.700]  有五個的機會有三個是沒有的
[00:07:38.700 --> 00:07:40.700]  OK
[00:07:40.700 --> 00:07:46.700]  這張呢
[00:07:46.700 --> 00:07:49.700]  五 一 二 三 四 五
[00:07:49.700 --> 00:07:51.700]  哎呀
[00:07:51.700 --> 00:07:53.700]  沒有的 不是沒有的
[00:07:53.700 --> 00:07:55.700]  是空了出來的
[00:07:55.700 --> 00:07:57.700]  因人數嗎
[00:07:57.700 --> 00:08:03.700]  好不好
[00:08:03.700 --> 00:08:05.700]  好了 給他吧
[00:08:05.700 --> 00:08:07.700]  哇 多開心
[00:08:07.700 --> 00:08:09.700]  弟兄為你爭取回來的
[00:08:09.700 --> 00:08:14.700]  好了 請你首先介紹
[00:08:14.700 --> 00:08:17.700]  請你用一分鐘介紹一下自己
[00:08:19.700 --> 00:08:21.700]  大家好 我是Sam
[00:08:21.700 --> 00:08:25.700]  現在正在工作 剛剛畢業了
[00:08:25.700 --> 00:08:34.700]  有沒有補充
[00:08:50.700 --> 00:08:52.700]  先彈一首吉他
[00:08:52.700 --> 00:08:57.700]  快點吧
[00:08:57.700 --> 00:08:59.700]  你還有一分鐘時間
[00:08:59.700 --> 00:09:02.700]  請你分享一下
[00:09:02.700 --> 00:09:04.700]  你回來拍攝宣導會
[00:09:04.700 --> 00:09:08.700]  你覺得最令你感恩的事是甚麼
[00:09:08.700 --> 00:09:10.700]  聽清楚
[00:09:10.700 --> 00:09:13.700]  回來拍攝宣導會最令你感恩的事
[00:09:17.700 --> 00:09:20.700]  認識了很多不同的弟兄姊妹
[00:09:20.700 --> 00:09:24.700]  剛剛來Perth的時候
[00:09:24.700 --> 00:09:26.700]  感覺很窩心
[00:09:26.700 --> 00:09:28.700]  很多人
[00:09:28.700 --> 00:09:30.700]  好像第一次來到
[00:09:30.700 --> 00:09:32.700]  還沒有回來的時候
[00:09:32.700 --> 00:09:34.700]  可能覺得來到一個新的地方
[00:09:34.700 --> 00:09:35.700]  好像很陌生
[00:09:35.700 --> 00:09:37.700]  但來到這裡就不覺得
[00:09:37.700 --> 00:09:39.700]  好 謝謝你
[00:09:48.700 --> 00:09:53.700]  (掌聲)
[00:09:53.700 --> 00:09:56.700]  好 剛剛分別有
[00:09:56.700 --> 00:10:00.700]  都是三位年輕的弟兄姊妹
[00:10:00.700 --> 00:10:02.700]  收到我們今天豐富的禮物
[00:10:02.700 --> 00:10:04.700]  等一下會告訴大家
[00:10:04.700 --> 00:10:06.700]  禮物可以怎樣安排
[00:10:06.700 --> 00:10:07.700]  記住提醒我
[00:10:07.700 --> 00:10:09.700]  說到最後的時候提醒我
[00:10:09.700 --> 00:10:11.700]  如果我忘記說的話
[00:10:11.700 --> 00:10:14.700]  聖誕節
[00:10:14.700 --> 00:10:16.700]  聖誕節是一個送禮物
[00:10:16.700 --> 00:10:18.700]  收禮物的時間
[00:10:18.700 --> 00:10:20.700]  但同樣我們剛才讀了一段經文
[00:10:20.700 --> 00:10:24.700]  《馬太福音》第一章17至25節
[00:10:24.700 --> 00:10:25.700]  這裡告訴我們
[00:10:25.700 --> 00:10:27.700]  有一個最大的禮物
[00:10:27.700 --> 00:10:30.700]  就是主耶穌基督他自己
[00:10:30.700 --> 00:10:32.700]  這個是我們聖誕節
[00:10:32.700 --> 00:10:34.700]  我們作為基督徒
[00:10:34.700 --> 00:10:36.700]  我們作為主的門徒
[00:10:36.700 --> 00:10:38.700]  一個最重要的訊息就是
[00:10:38.700 --> 00:10:40.700]  救主耶穌基督
[00:10:40.700 --> 00:10:43.700]  是一個最偉大的禮物
[00:10:43.700 --> 00:10:45.700]  最好的禮物
[00:10:45.700 --> 00:10:48.700]  白白的送了給我們
[00:10:48.700 --> 00:10:50.700]  我們看看
[00:10:50.700 --> 00:10:51.700]  第一點
[00:10:51.700 --> 00:10:53.700]  我們看看這段經文告訴我們
[00:10:53.700 --> 00:10:56.700]  耶穌基督這份禮物來到的時候
[00:10:56.700 --> 00:11:00.700]  是告訴我們要開始一個新的時代
[00:11:00.700 --> 00:11:03.700]  開始一個新的世代
[00:11:03.700 --> 00:11:04.700]  我記得這段經文
[00:11:04.700 --> 00:11:06.700]  我幾年前都和大家分享過
[00:11:06.700 --> 00:11:08.700]  很特別《馬太福音》一開始的時候
[00:11:08.700 --> 00:11:11.700]  它是記載著家譜
[00:11:11.700 --> 00:11:14.700]  是耶穌基督的家譜
[00:11:14.700 --> 00:11:16.700]  17節告訴我們
[00:11:16.700 --> 00:11:18.700]  從阿伯拉罕到大衛
[00:11:18.700 --> 00:11:19.700]  十四代
[00:11:19.700 --> 00:11:22.700]  從大衛到千度巴比倫的時候
[00:11:22.700 --> 00:11:24.700]  十四代
[00:11:24.700 --> 00:11:27.700]  由千度巴比倫到耶穌基督中間
[00:11:27.700 --> 00:11:29.700]  又有十四代
[00:11:29.700 --> 00:11:31.700]  十四代
[00:11:31.700 --> 00:11:34.700]  為什麼作者要特意這樣表達呢
[00:11:34.700 --> 00:11:37.700]  其實是告訴我們
[00:11:37.700 --> 00:11:39.700]  一個的朝代
[00:11:39.700 --> 00:11:40.700]  換到另一個的時代
[00:11:40.700 --> 00:11:42.700]  再換到另一個的時代
[00:11:42.700 --> 00:11:46.700]  阿伯拉罕是一個萬國多國之父
[00:11:46.700 --> 00:11:48.700]  受上帝的祝福
[00:11:48.700 --> 00:11:50.700]  這個約的開始
[00:11:50.700 --> 00:11:52.700]  大衛王
[00:11:52.700 --> 00:11:54.700]  大衛王是一個
[00:11:54.700 --> 00:11:58.700]  全盛時期一個很厲害的君王
[00:11:58.700 --> 00:12:01.700]  帶領以色列發展得很厲害很強大
[00:12:01.700 --> 00:12:03.700]  到巴比倫的時候
[00:12:03.700 --> 00:12:07.700]  也是以色列人一個痛苦的時代
[00:12:07.700 --> 00:12:09.700]  被俘虜的時代
[00:12:09.700 --> 00:12:12.700]  去到現在告訴我們
[00:12:12.700 --> 00:12:14.700]  耶穌基督
[00:12:14.700 --> 00:12:16.700]  祂來的時候
[00:12:16.700 --> 00:12:19.700]  是另外一個新的時代
[00:12:19.700 --> 00:12:21.700]  耶穌
[00:12:21.700 --> 00:12:24.700]  祂是從以色列那裡移出
[00:12:24.700 --> 00:12:26.700]  祂是大衛的後裔
[00:12:26.700 --> 00:12:27.700]  也是應驗舊約
[00:12:27.700 --> 00:12:30.700]  應許要來的尼塞亞
[00:12:30.700 --> 00:12:33.700]  尼塞亞就是救世主的意思
[00:12:33.700 --> 00:12:35.700]  你們知不知道
[00:12:35.700 --> 00:12:38.700]  以色列人等這個救世主
[00:12:38.700 --> 00:12:40.700]  等到頸都長了
[00:12:40.700 --> 00:12:42.700]  一直都等不到
[00:12:42.700 --> 00:12:45.700]  他們很想有一個很厲害的政治領袖
[00:12:45.700 --> 00:12:47.700]  一個君王
[00:12:47.700 --> 00:12:48.700]  站出來
[00:12:48.700 --> 00:12:51.700]  帶著他們打敗他們的敵人
[00:12:51.700 --> 00:12:53.700]  特別推翻當時羅馬的政權
[00:12:53.700 --> 00:12:55.700]  令到以色列人的復國
[00:12:55.700 --> 00:12:56.700]  再一次興起出來
[00:12:56.700 --> 00:12:59.700]  好像以前一樣
[00:12:59.700 --> 00:13:02.700]  他們一直等都等不到
[00:13:02.700 --> 00:13:03.700]  在過往
[00:13:03.700 --> 00:13:05.700]  有沒有試過你們
[00:13:05.700 --> 00:13:09.700]  在疫情期間在網上購物
[00:13:09.700 --> 00:13:11.700]  特別是三四五月期間
[00:13:11.700 --> 00:13:12.700]  在網上購物
[00:13:12.700 --> 00:13:15.700]  我也試過
[00:13:15.700 --> 00:13:16.700]  我一開始打算等一個月
[00:13:16.700 --> 00:13:18.700]  可能疫情期間一個月
[00:13:18.700 --> 00:13:20.700]  平時一個星期兩個星期
[00:13:20.700 --> 00:13:22.700]  等一個月都很正常
[00:13:22.700 --> 00:13:23.700]  有時等兩個月
[00:13:23.700 --> 00:13:25.700]  甚至三個月
[00:13:25.700 --> 00:13:30.700]  都收不到你要收的包裹
[00:13:30.700 --> 00:13:32.700]  不過這樣
[00:13:32.700 --> 00:13:34.700]  當後來收到的時候
[00:13:34.700 --> 00:13:37.700]  就特別興奮
[00:13:37.700 --> 00:13:38.700]  一直等到頸都長了
[00:13:38.700 --> 00:13:41.700]  但是突然之間
[00:13:41.700 --> 00:13:43.700]  包裹送到來的時候
[00:13:43.700 --> 00:13:44.700]  特別的開心
[00:13:44.700 --> 00:13:49.700]  特別的興奮
[00:13:49.700 --> 00:13:50.700]  弟兄姊妹
[00:13:50.700 --> 00:13:54.700]  每一個國家換領導的時候
[00:13:54.700 --> 00:13:55.700]  都帶來社會
[00:13:55.700 --> 00:13:57.700]  或者帶來這個國家
[00:13:57.700 --> 00:13:58.700]  有一個新的局面
[00:13:58.700 --> 00:14:00.700]  特別我想一下的時候
[00:14:00.700 --> 00:14:02.700]  美國這幾年
[00:14:02.700 --> 00:14:05.700]  由奧巴馬去帶領的美國
[00:14:05.700 --> 00:14:07.700]  是一個新的局面
[00:14:07.700 --> 00:14:10.700]  由奧巴馬轉到特朗普的時候
[00:14:10.700 --> 00:14:13.700]  對美國對世界
[00:14:13.700 --> 00:14:15.700]  都是一個新的局面
[00:14:15.700 --> 00:14:18.700]  現在又再轉另外一個拜登的時候
[00:14:18.700 --> 00:14:22.700]  也是一個新的局面
[00:14:22.700 --> 00:14:26.700]  如果要你為以下這句填充題
[00:14:26.700 --> 00:14:28.700]  你會填些什麼呢
[00:14:28.700 --> 00:14:33.700]  這個嘟嘟的世代
[00:14:33.700 --> 00:14:35.700]  你會填些什麼進去呢
[00:14:35.700 --> 00:14:40.700]  你覺得這個世代是怎樣的呢
[00:14:40.700 --> 00:14:46.700]  對於你來說這個世代是怎樣的呢
[00:14:46.700 --> 00:14:47.700]  快樂的
[00:14:47.700 --> 00:14:49.700]  急促的
[00:14:49.700 --> 00:14:50.700]  虛擬
[00:14:50.700 --> 00:14:52.700]  動盪
[00:14:52.700 --> 00:14:53.700]  不安
[00:14:53.700 --> 00:14:55.700]  混亂
[00:14:55.700 --> 00:14:57.700]  沒有保障
[00:14:57.700 --> 00:15:00.700]  還有些什麼呢
[00:15:00.700 --> 00:15:02.700]  今天無論你認為
[00:15:02.700 --> 00:15:05.700]  你覺得現在這個時代是怎樣
[00:15:05.700 --> 00:15:07.700]  聖誕節
[00:15:07.700 --> 00:15:10.700]  耶穌基督降生
[00:15:10.700 --> 00:15:13.700]  並且耶穌要再回來
[00:15:13.700 --> 00:15:16.700]  耶穌祂來
[00:15:16.700 --> 00:15:18.700]  提醒我們告訴我們
[00:15:18.700 --> 00:15:20.700]  祂不只是來這個世界
[00:15:20.700 --> 00:15:23.700]  祂是要來改變這個世界
[00:15:23.700 --> 00:15:26.700]  改變這個世代
[00:15:26.700 --> 00:15:28.700]  這個是我們確信的
[00:15:28.700 --> 00:15:34.700]  耶穌要來是要改變世界
[00:15:34.700 --> 00:15:36.700]  所以
[00:15:36.700 --> 00:15:39.700]  無論在你過往的人生裡面
[00:15:39.700 --> 00:15:42.700]  無論在我們過去一年裡面
[00:15:42.700 --> 00:15:47.700]  這個世界是怎樣
[00:15:47.700 --> 00:15:49.700]  無論是多麼不安
[00:15:49.700 --> 00:15:51.700]  多麼失落
[00:15:51.700 --> 00:15:54.700]  又或者失控
[00:15:54.700 --> 00:15:57.700]  耶穌來
[00:15:57.700 --> 00:15:59.700]  2021年
[00:15:59.700 --> 00:16:03.700]  是一個充滿新希望的一年
[00:16:03.700 --> 00:16:06.700]  你相信嗎
[00:16:06.700 --> 00:16:07.700]  感謝主
[00:16:07.700 --> 00:16:10.700]  耶穌來是要改變這個世界
[00:16:10.700 --> 00:16:12.700]  無論過去是怎樣
[00:16:12.700 --> 00:16:15.700]  耶穌都要來改變它
[00:16:15.700 --> 00:16:17.700]  就是因為我們有這個確信
[00:16:17.700 --> 00:16:19.700]  2021
[00:16:19.700 --> 00:16:20.700]  先有喜樂
[00:16:20.700 --> 00:16:22.700]  先有希望
[00:16:22.700 --> 00:16:26.700]  第二點
[00:16:26.700 --> 00:16:28.700]  道成肉身
[00:16:28.700 --> 00:16:29.700]  我們再讀一讀這段經文
[00:16:29.700 --> 00:16:30.700]  我們請弟兄
[00:16:30.700 --> 00:16:32.700]  預備一二三
[00:16:52.700 --> 00:16:54.700]  請使用這時的思考
[00:16:54.700 --> 00:16:56.700]  有主的使者
[00:16:56.700 --> 00:16:58.700]  向他夢中的懸殊
[00:16:58.700 --> 00:17:00.700]  大為應是宣揚
[00:17:00.700 --> 00:17:02.700]  不要怕
[00:17:02.700 --> 00:17:04.700]  先去娶我們的妻子瑪麗娜
[00:17:04.700 --> 00:17:06.700]  將她所懷的恩賜
[00:17:06.700 --> 00:17:08.700]  從聖靈來迫
[00:17:08.700 --> 00:17:10.700]  她將要生一個兒子
[00:17:10.700 --> 00:17:13.700]  你要向她祈求耶穌
[00:17:13.700 --> 00:17:15.700]  向她要將自己的這把聲音
[00:17:15.700 --> 00:17:17.700]  傳授給教會
[00:17:17.700 --> 00:17:19.700]  道成肉身
[00:17:19.700 --> 00:17:21.700]  其實這個是我們基督教的術語
[00:17:21.700 --> 00:17:23.700]  如果你和外面那些未信的人
[00:17:23.700 --> 00:17:25.700]  或者剛回來教會的人
[00:17:25.700 --> 00:17:27.700]  道成肉身是甚麼呢
[00:17:27.700 --> 00:17:29.700]  他們真的
[00:17:29.700 --> 00:17:31.700]  拗頭很癢
[00:17:31.700 --> 00:17:33.700]  都不知道到底道成肉身是甚麼
[00:17:33.700 --> 00:17:35.700]  其實這裡是記載著
[00:17:35.700 --> 00:17:38.700]  一個超自然的現象
[00:17:38.700 --> 00:17:40.700]  我們所相信
[00:17:40.700 --> 00:17:42.700]  我們所接受的耶穌基督
[00:17:42.700 --> 00:17:46.700]  祂是神跡地降生在這個世界上
[00:17:46.700 --> 00:17:49.700]  在生物學來說
[00:17:49.700 --> 00:17:51.700]  我們很清楚知道
[00:17:51.700 --> 00:17:55.700]  我們人是精子和卵子的結合
[00:17:55.700 --> 00:17:57.700]  而生出來的
[00:17:57.700 --> 00:18:01.700]  透過媽媽的母胎而生出來
[00:18:01.700 --> 00:18:03.700]  但是聖經裡面說到
[00:18:03.700 --> 00:18:06.700]  瑪麗娜仍然是一個童女
[00:18:06.700 --> 00:18:08.700]  很小的時候
[00:18:08.700 --> 00:18:10.700]  十多歲
[00:18:10.700 --> 00:18:11.700]  一個童女
[00:18:11.700 --> 00:18:13.700]  她仍然未出嫁
[00:18:13.700 --> 00:18:16.700]  仍然未和男人正式有性行為
[00:18:16.700 --> 00:18:19.700]  就是因為這樣更加凸顯
[00:18:19.700 --> 00:18:21.700]  她所懷的胎
[00:18:21.700 --> 00:18:24.700]  不是我們人一般的胎
[00:18:24.700 --> 00:18:26.700]  是透過神
[00:18:26.700 --> 00:18:30.700]  祂的靈淋到瑪麗娜的身上
[00:18:30.700 --> 00:18:34.700]  而懷孕生出來
[00:18:34.700 --> 00:18:37.700]  你留意一下經文所說
[00:18:37.700 --> 00:18:39.700]  神選擇在甚麼地方出生
[00:18:39.700 --> 00:18:43.700]  選擇在甚麼家庭出生
[00:18:43.700 --> 00:18:44.700]  說真的
[00:18:44.700 --> 00:18:46.700]  如果可以選擇
[00:18:46.700 --> 00:18:48.700]  選擇在甚麼家庭
[00:18:48.700 --> 00:18:52.700]  我也會選擇現在自己的家庭
[00:18:52.700 --> 00:18:53.700]  是不是
[00:18:53.700 --> 00:18:54.700]  真的
[00:18:54.700 --> 00:18:56.700]  如果可以讓你選擇
[00:18:56.700 --> 00:18:59.700]  全世界任何一個家庭
[00:18:59.700 --> 00:19:00.700]  甚麼人種
[00:19:00.700 --> 00:19:03.700]  甚麼膚色
[00:19:03.700 --> 00:19:04.700]  我想一定你會選擇一個
[00:19:04.700 --> 00:19:07.700]  你夢寐以求很想的家庭
[00:19:07.700 --> 00:19:09.700]  甚至是衣食無憂
[00:19:09.700 --> 00:19:12.700]  很富裕的家庭
[00:19:12.700 --> 00:19:13.700]  是不是
[00:19:13.700 --> 00:19:14.700]  如果黃色的家庭
[00:19:14.700 --> 00:19:16.700]  我想我也不會
[00:19:16.700 --> 00:19:17.700]  但是除了黃色的家庭
[00:19:17.700 --> 00:19:19.700]  很有錢的家庭
[00:19:19.700 --> 00:19:23.700]  和有些頭髮的膚色
[00:19:23.700 --> 00:19:25.700]  特別自己也想選擇
[00:19:25.700 --> 00:19:28.700]  但是你看看
[00:19:28.700 --> 00:19:31.700]  我們沒得選擇
[00:19:31.700 --> 00:19:33.700]  耶穌其實可以選擇
[00:19:33.700 --> 00:19:36.700]  祂有得選擇
[00:19:36.700 --> 00:19:40.700]  但是祂選擇去哪裏的家庭
[00:19:40.700 --> 00:19:46.700]  祂選擇去一些平民百姓的家庭
[00:19:46.700 --> 00:19:51.700]  一個很普通的人
[00:19:51.700 --> 00:19:53.700]  爸爸藥室
[00:19:53.700 --> 00:19:55.700]  是一個木匠
[00:19:55.700 --> 00:19:59.700]  是一般的家庭
[00:19:59.700 --> 00:20:03.700]  一個這麼超自然出生的神
[00:20:03.700 --> 00:20:08.700]  祂去了一個很平凡的家庭裏出生
[00:20:08.700 --> 00:20:11.700]  救世主降臨在我們當中
[00:20:11.700 --> 00:20:12.700]  這裏就告訴我們
[00:20:12.700 --> 00:20:14.700]  道成為肉身
[00:20:14.700 --> 00:20:16.700]  來到我們當中
[00:20:16.700 --> 00:20:18.700]  祂起名叫
[00:20:18.700 --> 00:20:23.700]  耶穌
[00:20:23.700 --> 00:20:25.700]  耶穌這個名字其實在當時來說
[00:20:25.700 --> 00:20:26.700]  是很普遍的
[00:20:26.700 --> 00:20:27.700]  你說不是啊牧師
[00:20:27.700 --> 00:20:28.700]  我看聖經
[00:20:28.700 --> 00:20:31.700]  好像沒怎麼聽過耶穌這個名字
[00:20:31.700 --> 00:20:35.700]  除了真是基督耶穌這個名字之外
[00:20:35.700 --> 00:20:36.700]  其實原來不是的
[00:20:36.700 --> 00:20:38.700]  在聖經裏面
[00:20:38.700 --> 00:20:40.700]  也有耶穌的名字出現
[00:20:40.700 --> 00:20:43.700]  只不過是我們翻譯的時候
[00:20:43.700 --> 00:20:45.700]  避免大家混亂
[00:20:45.700 --> 00:20:46.700]  翻譯那個人
[00:20:46.700 --> 00:20:49.700]  沒有用基督耶穌的名字
[00:20:49.700 --> 00:20:52.700]  翻譯了其他的音出來
[00:20:52.700 --> 00:20:53.700]  一會兒再說
[00:20:53.700 --> 00:20:56.700]  名字是很普遍的
[00:20:56.700 --> 00:20:57.700]  就像我這樣
[00:20:57.700 --> 00:20:59.700]  梁兆基
[00:20:59.700 --> 00:21:02.700]  這個名字普不普遍
[00:21:02.700 --> 00:21:03.700]  我告訴你
[00:21:03.700 --> 00:21:07.700]  很多年前我去馬來西亞短孫的時候
[00:21:07.700 --> 00:21:09.700]  當地教會的弟兄姊妹
[00:21:09.700 --> 00:21:11.700]  聽到我的名字是梁兆基
[00:21:11.700 --> 00:21:12.700]  有一天
[00:21:12.700 --> 00:21:14.700]  她跑來稱讚我
[00:21:14.700 --> 00:21:17.700]  她說梁兆基你的音樂造詣很高
[00:21:17.700 --> 00:21:19.700]  我心想不是吧
[00:21:19.700 --> 00:21:21.700]  她是來揶揄我
[00:21:21.700 --> 00:21:23.700]  還是真的來稱讚我
[00:21:23.700 --> 00:21:24.700]  我的五音
[00:21:24.700 --> 00:21:26.700]  我有三個音是對的
[00:21:26.700 --> 00:21:29.700]  有兩個音是不對的
