
[00:00:00.000 --> 00:00:02.000]  各位電影節目的各位朋友早安
[00:05:40.600 --> 00:05:43.100]  而這個字含有很猛烈
[00:05:43.100 --> 00:05:46.900]  很巨大的力量扔出去的含義
[00:05:46.900 --> 00:05:50.100]  就好像你拿著一塊石頭向海扔出去
[00:05:50.100 --> 00:05:51.800]  看看扔得多遠
[00:05:51.800 --> 00:05:54.300]  中文聖經這個扔這個字
[00:05:54.300 --> 00:05:55.400]  或者拋這個字
[00:05:55.400 --> 00:05:56.900]  這裡有個特別之處
[00:05:56.900 --> 00:05:59.400]  就是到底是誰先拋
[00:05:59.400 --> 00:06:02.500]  到底是誰拋出這個巨風呢
[00:06:02.500 --> 00:06:03.900]  第一章第四節
[00:06:03.900 --> 00:06:10.300]  很強調的就是耶和華拋出這個巨風
[00:06:10.300 --> 00:06:14.000]  是主耶和華扔出這個大風出來
[00:06:14.000 --> 00:06:20.500]  扔出tuo這個字就是第四節突出的主角
[00:06:20.500 --> 00:06:22.500]  是誰扔 就是耶和華扔
[00:06:22.500 --> 00:06:26.200]  大風這個風字其實已經代表了巨風
[00:06:26.200 --> 00:06:29.100]  已經代表了烈風 旋風 甚至是暴風
[00:06:29.100 --> 00:06:32.200]  也有暴雨牽涉到裡面的
[00:06:32.200 --> 00:06:34.800]  我們都知道如果你在香港來的
[00:06:34.800 --> 00:06:36.700]  大概你都會經歷到10號風球
[00:06:36.700 --> 00:06:41.700]  黑雨 黃雨等等的一些比較嚴重的天氣的情況
[00:06:41.700 --> 00:06:44.400]  但是聖經的作者更加用了一個字眼
[00:06:44.400 --> 00:06:45.800]  就是「大」這個字
[00:06:45.800 --> 00:06:48.000]  所以這是一個超級的風暴
[00:06:48.000 --> 00:06:51.800]  我不知道大家還記不記得溫代這個巨風呢
[00:06:51.800 --> 00:06:52.900]  如果你記得的話
[00:06:52.900 --> 00:06:55.300]  大概會不會你是在那個年代出生的呢
[00:06:55.300 --> 00:07:00.700]  溫代就是1962年9月1號出現的一個超級巨風
[00:07:00.700 --> 00:07:03.600]  如果你不是在那個年代出生的
[00:07:03.600 --> 00:07:07.700]  你一定記得2018年那件事 山竹
[00:07:07.700 --> 00:07:10.200]  山竹是一個非常強大的風暴
[00:07:10.200 --> 00:07:11.300]  我們都記得
[00:07:11.300 --> 00:07:15.600]  甚至學生要穿過那些倒塌的樹來上學的
[00:07:15.600 --> 00:07:17.800]  原來這一場大風暴
[00:07:17.800 --> 00:07:21.100]  是主耶和華上帝用力扔出的大風
[00:07:21.100 --> 00:07:25.300]  而經文更加說到船都幾乎破壞
[00:07:25.300 --> 00:07:31.100]  幾乎並不是說到船真是已經破裂了
[00:07:31.100 --> 00:07:34.500]  神用力扔出的這個大風
[00:07:34.500 --> 00:07:37.500]  船都幾乎被打散的抑制
[00:07:37.500 --> 00:07:40.400]  聖經在這裡用的字眼是非常生動
[00:07:40.400 --> 00:07:43.000]  張耶和華上帝說到
[00:07:43.000 --> 00:07:47.900]  好像一個用力向海扔出來的巨風的人物
[00:07:47.900 --> 00:07:49.500]  我不知道大家有沒有想過
[00:07:49.500 --> 00:07:52.500]  人和神扔東西 誰扔得遠一點
[00:07:52.500 --> 00:07:55.400]  誰扔得準一點 誰扔得強一點
[00:07:55.400 --> 00:07:59.100]  神不是要驗一下眼睛吧
[00:07:59.100 --> 00:08:01.300]  是不是祂扔歪了
[00:08:01.300 --> 00:08:03.400]  為什麼扔不中船
[00:08:03.400 --> 00:08:05.200]  你讀聖經讀清楚一點
[00:08:05.200 --> 00:08:09.000]  經文不是說上帝現在向著目標的船
[00:08:09.000 --> 00:08:10.100]  扔出一個巨風
[00:08:10.100 --> 00:08:12.800]  如果是這樣船老早就散了
[00:08:12.800 --> 00:08:15.300]  經文只是說扔到海裡
[00:08:15.300 --> 00:08:18.300]  其實神用力只是向海扔出一個大風
[00:08:18.300 --> 00:08:19.400]  不是向著船
[00:08:19.400 --> 00:08:22.200]  否則船老早就真的散了
[00:08:22.200 --> 00:08:24.000]  如果你留意第一章第五節
[00:08:24.000 --> 00:08:26.800]  經文就說到在這麼危急的情況之下
[00:08:26.800 --> 00:08:29.300]  水手就懼怕
[00:08:29.300 --> 00:08:32.600]  其實懼怕這個字
[00:08:32.600 --> 00:08:34.000]  Yahweh這個字
[00:08:34.000 --> 00:08:36.900]  在第一章已經重複出現了好幾次
[00:08:36.900 --> 00:08:40.300]  大部分都是說水手的懼怕
[00:08:40.300 --> 00:08:44.200]  而一章第九節卻是用來形容若拿
[00:08:44.200 --> 00:08:47.700]  不過翻譯做敬畏這樣的翻譯
[00:08:47.700 --> 00:08:49.700]  Yahweh其實就是這個字
[00:08:49.700 --> 00:08:51.400]  敬畏和懼怕是同一個字來的
[00:08:51.400 --> 00:08:52.700]  但是這樣的翻譯
[00:08:52.700 --> 00:08:57.500]  就把原本若拿書故意說的懼怕這個字的意圖
[00:08:57.500 --> 00:09:01.100]  來減弱了非常之多的力量
[00:09:01.100 --> 00:09:05.700]  因為讀不出作者想表達的最中心的意思
[00:09:05.700 --> 00:09:07.300]  就是到底若拿的懼怕
[00:09:07.300 --> 00:09:11.200]  和水手船上的那些人的懼怕有什麼不同
[00:09:11.200 --> 00:09:12.500]  在第一章第五節
[00:09:12.500 --> 00:09:17.600]  水手的懼怕明顯是因為外在環境造成的原因
[00:09:17.600 --> 00:09:18.800]  不知道你有沒有試過
[00:09:18.800 --> 00:09:22.900]  人生裡面因為外在的環境而帶來的真的懼怕呢
[00:09:22.900 --> 00:09:25.000]  我想介紹一個人物給你認識
[00:09:25.000 --> 00:09:26.600]  就是這個前荷蘭的
[00:09:26.600 --> 00:09:28.700]  非常出名的足球的前鋒
[00:09:28.700 --> 00:09:30.600]  Dennis Bergkamp這個人物
[00:09:30.600 --> 00:09:31.500]  柏金這個人
[00:09:31.500 --> 00:09:34.600]  他有另一個綽號就叫做Long Flying Dutchman
[00:09:34.600 --> 00:09:37.500]  就是說他不會搭飛機的荷蘭人
[00:09:37.500 --> 00:09:40.100]  其實話說在1994年世界盃
[00:09:40.100 --> 00:09:41.800]  當時在美國打的
[00:09:41.800 --> 00:09:45.000]  而他搭的那個飛機突然之間飛行的時候
[00:09:45.000 --> 00:09:49.000]  在瞬間裡面突然之間引擎出現了問題
[00:09:49.000 --> 00:09:53.100]  令到整個飛機出現了一點情況的發生
[00:09:53.100 --> 00:09:54.200]  在那個時候裡面
[00:09:54.200 --> 00:09:56.800]  他真的可以說是非常緊張
[00:09:56.800 --> 00:09:59.900]  就好像令到他不知道怎麼可以
[00:09:59.900 --> 00:10:05.000]  繼續去這個旅程那樣
[00:10:05.000 --> 00:10:08.200]  令到他以後都不敢坐飛機
[00:10:08.200 --> 00:10:11.500]  這個正正就是他以後
[00:10:11.500 --> 00:10:13.100]  全部人出去打球也好
[00:10:13.100 --> 00:10:13.900]  去旅行也好
[00:10:13.900 --> 00:10:15.700]  他們要麼就坐電單車
[00:10:15.700 --> 00:10:19.900]  要麼就坐公共的交通工具來去踢球
[00:10:19.900 --> 00:10:20.800]  所以你要發現
[00:10:20.800 --> 00:10:24.600]  為什麼有很多人因為外在的環境
[00:10:24.600 --> 00:10:27.000]  經歷了一些事情而引發的懼怕
[00:10:27.000 --> 00:10:28.400]  例如是疫情
[00:10:28.400 --> 00:10:30.000]  例如是可能通脹
[00:10:30.000 --> 00:10:30.700]  加息
[00:10:30.700 --> 00:10:32.400]  外圍經濟的壓力
[00:10:32.400 --> 00:10:34.900]  其實每一個人在人生裡面
[00:10:34.900 --> 00:10:36.700]  總會或多或少
[00:10:36.700 --> 00:10:39.000]  因為外在的環境的突變
[00:10:39.000 --> 00:10:40.800]  而引發出懼怕
[00:10:40.800 --> 00:10:42.400]  當懼怕來到的時候
[00:10:42.400 --> 00:10:44.600]  我不知道你會做些什麼
[00:10:44.600 --> 00:10:47.600]  究竟經文又說這些水手做了些什麼
[00:10:47.600 --> 00:10:49.500]  他們做了兩件事情
[00:10:49.500 --> 00:10:52.200]  第一件事情就是很明顯
[00:10:52.200 --> 00:10:59.100]  他們是各人哀求自己的神
[00:10:59.100 --> 00:11:02.600]  這裡就說他們信奉不同的諸神
[00:11:02.600 --> 00:11:05.200]  我相信有不少的人
[00:11:05.200 --> 00:11:08.300]  他們都在未信耶穌之前
[00:11:08.300 --> 00:11:10.300]  會去拜很多不同的神
[00:11:10.300 --> 00:11:14.400]  可能有不少人是拜過黃大仙、觀音
[00:11:14.400 --> 00:11:16.200]  去泰國又會拜四面佛
[00:11:16.200 --> 00:11:19.600]  不同部族的人又拜不同的東西
[00:11:19.600 --> 00:11:21.700]  拜月、拜天、拜地
[00:11:21.700 --> 00:11:24.600]  有些拜青蛙、拜蛇、拜火
[00:11:24.600 --> 00:11:28.900]  我見過有些人拜什麼呢
[00:11:28.900 --> 00:11:32.400]  拜樹、拜石頭、拜土地、拜座山
[00:11:32.400 --> 00:11:34.000]  甚至拜海龍王
[00:11:34.000 --> 00:11:38.400]  甚至我見過有些人拜屎都試過
[00:11:38.400 --> 00:11:41.000]  真的什麼人都有 坦白說
[00:11:41.000 --> 00:11:45.200]  而我也是一個曾經拜過貓的神
[00:11:45.200 --> 00:11:47.900]  為什麼呢 因為我們信貓神
[00:11:47.900 --> 00:11:50.700]  因為以前我讀書真的太差太差了
[00:11:50.700 --> 00:11:52.700]  以前打算出貓
[00:11:52.700 --> 00:11:54.800]  於是我和家裡的貓大哥
[00:11:54.800 --> 00:11:56.000]  貓大哥 貓大哥
[00:11:56.000 --> 00:11:58.000]  可不可以讓我出貓成功
[00:11:58.000 --> 00:11:59.400]  拜貓神
[00:11:59.400 --> 00:12:00.800]  中國人有句話
[00:12:00.800 --> 00:12:03.400]  拜得神多就自有神庇佑
[00:12:03.400 --> 00:12:06.000]  那就看看你拜哪個神
[00:12:06.000 --> 00:12:07.500]  有沒有拜錯
[00:12:07.500 --> 00:12:10.500]  這一幫船上的水手
[00:12:10.500 --> 00:12:13.000]  各人哀求自己的神
[00:12:13.000 --> 00:12:15.000]  每個人都信不同的神
[00:12:15.000 --> 00:12:16.000]  在那個情況之下
[00:12:16.000 --> 00:12:18.600]  他們都用不同的方法
[00:12:18.600 --> 00:12:19.800]  來去拜他們的神
[00:12:19.800 --> 00:12:21.600]  你可以想像當時的人
[00:12:21.600 --> 00:12:23.400]  當時的情況是多麼混亂呢
[00:12:23.400 --> 00:12:24.500]  有些人可能跪著
[00:12:24.500 --> 00:12:25.600]  有些人可能大叫
[00:12:25.600 --> 00:12:26.600]  有些人可能挖苦
[00:12:26.600 --> 00:12:27.900]  有些人甚至憲制
[00:12:27.900 --> 00:12:29.400]  有些人是點著火
[00:12:29.400 --> 00:12:30.600]  到處走來走去
[00:12:30.600 --> 00:12:32.400]  有些人可能用刀砍自己
[00:12:32.400 --> 00:12:35.300]  插槍、打胸口、拱舉雙手
[00:12:35.300 --> 00:12:36.600]  你想到什麼方法
[00:12:36.600 --> 00:12:39.800]  當時船上的人都會做得出來
[00:12:39.800 --> 00:12:42.400]  可以說是呼天搶地
[00:12:42.400 --> 00:12:45.800]  當時的情況應該是非常混亂
[00:12:45.800 --> 00:12:48.500]  應該是非常不安的
[00:12:48.500 --> 00:12:51.300]  因為人活在懼怕的裡面
[00:12:51.300 --> 00:12:54.500]  而各人就會哀求自己的神
[00:12:54.500 --> 00:12:56.600]  他們除了哀求自己的神之後
[00:12:56.600 --> 00:12:58.000]  經文然後就說
[00:12:58.000 --> 00:13:02.400]  他們將船上的貨物拋在海中
[00:13:02.400 --> 00:13:04.500]  這一場神級別的大風
[00:13:04.500 --> 00:13:05.600]  是來自主耶和華
[00:13:05.600 --> 00:13:08.300]  向海大擲一個巨風出來
[00:13:08.300 --> 00:13:09.500]  現在經文就說
[00:13:09.500 --> 00:13:13.000]  水手向海拋出船上的貨物
[00:13:13.000 --> 00:13:14.900]  擲或者拋
[00:13:14.900 --> 00:13:18.000]  其實是和上帝擲出來
[00:13:18.000 --> 00:13:21.100]  Tuo這個字是一模一樣的
[00:13:21.100 --> 00:13:22.700]  現在這幫水手
[00:13:22.700 --> 00:13:26.700]  船上的人想抵銷神擲出來的巨風
[00:13:26.700 --> 00:13:28.800]  當然是徒勞無功
[00:13:28.800 --> 00:13:31.400]  到底他們擲了什麼下海
[00:13:31.400 --> 00:13:32.200]  貨物
[00:13:32.200 --> 00:13:35.800]  貨物這個字在這裡可以包括了物件
[00:13:35.800 --> 00:13:38.100]  可以包括了器具
[00:13:38.100 --> 00:13:41.100]  甚至可以包括了用具
[00:13:41.100 --> 00:13:44.100]  我知道香港的朋友來到英國
[00:13:44.100 --> 00:13:46.800]  他們真的做了三個很重要的中文字
[00:13:46.800 --> 00:13:49.800]  就是「斷舍離」
[00:13:49.800 --> 00:13:51.700]  因為有很多東西都很想帶
[00:13:51.700 --> 00:13:53.000]  兒子也想帶這東西
[00:13:53.000 --> 00:13:54.200]  女兒也想帶那東西
[00:13:54.200 --> 00:13:55.600]  老婆也想帶那東西
[00:13:55.600 --> 00:13:57.000]  爸爸也想帶那東西
[00:13:57.000 --> 00:13:59.200]  個個都有他們自己想帶的東西
[00:13:59.200 --> 00:14:02.300]  又怎麼可能把所有的家當都帶過來呢
[00:14:02.300 --> 00:14:04.100]  要做斷舍離的工作
[00:14:04.100 --> 00:14:05.300]  一點都不容易
[00:14:05.300 --> 00:14:10.100]  但是事實上如果真的去到人到絕處的時候
[00:14:10.100 --> 00:14:14.300]  他們那些貨物都不會覺得再是重要
[00:14:14.300 --> 00:14:16.100]  我不知道你有沒有看過
[00:14:16.100 --> 00:14:18.400]  《The Day After Tomorrow》
[00:14:18.400 --> 00:14:20.500]  中文譯叫做《明日之後》
[00:14:20.500 --> 00:14:23.200]  或者國內譯叫做《後天》
[00:14:23.200 --> 00:14:26.000]  有一幕我真的很有印象
[00:14:26.000 --> 00:14:28.800]  就是當圖書館裡面最珍貴的書
[00:14:28.800 --> 00:14:32.500]  都要燒光它來保命那一刻
[00:14:32.500 --> 00:14:35.800]  圖書館的書分分鐘只有一本
[00:14:35.800 --> 00:14:36.900]  或者是兩本
[00:14:36.900 --> 00:14:40.400]  那些這麼珍貴的東西都要燒掉
[00:14:40.400 --> 00:14:42.700]  因為他們知道生命的可貴
[00:14:42.700 --> 00:14:44.100]  就算壯志斷臂
[00:14:44.100 --> 00:14:46.600]  失去了最貴重的東西都在所不惜
[00:14:46.600 --> 00:14:47.300]  沒錯
[00:14:47.300 --> 00:14:50.900]  船上的貨物可能是很重要的東西
[00:14:50.900 --> 00:14:53.900]  但是現在他們決定要拋下去
[00:14:53.900 --> 00:14:56.100]  拋這些貨物下海
[00:14:56.100 --> 00:14:58.200]  想減輕船上的重量
[00:14:58.200 --> 00:15:00.100]  不想船沉在大海
[00:15:00.100 --> 00:15:02.200]  想辦法將神扔出來
[00:15:02.200 --> 00:15:05.100]  渡過的這個風來抵銷
[00:15:05.100 --> 00:15:09.300]  他們的努力再加上他們所拜的神旨
[00:15:09.300 --> 00:15:13.100]  但是是完全沒有辦法幫助他們
[00:15:13.100 --> 00:15:16.600]  能夠平息這一場當前的風暴
[00:15:16.600 --> 00:15:18.800]  因為他們拜錯了神
[00:15:18.800 --> 00:15:23.200]  就好像你叫別人的爸爸做爸爸一樣
[00:15:23.200 --> 00:15:25.600]  你叫錯了
[00:15:25.600 --> 00:15:27.100]  爸爸不可以找錯
[00:15:27.100 --> 00:15:27.600]  是不是?
[00:15:27.600 --> 00:15:28.700]  在英國讀書
[00:15:28.700 --> 00:15:31.000]  特別是很小的接待員
[00:15:31.000 --> 00:15:32.100]  或者一年級的時候
[00:15:32.100 --> 00:15:34.600]  家長要站在門口
[00:15:34.600 --> 00:15:36.200]  當我初初來到Sheffield的時候
[00:15:36.200 --> 00:15:38.500]  我就發現原來是這樣的
[00:15:38.500 --> 00:15:40.100]  當我們接小朋友的時候
[00:15:40.100 --> 00:15:43.900]  那些老師就會叫小朋友在門口
[00:15:43.900 --> 00:15:46.600]  然後爸爸或者媽媽都站在外面
[00:15:46.600 --> 00:15:50.900]  接著每個小朋友或者家長就會叫
[00:15:50.900 --> 00:15:53.100]  兒子 那個叫爸爸
[00:15:53.100 --> 00:15:54.900]  你會發現 爸爸
[00:15:54.900 --> 00:15:56.300]  是的 每個人都叫爸爸
[00:15:56.300 --> 00:15:58.300]  但是誰才是你爸爸?
[00:15:58.300 --> 00:16:00.600]  兒子一定會看著那個
[00:16:00.600 --> 00:16:01.600]  真的是他的爸爸
[00:16:01.600 --> 00:16:03.300]  他不會每個人都叫爸爸的時候
[00:16:03.300 --> 00:16:04.800]  他就每個人都衝過去
[00:16:04.800 --> 00:16:05.900]  絕對不會的
[00:16:05.900 --> 00:16:08.200]  因為他知道誰是他真正的爸爸
[00:16:08.200 --> 00:16:10.800]  爸爸是不可以找錯的
[00:16:10.800 --> 00:16:13.400]  第二 認識神
[00:16:13.400 --> 00:16:15.700]  這幫水手從拜錯神
[00:16:15.700 --> 00:16:17.200]  去到認識神這個階段
[00:16:17.200 --> 00:16:19.900]  留意第五節一直到第九節
[00:16:19.900 --> 00:16:22.600]  當船上的水手看著自救的時候
[00:16:22.600 --> 00:16:25.300]  看著找自己的神求救的時候
[00:16:25.300 --> 00:16:26.600]  第五節的結束
[00:16:26.600 --> 00:16:31.600]  竟然講到 若拿已下到底倉
[00:16:31.600 --> 00:16:33.500]  躺臥沉睡
[00:16:33.500 --> 00:16:35.800]  聖經故意將若拿和水手
[00:16:35.800 --> 00:16:36.800]  在同一時間
[00:16:36.800 --> 00:16:39.400]  同一個處境做的事情做一個對比
[00:16:39.400 --> 00:16:43.800]  水手因為懼怕所做的行為
[00:16:43.800 --> 00:16:47.200]  和若拿安靜的睡覺
[00:16:47.200 --> 00:16:50.300]  可以說成為一個非常強烈的對比
[00:16:50.300 --> 00:16:51.700]  若拿相信上帝
[00:16:51.700 --> 00:16:53.400]  令他睡得不知道多好
[00:16:53.400 --> 00:16:55.500]  我知道現代的男士
[00:16:55.500 --> 00:16:57.400]  通常都有失眠的習慣
[00:16:57.400 --> 00:16:59.000]  特別是中年的男人
[00:16:59.000 --> 00:17:00.200]  特別是嚴重
[00:17:00.200 --> 00:17:02.100]  你上到床又睡不著
[00:17:02.100 --> 00:17:03.500]  什麼時候才能睡覺呢
[00:17:03.500 --> 00:17:05.500]  就是你開著電視在沙發裡面
[00:17:05.500 --> 00:17:07.200]  看看你就會睡著
[00:17:07.200 --> 00:17:09.100]  然後你就會上床
[00:17:09.100 --> 00:17:10.800]  但是上床之後你又睡不著
[00:17:10.800 --> 00:17:12.000]  然後又要下床
[00:17:12.000 --> 00:17:14.900]  這個是現代人失眠的那種痛苦
[00:17:14.900 --> 00:17:16.200]  若拿就不同了
[00:17:16.200 --> 00:17:18.300]  若拿能夠睡覺
[00:17:18.300 --> 00:17:20.000]  睡得不知道多平安
[00:17:20.000 --> 00:17:21.900]  甚至在風浪裡面
[00:17:21.900 --> 00:17:23.900]  都是睡得非常好
[00:17:23.900 --> 00:17:25.800]  這個正正就是他和
[00:17:25.800 --> 00:17:28.000]  船上的人非常大的分別
[00:17:28.000 --> 00:17:31.000]  然後第一章第六節就提到船長這個人物
[00:17:31.000 --> 00:17:33.700]  他也頂不住若拿這樣的態度
[00:17:33.700 --> 00:17:34.900]  當沒事發生的
[00:17:34.900 --> 00:17:36.500]  還可以睡到死豬那樣
[00:17:36.500 --> 00:17:38.000]  所以他就去找若拿
[00:17:38.000 --> 00:17:39.800]  然後就和若拿講了兩句
[00:17:39.800 --> 00:17:41.200]  非常重要的說話
[00:17:41.200 --> 00:17:42.600]  第一句就是
[00:17:42.600 --> 00:17:44.900]  是非常重要的兩個特別的字
[00:17:44.900 --> 00:17:46.500]  就是「起來」
[00:17:46.500 --> 00:17:48.500]  「求告你的神」
